station,valid,metar
DAL,2023-06-01 00:53,KDAL 010053Z 13009KT 10SM FEW060 FEW250 30/18 A2983 RMK AO2 SLP094 T03000178
DAL,2023-06-01 01:53,KDAL 010153Z 14009KT 10SM FEW250 29/17 A2985 RMK AO2 SLP101 T02890172
DAL,2023-06-01 03:53,KDAL 010353Z 12006KT 10SM BKN250 27/18 A2987 RMK AO2 SLP108 T02720183
DAL,2023-06-01 04:53,KDAL 010453Z 14005KT 10SM BKN250 27/18 A2987 RMK AO2 SLP108 T02670178
DAL,2023-06-01 05:53,KDAL 010553Z 13006KT 10SM SCT250 26/18 A2987 RMK AO2 SLP107 T02560183 10306 20256 403220206 58001
DAL,2023-06-01 06:53,KDAL 010653Z 13005KT 10SM FEW250 25/18 A2987 RMK AO2 SLP106 T02500183
DAL,2023-06-01 07:53,KDAL 010753Z 14005KT 10SM FEW250 24/19 A2985 RMK AO2 SLP101 T02440189
DAL,2023-06-01 08:53,KDAL 010853Z 13008KT 10SM FEW250 24/19 A2986 RMK AO2 SLP103 T02390189 55004
DAL,2023-06-01 09:53,KDAL 010953Z 16007KT 10SM FEW250 24/19 A2987 RMK AO2 SLP107 T02390189
DAL,2023-06-01 10:53,KDAL 011053Z 15006KT 10SM FEW250 23/19 A2988 RMK AO2 SLP109 T02280189
DAL,2023-06-01 11:53,KDAL 011153Z 17005KT 10SM CLR 23/19 A2991 RMK AO2 SLP119 T02280194 10261 20228 53016
DAL,2023-06-01 12:53,KDAL 011253Z 19004KT 10SM FEW250 24/19 A2993 RMK AO2 SLP127 T02390194
DAL,2023-06-01 13:53,KDAL 011353Z COR 00000KT 10SM FEW250 25/20 A2994 RMK AO2 SLP129 T02500200
DAL,2023-06-01 14:53,KDAL 011453Z 19004KT 10SM FEW024 FEW250 26/21 A2995 RMK AO2 SLP133 T02610206 51014
DAL,2023-06-01 15:53,KDAL 011553Z 00000KT 10SM SCT030 SCT250 28/20 A2995 RMK AO2 SLP134 T02780200
DAL,2023-06-01 16:53,KDAL 011653Z 18008KT 10SM SCT038TCU BKN050 BKN250 29/19 A2995 RMK AO2 SLP133 TCU OHD-E-S T02890194
DAL,2023-06-01 17:53,KDAL 011753Z 17009KT 10SM SCT042TCU SCT060 BKN250 29/19 A2993 RMK AO2 SLP128 TCU ALQDS T02940189 10300 20228 58005
DAL,2023-06-01 18:53,KDAL 011853Z 15011G16KT 10SM SCT046TCU SCT065 BKN250 31/18 A2990 RMK AO2 SLP117 TCU W T03060183
DAL,2023-06-01 19:53,KDAL 011953Z 16009G18KT 10SM SCT050TCU BKN250 31/18 A2989 RMK AO2 SLP115 TCU SE AND W T03110178
DAL,2023-06-01 20:53,KDAL 012053Z 15008KT 10SM SCT055TCU BKN250 31/18 A2988 RMK AO2 SLP110 TCU E AND W T03110183 56018
DAL,2023-06-01 21:53,KDAL 012153Z 16009KT 10SM SCT055TCU BKN250 31/18 A2987 RMK AO2 SLP107 TCU W T03060183
DAL,2023-06-01 22:53,KDAL 012253Z 17007G16KT 10SM FEW060 SCT090 BKN250 31/17 A2986 RMK AO2 SLP103 T03110172
DAL,2023-06-01 23:53,KDAL 012353Z 13011KT 10SM FEW060 SCT090 BKN160 BKN250 31/17 A2985 RMK AO2 SLP100 T03060167 10317 20289 57009
DAL,2023-06-02 00:53,KDAL 020053Z 15009KT 10SM FEW065 SCT110 BKN250 30/17 A2987 RMK AO2 SLP108 T03000172
DAL,2023-06-02 01:53,KDAL 020153Z 13005KT 10SM BKN110 BKN250 29/18 A2989 RMK AO2 SLP113 T02940178
DAL,2023-06-02 02:53,KDAL 020253Z 11005KT 10SM SCT130 BKN250 28/18 A2990 RMK AO2 SLP117 T02830183 51017
DAL,2023-06-02 03:53,KDAL 020353Z 11003KT 10SM FEW170 SCT250 27/18 A2992 RMK AO2 SLP125 T02720183
DAL,2023-06-02 04:53,KDAL 020453Z 10006KT 10SM FEW230 27/18 A2992 RMK AO2 SLP125 T02670183
DAL,2023-06-02 05:53,KDAL 020553Z 15004KT 10SM BKN230 27/18 A2991 RMK AO2 SLP122 T02670183 10306 20267 403170228 50005
DAL,2023-06-02 06:53,KDAL 020653Z 13009KT 10SM FEW230 26/19 A2990 RMK AO2 SLP117 T02610189
DAL,2023-06-02 07:53,KDAL 020753Z 16003KT 10SM FEW210 25/19 A2990 RMK AO2 SLP117 T02500189
DAL,2023-06-02 08:53,KDAL 020853Z 00000KT 10SM FEW100 FEW250 23/19 A2990 RMK AO2 SLP116 T02330189 56005
DAL,2023-06-02 09:53,KDAL 020953Z 13003KT 10SM FEW100 FEW250 24/19 A2990 RMK AO2 SLP117 T02390194
DAL,2023-06-02 10:53,KDAL 021053Z 16006KT 10SM FEW100 FEW250 24/19 A2991 RMK AO2 SLP120 T02440189
DAL,2023-06-02 11:53,KDAL 021153Z 12004KT 10SM FEW100 FEW250 24/19 A2992 RMK AO2 SLP125 T02390194 10267 20233 53009
DAL,2023-06-02 12:53,KDAL 021253Z 10004KT 10SM FEW110 FEW250 25/20 A2993 RMK AO2 SLP129 T02500200
DAL,2023-06-02 13:53,KDAL 021353Z 00000KT 10SM FEW110 FEW250 27/21 A2995 RMK AO2 SLP134 T02720206
DAL,2023-06-02 14:53,KDAL 021453Z 21005KT 10SM FEW110 FEW250 28/21 A2995 RMK AO2 SLP135 T02830206 51009
DAL,2023-06-02 15:53,KDAL 021553Z 14008KT 10SM FEW033 BKN100 BKN250 29/19 A2995 RMK AO2 SLP133 T02940189
DAL,2023-06-02 16:53,KDAL 021653Z 17008KT 10SM SCT041TCU SCT090 SCT250 30/19 A2993 RMK AO2 SLP127 TCU N-E-SE T03000189
DAL,2023-06-02 17:53,KDAL 021753Z 19009KT 10SM SCT045TCU SCT065 BKN080 BKN250 31/19 A2991 RMK AO2 SLP120 TCU E-S-W T03060194 10311 20239 58014
DAL,2023-06-02 18:53,KDAL 021853Z 16012G17KT 10SM SCT048TCU SCT080 31/19 A2989 RMK AO2 SLP114 TCU ALQDS T03110189
DAL,2023-06-02 19:53,KDAL 021953Z 15005KT 10SM SCT055TCU SCT100 32/18 A2987 RMK AO2 SLP106 TCU ALQDS T03220183
DAL,2023-06-02 20:53,KDAL 022053Z 14012G18KT 10SM SCT060TCU 32/18 A2983 RMK AO2 SLP093 TCU ALQDS T03220178 58027
DAL,2023-06-02 21:53,KDAL 022153Z 15010G17KT 10SM SCT060TCU 32/18 A2981 RMK AO2 SLP086 TCU ALQDS T03220183
DAL,2023-06-02 22:53,KDAL 022253Z 15009G19KT 10SM SCT060TCU 32/18 A2980 RMK AO2 SLP083 TCU ALQDS T03170178
DAL,2023-06-02 23:53,KDAL 022353Z 16008KT 10SM SCT060TCU SCT250 31/18 A2978 RMK AO2 SLP078 TCU ALQDS T03110178 10328 20300 56015
DAL,2023-06-03 00:53,KDAL 030053Z 16009G17KT 10SM FEW055TCU FEW110 BKN250 31/18 A2980 RMK AO2 SLP082 TCU SW-NW AND E T03060183
DAL,2023-06-03 01:53,KDAL 030153Z 18006KT 10SM FEW060 SCT250 30/18 A2982 RMK AO2 SLP089 T03000183
DAL,2023-06-03 02:53,KDAL 030253Z 17005KT 10SM FEW060 BKN250 29/18 A2982 RMK AO2 SLP091 T02890183 51013
DAL,2023-06-03 03:53,KDAL 030353Z 17007KT 10SM FEW060 BKN250 28/19 A2983 RMK AO2 SLP095 T02830189
DAL,2023-06-03 04:53,KDAL 030453Z 20004KT 10SM FEW060 BKN250 28/18 A2987 RMK AO2 SLP107 T02780183
DAL,2023-06-03 05:53,KDAL 030553Z 27014G24KT 10SM SCT060 BKN080 BKN110 BKN250 28/19 A2989 RMK AO2 SLP114 OCNL LTGIC DSNT NW CB DSNT NW MOV NE T02780189 10311 20278 403280233 53023
DAL,2023-06-03 06:53,KDAL 030653Z 35007G20KT 10SM FEW050 SCT120 BKN250 22/16 A2987 RMK AO2 PK WND 31034/0600 WSHFT 0553 RAB07E28 SLP107 OCNL LTGIC DSNT NE CB DSNT NE MOV NE P0002 T02170156
DAL,2023-06-03 07:53,KDAL 030753Z 35004KT 10SM FEW050 SCT150 BKN180 BKN250 21/16 A2984 RMK AO2 SLP097 T02110161
DAL,2023-06-03 08:53,KDAL 030853Z 04004KT 10SM FEW160 SCT200 SCT250 21/16 A2985 RMK AO2 SLP099 60002 T02110161 55015
DAL,2023-06-03 09:53,KDAL 030953Z 07004KT 10SM SCT180 BKN250 21/16 A2983 RMK AO2 SLP093 T02110156
DAL,2023-06-03 10:53,KDAL 031053Z 10004KT 10SM FEW180 BKN250 21/16 A2982 RMK AO2 SLP089 T02110161
DAL,2023-06-03 11:53,KDAL 031153Z 00000KT 10SM SCT180 BKN250 21/17 A2983 RMK AO2 SLP096 60002 70002 T02110167 10272 20206 55004
DAL,2023-06-03 12:53,KDAL 031253Z 07004KT 10SM BKN230 22/17 A2985 RMK AO2 SLP101 T02220167
DAL,2023-06-03 13:53,KDAL 031353Z 00000KT 10SM BKN250 24/17 A2987 RMK AO2 SLP108 T02440172
DAL,2023-06-03 14:53,KDAL 031453Z VRB03KT 10SM SCT250 27/17 A2988 RMK AO2 SLP112 T02670172 51016
