station,valid,metar
DFW,2023-06-01 00:53,KDFW 010053Z 16011KT 10SM FEW060 FEW250 29/18 A2982 RMK AO2 SLP089 T02940178
DFW,2023-06-01 01:53,KDFW 010153Z 16007KT 10SM FEW060 FEW160 FEW250 28/18 A2984 RMK AO2 SLP096 T02830178
DFW,2023-06-01 03:53,KDFW 010353Z 13006KT 10SM BKN250 26/18 A2986 RMK AO2 SLP104 T02560183
DFW,2023-06-01 04:53,KDFW 010453Z 15006KT 10SM BKN250 25/18 A2987 RMK AO2 SLP105 T02500183
DFW,2023-06-01 05:53,KDFW 010553Z 15007KT 10SM FEW250 25/18 A2986 RMK AO2 SLP100 T02500183 10306 20250 403220189 58001
DFW,2023-06-01 06:53,KDFW 010653Z 14006KT 10SM FEW250 24/18 A2985 RMK AO2 SLP100 T02390183
DFW,2023-06-01 07:53,KDFW 010753Z 13005KT 10SM FEW250 23/19 A2984 RMK AO2 SLP097 T02280189
DFW,2023-06-01 08:53,KDFW 010853Z 15004KT 10SM FEW250 23/19 A2985 RMK AO2 SLP099 T02280194 55002
DFW,2023-06-01 09:53,KDFW 010953Z 16006KT 10SM FEW250 23/19 A2986 RMK AO2 SLP102 T02280194
DFW,2023-06-01 10:53,KDFW 011053Z 17005KT 10SM FEW250 22/19 A2986 RMK AO2 SLP104 T02220189
DFW,2023-06-01 11:53,KDFW 011153Z 00000KT 10SM CLR 22/19 A2989 RMK AO2 SLP113 T02170189 10250 20217 53014
DFW,2023-06-01 12:53,KDFW 011253Z 18005KT 10SM CLR 24/21 A2992 RMK AO2 SLP122 T02390206
DFW,2023-06-01 13:53,KDFW 011353Z 20003KT 10SM CLR 26/21 A2993 RMK AO2 SLP126 T02560206
DFW,2023-06-01 14:53,KDFW 011453Z 18006KT 10SM FEW020 SCT250 27/21 A2993 RMK AO2 SLP128 T02670206 51014
DFW,2023-06-01 15:53,KDFW 011553Z 18008KT 10SM SCT032 BKN250 28/20 A2994 RMK AO2 SLP130 T02780200
DFW,2023-06-01 16:53,KDFW 011653Z VRB05KT 10SM SCT036 BKN250 29/20 A2994 RMK AO2 SLP129 T02890200
DFW,2023-06-01 17:53,KDFW 011753Z 15010KT 10SM SCT042 BKN250 30/19 A2992 RMK AO2 SLP121 T03000194 10300 20217 58006
DFW,2023-06-01 18:53,KDFW 011853Z 13007KT 10SM SCT048 BKN250 30/18 A2989 RMK AO2 SLP114 T03000183
DFW,2023-06-01 19:53,KDFW 011953Z 17008G18KT 10SM SCT055TCU BKN250 32/19 A2989 RMK AO2 SLP112 TCU W-NW T03170189
