station,valid,metar
ABQ,2023-05-31 00:52,KABQ 310052Z 28014G20KT 10SM FEW065 BKN100 BKN160 25/02 A3000 RMK AO2 WSHFT 2348 SLP085 VIRGA ALQDS SHRA DSNT SW-NW T02500017
ABQ,2023-05-31 01:52,KABQ 310152Z 36007KT 10SM SCT110 BKN140 23/03 A3001 RMK AO2 PK WND 30030/0103 SLP085 VIRGA ALQDS T02330028
ABQ,2023-05-31 02:52,KABQ 310252Z 06006KT 10SM SCT110 BKN150 23/03 A3001 RMK AO2 SLP083 VIRGA W T02280028 50006
ABQ,2023-05-31 03:52,KABQ 310352Z 09004KT 10SM SCT110 BKN150 23/02 A2999 RMK AO2 SLP070 VIRGA W T02330022
ABQ,2023-05-31 04:52,KABQ 310452Z 07005KT 10SM SCT110 BKN160 24/01 A2998 RMK AO2 SLP060 VIRGA N T02390011
ABQ,2023-05-31 05:52,KABQ 310552Z 11009KT 10SM SCT120 22/02 A2997 RMK AO2 SLP058 T02170017 10261 20206 56012
ABQ,2023-05-31 06:52,KABQ 310652Z 12003KT 10SM FEW120 21/01 A2996 RMK AO2 SLP056 T02060011 403060139
ABQ,2023-05-31 07:52,KABQ 310752Z 28003KT 10SM FEW120 20/02 A2995 RMK AO2 SLP054 T02000017
ABQ,2023-05-31 08:52,KABQ 310852Z 04004KT 10SM CLR 19/02 A2995 RMK AO2 SLP053 T01940022 56006
ABQ,2023-05-31 09:52,KABQ 310952Z 03003KT 10SM FEW120 19/02 A2994 RMK AO2 SLP052 T01890022
ABQ,2023-05-31 10:52,KABQ 311052Z 34004KT 10SM BKN110 18/02 A2995 RMK AO2 LTG DSNT S AND W SLP058 T01830022
ABQ,2023-05-31 11:52,KABQ 311152Z 10013G19KT 10SM FEW049 SCT100 BKN110 17/04 A2999 RMK AO2 PK WND 22027/1107 RAB33E49 SLP078 VIRGA P0000 60000 T01720039 10217 20167 53012
ABQ,2023-05-31 12:52,KABQ 311252Z 11017G23KT 10SM -RA FEW045 FEW070 BKN100 19/05 A2999 RMK AO2 PK WND 13034/1236 WSHFT 1220 RAB37 SLP075 P0000 T01890050
ABQ,2023-05-31 13:52,KABQ 311352Z 14014G22KT 10SM -RA FEW050 BKN095 BKN110 20/05 A2997 RMK AO2 PK WND 09036/1256 RAE07B50 SLP072 P0000 T02000050
ABQ,2023-05-31 14:52,KABQ 311452Z 11015G21KT 10SM FEW110 BKN180 21/05 A2998 RMK AO2 RAE1359 SLP073 P0000 60000 T02110050 55003
ABQ,2023-05-31 15:52,KABQ 311552Z 10018G32KT 10SM SCT120 SCT230 23/04 A2997 RMK AO2 PK WND 11032/1543 SLP063 T02330044
ABQ,2023-05-31 16:52,KABQ 311652Z 10019G27KT 10SM FEW120 FEW230 24/06 A2995 RMK AO2 PK WND 10028/1600 SLP053 T02440056
ABQ,2023-05-31 17:52,KABQ 311752Z 12015G28KT 10SM FEW080 FEW120 26/05 A2993 RMK AO2 PK WND 09031/1724 SLP049 60000 T02610050 10261 20161 58014
ABQ,2023-05-31 18:52,KABQ 311852Z 14019G27KT 10SM BKN100 BKN120 26/03 A2992 RMK AO2 PK WND 13028/1759 SLP045 T02560033
ABQ,2023-05-31 19:52,KABQ 311952Z 16024G33KT 10SM BKN095 BKN120 27/05 A2989 RMK AO2 PK WND 17033/1951 LTG DSNT N-SE SLP034 T02720050
ABQ,2023-05-31 20:52,KABQ 312052Z 12029G39KT 10SM FEW040 BKN100 BKN180 25/08 A2987 RMK AO2 PK WND 12043/2037 LTG DSNT NE AND E SLP035 VIRGA MTN TOP OBSC SE T02500083 56017
ABQ,2023-05-31 21:52,KABQ 312152Z 12021G33KT 10SM FEW070 SCT100 26/07 A2983 RMK AO2 PK WND 11036/2056 LTG DSNT E SLP017 CB DSNT N AND E-SE SHRA DSNT E T02610067
ABQ,2023-05-31 22:52,KABQ 312252Z 11024G34KT 10SM FEW070 SCT110 26/08 A2980 RMK AO2 PK WND 11034/2243 LTG DSNT E SLP008 CB DSNT E T02610078
