station,valid,metar
AMA,2023-05-31 00:53,KAMA 310053Z 15013KT 10SM CLR 25/17 A2991 RMK AO2 SLP079 T02500172
AMA,2023-05-31 01:53,KAMA 310153Z 15013KT 10SM CLR 23/17 A2989 RMK AO2 SLP072 T02330167
AMA,2023-05-31 02:53,KAMA 310253Z 16011KT 10SM CLR 22/17 A2991 RMK AO2 SLP077 T02220167 53001
AMA,2023-05-31 03:53,KAMA 310353Z 15005KT 10SM CLR 22/17 A2995 RMK AO2 LTG DSNT W AND NW SLP091 T02170167
AMA,2023-05-31 04:53,KAMA 310453Z 35016G25KT 10SM VCTS -RA BKN045 OVC060 17/12 A3000 RMK AO2 PK WND 33028/0413 LTG DSNT NW-NE RAB46 TSB37E52 SLP111 P0000 T01720117
AMA,2023-05-31 05:53,KAMA 310553Z AUTO 07006KT 10SM VCTS SCT060 SCT080 BKN100 17/13 A2995 RMK AO2 LTG DSNT N-SE RAE41 TSB03E52 SLP093 P0018 60018 T01720128 10267 20156 402940156 50013
AMA,2023-05-31 06:53,KAMA 310653Z AUTO 12013KT 10SM CLR 17/12 A2994 RMK AO2 WSHFT 0630 SLP089 T01670122
AMA,2023-05-31 07:53,KAMA 310753Z AUTO 13014KT 10SM SCT050 16/12 A2998 RMK AO2 LTG DSNT NW SLP104 T01610122
AMA,2023-05-31 08:53,KAMA 310853Z AUTO 11012G20KT 10SM TS OVC044 17/12 A2998 RMK AO2 LTG DSNT ALQDS TSB45 SLP103 T01720122 53013
AMA,2023-05-31 09:53,KAMA 310953Z AUTO 02016G28KT 10SM VCTS SCT017 SCT027 OVC047 16/13 A3006 RMK AO2 PK WND 03028/0951 WSHFT 0935 LTG DSNT ALQDS TSE00 SLP131 T01610128
AMA,2023-05-31 10:53,KAMA 311053Z AUTO 03006KT 2 1/2SM R22/6000VP6000FT +TSRA BR BKN035 OVC060 14/13 A3007 RMK AO2 PK WND 03030/1018 WSHFT 1025 LTG DSNT ALQDS RAB08E20B24 TSB0954E09B17 SLP137 P0048 T01390128
AMA,2023-05-31 11:53,KAMA 311153Z 08017KT 10SM FEW095 OVC120 14/13 A2998 RMK AO2 PK WND 08031/1126 WSHFT 1058 LTG DSNT ALQDS RAE29 TSE23 SLP108 P0010 60058 70076 T01440128 10172 20139 58025
AMA,2023-05-31 12:53,KAMA 311253Z 17008KT 10SM BKN095 15/13 A3004 RMK AO2 SLP129 T01500128
AMA,2023-05-31 13:53,KAMA 311353Z 13009KT 10SM CLR 16/13 A3004 RMK AO2 RAB02E19 SLP130 P0002 T01560133
AMA,2023-05-31 14:53,KAMA 311453Z 14012KT 10SM FEW080 19/14 A3001 RMK AO2 SLP118 60002 T01890139 50009
AMA,2023-05-31 15:53,KAMA 311553Z 15013KT 10SM CLR 22/13 A2998 RMK AO2 SLP105 T02220133
AMA,2023-05-31 16:53,KAMA 311653Z 16013G22KT 10SM CLR 24/13 A2998 RMK AO2 SLP108 T02390133
AMA,2023-05-31 17:53,KAMA 311753Z 16019G25KT 10SM CLR 24/13 A2996 RMK AO2 SLP100 60002 T02440133 10244 20144 56015
AMA,2023-05-31 18:53,KAMA 311853Z 15016G26KT 10SM FEW037 24/16 A2997 RMK AO2 PK WND 16029/1801 SLP102 T02440156
AMA,2023-05-31 19:53,KAMA 311953Z 18019G26KT 10SM FEW039 SCT048 26/16 A2997 RMK AO2 PK WND 17030/1902 SLP101 T02560161
AMA,2023-05-31 20:53,KAMA 312053Z 17018G24KT 10SM FEW041 FEW050 BKN070 26/16 A2993 RMK AO2 PK WND 15026/2041 SLP087 T02560161 58010
AMA,2023-05-31 21:53,KAMA 312153Z 16015G23KT 10SM FEW046 SCT075 SCT100 25/16 A2992 RMK AO2 PK WND 15026/2120 LTG DSNT N AND NW SLP085 T02500156
AMA,2023-05-31 22:53,KAMA 312253Z 15012KT 10SM FEW036 SCT110 24/16 A2989 RMK AO2 LTG DSNT N AND NW SLP078 T02440156
AMA,2023-05-31 23:53,KAMA 312353Z 14016G22KT 10SM SCT060 24/14 A2987 RMK AO2 LTG DSNT N SLP073 T02440144 10261 20239 58018
AMA,2023-06-01 00:53,KAMA 010053Z 12012KT 10SM VCTS SCT060 BKN110 23/16 A2987 RMK AO2 LTG DSNT SW-NW SLP074 T02280161
AMA,2023-06-01 01:53,KAMA 010153Z 28016G34KT 10SM -TSRA BKN060 OVC080 22/17 A2995 RMK AO2 PK WND 29034/0153 LTG DSNT ALQDS RAB44 TSB49 PRESRR SLP101 P0000 T02170172
AMA,2023-06-01 02:13,KAMA 010213Z 24013G25KT 4SM +TSRA BR FEW014 BKN035 OVC060 16/15 A2997 RMK AO2 PK WND 30031/0154 WSHFT 0153 LTG DSNT ALQDS P0008 T01610150
AMA,2023-06-01 03:53,KAMA 010353Z 01006KT 3SM +TSRA BR SCT010 BKN043 OVC060 15/14 A3000 RMK AO2 WSHFT 0254 LTG DSNT ALQDS TSE16B19E36B42 SLP118 P0024 T01500144
AMA,2023-06-01 04:53,KAMA 010453Z AUTO 36006KT 7SM RA BKN070 OVC090 15/14 A2998 RMK AO2 LTG DSNT E-SW TSE26 SLP109 P0028 T01500144
AMA,2023-06-01 05:53,KAMA 010553Z AUTO 04007KT 6SM -TSRA BR SCT070 OVC095 15/14 A2994 RMK AO2 LTG DSNT E-SW TSB42 SLP096 P0005 60078 T01500144 10239 20150 402610139 58010
AMA,2023-06-01 06:53,KAMA 010653Z AUTO 01007KT 10SM VCTS -RA BKN065 OVC080 15/14 A2993 RMK AO2 LTG DSNT ALQDS RAE43B46 TSE0557B17E39 SLP093 P0015 T01500144
AMA,2023-06-01 07:53,KAMA 010753Z AUTO 35006KT 5SM VCTS RA BR BKN042 BKN049 OVC065 15/14 A2997 RMK AO2 LTG DSNT ALQDS TSB07E46 SLP103 P0061 T01500144
AMA,2023-06-01 08:53,KAMA 010853Z AUTO 33012G20KT 4SM TSRA BR BKN055 OVC070 14/13 A2997 RMK AO2 PK WND 31033/0827 LTG DSNT ALQDS RAE08B14 TSB23E38B43 SLP107 P0033 60109 T01390128 52001
AMA,2023-06-01 09:53,KAMA 010953Z AUTO 34008KT 10SM BKN070 OVC090 14/13 A2996 RMK AO2 LTG DSNT N AND SW RAE51 TSE0858B19E34 SLP105 P0007 T01390128
AMA,2023-06-01 10:53,KAMA 011053Z 36004KT 4SM RA BR OVC065 13/12 A2998 RMK AO2 LTG DSNT SE RAB04 SLP112 P0008 T01330122
AMA,2023-06-01 11:53,KAMA 011153Z 34006KT 5SM RA BR OVC065 13/12 A2999 RMK AO2 SLP116 P0010 60134 70214 T01330122 10156 20133 53005
AMA,2023-06-01 12:53,KAMA 011253Z 36010KT 8SM -RA FEW060 OVC085 14/12 A2996 RMK AO2 PRESFR SLP107 P0008 T01390122
AMA,2023-06-01 13:53,KAMA 011353Z 06005KT 10SM BKN120 16/14 A2997 RMK AO2 RAE07 SLP107 P0000 T01560139
AMA,2023-06-01 14:53,KAMA 011453Z 13011KT 10SM -RA SCT065 BKN095 OVC110 17/15 A2994 RMK AO2 RAB45 SLP104 P0000 60008 T01720150 56016
AMA,2023-06-01 15:53,KAMA 011553Z 14008KT 10SM BKN110 19/16 A2998 RMK AO2 RAE1454 PRESRR SLP116 P0000 T01890156
AMA,2023-06-01 16:53,KAMA 011653Z 13013KT 10SM CLR 19/15 A2997 RMK AO2 SLP112 T01940150
AMA,2023-06-01 17:53,KAMA 011753Z 15010G18KT 10SM FEW018 18/14 A2998 RMK AO2 SLP116 60008 T01830144 10200 20133 51011
AMA,2023-06-01 18:53,KAMA 011853Z 14011KT 10SM FEW120 20/14 A2997 RMK AO2 SLP112 T02000139
AMA,2023-06-01 19:53,KAMA 011953Z AUTO VRB03KT 10SM FEW026 SCT038 21/14 A2997 RMK AO2 SLP111 T02060144
AMA,2023-06-01 20:53,KAMA 012053Z 14008KT 10SM BKN027 BKN034 BKN046 21/15 A2997 RMK AO2 SLP109 T02110150 56003
AMA,2023-06-01 21:53,KAMA 012153Z 14013G20KT 10SM BKN050 21/14 A2994 RMK AO2 LTG DSNT W SLP104 T02060139
AMA,2023-06-01 22:53,KAMA 012253Z 17007KT 10SM FEW034 SCT049 BKN095 21/14 A2995 RMK AO2 LTG DSNT W SLP105 T02060139
AMA,2023-06-01 23:53,KAMA 012353Z 13008KT 10SM FEW090 FEW110 21/15 A2992 RMK AO2 SLP095 T02110150 10222 20183 58014
AMA,2023-06-02 00:53,KAMA 020053Z 16013KT 10SM CLR 21/14 A2991 RMK AO2 SLP090 T02060139
AMA,2023-06-02 01:53,KAMA 020153Z 16011KT 10SM CLR 19/14 A2993 RMK AO2 SLP096 T01940139
AMA,2023-06-02 02:53,KAMA 020253Z 15010KT 10SM CLR 18/14 A2995 RMK AO2 SLP104 T01780144 53009
AMA,2023-06-02 03:53,KAMA 020353Z 13011KT 10SM CLR 17/14 A2997 RMK AO2 SLP109 T01670144
AMA,2023-06-02 04:53,KAMA 020453Z AUTO 14010KT 10SM CLR 16/14 A2997 RMK AO2 SLP112 T01610144
AMA,2023-06-02 05:53,KAMA 020553Z AUTO 13010KT 10SM CLR 16/14 A2997 RMK AO2 SLP111 T01610144 10217 20161 402220133 50004
AMA,2023-06-02 06:53,KAMA 020653Z AUTO 14010KT 10SM SCT046 16/15 A2996 RMK AO2 SLP108 T01560150
AMA,2023-06-02 07:53,KAMA 020753Z AUTO 14012KT 10SM CLR 16/15 A2995 RMK AO2 SLP102 T01610150
AMA,2023-06-02 08:53,KAMA 020853Z AUTO 15015KT 10SM CLR 16/16 A2992 RMK AO2 SLP091 T01610156 58014
AMA,2023-06-02 09:53,KAMA 020953Z AUTO 16010KT 9SM OVC003 16/16 A2992 RMK AO2 SLP091 T01610156
AMA,2023-06-02 10:53,KAMA 021053Z AUTO 18011KT 6SM BR OVC002 16/16 A2994 RMK AO2 SLP098 T01610161
AMA,2023-06-02 11:53,KAMA 021153Z 17012KT 3SM BR OVC002 17/16 A2996 RMK AO2 SLP103 70008 T01670161 10167 20156 53010
AMA,2023-06-02 12:53,KAMA 021253Z 17010KT 3SM BR OVC003 17/16 A2998 RMK AO2 SFC VIS 5 SLP110 T01670161
AMA,2023-06-02 13:53,KAMA 021353Z 16007KT 3SM OVC003 17/17 A2999 RMK AO2 SFC VIS 7 SLP117 T01720167
AMA,2023-06-02 14:53,KAMA 021453Z 18012KT 10SM SCT006 BKN010 OVC022 19/17 A2998 RMK AO2 SLP112 T01940172 50002
AMA,2023-06-02 15:53,KAMA 021553Z 17012KT 10SM BKN010 OVC020 20/17 A2999 RMK AO2 CIG 007V014 SLP116 T02000172
AMA,2023-06-02 16:53,KAMA 021653Z 15010KT 10SM OVC011 20/17 A2997 RMK AO2 SLP111 T02000172
AMA,2023-06-02 17:53,KAMA 021753Z 16013KT 10SM SCT012 BKN017 OVC024 20/18 A2997 RMK AO2 LTG DSNT SW AND W SLP109 T02000178 10206 20167 58004
AMA,2023-06-02 18:53,KAMA 021853Z 18011KT 5SM -TSRA BR SCT013 BKN032 OVC095 19/18 A2996 RMK AO2 LTG DSNT ALQDS RAB31 TSB28 SLP108 P0010 T01940178
AMA,2023-06-02 19:53,KAMA 021953Z 27018G36KT 2 1/2SM +TSRA BR SCT009 BKN023 OVC050 15/13 A3001 RMK AO2 PK WND 27036/1946 LTG DSNT ALQDS TSE1855B01E25B26 SLP129 P0011 T01500133
AMA,2023-06-02 20:53,KAMA 022053Z 25007KT 4SM VCTS RA BR OVC070 14/13 A3003 RMK AO2 PK WND 27027/1956 LTG DSNT ALQDS TSE1958B02E35 SLP138 P0027 60048 T01440128 53022
AMA,2023-06-02 21:53,KAMA 022153Z 14015KT 5SM RA SCT055 OVC075 15/12 A2996 RMK AO2 WSHFT 2138 LTG DSNT S TSB14E29 PRESFR SLP113 P0028 T01500117
AMA,2023-06-02 22:53,KAMA 022253Z 16027G38KT 10SM -RA OVC090 15/12 A2989 RMK AO2 PK WND 16038/2249 WSHFT 2140 PRESFR SLP089 P0004 T01500117
AMA,2023-06-02 23:53,KAMA 022353Z 16016KT 10SM CLR 16/12 A2986 RMK AO2 PK WND 16036/2256 RAE22 SLP075 P0002 60082 T01610117 10206 20144 56054
AMA,2023-06-03 00:53,KAMA 030053Z 14009KT 10SM CLR 16/11 A2989 RMK AO2 SLP085 T01610111
AMA,2023-06-03 01:53,KAMA 030153Z 29008G20KT 10SM FEW110 16/11 A2995 RMK AO2 SLP107 T01560111
AMA,2023-06-03 02:53,KAMA 030253Z 10010KT 10SM CLR 15/12 A2990 RMK AO2 SLP087 T01500122 50012
AMA,2023-06-03 03:53,KAMA 030353Z 09009KT 10SM CLR 15/12 A2989 RMK AO2 SLP084 T01500117
AMA,2023-06-03 04:53,KAMA 030453Z AUTO 20004KT 10SM CLR 14/11 A2993 RMK AO2 SLP097 T01390111
AMA,2023-06-03 05:53,KAMA 030553Z AUTO 11006KT 10SM CLR 13/12 A2992 RMK AO2 SLP097 T01330117 10167 20128 402060128 50008
AMA,2023-06-03 06:53,KAMA 030653Z AUTO 12011KT 10SM CLR 13/12 A2991 RMK AO2 SLP095 T01280122
AMA,2023-06-03 07:53,KAMA 030753Z AUTO 17006KT 10SM CLR 13/12 A2992 RMK AO2 SLP105 T01280122
AMA,2023-06-03 08:53,KAMA 030853Z AUTO 18010KT 10SM OVC011 13/12 A2993 RMK AO2 SLP107 T01280122 53002
AMA,2023-06-03 09:53,KAMA 030953Z AUTO 19010KT 10SM SCT005 12/12 A2993 RMK AO2 SLP107 T01220117
AMA,2023-06-03 10:53,KAMA 031053Z 17006KT 10SM OVC003 12/12 A2995 RMK AO2 SLP115 T01220117
AMA,2023-06-03 11:53,KAMA 031153Z 18007KT 10SM OVC003 12/12 A2995 RMK AO2 SLP114 70082 T01220117 10133 20122 53008
AMA,2023-06-03 12:53,KAMA 031253Z 17008KT 8SM OVC003 12/12 A2997 RMK AO2 SLP118 T01220117
AMA,2023-06-03 13:53,KAMA 031353Z 17009KT 10SM OVC004 13/12 A2998 RMK AO2 SLP122 T01330122
AMA,2023-06-03 14:53,KAMA 031453Z 19008KT 10SM BKN007 15/13 A2999 RMK AO2 SLP127 T01500128 53013
AMA,2023-06-03 15:53,KAMA 031553Z 18009KT 10SM CLR 17/13 A3000 RMK AO2 SLP124 T01720133
AMA,2023-06-03 16:53,KAMA 031653Z 17009KT 10SM CLR 19/14 A2999 RMK AO2 SLP122 T01940139
AMA,2023-06-03 17:53,KAMA 031753Z 18007KT 10SM CLR 21/13 A2999 RMK AO2 SLP120 T02110133 10211 20117 58001
AMA,2023-06-03 18:53,KAMA 031853Z VRB06KT 10SM BKN033 23/14 A2999 RMK AO2 SLP117 T02280144
AMA,2023-06-03 19:53,KAMA 031953Z AUTO VRB03KT 10SM FEW042 24/13 A2998 RMK AO2 SLP112 T02390133
AMA,2023-06-03 20:53,KAMA 032053Z 16007KT 10SM SCT041 SCT050 23/15 A2996 RMK AO2 SLP105 T02330150 58010
AMA,2023-06-03 21:53,KAMA 032153Z VRB05KT 10SM CLR 24/13 A2993 RMK AO2 SLP097 T02440128
AMA,2023-06-03 22:53,KAMA 032253Z 18007G16KT 10SM FEW041 SCT050 24/15 A2992 RMK AO2 SLP093 T02440150
AMA,2023-06-03 23:53,KAMA 032353Z 18008KT 10SM FEW046 FEW055 23/15 A2993 RMK AO2 LTG DSNT E AND W SLP096 T02330150 10250 20211 55009
AMA,2023-06-04 00:53,KAMA 040053Z 24009KT 10SM TS BKN045 OVC080 22/16 A2993 RMK AO2 LTG DSNT NE AND E TSB48 SLP099 T02220161
AMA,2023-06-04 01:53,KAMA 040153Z 12011G23KT 10SM TS BKN048 16/13 A2997 RMK AO2 PK WND 07028/0127 LTG DSNT ALQDS SLP120 T01610128
AMA,2023-06-04 02:53,KAMA 040253Z 21012G18KT 10SM VCTS BKN042 BKN055 OVC100 16/14 A3002 RMK AO2 LTG DSNT ALQDS RAB32E53 TSE0158B36E51 SLP134 P0003 60003 T01560139 53027
AMA,2023-06-04 03:53,KAMA 040353Z 14009KT 10SM FEW075 SCT120 16/13 A3001 RMK AO2 LTG DSNT SE AND S RAB07E17 SLP128 P0000 T01560133
AMA,2023-06-04 04:53,KAMA 040453Z 21007KT 10SM BKN055 OVC110 16/13 A3004 RMK AO2 LTG DSNT SW SLP133 T01560133 $
AMA,2023-06-04 05:53,KAMA 040553Z AUTO 22008KT 10SM CLR 15/13 A3003 RMK AO2 SLP130 60003 T01500128 10239 20150 402500117 53003 $
AMA,2023-06-04 06:53,KAMA 040653Z AUTO 22009KT 10SM BKN110 14/13 A3000 RMK AO2 SLP119 T01440133 $
AMA,2023-06-04 07:53,KAMA 040753Z AUTO 26006KT 10SM CLR 14/13 A3000 RMK AO2 SLP119 T01440128 $
AMA,2023-06-04 08:53,KAMA 040853Z AUTO 33003KT 10SM CLR 14/12 A2999 RMK AO2 SLP114 T01440122 56013 $
AMA,2023-06-04 09:53,KAMA 040953Z AUTO 31005KT 10SM CLR 15/13 A3000 RMK AO2 SLP114 T01500128 $
AMA,2023-06-04 10:53,KAMA 041053Z AUTO 36007KT 10SM CLR 14/13 A3000 RMK AO2 SLP117 T01390128 $
AMA,2023-06-04 11:53,KAMA 041153Z 01006KT 10SM CLR 14/13 A3002 RMK AO2 SLP124 70003 T01390128 10150 20139 53009 $
AMA,2023-06-04 12:53,KAMA 041253Z 01005KT 10SM FEW026 16/14 A3004 RMK AO2 SLP131 T01560139 $
AMA,2023-06-04 13:53,KAMA 041353Z 05011KT 10SM SCT100 18/15 A3005 RMK AO2 SLP140 T01780150 $
AMA,2023-06-04 14:53,KAMA 041453Z 05008KT 10SM FEW070 BKN090 19/15 A3006 RMK AO2 SLP142 T01940150 51013 $
AMA,2023-06-04 15:53,KAMA 041553Z 10006KT 10SM FEW029 BKN040 BKN048 20/14 A3006 RMK AO2 SLP141 T02000144 $
AMA,2023-06-04 16:53,KAMA 041653Z 12005KT 10SM SCT023 BKN090 21/15 A3005 RMK AO2 LTG DSNT E SLP137 T02060150 $
AMA,2023-06-04 17:53,KAMA 041753Z 27004KT 10SM VCTS SCT030 BKN050 OVC090 21/15 A3004 RMK AO2 LTG DSNT E AND SE RAB08E42 SLP134 P0000 60000 T02110150 10217 20139 57005 $
AMA,2023-06-04 18:53,KAMA 041853Z 09008KT 10SM TS FEW013 BKN026 OVC060 19/16 A3004 RMK AO2 LTG DSNT ALQDS TSB42 SLP137 T01940156 $
AMA,2023-06-04 19:53,KAMA 041953Z 07006KT 10SM -RA SCT036 BKN080 OVC100 16/14 A3007 RMK AO2 LTG DSNT ALQDS RAB12 TSE03B05E20B21E36 SLP153 P0002 T01560144 $
AMA,2023-06-04 20:53,KAMA 042053Z AUTO 08012KT 10SM -RA OVC090 16/14 A3006 RMK AO2 LTG DSNT ALQDS SLP148 P0002 60004 T01560144 50007 $
AMA,2023-06-04 21:53,KAMA 042153Z AUTO 10009KT 10SM FEW043 BKN075 OVC095 17/15 A3004 RMK AO2 RAE51 SLP140 P0002 T01670150 $
AMA,2023-06-04 22:53,KAMA 042253Z 10009KT 10SM SCT110 17/14 A3003 RMK AO2 SLP139 T01670144 $
AMA,2023-06-04 23:53,KAMA 042353Z 08009KT 10SM SCT100 17/14 A3004 RMK AO2 SLP140 60006 T01720139 10217 20156 55006 $
AMA,2023-06-05 00:53,KAMA 050053Z 08006KT 10SM BKN095 BKN120 17/14 A3004 RMK AO2 SLP138 T01670139 $
AMA,2023-06-05 01:53,KAMA 050153Z 10006KT 10SM CLR 16/14 A3005 RMK AO2 SLP141 T01560139 $
AMA,2023-06-05 02:53,KAMA 050253Z 10006KT 10SM CLR 16/14 A3005 RMK AO2 SLP138 T01560139 52004 $
AMA,2023-06-05 03:53,KAMA 050353Z 00000KT 10SM CLR 14/13 A3008 RMK AO2 SLP150 T01390133 $
AMA,2023-06-05 04:53,KAMA 050453Z 00000KT 10SM BKN100 14/13 A3011 RMK AO2 SLP157 T01440133 $
AMA,2023-06-05 05:53,KAMA 050553Z 35004KT 10SM FEW070 OVC100 15/14 A3011 RMK AO2 SLP157 T01500144 10172 20139 402170139 51018 $
AMA,2023-06-05 06:53,KAMA 050653Z 02004KT 10SM OVC090 15/14 A3011 RMK AO2 SLP160 T01500144 $
AMA,2023-06-05 07:53,KAMA 050753Z AUTO 36005KT 10SM OVC095 15/14 A3010 RMK AO2 SLP163 T01500144 $
AMA,2023-06-05 08:53,KAMA 050853Z AUTO 03004KT 10SM BKN100 15/14 A3009 RMK AO2 SLP160 T01500144 58004 $
AMA,2023-06-05 09:53,KAMA 050953Z AUTO 34004KT 10SM FEW046 SCT100 14/14 A3010 RMK AO2 SLP162 T01440139 $
AMA,2023-06-05 10:53,KAMA 051053Z 01005KT 10SM OVC100 14/14 A3011 RMK AO2 SLP164 T01440139 $
AMA,2023-06-05 11:53,KAMA 051153Z 34005KT 1SM R22/P6000FT BR BKN001 OVC100 14/14 A3012 RMK AO2 TWR VIS 10 SLP168 70006 T01440139 10150 20144 53009 $
AMA,2023-06-05 12:53,KAMA 051253Z 36006KT 8SM OVC100 15/14 A3013 RMK AO2 SLP172 T01500144 $
AMA,2023-06-05 13:53,KAMA 051353Z 04006KT 5SM BR SCT100 17/16 A3014 RMK AO2 SLP173 T01670156
AMA,2023-06-05 14:53,KAMA 051453Z 03004KT 10SM BKN100 18/15 A3015 RMK AO2 SLP176 T01780150 51007
