station,valid,vsby,skyl1
AMA,2023-06-01 00:43,10.00,6000.00
AMA,2023-06-01 00:53,10.00,6000.00
AMA,2023-06-01 01:05,10.00,5500.00
AMA,2023-06-01 01:12,10.00,5500.00
AMA,2023-06-01 01:46,10.00,6000.00
AMA,2023-06-01 01:49,10.00,6000.00
AMA,2023-06-01 01:53,10.00,6000.00
AMA,2023-06-01 02:13,4.00,1400.00
AMA,2023-06-01 03:14,6.00,2600.00
AMA,2023-06-01 03:26,5.00,600.00
AMA,2023-06-01 03:53,3.00,1000.00
AMA,2023-06-01 04:01,2.50,1200.00
AMA,2023-06-01 04:08,4.00,1700.00
AMA,2023-06-01 04:32,5.00,5500.00
AMA,2023-06-01 04:53,7.00,7000.00
AMA,2023-06-01 05:39,10.00,10000.00
AMA,2023-06-01 05:48,8.00,7000.00
AMA,2023-06-01 05:53,6.00,7000.00
AMA,2023-06-01 06:03,9.00,7000.00
AMA,2023-06-01 06:23,3.00,4200.00
AMA,2023-06-01 06:45,10.00,4700.00
AMA,2023-06-01 06:53,10.00,6500.00
AMA,2023-06-01 07:13,8.00,1000.00
AMA,2023-06-01 07:20,1.75,1200.00
AMA,2023-06-01 07:27,1.50,1200.00
AMA,2023-06-01 07:36,2.00,1200.00
AMA,2023-06-01 07:45,3.00,3600.00
AMA,2023-06-01 07:53,5.00,4200.00
AMA,2023-06-01 08:09,10.00,2000.00
AMA,2023-06-01 08:17,9.00,600.00
AMA,2023-06-01 08:23,2.50,600.00
AMA,2023-06-01 08:26,1.75,600.00
AMA,2023-06-01 08:32,2.00,600.00
AMA,2023-06-01 08:38,4.00,600.00
AMA,2023-06-01 08:49,4.00,4900.00
AMA,2023-06-01 08:53,4.00,5500.00
AMA,2023-06-01 09:04,9.00,6000.00
AMA,2023-06-01 09:12,9.00,6000.00
AMA,2023-06-01 09:25,8.00,7500.00
AMA,2023-06-01 09:40,10.00,7500.00
AMA,2023-06-01 09:53,10.00,7000.00
AMA,2023-06-01 10:30,6.00,6500.00
AMA,2023-06-01 10:53,4.00,6500.00
AMA,2023-06-01 11:53,5.00,6500.00
AMA,2023-06-01 12:53,8.00,6000.00
AMA,2023-06-01 13:53,10.00,12000.00
AMA,2023-06-01 14:53,10.00,6500.00
AMA,2023-06-01 15:53,10.00,11000.00
AMA,2023-06-01 16:53,10.00,M
AMA,2023-06-01 17:53,10.00,1800.00
AMA,2023-06-01 18:53,10.00,12000.00
AMA,2023-06-01 19:53,10.00,2600.00
AMA,2023-06-01 20:53,10.00,2700.00
AMA,2023-06-01 21:30,10.00,2900.00
AMA,2023-06-01 21:53,10.00,5000.00
AMA,2023-06-01 22:53,10.00,3400.00
AMA,2023-06-01 23:53,10.00,9000.00
AMA,2023-06-02 00:53,10.00,M
AMA,2023-06-02 01:53,10.00,M
AMA,2023-06-02 02:53,10.00,M
AMA,2023-06-02 03:53,10.00,M
AMA,2023-06-02 04:53,10.00,M
AMA,2023-06-02 05:53,10.00,M
AMA,2023-06-02 06:53,10.00,4600.00
AMA,2023-06-02 07:53,10.00,M
AMA,2023-06-02 08:53,10.00,M
AMA,2023-06-02 09:13,9.00,300.00
AMA,2023-06-02 09:22,9.00,300.00
AMA,2023-06-02 09:53,9.00,300.00
AMA,2023-06-02 10:53,6.00,200.00
AMA,2023-06-02 11:53,3.00,200.00
AMA,2023-06-02 12:53,3.00,300.00
AMA,2023-06-02 13:08,2.50,300.00
