station,valid,vsby,skyl1,metar
AUS,2023-05-31 00:53,10.00,5500.00,KAUS 310053Z 10005KT 10SM FEW055 28/18 A2985 RMK AO2 SLP100 T02830183 $
AUS,2023-05-31 01:53,10.00,5500.00,KAUS 310153Z 13009KT 10SM FEW055 26/20 A2987 RMK AO2 SLP105 T02560200 $
AUS,2023-05-31 02:53,10.00,M,KAUS 310253Z 15008KT 10SM CLR 24/20 A2988 RMK AO2 SLP110 T02440200 53013 $
AUS,2023-05-31 03:53,10.00,M,KAUS 310353Z 15007KT 10SM CLR 23/19 A2990 RMK AO2 SLP115 T02330194 $
AUS,2023-05-31 04:53,10.00,M,KAUS 310453Z 21004KT 10SM CLR 21/19 A2990 RMK AO2 SLP115 T02110194 $
AUS,2023-05-31 05:53,10.00,M,KAUS 310553Z 23003KT 10SM CLR 20/19 A2989 RMK AO2 SLP114 T02000189 10300 20200 403170172 50004 $
AUS,2023-05-31 06:53,10.00,M,KAUS 310653Z 00000KT 10SM CLR 19/19 A2987 RMK AO2 SLP108 T01940189 $
AUS,2023-05-31 07:53,10.00,M,KAUS 310753Z 00000KT 10SM CLR 19/19 A2988 RMK AO2 SLP108 T01940189 $
AUS,2023-05-31 08:53,10.00,M,KAUS 310853Z 00000KT 10SM CLR 19/18 A2988 RMK AO2 SLP110 T01940183 55003 $
AUS,2023-05-31 09:53,10.00,M,KAUS 310953Z 00000KT 10SM CLR 19/19 A2989 RMK AO2 SLP113 T01940189 $
AUS,2023-05-31 10:53,10.00,2100.00,KAUS 311053Z 00000KT 10SM BKN021 BKN030 20/19 A2991 RMK AO2 SLP119 T02000194 $
AUS,2023-05-31 11:53,7.00,2300.00,KAUS 311153Z COR 00000KT 7SM FEW023 FEW110 19/19 A2991 RMK AO2 SLP119 T01940189 10211 20183 50009 $
AUS,2023-05-31 12:53,7.00,2300.00,KAUS 311253Z 18004KT 7SM FEW023 FEW120 21/20 A2992 RMK AO2 SLP123 T02110200 $
AUS,2023-05-31 13:53,10.00,2500.00,KAUS 311353Z 14004KT 10SM FEW025 FEW120 23/21 A2993 RMK AO2 SLP126 T02330211 $
AUS,2023-05-31 14:53,10.00,2300.00,KAUS 311453Z 17005KT 10SM SCT023 25/20 A2995 RMK AO2 SLP132 T02500200 53012 $
AUS,2023-05-31 15:53,10.00,3000.00,KAUS 311553Z VRB05KT 10SM SCT030 27/19 A2994 RMK AO2 SLP127 T02720194 $
AUS,2023-05-31 16:53,10.00,3300.00,KAUS 311653Z COR 11008KT 10SM SCT033 29/19 A2994 RMK AO2 SLP128 T02890189 $
AUS,2023-05-31 17:53,10.00,4500.00,KAUS 311753Z 10009KT 10SM SCT045 BKN050 29/18 A2993 RMK AO2 SLP127 T02890183 10300 20189 56004 $
AUS,2023-05-31 18:53,10.00,4900.00,KAUS 311853Z 12010KT 10SM SCT049 BKN055 31/19 A2991 RMK AO2 SLP118 T03060189 $
AUS,2023-05-31 19:53,10.00,5000.00,KAUS 311953Z 12007G17KT 10SM SCT050 SCT065 31/18 A2990 RMK AO2 SLP113 T03110183 $
AUS,2023-05-31 20:53,10.00,5500.00,KAUS 312053Z 13010KT 10SM FEW055 SCT070 BKN090 31/19 A2988 RMK AO2 SLP108 T03110189 56018
AUS,2023-05-31 21:53,10.00,5500.00,KAUS 312153Z 16010KT 10SM SCT055 31/18 A2985 RMK AO2 SLP099 T03110183
AUS,2023-05-31 22:53,10.00,5500.00,KAUS 312253Z 14010KT 10SM SCT055 31/19 A2984 RMK AO2 SLP094 T03110189
AUS,2023-05-31 23:53,10.00,5500.00,KAUS 312353Z 13010KT 10SM SCT055 31/18 A2982 RMK AO2 SLP090 T03060183 10317 20289 56019
AUS,2023-06-01 00:53,10.00,5500.00,KAUS 010053Z 12007KT 10SM FEW055 29/19 A2983 RMK AO2 SLP091 T02890189
AUS,2023-06-01 01:53,10.00,5500.00,KAUS 010153Z 16009KT 10SM FEW055 FEW200 27/19 A2986 RMK AO2 SLP101 T02670194
AUS,2023-06-01 03:53,10.00,M,KAUS 010353Z 16006KT 10SM CLR 24/20 A2987 RMK AO2 SLP103 T02390200
AUS,2023-06-01 04:53,10.00,M,KAUS 010453Z 17007KT 10SM CLR 23/20 A2987 RMK AO2 SLP104 T02280200
AUS,2023-06-01 05:53,10.00,M,KAUS 010553Z 16005KT 10SM CLR 22/21 A2987 RMK AO2 SLP103 T02220206 10306 20222 403170183 50002
AUS,2023-06-01 06:53,10.00,M,KAUS 010653Z 16004KT 10SM CLR 21/20 A2986 RMK AO2 SLP102 T02060200
AUS,2023-06-01 07:53,10.00,M,KAUS 010753Z 14004KT 10SM CLR 22/21 A2986 RMK AO2 SLP101 T02170206
AUS,2023-06-01 08:53,10.00,1700.00,KAUS 010853Z 15003KT 10SM FEW017 20/19 A2986 RMK AO2 SLP100 T02000194 58003
AUS,2023-06-01 09:53,10.00,1300.00,KAUS 010953Z 00000KT 10SM SCT013 SCT019 19/19 A2986 RMK AO2 SLP101 T01940194
AUS,2023-06-01 10:53,9.00,2000.00,KAUS 011053Z 00000KT 9SM SCT020 19/19 A2985 RMK AO2 SLP100 T01940194
AUS,2023-06-01 11:53,8.00,2000.00,KAUS 011153Z 00000KT 8SM FEW020 19/19 A2988 RMK AO2 SLP108 T01940189 10228 20189 53006
AUS,2023-06-01 12:53,8.00,1800.00,KAUS 011253Z 00000KT 8SM FEW018 FEW110 22/21 A2990 RMK AO2 SLP114 T02170211
AUS,2023-06-01 13:53,10.00,800.00,KAUS 011353Z 14004KT 10SM FEW008 FEW018 FEW110 24/22 A2992 RMK AO2 SLP121 T02390217
AUS,2023-06-01 14:53,10.00,1600.00,KAUS 011453Z 15008KT 10SM SCT016 SCT022 26/22 A2992 RMK AO2 SLP123 T02610217 51016
AUS,2023-06-01 15:53,10.00,2500.00,KAUS 011553Z 17010G17KT 10SM SCT025 28/21 A2993 RMK AO2 SLP124 T02780206
AUS,2023-06-01 16:53,10.00,3900.00,KAUS 011653Z 14010KT 10SM SCT039 BKN055 29/20 A2992 RMK AO2 SLP121 T02890200
AUS,2023-06-01 17:53,10.00,4400.00,KAUS 011753Z 13008G18KT 10SM SCT044 BKN060 31/19 A2990 RMK AO2 SLP114 T03060194 10306 20194 58008
AUS,2023-06-01 18:53,10.00,5000.00,KAUS 011853Z 13011G19KT 10SM SCT050 BKN065 31/18 A2988 RMK AO2 SLP107 T03060183
AUS,2023-06-01 19:53,10.00,5500.00,KAUS 011953Z 16011G21KT 10SM SCT055 BKN065 31/17 A2986 RMK AO2 PK WND 13026/1927 SLP102 T03110172
AUS,2023-06-01 20:53,10.00,6000.00,KAUS 012053Z VRB06KT 10SM SCT060 BKN085 32/19 A2986 RMK AO2 SLP099 T03170189 56015
AUS,2023-06-01 21:53,10.00,5500.00,KAUS 012153Z 11011G17KT 10SM SCT055 BKN095 32/19 A2984 RMK AO2 SLP095 T03220194
AUS,2023-06-01 22:53,10.00,6000.00,KAUS 012253Z COR 13012KT 10SM SCT060 SCT080 BKN095 31/20 A2984 RMK AO2 SLP096 T03060200
AUS,2023-06-01 23:53,10.00,6000.00,KAUS 012353Z 12012KT 10SM FEW060 SCT080 SCT150 30/20 A2984 RMK AO2 SLP095 T03000200 10328 20300 56005
AUS,2023-06-02 00:53,10.00,5500.00,KAUS 020053Z 11009KT 10SM FEW055 SCT080 BKN150 28/21 A2985 RMK AO2 SLP099 T02830206
AUS,2023-06-02 01:53,10.00,5500.00,KAUS 020153Z 12008KT 10SM FEW055 SCT200 27/21 A2986 RMK AO2 SLP102 T02670206
AUS,2023-06-02 02:53,10.00,20000.00,KAUS 020253Z 15005KT 10SM FEW200 26/21 A2989 RMK AO2 SLP112 T02610206 53017
AUS,2023-06-02 03:53,10.00,20000.00,KAUS 020353Z 16005KT 10SM FEW200 24/21 A2991 RMK AO2 SLP120 T02390206
AUS,2023-06-02 04:53,10.00,20000.00,KAUS 020453Z 17004KT 10SM FEW200 22/20 A2993 RMK AO2 SLP126 T02220200
AUS,2023-06-02 05:53,10.00,M,KAUS 020553Z 16005KT 10SM CLR 23/21 A2993 RMK AO2 SLP123 T02280206 10300 20217 403280189 50012
AUS,2023-06-02 06:53,10.00,25000.00,KAUS 020653Z 16006KT 10SM FEW250 22/21 A2991 RMK AO2 SLP119 T02220206
AUS,2023-06-02 07:53,10.00,20000.00,KAUS 020753Z 21003KT 10SM FEW200 SCT250 21/21 A2991 RMK AO2 SLP118 T02110206
AUS,2023-06-02 08:53,9.00,25000.00,KAUS 020853Z 00000KT 9SM BKN250 19/19 A2989 RMK AO2 SLP112 T01940194 58012
AUS,2023-06-02 09:53,9.00,25000.00,KAUS 020953Z 00000KT 9SM FEW250 20/20 A2990 RMK AO2 SLP114 T02000200
