station,valid,metar
AVL,2023-05-31 00:54,KAVL 310054Z 00000KT 10SM FEW060 SCT075 OVC100 17/16 A3009 RMK AO2 SLP173 T01670156
AVL,2023-05-31 01:54,KAVL 310154Z 00000KT 10SM BKN060 BKN100 17/16 A3010 RMK AO2 SLP173 T01670156
AVL,2023-05-31 02:54,KAVL 310254Z AUTO 00000KT 10SM BKN100 16/15 A3011 RMK AO2 SLP179 T01610150 53009
AVL,2023-05-31 03:54,KAVL 310354Z AUTO 00000KT 10SM FEW011 BKN016 OVC022 16/16 A3013 RMK AO2 SLP183 T01610156
AVL,2023-05-31 04:54,KAVL 310454Z AUTO 00000KT 10SM FEW002 BKN027 OVC033 16/15 A3013 RMK AO2 SLP184 T01610150 402280139
AVL,2023-05-31 05:54,KAVL 310554Z AUTO 00000KT 10SM BKN017 OVC028 16/14 A3013 RMK AO2 SLP182 T01610144 10172 20161 50004
AVL,2023-05-31 06:54,KAVL 310654Z AUTO 19003KT 10SM BKN020 OVC025 16/14 A3013 RMK AO2 SLP183 T01610144
AVL,2023-05-31 07:54,KAVL 310754Z AUTO 16003KT 10SM BKN019 OVC060 16/14 A3014 RMK AO2 SLP184 T01560139
AVL,2023-05-31 08:54,KAVL 310854Z AUTO 16003KT 10SM OVC014 16/14 A3014 RMK AO2 SLP188 T01560139 53005
AVL,2023-05-31 09:54,KAVL 310954Z AUTO 00000KT 10SM OVC018 16/14 A3015 RMK AO2 SLP192 T01560139
AVL,2023-05-31 10:54,KAVL 311054Z 21003KT 10SM BKN010 OVC015 16/14 A3015 RMK AO2 SLP195 T01560144
AVL,2023-05-31 11:54,KAVL 311154Z 18003KT 10SM OVC016 16/14 A3017 RMK AO2 SLP199 70015 T01560144 10167 20156 53008
AVL,2023-05-31 12:54,KAVL 311254Z 00000KT 10SM FEW007 OVC014 17/14 A3018 RMK AO2 SLP202 T01670144
AVL,2023-05-31 13:54,KAVL 311354Z 15003KT 10SM BKN012 OVC020 17/14 A3018 RMK AO2 SLP205 T01670139
AVL,2023-05-31 14:54,KAVL 311454Z VRB04KT 10SM OVC022 17/14 A3018 RMK AO2 SLP204 T01720144 50005
AVL,2023-05-31 15:54,KAVL 311554Z 17005KT 10SM FEW017 OVC029 19/14 A3018 RMK AO2 SLP202 T01890144
AVL,2023-05-31 16:54,KAVL 311654Z 22006KT 10SM FEW021 BKN028 20/15 A3016 RMK AO2 SLP195 T02000150
AVL,2023-05-31 17:54,KAVL 311754Z 13006KT 10SM BKN024 BKN031 21/15 A3015 RMK AO2 SLP190 T02060150 10217 20156 56011
AVL,2023-05-31 18:54,KAVL 311854Z VRB04KT 10SM BKN055 22/15 A3014 RMK AO2 SLP184 T02170150
AVL,2023-05-31 19:54,KAVL 311954Z AUTO 14007KT 10SM SCT033 BKN045 22/14 A3012 RMK AO2 SLP178 T02220144
AVL,2023-05-31 20:54,KAVL 312054Z 13006KT 10SM SCT033 BKN047 BKN055 22/14 A3011 RMK AO2 SLP176 T02220144 56012
AVL,2023-05-31 21:54,KAVL 312154Z 13008KT 10SM BKN030 BKN036 OVC055 22/15 A3012 RMK AO2 SLP178 T02220150
