station,valid,metar
BNA,2023-05-31 00:53,KBNA 310053Z 10004KT 10SM FEW050 FEW250 26/14 A2995 RMK AO2 SLP135 T02610144
BNA,2023-05-31 01:53,KBNA 310153Z 09004KT 10SM FEW046 FEW250 26/15 A2996 RMK AO2 SLP138 T02560150
BNA,2023-05-31 02:53,KBNA 310253Z 00000KT 10SM CLR 23/16 A2998 RMK AO2 SLP144 T02280156 53009
BNA,2023-05-31 03:53,KBNA 310353Z 00000KT 10SM FEW070 21/16 A2999 RMK AO2 SLP148 T02110156
BNA,2023-05-31 04:53,KBNA 310453Z 18003KT 10SM SCT060 22/16 A3000 RMK AO2 SLP151 T02170161
BNA,2023-05-31 05:53,KBNA 310553Z 00000KT 10SM FEW070 BKN100 21/16 A2999 RMK AO2 SLP148 T02060161 10278 20206 403000150 50004
BNA,2023-05-31 06:53,KBNA 310653Z 07005KT 10SM SCT060 BKN100 23/17 A2999 RMK AO2 SLP149 T02280172
BNA,2023-05-31 07:53,KBNA 310753Z 08005KT 10SM FEW070 OVC100 22/19 A2998 RMK AO2 RAB08E34 SLP147 P0001 T02220189
BNA,2023-05-31 08:53,KBNA 310853Z 15005KT 10SM FEW050 SCT090 BKN110 21/18 A2999 RMK AO2 SLP149 60001 T02060183 53001
BNA,2023-05-31 09:53,KBNA 310953Z 20003KT 10SM FEW075 SCT120 20/17 A3000 RMK AO2 SLP153 T02000172
BNA,2023-05-31 10:53,KBNA 311053Z 15003KT 10SM FEW040 BKN095 BKN120 21/17 A3002 RMK AO2 SLP160 T02060167
BNA,2023-05-31 11:53,KBNA 311153Z 16004KT 10SM FEW045 BKN110 BKN250 22/17 A3004 RMK AO2 SLP166 60001 70001 T02170167 10228 20200 53016
BNA,2023-05-31 12:53,KBNA 311253Z 17007KT 10SM SCT080 BKN110 BKN250 23/17 A3006 RMK AO2 SLP171 T02330167
BNA,2023-05-31 13:53,KBNA 311353Z 17007KT 10SM SCT090 BKN120 BKN250 24/17 A3008 RMK AO2 SLP178 T02440167
BNA,2023-05-31 14:53,KBNA 311453Z 18007KT 10SM FEW045 SCT085 SCT110 SCT250 27/17 A3007 RMK AO2 SLP174 T02670172 50008
BNA,2023-05-31 15:53,KBNA 311553Z 16007KT 10SM FEW043 SCT080 SCT110 SCT250 28/17 A3006 RMK AO2 SLP174 T02780172
BNA,2023-05-31 16:53,KBNA 311653Z 20004KT 10SM SCT045TCU SCT085 29/15 A3005 RMK AO2 SLP169 TCU W T02890150
BNA,2023-05-31 17:53,KBNA 311753Z 18006KT 10SM SCT050TCU BKN080 29/16 A3003 RMK AO2 SLP163 TCU ALQDS T02890161 10294 20217 58012
BNA,2023-05-31 18:53,KBNA 311853Z 11003KT 10SM SCT055TCU BKN085 BKN110 29/16 A3002 RMK AO2 SLP157 TCU ALQDS T02890156
BNA,2023-05-31 19:53,KBNA 311953Z 06006KT 10SM SCT060TCU SCT085 BKN130 31/16 A3001 RMK AO2 SLP154 TCU ALQDS T03060161
BNA,2023-05-31 20:53,KBNA 312053Z 14007KT 10SM SCT060TCU BKN120 30/16 A2999 RMK AO2 SLP149 TCU ALQDS T03000156 58013
BNA,2023-05-31 21:53,KBNA 312153Z 15004KT 10SM FEW055 BKN080 BKN120 29/15 A2999 RMK AO2 SLP148 TCU DSNT NW-E T02890150
BNA,2023-05-31 22:53,KBNA 312253Z 16005KT 10SM FEW055TCU BKN100 BKN250 28/17 A2999 RMK AO2 SLP148 TCU OHD AND NE T02780172
BNA,2023-05-31 23:53,KBNA 312353Z 21003KT 10SM FEW065 BKN090 BKN250 26/17 A2999 RMK AO2 SLP149 TCU DSNT N AND E T02610167 10311 20261 55000
BNA,2023-06-01 00:53,KBNA 010053Z 10006KT 10SM SCT070 BKN150 BKN250 25/16 A3000 RMK AO2 LTG DSNT N SLP152 TCU DSNT N T02500161
BNA,2023-06-01 01:53,KBNA 010153Z 00000KT 10SM BKN110 24/17 A3001 RMK AO2 SLP154 T02390167
BNA,2023-06-01 02:53,KBNA 010253Z 08003KT 10SM SCT120 23/17 A3003 RMK AO2 SLP161 T02330172 53012
BNA,2023-06-01 03:53,KBNA 010353Z 04004KT 10SM SCT130 23/17 A3003 RMK AO2 SLP163 T02280172
BNA,2023-06-01 04:53,KBNA 010453Z 07003KT 10SM FEW130 23/18 A3003 RMK AO2 SLP162 T02280178
BNA,2023-06-01 05:53,KBNA 010553Z 00000KT 10SM FEW130 22/18 A3003 RMK AO2 SLP161 T02170178 10261 20211 403110200 50000
BNA,2023-06-01 06:53,KBNA 010653Z 00000KT 10SM FEW120 21/18 A3002 RMK AO2 SLP159 T02060178
