station,valid,vsby,skyl1,metar
BOS,2023-05-31 00:54,10.00,30000.00,KBOS 310054Z 15010KT 10SM SCT300 15/10 A3020 RMK AO2 SLP227 T01500100
BOS,2023-05-31 01:54,10.00,30000.00,KBOS 310154Z 18010KT 10SM FEW300 14/07 A3021 RMK AO2 SLP231 T01440072
BOS,2023-05-31 02:54,10.00,30000.00,KBOS 310254Z 20006KT 10SM FEW300 13/07 A3022 RMK AO2 SLP232 T01280072 51007
BOS,2023-05-31 03:54,10.00,M,KBOS 310354Z 20010KT 10SM CLR 12/08 A3022 RMK AO2 SLP233 T01170083
BOS,2023-05-31 04:54,10.00,M,KBOS 310454Z 20007KT 10SM CLR 11/08 A3022 RMK AO2 SLP232 T01110083 401670089
BOS,2023-05-31 05:54,10.00,2000.00,KBOS 310554Z 23006KT 10SM FEW020 11/09 A3021 RMK AO2 SLP229 T01060089 10156 20106 58003
BOS,2023-05-31 06:54,10.00,1200.00,KBOS 310654Z 23005KT 10SM FEW012 11/08 A3021 RMK AO2 SLP229 T01060083
BOS,2023-05-31 07:54,10.00,M,KBOS 310754Z 22006KT 10SM CLR 11/08 A3021 RMK AO2 SLP229 T01060083
BOS,2023-05-31 08:54,10.00,M,KBOS 310854Z 20007KT 10SM CLR 09/08 A3021 RMK AO2 SLP229 T00940078 57001
BOS,2023-05-31 09:54,10.00,1500.00,KBOS 310954Z 20006KT 10SM FEW015 FEW250 10/08 A3022 RMK AO2 SLP233 T01000083
BOS,2023-05-31 10:54,10.00,1200.00,KBOS 311054Z 20005KT 10SM FEW012 FEW250 11/09 A3022 RMK AO2 SLP233 T01060089
BOS,2023-05-31 11:54,10.00,1200.00,KBOS 311154Z 18007KT 10SM FEW012 FEW250 12/09 A3023 RMK AO2 SLP236 T01220094 10122 20094 51008
BOS,2023-05-31 12:54,10.00,1500.00,KBOS 311254Z 18007KT 10SM FEW015 FEW250 14/10 A3024 RMK AO2 SLP238 T01440100
BOS,2023-05-31 13:54,10.00,25000.00,KBOS 311354Z 14007KT 10SM FEW250 16/10 A3023 RMK AO2 SLP236 T01610100
BOS,2023-05-31 14:54,10.00,25000.00,KBOS 311454Z 13008KT 10SM FEW250 18/09 A3023 RMK AO2 SLP235 T01780094 58001
BOS,2023-05-31 15:54,10.00,25000.00,KBOS 311554Z 11007KT 10SM FEW250 20/10 A3021 RMK AO2 SLP228 T02000100
BOS,2023-05-31 16:54,10.00,25000.00,KBOS 311654Z 11008KT 10SM FEW250 21/12 A3019 RMK AO2 SLP224 T02060117
BOS,2023-05-31 17:54,10.00,7000.00,KBOS 311754Z 07008KT 060V120 10SM FEW070 FEW250 21/12 A3017 RMK AO2 SLP216 T02110122 10211 20122 58018
BOS,2023-05-31 18:54,10.00,7000.00,KBOS 311854Z 11010KT 10SM FEW070 FEW250 21/12 A3016 RMK AO2 SLP211 T02110122
BOS,2023-05-31 19:54,10.00,7000.00,KBOS 311954Z 10012KT 10SM FEW070 FEW250 22/12 A3014 RMK AO2 SLP205 T02170122
BOS,2023-05-31 20:54,10.00,7000.00,KBOS 312054Z 10006KT 10SM FEW070 FEW250 22/12 A3013 RMK AO2 SLP203 T02220122 56014
BOS,2023-05-31 21:54,10.00,6500.00,KBOS 312154Z 11005KT 10SM FEW065 FEW250 22/12 A3012 RMK AO2 SLP197 T02220122
