station,valid,vsby,skyl1,metar
BUR,2023-05-31 00:53,10.00,3800.00,KBUR 310053Z 19006KT 10SM SCT038 OVC050 19/09 A2992 RMK AO2 SLP123 T01890094
BUR,2023-05-31 01:53,10.00,4100.00,KBUR 310153Z 19008KT 10SM FEW041 BKN050 BKN100 17/09 A2993 RMK AO2 SLP126 T01670089
BUR,2023-05-31 02:53,10.00,4000.00,KBUR 310253Z 18006KT 10SM OVC040 16/09 A2993 RMK AO2 SLP127 T01610089 53002
BUR,2023-05-31 03:53,10.00,3500.00,KBUR 310353Z 15005KT 10SM BKN035 OVC047 16/09 A2994 RMK AO2 SLP130 T01560089
BUR,2023-05-31 04:53,10.00,3500.00,KBUR 310453Z 16006KT 10SM OVC035 15/10 A2995 RMK AO2 SLP133 T01500100
BUR,2023-05-31 05:53,10.00,2800.00,KBUR 310553Z 18005KT 10SM BKN028 OVC035 15/10 A2995 RMK AO2 SLP134 T01500100 10189 20150 51006
BUR,2023-05-31 06:53,10.00,3400.00,KBUR 310653Z 15005KT 10SM OVC034 14/10 A2994 RMK AO2 SLP130 T01440100
BUR,2023-05-31 07:53,10.00,2400.00,KBUR 310753Z 17004KT 10SM FEW024 OVC036 14/11 A2993 RMK AO2 SLP125 T01440106 401940144
BUR,2023-05-31 08:53,10.00,2000.00,KBUR 310853Z 00000KT 10SM FEW020 OVC036 14/11 A2992 RMK AO2 SLP123 T01440106 56011
BUR,2023-05-31 09:53,10.00,3600.00,KBUR 310953Z AUTO 23004KT 10SM OVC036 14/09 A2991 RMK AO2 SLP120 T01440094
BUR,2023-05-31 10:53,10.00,3500.00,KBUR 311053Z AUTO 00000KT 10SM OVC035 14/09 A2990 RMK AO2 SLP116 T01440089
BUR,2023-05-31 11:53,10.00,3600.00,KBUR 311153Z AUTO 23004KT 10SM OVC036 14/09 A2989 RMK AO2 SLP113 T01440094 10150 20144 58010
BUR,2023-05-31 12:53,10.00,3000.00,KBUR 311253Z 00000KT 10SM BKN030 OVC036 14/09 A2989 RMK AO2 SLP113 T01390094
BUR,2023-05-31 13:53,10.00,4000.00,KBUR 311353Z 00000KT 10SM OVC040 14/10 A2990 RMK AO2 SLP115 T01440100
BUR,2023-05-31 14:53,10.00,3400.00,KBUR 311453Z 00000KT 10SM FEW034 OVC046 15/10 A2991 RMK AO2 SLP118 T01500100 53005
BUR,2023-05-31 15:53,10.00,4700.00,KBUR 311553Z 21003KT 10SM OVC047 16/09 A2991 RMK AO2 SLP119 T01610094
BUR,2023-05-31 16:53,10.00,2700.00,KBUR 311653Z 15005KT 10SM OVC027 17/09 A2991 RMK AO2 SLP117 T01720094
BUR,2023-05-31 17:53,10.00,3100.00,KBUR 311753Z 19008KT 10SM OVC031 18/10 A2991 RMK AO2 SLP118 T01780100 10178 20139 51001
BUR,2023-05-31 18:53,10.00,3100.00,KBUR 311853Z 19006KT 10SM OVC031 17/09 A2992 RMK AO2 SLP121 T01720094
BUR,2023-05-31 19:53,10.00,3100.00,KBUR 311953Z 15008KT 10SM OVC031 18/10 A2992 RMK AO2 SLP121 T01780100
BUR,2023-05-31 20:53,10.00,3100.00,KBUR 312053Z 15011KT 10SM OVC031 17/10 A2991 RMK AO2 SLP120 T01720100 50002
BUR,2023-05-31 21:53,10.00,3100.00,KBUR 312153Z 15011KT 10SM OVC031 17/10 A2991 RMK AO2 SLP120 T01720100
BUR,2023-05-31 22:53,10.00,3100.00,KBUR 312253Z 15009KT 10SM OVC031 17/10 A2991 RMK AO2 SLP118 T01670100
BUR,2023-05-31 23:53,10.00,3100.00,KBUR 312353Z 17008KT 10SM OVC031 16/10 A2990 RMK AO2 SLP115 T01610100 10178 20161 58005
BUR,2023-06-01 00:53,10.00,3000.00,KBUR 010053Z 18006KT 10SM OVC030 16/10 A2990 RMK AO2 SLP116 T01560100
