station,valid,metar
BWI,2023-05-31 00:54,KBWI 310054Z 13005KT 10SM BKN250 21/12 A3012 RMK AO2 SLP200 T02060117
BWI,2023-05-31 01:54,KBWI 310154Z 12006KT 10SM BKN250 19/12 A3014 RMK AO2 SLP206 T01940117
BWI,2023-05-31 02:54,KBWI 310254Z 11007KT 10SM BKN250 18/12 A3017 RMK AO2 SLP215 T01780117 53017
BWI,2023-05-31 03:54,KBWI 310354Z 10006KT 10SM SCT250 16/10 A3018 RMK AO2 SLP218 T01610100
BWI,2023-05-31 04:54,KBWI 310454Z 00000KT 10SM SCT250 15/10 A3018 RMK AO2 SLP219 T01500100 402500150
BWI,2023-05-31 05:54,KBWI 310554Z VRB03KT 10SM FEW250 13/09 A3017 RMK AO2 SLP216 T01330094 10228 20133 50002
BWI,2023-05-31 06:54,KBWI 310654Z 00000KT 10SM FEW250 13/09 A3016 RMK AO2 SLP213 T01280089
BWI,2023-05-31 07:54,KBWI 310754Z 28003KT 10SM CLR 10/08 A3015 RMK AO2 SLP210 T01000078
BWI,2023-05-31 08:54,KBWI 310854Z 00000KT 10SM CLR 11/08 A3016 RMK AO2 SLP213 T01060083 55004
BWI,2023-05-31 09:54,KBWI 310954Z 01003KT 9SM FEW250 12/08 A3018 RMK AO2 SLP221 T01170078
BWI,2023-05-31 10:54,KBWI 311054Z 35003KT 10SM FEW020 FEW250 13/08 A3021 RMK AO2 SLP228 T01280078
BWI,2023-05-31 11:54,KBWI 311154Z 04006KT 10SM FEW020 FEW250 16/07 A3021 RMK AO2 SLP229 T01560072 10156 20078 51016
BWI,2023-05-31 12:54,KBWI 311254Z 06007KT 10SM FEW250 17/08 A3021 RMK AO2 SLP228 T01720078
BWI,2023-05-31 13:54,KBWI 311354Z 06007KT 10SM CLR 19/07 A3020 RMK AO2 SLP224 T01940072
BWI,2023-05-31 14:54,KBWI 311454Z 06005KT 10SM CLR 21/07 A3019 RMK AO2 SLP224 T02060067 56005
BWI,2023-05-31 15:54,KBWI 311554Z 07006KT 10SM CLR 23/02 A3018 RMK AO2 SLP221 T02280022
BWI,2023-05-31 16:54,KBWI 311654Z 07010G16KT 020V140 10SM CLR 25/03 A3018 RMK AO2 SLP219 T02500028
BWI,2023-05-31 17:54,KBWI 311754Z 10009G16KT 10SM CLR 25/01 A3017 RMK AO2 SLP214 T02500006 10261 20156 58010
BWI,2023-05-31 18:54,KBWI 311854Z 12010G17KT 10SM CLR 26/02 A3015 RMK AO2 SLP209 T02560017
BWI,2023-05-31 19:54,KBWI 311954Z 11009G17KT 7SM CLR 26/06 A3013 RMK AO2 SLP202 T02560056
BWI,2023-05-31 20:54,KBWI 312054Z COR 07008KT 7SM CLR 26/08 A3012 RMK AO2 SLP199 T02560083 56016
BWI,2023-05-31 21:54,KBWI 312154Z 10008KT 7SM CLR 26/09 A3011 RMK AO2 SLP194 T02560094
BWI,2023-05-31 22:54,KBWI 312254Z 07004KT 10SM CLR 25/09 A3011 RMK AO2 SLP194 T02500094
BWI,2023-05-31 23:54,KBWI 312354Z 10006KT 10SM CLR 23/10 A3011 RMK AO2 SLP195 T02330100 10267 20233 55004
BWI,2023-06-01 00:54,KBWI 010054Z 08004KT 10SM CLR 23/09 A3010 RMK AO2 SLP193 T02280094
BWI,2023-06-01 01:54,KBWI 010154Z 00000KT 10SM CLR 18/11 A3012 RMK AO2 SLP198 T01780106
BWI,2023-06-01 03:54,KBWI 010354Z 00000KT 8SM CLR 16/11 A3012 RMK AO2 SLP199 T01610106
BWI,2023-06-01 04:54,KBWI 010454Z 31003KT 9SM CLR 15/11 A3012 RMK AO2 SLP199 T01500111 402670078
BWI,2023-06-01 05:54,KBWI 010554Z 00000KT 8SM CLR 14/11 A3011 RMK AO2 SLP196 T01390111 10233 20139 58001
BWI,2023-06-01 06:54,KBWI 010654Z 00000KT 8SM CLR 14/11 A3010 RMK AO2 SLP193 T01390111
BWI,2023-06-01 07:54,KBWI 010754Z 00000KT 9SM CLR 13/11 A3010 RMK AO2 SLP191 T01330111
BWI,2023-06-01 08:54,KBWI 010854Z 00000KT 8SM CLR 13/12 A3011 RMK AO2 SLP194 T01330117 55002
BWI,2023-06-01 09:54,KBWI 010954Z 00000KT 7SM CLR 13/11 A3012 RMK AO2 SLP199 T01280111
BWI,2023-06-01 10:54,KBWI 011054Z 32004KT 8SM CLR 16/13 A3012 RMK AO2 SLP199 T01560133
BWI,2023-06-01 11:54,KBWI 011154Z VRB03KT 7SM CLR 19/14 A3013 RMK AO2 SLP202 T01890139 10189 20122 51008
BWI,2023-06-01 12:54,KBWI 011254Z VRB04KT 8SM FEW040 22/14 A3014 RMK AO2 SLP204 T02170144
BWI,2023-06-01 13:54,KBWI 011354Z 05006KT 10SM FEW040 FEW180 23/12 A3013 RMK AO2 SLP200 T02330122
BWI,2023-06-01 14:54,KBWI 011454Z 35005KT 10SM FEW042 SCT250 25/13 A3012 RMK AO2 SLP198 T02500133 58004
BWI,2023-06-01 15:54,KBWI 011554Z 07006KT 7SM FEW043 BKN250 26/14 A3010 RMK AO2 SLP192 T02560144
BWI,2023-06-01 16:54,KBWI 011654Z VRB03KT 7SM BKN250 26/15 A3009 RMK AO2 SLP187 T02610150
BWI,2023-06-01 17:54,KBWI 011754Z 00000KT 7SM BKN250 28/14 A3006 RMK AO2 SLP179 T02830144 10283 20189 58019
BWI,2023-06-01 18:54,KBWI 011854Z VRB05KT 7SM SCT250 29/13 A3005 RMK AO2 SLP173 T02940128
BWI,2023-06-01 19:54,KBWI 011954Z VRB03KT 6SM HZ SCT250 29/12 A3003 RMK AO2 SLP166 T02940117
BWI,2023-06-01 20:54,KBWI 012054Z 12006G15KT 7SM SCT250 29/10 A3001 RMK AO2 SLP162 T02940100 56017
BWI,2023-06-01 21:54,KBWI 012154Z 10007KT 070V130 7SM SCT250 29/11 A3001 RMK AO2 SLP159 T02890111
