station,valid,metar
BZN,2023-05-31 00:56,KBZN 310056Z 14012KT 10SM SCT110 20/08 A2987 RMK AO2 SLP088 T02000078
BZN,2023-05-31 01:56,KBZN 310156Z 11003KT 10SM CLR 19/10 A2987 RMK AO2 SLP085 T01940100
BZN,2023-05-31 02:56,KBZN 310256Z 19008KT 10SM CLR 17/08 A2988 RMK AO2 SLP088 T01720078 55004
BZN,2023-05-31 03:56,KBZN 310356Z 20009KT 10SM CLR 16/08 A2989 RMK AO2 SLP091 T01610078
BZN,2023-05-31 04:56,KBZN 310456Z 11005KT 10SM CLR 12/08 A2991 RMK AO2 SLP100 T01220083
BZN,2023-05-31 05:56,KBZN 310556Z AUTO 10006KT 10SM CLR 11/08 A2990 RMK AO2 SLP098 T01060078 10217 20106 50007
BZN,2023-05-31 06:56,KBZN 310656Z AUTO 15006KT 10SM CLR 10/07 A2990 RMK AO2 SLP094 T01000072 402440094
BZN,2023-05-31 07:56,KBZN 310756Z AUTO 18005KT 10SM CLR 11/07 A2990 RMK AO2 SLP091 T01110067
BZN,2023-05-31 08:56,KBZN 310856Z AUTO 15004KT 10SM CLR 09/07 A2989 RMK AO2 SLP094 T00890067 56003
BZN,2023-05-31 09:56,KBZN 310956Z AUTO 16006KT 10SM CLR 08/06 A2990 RMK AO2 SLP109 T00780061
BZN,2023-05-31 10:56,KBZN 311056Z AUTO 00000KT 10SM CLR 08/06 A2991 RMK AO2 SLP109 T00780061
BZN,2023-05-31 11:56,KBZN 311156Z 00000KT 10SM CLR 06/06 A2991 RMK AO2 SLP108 70003 T00610056 10117 20061 51004
BZN,2023-05-31 12:56,KBZN 311256Z 13004KT 10SM CLR 09/07 A2991 RMK AO2 SLP105 T00940072
BZN,2023-05-31 13:56,KBZN 311356Z 10SM CLR 11/08 A2992 RMK AO2 SLP106 T01110083
BZN,2023-05-31 14:56,KBZN 311456Z 00000KT 10SM CLR 14/09 A2991 RMK AO2 SLP101 T01440089 50001
BZN,2023-05-31 15:56,KBZN 311556Z 00000KT 10SM CLR 18/08 A2989 RMK AO2 SLP091 T01780083
BZN,2023-05-31 16:56,KBZN 311656Z 00000KT 10SM CLR 19/08 A2987 RMK AO2 SLP088 T01940083
BZN,2023-05-31 17:56,KBZN 311756Z 00000KT 10SM CLR 21/08 A2986 RMK AO2 SLP081 T02110083 10211 20067 56017
BZN,2023-05-31 18:56,KBZN 311856Z 00000KT 10SM CLR 22/08 A2984 RMK AO2 LTG DSNT SW SLP075 T02220078
BZN,2023-05-31 19:56,KBZN 311956Z 20006KT 10SM CLR 22/07 A2983 RMK AO2 LTG DSNT S AND W SLP069 T02220067
BZN,2023-05-31 20:56,KBZN 312056Z 17010KT 10SM FEW110 22/08 A2982 RMK AO2 LTG DSNT E AND SE AND NW SLP070 T02170083 56011
BZN,2023-05-31 21:56,KBZN 312156Z 16006KT 10SM CLR 22/06 A2980 RMK AO2 LTG DSNT E SLP065 T02170061
BZN,2023-05-31 22:56,KBZN 312256Z 35006KT 10SM CLR 23/07 A2979 RMK AO2 LTG DSNT NE AND S AND SW SLP061 T02280072
