station,valid,metar
CHS,2023-05-31 00:56,KCHS 310056Z 14005KT 10SM FEW075 SCT200 22/16 A2997 RMK AO2 SLP148 T02220161
CHS,2023-05-31 01:56,KCHS 310156Z 09004KT 10SM FEW060 FEW120 23/18 A2998 RMK AO2 SLP152 T02280178
CHS,2023-05-31 02:56,KCHS 310256Z 07003KT 10SM FEW060 FEW120 21/18 A3000 RMK AO2 SLP157 T02060178 53013
CHS,2023-05-31 03:56,KCHS 310356Z 01003KT 10SM FEW060 FEW120 19/17 A3001 RMK AO2 SLP161 T01940172
CHS,2023-05-31 04:56,KCHS 310456Z 05005KT 10SM FEW070 FEW080 FEW120 20/18 A3001 RMK AO2 SLP163 T02000183 403060161
CHS,2023-05-31 05:56,KCHS 310556Z 05005KT 10SM FEW060 FEW120 19/18 A3000 RMK AO2 SLP157 T01940178 10233 20189 58000
CHS,2023-05-31 06:56,KCHS 310656Z 03007KT 10SM SCT120 19/18 A3000 RMK AO2 SLP157 T01940178
CHS,2023-05-31 07:56,KCHS 310756Z 03007KT 10SM FEW040 SCT120 20/18 A3000 RMK AO2 SLP157 T02000183
CHS,2023-05-31 08:56,KCHS 310856Z 03005KT 10SM FEW040 SCT120 20/18 A3002 RMK AO2 SLP164 T02000183 53006
CHS,2023-05-31 09:56,KCHS 310956Z 03006KT 10SM SCT011 BKN120 20/18 A3002 RMK AO2 SLP166 T02000183
CHS,2023-05-31 10:56,KCHS 311056Z 03007KT 10SM SCT007 BKN015 21/18 A3005 RMK AO2 SLP174 T02060183
CHS,2023-05-31 11:56,KCHS 311156Z 04009KT 10SM SCT009 BKN022 BKN250 21/18 A3005 RMK AO2 SLP176 T02110183 10211 20194 51012
CHS,2023-05-31 12:56,KCHS 311256Z 04009KT 10SM SCT012 BKN025 BKN250 22/18 A3006 RMK AO2 SLP179 T02170183
CHS,2023-05-31 13:56,KCHS 311356Z 05011KT 10SM BKN015 23/18 A3006 RMK AO2 SLP179 T02330178
CHS,2023-05-31 14:56,KCHS 311456Z 04010KT 10SM SCT015 BKN250 23/18 A3007 RMK AO2 SLP182 SCT V BKN T02330178 53006
CHS,2023-05-31 15:56,KCHS 311556Z 03009KT 10SM SCT015 BKN250 25/18 A3007 RMK AO2 SLP180 T02500178
CHS,2023-05-31 16:56,KCHS 311656Z 35007KT 10SM SCT022 BKN030 25/18 A3007 RMK AO2 SLP180 T02500178
CHS,2023-05-31 17:56,KCHS 311756Z 03011G14KT 10SM SCT030 BKN040 BKN250 26/18 A3005 RMK AO2 SLP176 T02610178 10267 20211 58006
CHS,2023-05-31 18:56,KCHS 311856Z 35003KT 10SM SCT025 BKN035 BKN045 27/18 A3004 RMK AO2 SLP172 T02720183
CHS,2023-05-31 19:56,KCHS 311956Z 36005KT 10SM SCT030 BKN040 28/18 A3003 RMK AO2 SLP167 T02780183
CHS,2023-05-31 20:56,KCHS 312056Z 11011KT 10SM BKN035 BKN045 26/19 A3002 RMK AO2 SLP165 T02560189 56011
CHS,2023-05-31 21:56,KCHS 312156Z 14007KT 10SM BKN035 BKN045 BKN200 25/19 A3002 RMK AO2 SLP165 T02500189
CHS,2023-05-31 22:56,KCHS 312256Z 11010KT 10SM FEW025 FEW040 SCT200 24/18 A3002 RMK AO2 SLP165 T02440183
CHS,2023-05-31 23:56,KCHS 312356Z 12008KT 10SM FEW025 SCT040 BKN200 23/18 A3003 RMK AO2 SLP167 T02280183 10283 20228 53001
CHS,2023-06-01 00:56,KCHS 010056Z 12004KT 10SM SCT030 SCT045 BKN200 22/18 A3003 RMK AO2 SLP169 T02220178
CHS,2023-06-01 01:56,KCHS 010156Z 10003KT 10SM FEW200 22/17 A3004 RMK AO2 SLP171 T02170172
CHS,2023-06-01 03:56,KCHS 010356Z 36003KT 10SM FEW120 SCT200 19/17 A3003 RMK AO2 SLP170 T01940172
CHS,2023-06-01 04:56,KCHS 010456Z 00000KT 10SM FEW120 SCT200 19/17 A3003 RMK AO2 SLP167 T01890172 402830189
CHS,2023-06-01 05:56,KCHS 010556Z 03004KT 10SM SCT030 SCT040 19/17 A3001 RMK AO2 SLP161 T01940172 10228 20189 58011
CHS,2023-06-01 06:56,KCHS 010656Z 03003KT 10SM FEW030 FEW040 19/17 A2999 RMK AO2 SLP155 T01940172
CHS,2023-06-01 07:56,KCHS 010756Z 03003KT 10SM FEW030 SCT040 19/18 A2999 RMK AO2 SLP155 T01890178
CHS,2023-06-01 08:56,KCHS 010856Z 03005KT 10SM FEW030 FEW040 19/17 A3000 RMK AO2 SLP157 T01890172 55004
CHS,2023-06-01 09:56,KCHS 010956Z 02005KT 10SM FEW040 SCT140 19/17 A3000 RMK AO2 SLP157 T01890172
CHS,2023-06-01 10:56,KCHS 011056Z 03007KT 10SM FEW150 BKN250 19/17 A3001 RMK AO2 SLP163 T01940172
CHS,2023-06-01 11:56,KCHS 011156Z 02007KT 10SM FEW150 BKN250 20/17 A3002 RMK AO2 SLP164 T02000172 10206 20183 53007
CHS,2023-06-01 12:56,KCHS 011256Z 03008KT 10SM FEW150 SCT250 23/17 A3002 RMK AO2 SLP163 T02280167
CHS,2023-06-01 13:56,KCHS 011356Z 03008KT 10SM SCT180 BKN250 25/16 A3001 RMK AO2 SLP163 T02500156
CHS,2023-06-01 14:56,KCHS 011456Z 02008KT 10SM FEW180 BKN250 26/13 A3001 RMK AO2 SLP162 T02560133 58002
CHS,2023-06-01 15:56,KCHS 011556Z 04008KT 10SM BKN200 27/14 A3001 RMK AO2 SLP161 T02670144
CHS,2023-06-01 16:56,KCHS 011656Z 03008KT 10SM BKN200 27/14 A2999 RMK AO2 SLP156 T02720144
CHS,2023-06-01 17:56,KCHS 011756Z 05011KT 10SM FEW050 BKN200 27/13 A2998 RMK AO2 SLP152 T02720133 10278 20206 58010
CHS,2023-06-01 18:56,KCHS 011856Z 07008KT 10SM FEW045 BKN200 27/12 A2997 RMK AO2 SLP149 T02720122
CHS,2023-06-01 19:56,KCHS 011956Z 02006KT 10SM FEW050 BKN200 28/13 A2996 RMK AO2 SLP144 T02780128
CHS,2023-06-01 20:56,KCHS 012056Z 36008KT 10SM SCT050 SCT150 BKN200 28/15 A2994 RMK AO2 SLP138 T02780150 58014
CHS,2023-06-01 21:56,KCHS 012156Z 04010KT 10SM SCT055 SCT150 BKN200 28/16 A2993 RMK AO2 SLP136 T02780161
CHS,2023-06-01 22:56,KCHS 012256Z 04008KT 10SM SCT045 BKN060 BKN200 26/17 A2992 RMK AO2 SLP132 T02610172
CHS,2023-06-01 23:56,KCHS 012356Z 06005KT 10SM FEW040 SCT050 BKN200 25/18 A2993 RMK AO2 SLP133 T02500183 10283 20250 55005
CHS,2023-06-02 00:56,KCHS 020056Z 08004KT 10SM SCT050 BKN200 23/19 A2994 RMK AO2 SLP137 T02280189
CHS,2023-06-02 01:56,KCHS 020156Z 07004KT 10SM SCT050 BKN060 BKN200 23/19 A2995 RMK AO2 SLP142 T02330189
CHS,2023-06-02 02:56,KCHS 020256Z 04004KT 10SM SCT060 SCT200 22/19 A2995 RMK AO2 SLP142 T02220189 51009
CHS,2023-06-02 03:56,KCHS 020356Z 00000KT 10SM SCT060 SCT200 22/19 A2994 RMK AO2 SLP138 T02170189
CHS,2023-06-02 04:56,KCHS 020456Z 02004KT 10SM FEW045 FEW060 SCT200 21/18 A2992 RMK AO2 SLP132 T02060183 402830183
CHS,2023-06-02 05:56,KCHS 020556Z 02003KT 10SM FEW040 SCT200 20/18 A2991 RMK AO2 SLP127 T02000183 10250 20189 58015
CHS,2023-06-02 06:56,KCHS 020656Z 34005KT 10SM FEW040 FEW200 19/17 A2990 RMK AO2 SLP123 T01890172
CHS,2023-06-02 07:56,KCHS 020756Z 34006KT 10SM FEW020 19/17 A2989 RMK AO2 SLP120 T01890172
CHS,2023-06-02 08:56,KCHS 020856Z 35007KT 10SM SCT055 19/18 A2989 RMK AO2 SLP119 T01940178 56008
CHS,2023-06-02 09:56,KCHS 020956Z 36006KT 10SM FEW055 SCT200 19/18 A2989 RMK AO2 SLP119 T01940178
CHS,2023-06-02 10:56,KCHS 021056Z 01005KT 10SM FEW055 SCT250 20/18 A2989 RMK AO2 SLP121 T02000178
CHS,2023-06-02 11:56,KCHS 021156Z 03008KT 10SM SCT007 BKN250 21/19 A2990 RMK AO2 SLP124 T02110189 10211 20183 53005
CHS,2023-06-02 12:56,KCHS 021256Z 01008KT 10SM BKN010 22/19 A2991 RMK AO2 SLP127 T02220189
CHS,2023-06-02 13:56,KCHS 021356Z 04009KT 10SM BKN014 BKN025 23/18 A2990 RMK AO2 SLP123 T02280183
CHS,2023-06-02 14:56,KCHS 021456Z 01008KT 10SM SCT017 BKN025 23/18 A2989 RMK AO2 SLP122 T02330178 58002
CHS,2023-06-02 15:56,KCHS 021556Z 36009KT 10SM SCT025 BKN035 26/17 A2988 RMK AO2 SLP118 T02560172
CHS,2023-06-02 16:56,KCHS 021656Z 02008KT 10SM SCT035 BKN045 BKN250 27/17 A2987 RMK AO2 SLP114 T02670167
CHS,2023-06-02 17:56,KCHS 021756Z 36007G14KT 10SM SCT035 BKN060 28/17 A2985 RMK AO2 SLP108 T02780172 10278 20211 58014
CHS,2023-06-02 18:56,KCHS 021856Z 36006G14KT 10SM SCT040 SCT060 BKN250 28/17 A2983 RMK AO2 SLP101 T02830167
CHS,2023-06-02 19:56,KCHS 021956Z 35013KT 10SM SCT040 BKN055 BKN200 29/18 A2982 RMK AO2 SLP097 T02890183
CHS,2023-06-02 20:56,KCHS 022056Z 01009KT 10SM SCT036 BKN047 BKN200 27/17 A2982 RMK AO2 SLP097 T02720172 56011
CHS,2023-06-02 21:56,KCHS 022156Z 12006KT 10SM SCT035 BKN045 BKN070 26/19 A2982 RMK AO2 SLP096 T02610189
CHS,2023-06-02 22:56,KCHS 022256Z 05008KT 10SM SCT035 SCT045 BKN070 26/18 A2981 RMK AO2 SLP095 T02610178
CHS,2023-06-02 23:56,KCHS 022356Z 04007KT 10SM FEW045 SCT060 BKN200 25/18 A2982 RMK AO2 SLP096 T02500183 10294 20250 55000
CHS,2023-06-03 00:56,KCHS 030056Z 05006KT 10SM FEW060 BKN080 BKN200 24/18 A2982 RMK AO2 SLP098 T02440178
CHS,2023-06-03 01:56,KCHS 030156Z 04006KT 10SM FEW050 SCT080 SCT200 23/18 A2982 RMK AO2 SLP098 T02280178
