station,valid,metar
CVG,2023-05-31 00:52,KCVG 310052Z 13010KT 10SM FEW300 26/17 A2998 RMK AO2 SLP144 T02560167
CVG,2023-05-31 01:52,KCVG 310152Z 12005KT 10SM FEW300 24/16 A2999 RMK AO2 SLP147 T02390161
CVG,2023-05-31 02:52,KCVG 310252Z 13009KT 10SM FEW300 23/17 A3001 RMK AO2 SLP152 T02330167 53012
CVG,2023-05-31 03:52,KCVG 310352Z 11005KT 10SM CLR 22/16 A3002 RMK AO2 SLP157 T02220161
CVG,2023-05-31 04:52,KCVG 310452Z 13009KT 10SM CLR 22/17 A3003 RMK AO2 SLP157 T02220167 402890178
CVG,2023-05-31 05:52,KCVG 310552Z 12005KT 10SM CLR 21/17 A3003 RMK AO2 SLP158 T02110167 10267 20211 51006
CVG,2023-05-31 06:52,KCVG 310652Z 10005KT 10SM FEW300 20/17 A3002 RMK AO2 SLP157 T02000167
CVG,2023-05-31 07:52,KCVG 310752Z 13007KT 10SM FEW300 20/17 A3002 RMK AO2 SLP156 T02000172
CVG,2023-05-31 08:52,KCVG 310852Z 14005KT 10SM CLR 19/17 A3002 RMK AO2 SLP157 T01890167 55002
CVG,2023-05-31 09:52,KCVG 310952Z 15007KT 10SM CLR 19/17 A3003 RMK AO2 SLP161 T01890167
CVG,2023-05-31 10:52,KCVG 311052Z 14006KT 10SM CLR 18/17 A3005 RMK AO2 SLP166 T01830167
CVG,2023-05-31 11:52,KCVG 311152Z 14006KT 10SM CLR 20/17 A3006 RMK AO2 SLP171 T02000167 10211 20183 53014
CVG,2023-05-31 12:52,KCVG 311252Z 15007KT 10SM CLR 22/17 A3009 RMK AO2 SLP179 T02220167
CVG,2023-05-31 13:52,KCVG 311352Z 15007KT 10SM CLR 23/17 A3010 RMK AO2 SLP184 T02330167
CVG,2023-05-31 14:52,KCVG 311452Z 14008KT 10SM CLR 25/17 A3009 RMK AO2 SLP180 T02500167 50010
CVG,2023-05-31 15:52,KCVG 311552Z VRB05KT 10SM CLR 27/18 A3009 RMK AO2 SLP177 T02720178
CVG,2023-05-31 16:52,KCVG 311652Z COR 14009KT 10SM FEW043 28/17 A3008 RMK AO2 SLP173 T02830167
CVG,2023-05-31 17:52,KCVG 311752Z 11009KT 10SM SCT055 29/17 A3006 RMK AO2 SLP170 T02890167 10289 20200 58010
CVG,2023-05-31 18:52,KCVG 311852Z 10008KT 10SM SCT055 SCT070 29/16 A3005 RMK AO2 SLP165 MDT CU OHD AND N-NE T02940161
CVG,2023-05-31 19:52,KCVG 311952Z VRB05KT 10SM FEW060 FEW075 29/16 A3004 RMK AO2 SLP161 MDT CU W-N T02940161
CVG,2023-05-31 20:52,KCVG 312052Z 16006KT 10SM FEW060 FEW085 FEW300 29/16 A3002 RMK AO2 SLP155 MDT CU DSNT W-N T02940156 58014
CVG,2023-05-31 21:52,KCVG 312152Z 15009KT 10SM FEW065 FEW300 29/15 A3001 RMK AO2 SLP153 T02890150
CVG,2023-05-31 22:52,KCVG 312252Z 12009KT 10SM FEW065 FEW300 28/15 A3001 RMK AO2 SLP153 T02830150
CVG,2023-05-31 23:52,KCVG 312352Z 12010G17KT 10SM FEW300 27/16 A3001 RMK AO2 SLP154 T02720156 10300 20272 55002
CVG,2023-06-01 00:52,KCVG 010052Z 13011KT 10SM SCT300 26/16 A3002 RMK AO2 SLP155 T02610156
CVG,2023-06-01 01:52,KCVG 010152Z 13009KT 10SM FEW300 24/16 A3003 RMK AO2 SLP159 T02440156
CVG,2023-06-01 03:52,KCVG 010352Z 13007KT 10SM FEW300 23/16 A3006 RMK AO2 SLP169 T02280161
CVG,2023-06-01 04:52,KCVG 010452Z 13004KT 10SM CLR 21/16 A3006 RMK AO2 SLP169 T02110161 403000183
CVG,2023-06-01 05:52,KCVG 010552Z 13003KT 10SM FEW300 21/16 A3005 RMK AO2 SLP167 T02110161 10272 20206 50000
CVG,2023-06-01 07:52,KCVG 010752Z 01003KT 10SM FEW300 20/16 A3004 RMK AO2 SLP164 T02000161 $
CVG,2023-06-01 08:52,KCVG 010852Z 07005KT 10SM FEW300 20/17 A3005 RMK AO2 SLP165 T02000167 $
