station,valid,metar
DCA,2023-05-31 00:52,KDCA 310052Z 12005KT 10SM FEW055 BKN250 21/11 A3013 RMK AO2 SLP204 T02060106
DCA,2023-05-31 01:52,KDCA 310152Z 13007KT 10SM FEW060 BKN250 19/11 A3014 RMK AO2 SLP207 T01890111
DCA,2023-05-31 02:52,KDCA 310252Z 12004KT 10SM BKN250 18/12 A3017 RMK AO2 SLP215 T01830122 53014
DCA,2023-05-31 03:52,KDCA 310352Z 11004KT 10SM BKN250 17/12 A3018 RMK AO2 SLP219 T01720117
DCA,2023-05-31 04:52,KDCA 310452Z 07003KT 10SM BKN250 16/11 A3018 RMK AO2 SLP220 T01610106 402440150
DCA,2023-05-31 05:52,KDCA 310552Z 06006KT 10SM SCT250 15/09 A3018 RMK AO2 SLP218 T01500089 10211 20150 50002
DCA,2023-05-31 06:52,KDCA 310652Z 04006KT 10SM SCT250 15/10 A3016 RMK AO2 SLP214 T01500100
DCA,2023-05-31 07:52,KDCA 310752Z 04006KT 10SM SCT250 14/10 A3016 RMK AO2 SLP212 T01390100
DCA,2023-05-31 08:52,KDCA 310852Z 06007KT 10SM SCT250 14/11 A3016 RMK AO2 SLP213 T01390106 55004
DCA,2023-05-31 09:52,KDCA 310952Z 02008KT 10SM FEW250 13/09 A3019 RMK AO2 SLP224 T01330089
DCA,2023-05-31 10:52,KDCA 311052Z 04008KT 10SM FEW250 14/09 A3021 RMK AO2 SLP230 T01390089
DCA,2023-05-31 11:52,KDCA 311152Z 05008KT 10SM FEW250 15/09 A3022 RMK AO2 SLP232 T01500094 10156 20133 51018
DCA,2023-05-31 12:52,KDCA 311252Z 05007KT 10SM FEW250 17/11 A3021 RMK AO2 SLP230 T01670106
DCA,2023-05-31 13:52,KDCA 311352Z 06006KT 10SM FEW250 18/11 A3020 RMK AO2 SLP227 T01830106
DCA,2023-05-31 14:52,KDCA 311452Z 07006KT 9SM CLR 20/09 A3020 RMK AO2 SLP227 T02000094 56005
DCA,2023-05-31 15:52,KDCA 311552Z 04007KT 9SM CLR 22/09 A3019 RMK AO2 SLP222 T02220089
DCA,2023-05-31 16:52,KDCA 311652Z 06008KT 9SM CLR 24/08 A3018 RMK AO2 SLP220 T02390083
DCA,2023-05-31 17:52,KDCA 311752Z VRB06KT 9SM FEW250 25/08 A3017 RMK AO2 SLP215 T02500083 10250 20150 58012
DCA,2023-05-31 18:52,KDCA 311852Z 04007KT 9SM FEW250 25/07 A3015 RMK AO2 SLP210 T02500067
DCA,2023-05-31 19:52,KDCA 311952Z 08007KT 7SM FEW250 26/06 A3013 RMK AO2 SLP203 T02560056
DCA,2023-05-31 20:52,KDCA 312052Z 12003KT 7SM CLR 25/07 A3013 RMK AO2 SLP201 T02500067 56014
DCA,2023-05-31 21:52,KDCA 312152Z 05007KT 10SM CLR 26/10 A3012 RMK AO2 SLP199 T02560100
DCA,2023-05-31 22:52,KDCA 312252Z 11005KT 10SM CLR 24/11 A3011 RMK AO2 SLP197 T02440111
DCA,2023-05-31 23:52,KDCA 312352Z 10007KT 10SM CLR 23/12 A3011 RMK AO2 SLP196 T02280117 10261 20228 56005
DCA,2023-06-01 00:52,KDCA 010052Z 13004KT 10SM CLR 21/12 A3011 RMK AO2 SLP197 T02110122
DCA,2023-06-01 01:52,KDCA 010152Z 13005KT 10SM CLR 20/13 A3013 RMK AO2 SLP201 T02000133
DCA,2023-06-01 03:52,KDCA 010352Z 00000KT 9SM FEW250 19/13 A3012 RMK AO2 SLP199 T01940128
DCA,2023-06-01 04:52,KDCA 010452Z 00000KT 10SM CLR 19/13 A3012 RMK AO2 SLP199 T01890133 402610133
DCA,2023-06-01 05:52,KDCA 010552Z 01004KT 10SM CLR 17/13 A3011 RMK AO2 SLP196 T01720133 10228 20172 58005
DCA,2023-06-01 06:52,KDCA 010652Z 36004KT 10SM CLR 16/13 A3010 RMK AO2 SLP192 T01610128
DCA,2023-06-01 07:52,KDCA 010752Z 00000KT 10SM FEW250 17/13 A3011 RMK AO2 SLP194 T01670128
DCA,2023-06-01 08:52,KDCA 010852Z 35003KT 10SM FEW250 16/13 A3012 RMK AO2 SLP198 T01610133 53002
DCA,2023-06-01 09:52,KDCA 010952Z 35005KT 8SM CLR 15/13 A3013 RMK AO2 SLP201 T01500128
DCA,2023-06-01 10:52,KDCA 011052Z 35005KT 8SM CLR 17/14 A3013 RMK AO2 SLP202 T01670139
DCA,2023-06-01 11:52,KDCA 011152Z 01006KT 9SM FEW010 19/15 A3014 RMK AO2 SLP205 T01940150 10194 20150 52006
DCA,2023-06-01 12:52,KDCA 011252Z 02010KT 9SM FEW120 21/16 A3015 RMK AO2 SLP207 T02110156
DCA,2023-06-01 13:52,KDCA 011352Z 04010KT 10SM FEW120 FEW200 23/14 A3014 RMK AO2 SLP205 T02330144
DCA,2023-06-01 14:52,KDCA 011452Z 06008KT 10SM FEW030 FEW120 24/14 A3013 RMK AO2 SLP202 T02440139 58003
DCA,2023-06-01 15:52,KDCA 011552Z 00000KT 10SM SCT030 25/14 A3012 RMK AO2 SLP198 T02500144
DCA,2023-06-01 16:52,KDCA 011652Z 00000KT 10SM FEW035 26/14 A3010 RMK AO2 SLP191 T02610139
DCA,2023-06-01 17:52,KDCA 011752Z VRB03KT 10SM FEW050 28/13 A3008 RMK AO2 SLP184 T02830128 10283 20194 58018
DCA,2023-06-01 18:52,KDCA 011852Z VRB04KT 9SM FEW050 29/14 A3005 RMK AO2 SLP177 T02890144
DCA,2023-06-01 19:52,KDCA 011952Z 04006KT 9SM FEW055 29/15 A3003 RMK AO2 SLP168 T02890150
DCA,2023-06-01 20:52,KDCA 012052Z VRB03KT 6SM HZ FEW060 29/16 A3002 RMK AO2 SLP165 T02890156 56019
DCA,2023-06-01 21:52,KDCA 012152Z 07007KT 5SM HZ FEW065 28/14 A3001 RMK AO2 SLP164 T02830144
DCA,2023-06-01 22:52,KDCA 012252Z 11009KT 10SM FEW070 27/09 A3001 RMK AO2 SLP163 T02720094
DCA,2023-06-01 23:52,KDCA 012352Z 14004KT 8SM FEW075 26/13 A3001 RMK AO2 SLP162 T02560133 10294 20256 56002
DCA,2023-06-02 00:52,KDCA 020052Z 18004KT 7SM FEW080 24/16 A3001 RMK AO2 SLP161 T02390161
DCA,2023-06-02 01:52,KDCA 020152Z 17004KT 7SM FEW085 23/18 A3002 RMK AO2 SLP165 T02280178
DCA,2023-06-02 02:52,KDCA 020252Z 20004KT 6SM HZ CLR 22/18 A3002 RMK AO2 SLP166 T02170178 53004
DCA,2023-06-02 03:52,KDCA 020352Z 00000KT 6SM HZ CLR 22/16 A3002 RMK AO2 SLP164 T02170161
DCA,2023-06-02 04:52,KDCA 020452Z 34005KT 7SM CLR 20/16 A3001 RMK AO2 SLP161 T02000156 402940150
DCA,2023-06-02 05:52,KDCA 020552Z 33005KT 8SM CLR 19/15 A3000 RMK AO2 SLP157 T01940150 10256 20194 58009
DCA,2023-06-02 06:52,KDCA 020652Z 34004KT 8SM CLR 19/14 A2998 RMK AO2 SLP151 T01890144
DCA,2023-06-02 07:52,KDCA 020752Z 01005KT 6SM HZ CLR 18/14 A2996 RMK AO2 SLP146 T01830144
DCA,2023-06-02 08:52,KDCA 020852Z 01005KT 7SM CLR 18/14 A2995 RMK AO2 SLP143 T01780144 56014
DCA,2023-06-02 09:52,KDCA 020952Z 04004KT 5SM HZ CLR 18/16 A2996 RMK AO2 SLP144 T01830156
DCA,2023-06-02 10:52,KDCA 021052Z 02004KT 5SM HZ CLR 19/16 A2997 RMK AO2 SLP149 T01890161
DCA,2023-06-02 11:52,KDCA 021152Z 03003KT 5SM HZ CLR 21/16 A2997 RMK AO2 SLP147 T02060156 10206 20178 50004
DCA,2023-06-02 12:52,KDCA 021252Z 00000KT 6SM HZ CLR 23/16 A2997 RMK AO2 SLP149 T02330156
DCA,2023-06-02 13:52,KDCA 021352Z 00000KT 6SM HZ CLR 26/16 A2997 RMK AO2 SLP148 T02560156
DCA,2023-06-02 14:52,KDCA 021452Z 09004KT 8SM CLR 27/16 A2996 RMK AO2 SLP145 T02720161 58002
DCA,2023-06-02 15:52,KDCA 021552Z 13003KT 10SM CLR 29/14 A2996 RMK AO2 SLP144 T02940144 $
DCA,2023-06-02 16:52,KDCA 021652Z 00000KT 10SM FEW040 32/13 A2993 RMK AO2 SLP136 T03170133
DCA,2023-06-02 17:52,KDCA 021752Z 00000KT 10SM FEW060 33/14 A2991 RMK AO2 SLP129 T03280139 10328 20211 58016 $
DCA,2023-06-02 18:52,KDCA 021852Z VRB04KT 10SM FEW085 33/13 A2988 RMK AO2 SLP119 T03330128 $
DCA,2023-06-02 19:52,KDCA 021952Z 06004KT 10SM SCT090 33/13 A2986 RMK AO2 SLP110 T03280128 $
DCA,2023-06-02 20:52,KDCA 022052Z 34005KT 10SM SCT100 34/13 A2984 RMK AO2 SLP104 T03390128 56025 $
DCA,2023-06-02 21:52,KDCA 022152Z VRB03KT 10SM FEW100 32/13 A2982 RMK AO2 SLP099 T03220133 $
DCA,2023-06-02 22:52,KDCA 022252Z 09005KT 10SM BKN110 32/15 A2982 RMK AO2 SLP099 T03170150 $
