station,valid,vsby,skyl1,metar
DEN,2023-05-31 00:53,10.00,11000.00,KDEN 310053Z 18007KT 10SM FEW110 SCT150 BKN220 19/07 A2992 RMK AO2 SLP071 VIRGA T01940067
DEN,2023-05-31 01:53,10.00,11000.00,KDEN 310153Z 22015KT 10SM FEW110 FEW150 BKN220 19/06 A2991 RMK AO2 SLP066 T01940061
DEN,2023-05-31 02:53,10.00,15000.00,KDEN 310253Z 20009KT 10SM FEW150 FEW250 17/06 A2991 RMK AO2 SLP064 T01720056 56005
DEN,2023-05-31 03:53,10.00,16000.00,KDEN 310353Z 18008KT 10SM FEW160 14/06 A2992 RMK AO2 SLP067 T01390061
DEN,2023-05-31 04:53,10.00,12000.00,KDEN 310453Z 22012KT 10SM FEW120 16/05 A2994 RMK AO2 SLP066 T01610050
DEN,2023-05-31 05:53,10.00,12000.00,KDEN 310553Z 07008KT 10SM FEW120 BKN160 16/06 A2999 RMK AO2 SLP082 T01560056 10217 20128 53022
DEN,2023-05-31 06:53,10.00,14000.00,KDEN 310653Z 10012KT 10SM BKN140 13/08 A3000 RMK AO2 SLP089 T01330078 402670111
DEN,2023-05-31 07:53,10.00,14000.00,KDEN 310753Z 16010KT 10SM BKN140 14/08 A3001 RMK AO2 SLP092 T01390078
DEN,2023-05-31 08:53,10.00,14000.00,KDEN 310853Z VRB03KT 10SM SCT140 13/08 A3001 RMK AO2 SLP101 T01280078 50006
DEN,2023-05-31 09:53,10.00,14000.00,KDEN 310953Z 21005KT 10SM SCT140 11/07 A3001 RMK AO2 SLP108 T01060072
DEN,2023-05-31 10:53,10.00,14000.00,KDEN 311053Z 20007KT 10SM FEW140 09/07 A3000 RMK AO2 SLP108 T00940067
DEN,2023-05-31 11:53,10.00,14000.00,KDEN 311153Z 20007KT 10SM FEW140 11/07 A2999 RMK AO2 SLP095 T01060067 10156 20094 58006
DEN,2023-05-31 12:53,10.00,8000.00,KDEN 311253Z 22005KT 10SM FEW080 FEW140 FEW220 14/08 A2998 RMK AO2 SLP093 T01390078
DEN,2023-05-31 13:53,10.00,14000.00,KDEN 311353Z 19005KT 10SM FEW140 FEW220 15/08 A2999 RMK AO2 SLP092 T01500078
DEN,2023-05-31 14:53,10.00,14000.00,KDEN 311453Z 18007KT 10SM FEW140 FEW220 19/07 A2998 RMK AO2 SLP085 T01890067 58001
DEN,2023-05-31 15:53,10.00,9000.00,KDEN 311553Z 20003KT 10SM FEW090 FEW140 FEW220 21/07 A2995 RMK AO2 SLP078 T02110072
DEN,2023-05-31 16:53,10.00,9000.00,KDEN 311653Z VRB04KT 10SM FEW090 FEW140 FEW220 22/07 A2994 RMK AO2 SLP068 T02220067
DEN,2023-05-31 17:53,10.00,9000.00,KDEN 311753Z 17005KT 10SM FEW090 FEW140 SCT220 24/08 A2992 RMK AO2 SLP057 T02440083 10244 20106 56018
DEN,2023-05-31 18:53,10.00,9000.00,KDEN 311853Z 12010KT 10SM FEW090 FEW140 BKN220 25/07 A2989 RMK AO2 SLP051 T02500072
DEN,2023-05-31 19:53,10.00,9000.00,KDEN 311953Z 12011KT 10SM FEW090 FEW140 BKN200 26/08 A2987 RMK AO2 SLP042 T02610078
DEN,2023-05-31 20:53,10.00,8500.00,KDEN 312053Z 11014KT 10SM SCT085 BKN140 BKN200 24/08 A2985 RMK AO2 LTG DSNT W SLP039 VIRGA DSNT SW-NW T02390083 57020
DEN,2023-05-31 21:53,10.00,8500.00,KDEN 312153Z 26014G23KT 10SM FEW085 SCT110 BKN140 BKN220 22/06 A2986 RMK AO2 WSHFT 2055 LTG DSNT NW-NE RAB00E16 TSB2059E24 SLP052 P0000 T02170061
DEN,2023-05-31 22:53,10.00,11000.00,KDEN 312253Z 30015G24KT 10SM FEW110 BKN140 BKN220 20/07 A2985 RMK AO2 PK WND 30028/2210 WSHFT 2140 LTG DSNT N SLP051 T02000067
DEN,2023-05-31 23:53,10.00,11000.00,KDEN 312353Z 34017KT 10SM FEW110 BKN140 BKN220 21/07 A2985 RMK AO2 SLP046 60000 T02110072 10261 20194 58001
DEN,2023-06-01 00:53,10.00,9000.00,KDEN 010053Z 04007KT 10SM SCT090 BKN140 BKN220 21/08 A2987 RMK AO2 LTG DSNT ALQDS PRESRR SLP050 T02110078
DEN,2023-06-01 01:53,10.00,5500.00,KDEN 010153Z 15004KT 10SM -RA FEW055 BKN090 BKN140 BKN220 17/11 A2989 RMK AO2 LTG DSNT W RAB10 SLP062 P0000 T01720106
DEN,2023-06-01 02:53,10.00,8000.00,KDEN 010253Z 14009KT 10SM FEW080 BKN130 BKN160 BKN220 16/10 A2991 RMK AO2 RAE08 SLP062 P0001 60001 T01610100 51018
DEN,2023-06-01 03:53,10.00,9000.00,KDEN 010353Z 24014G20KT 10SM FEW090 BKN120 BKN220 17/09 A2994 RMK AO2 SLP068 T01670089
DEN,2023-06-01 04:53,10.00,9000.00,KDEN 010453Z 23007KT 10SM FEW090 BKN150 BKN220 14/08 A2992 RMK AO2 WSHFT 0345 SLP065 T01440083
DEN,2023-06-01 05:53,10.00,9000.00,KDEN 010553Z 24006KT 10SM FEW090 SCT150 BKN220 13/08 A2992 RMK AO2 SLP062 60001 T01330083 10211 20133 50003
DEN,2023-06-01 06:53,10.00,12000.00,KDEN 010653Z 17006KT 10SM SCT120 BKN220 12/09 A2991 RMK AO2 SLP060 T01170089 402610094
DEN,2023-06-01 07:53,10.00,12000.00,KDEN 010753Z 27006KT 10SM SCT120 BKN220 13/08 A2989 RMK AO2 SLP046 T01330083
