station,valid,metar
DTW,2023-05-31 00:53,KDTW 310053Z 12007KT 10SM FEW070 26/12 A3002 RMK AO2 SLP162 T02610122 $
DTW,2023-05-31 01:53,KDTW 310153Z 11008G16KT 10SM FEW110 24/12 A3003 RMK AO2 SLP165 T02440117 $
DTW,2023-05-31 02:53,KDTW 310253Z 11006KT 10SM FEW120 23/12 A3005 RMK AO2 SLP172 T02280117 53013 $
DTW,2023-05-31 03:53,KDTW 310353Z 11005KT 10SM CLR 22/12 A3005 RMK AO2 SLP173 T02170117 $
DTW,2023-05-31 04:53,KDTW 310453Z 00000KT 10SM CLR 21/12 A3006 RMK AO2 SLP174 T02060117 403000150 $
DTW,2023-05-31 05:53,KDTW 310553Z 00000KT 10SM CLR 19/12 A3005 RMK AO2 SLP173 T01940117 10278 20194 50002 $
DTW,2023-05-31 06:53,KDTW 310653Z 00000KT 10SM FEW250 19/12 A3006 RMK AO2 SLP174 T01890122 $
DTW,2023-05-31 07:53,KDTW 310753Z 00000KT 10SM FEW250 19/13 A3006 RMK AO2 SLP174 T01890133 $
DTW,2023-05-31 08:53,KDTW 310853Z 00000KT 9SM FEW250 18/14 A3007 RMK AO2 SLP177 T01830139 53004 $
DTW,2023-05-31 09:53,KDTW 310953Z 00000KT 9SM FEW140 FEW250 18/14 A3008 RMK AO2 SLP182 T01830144 $
DTW,2023-05-31 10:53,KDTW 311053Z 00000KT 8SM FEW065 FEW140 SCT250 19/15 A3010 RMK AO2 SLP188 T01890150 $
DTW,2023-05-31 11:53,KDTW 311153Z 15005KT 9SM FEW065 FEW250 21/15 A3012 RMK AO2 SLP195 T02110150 10211 20178 53018 $
DTW,2023-05-31 12:53,KDTW 311253Z 17005KT 10SM FEW065 FEW250 23/15 A3013 RMK AO2 SLP197 T02330150
DTW,2023-05-31 13:53,KDTW 311353Z 12003KT 10SM FEW065 FEW250 25/16 A3013 RMK AO2 SLP199 T02500161
DTW,2023-05-31 14:53,KDTW 311453Z 12005KT 10SM FEW055 FEW250 27/17 A3013 RMK AO2 SLP199 T02720167 51004
DTW,2023-05-31 15:53,KDTW 311553Z 13006KT 10SM FEW050 27/16 A3013 RMK AO2 SLP199 T02720156
DTW,2023-05-31 16:53,KDTW 311653Z 12010KT 10SM FEW050 28/13 A3012 RMK AO2 SLP196 T02830133 $
DTW,2023-05-31 17:53,KDTW 311753Z 11009KT 10SM FEW050 29/12 A3011 RMK AO2 SLP192 T02890117 10294 20211 58007 $
