station,valid,metar
ECP,2023-05-31 00:53,KECP 310053Z VRB03KT 10SM SCT050 24/18 A2988 RMK AO1 SLP130 T02440178
ECP,2023-05-31 01:53,KECP 310153Z 00000KT 10SM FEW055 24/18 A2990 RMK AO1 SLP134 T02390178
ECP,2023-05-31 02:53,KECP 310253Z AUTO 00000KT 10SM BKN050 23/18 A2991 RMK AO1 SLP140 T02280183 53014
ECP,2023-05-31 03:53,KECP 310353Z AUTO 00000KT 10SM CLR 22/18 A2991 RMK AO1 SLP140 T02170183
ECP,2023-05-31 04:53,KECP 310453Z AUTO 32003KT 10SM CLR 21/18 A2991 RMK AO1 SLP139 T02060178 402940161
ECP,2023-05-31 05:53,KECP 310553Z AUTO 00000KT 10SM CLR 21/18 A2990 RMK AO1 SLP134 T02060183 10267 20206 58006
ECP,2023-05-31 06:53,KECP 310653Z AUTO 32003KT 10SM CLR 20/18 A2988 RMK AO1 SLP127 T02000178
ECP,2023-05-31 07:53,KECP 310753Z AUTO 00000KT 10SM CLR 20/18 A2988 RMK AO1 SLP127 T02000178
ECP,2023-05-31 08:53,KECP 310853Z AUTO 00000KT 10SM CLR 21/18 A2989 RMK AO1 SLP131 T02060178 55003
ECP,2023-05-31 09:53,KECP 310953Z AUTO 34003KT 10SM CLR 21/17 A2990 RMK AO1 SLP135 T02060172
ECP,2023-05-31 10:53,KECP 311053Z 01003KT 10SM CLR 21/17 A2992 RMK AO1 SLP140 T02060172
ECP,2023-05-31 11:53,KECP 311153Z 02004KT 10SM CLR 22/17 A2992 RMK AO1 SLP142 T02220172 10222 20200 51012
ECP,2023-05-31 12:53,KECP 311253Z 05004KT 10SM CLR 23/18 A2993 RMK AO1 SLP148 T02330178
ECP,2023-05-31 13:53,KECP 311353Z 03005KT 10SM CLR 26/18 A2993 RMK AO1 RAB46E51 SLP145 P0000 T02610183
ECP,2023-05-31 14:53,KECP 311453Z 05006KT 10SM CLR 27/18 A2992 RMK AO1 SLP143 60000 T02720178 50000
ECP,2023-05-31 15:53,KECP 311553Z VRB04KT 10SM SCT120 28/18 A2994 RMK AO1 SLP149 T02780178
ECP,2023-05-31 16:53,KECP 311653Z 11008KT 10SM BKN085 OVC100 28/17 A2995 RMK AO1 SLP150 T02780172
ECP,2023-05-31 17:53,KECP 311753Z 11005KT 10SM FEW040 BKN100 27/19 A2993 RMK AO1 LTG DSNT E AND SE SLP148 60000 T02670194 10283 20222 50004
ECP,2023-05-31 18:53,KECP 311853Z 15008KT 7SM VCTS SCT029 BKN085 28/20 A2993 RMK AO1 LTG DSNT E AND SE SLP146 T02780200
ECP,2023-05-31 19:53,KECP 311953Z 03008KT 7SM VCTS -RA SCT029 BKN085 22/19 A2994 RMK AO1 LTG DSNT NE RAB19 SLP151 P0001 T02170194
ECP,2023-05-31 20:53,KECP 312053Z 36006KT 6SM -RA BR BKN085 OVC110 22/19 A2993 RMK AO1 SLP147 P0007 60008 T02170194 58000
ECP,2023-05-31 21:53,KECP 312153Z 02003KT 10SM -RA BKN120 22/19 A2991 RMK AO1 SLP139 P0001 T02220194
ECP,2023-05-31 22:53,KECP 312253Z 36004KT 8SM SCT090 23/20 A2991 RMK AO1 RAE2159 SLP141 P0000 T02280200
