station,valid,vsby,skyl1,metar
ELP,2023-05-31 00:51,10.00,15000.00,KELP 310051Z 20009KT 10SM SCT150 SCT250 33/M04 A2984 RMK AO2 SLP022 T03331039
ELP,2023-05-31 01:51,10.00,12000.00,KELP 310151Z 23008KT 10SM SCT120 SCT240 32/M04 A2984 RMK AO2 SLP022 T03221039
ELP,2023-05-31 02:51,10.00,12000.00,KELP 310251Z 29004KT 10SM SCT120 BKN200 32/M03 A2984 RMK AO2 SLP022 T03171033 56003
ELP,2023-05-31 03:51,10.00,16000.00,KELP 310351Z 00000KT 10SM BKN160 30/M03 A2986 RMK AO2 SLP026 T03001028
ELP,2023-05-31 04:51,10.00,16000.00,KELP 310451Z 23004KT 10SM BKN160 29/M02 A2986 RMK AO2 SLP027 T02941022
ELP,2023-05-31 05:51,10.00,10000.00,KELP 310551Z 27006KT 10SM FEW100 BKN140 31/M02 A2985 RMK AO2 SLP020 T03061022 10344 20283 50002
ELP,2023-05-31 06:51,10.00,12000.00,KELP 310651Z 26009KT 10SM FEW120 BKN150 29/M01 A2984 RMK AO2 SLP019 T02941006 403610200
ELP,2023-05-31 07:51,10.00,12000.00,KELP 310751Z 28012G19KT 10SM FEW120 BKN150 29/M01 A2984 RMK AO2 SLP019 T02891011
ELP,2023-05-31 08:51,10.00,12000.00,KELP 310851Z 26012G20KT 10SM FEW120 SCT150 28/M04 A2985 RMK AO2 SLP023 T02831039 53002
ELP,2023-05-31 09:51,10.00,12000.00,KELP 310951Z 30009G15KT 10SM FEW120 FEW150 27/M06 A2985 RMK AO2 SLP020 T02721061
ELP,2023-05-31 10:51,10.00,12000.00,KELP 311051Z 05005KT 10SM FEW120 SCT150 24/M03 A2987 RMK AO2 SLP031 T02441028
ELP,2023-05-31 11:51,10.00,12000.00,KELP 311151Z 31007KT 10SM FEW120 FEW150 26/M07 A2987 RMK AO2 SLP032 T02561067 10311 20233 53005
ELP,2023-05-31 12:51,10.00,12000.00,KELP 311251Z 29007G18KT 10SM FEW120 FEW150 27/M07 A2988 RMK AO2 SLP036 T02671067
ELP,2023-05-31 13:51,10.00,12000.00,KELP 311351Z 29010G14KT 10SM FEW120 FEW150 28/M06 A2990 RMK AO2 SLP042 T02781056
ELP,2023-05-31 14:51,10.00,12000.00,KELP 311451Z 27006KT 10SM FEW120 FEW150 28/M05 A2991 RMK AO2 SLP044 T02831050 51011
ELP,2023-05-31 15:51,10.00,12000.00,KELP 311551Z 27011KT 10SM FEW120 29/M04 A2991 RMK AO2 SLP044 T02941039
ELP,2023-05-31 16:51,10.00,12000.00,KELP 311651Z 27009G16KT 10SM FEW120 29/M02 A2990 RMK AO2 SLP043 T02941022
ELP,2023-05-31 17:51,10.00,12000.00,KELP 311751Z 22009G18KT 10SM FEW120 32/M01 A2988 RMK AO2 SLP032 ACSL DSNT W-NW T03171006 10317 20256 58008
ELP,2023-05-31 18:51,10.00,12000.00,KELP 311851Z 24006G17KT 10SM FEW120 FEW200 32/00 A2986 RMK AO2 SLP027 T03170000
ELP,2023-05-31 19:51,10.00,12000.00,KELP 311951Z 20009G19KT 10SM FEW120 SCT220 33/00 A2983 RMK AO2 SLP016 T03280000
ELP,2023-05-31 20:51,10.00,12000.00,KELP 312051Z 21008G20KT 10SM FEW120 FEW220 34/M01 A2982 RMK AO2 SLP010 T03391006 57019
ELP,2023-05-31 21:51,10.00,13000.00,KELP 312151Z 18009G24KT 10SM FEW130 FEW220 34/M02 A2979 RMK AO2 SLP001 T03391022
ELP,2023-05-31 22:51,10.00,13000.00,KELP 312251Z 23010G22KT 10SM FEW130 FEW220 34/M04 A2976 RMK AO2 PK WND 23027/2224 SLP995 T03441039
ELP,2023-05-31 23:51,10.00,13000.00,KELP 312351Z 22013G18KT 10SM FEW130 FEW220 34/M02 A2974 RMK AO2 SLP988 T03391017 10350 20306 56022
ELP,2023-06-01 00:51,10.00,13000.00,KELP 010051Z 17005G14KT 10SM FEW130 FEW200 33/M02 A2973 RMK AO2 SLP982 T03281022
ELP,2023-06-01 01:51,10.00,13000.00,KELP 010151Z 00000KT 10SM FEW130 FEW200 32/M03 A2972 RMK AO2 SLP979 T03171028 $
ELP,2023-06-01 02:51,10.00,14000.00,KELP 010251Z 28018G28KT 10SM FEW140 FEW200 31/M06 A2973 RMK AO2 PK WND 28028/0249 SLP985 T03111061 $
ELP,2023-06-01 03:51,10.00,14000.00,KELP 010351Z 26018G30KT 10SM SCT140 30/M08 A2976 RMK AO2 PK WND 27030/0346 SLP992 T03001083 $
ELP,2023-06-01 04:51,10.00,14000.00,KELP 010451Z 27018G33KT 10SM FEW140 SCT180 29/M09 A2978 RMK AO2 PK WND 26035/0429 SLP000 T02941089 $
ELP,2023-06-01 05:51,10.00,15000.00,KELP 010551Z 27016G25KT 10SM SCT150 BKN180 28/M08 A2980 RMK AO2 PK WND 27030/0502 SLP007 T02831078 10339 20283 53020 $
ELP,2023-06-01 06:51,10.00,14000.00,KELP 010651Z 27015G25KT 10SM SCT140 SCT180 27/M06 A2981 RMK AO2 PK WND 28028/0637 SLP011 T02721061 403500233 $
ELP,2023-06-01 07:51,10.00,14000.00,KELP 010751Z 28016G25KT 10SM FEW140 FEW180 27/M06 A2982 RMK AO2 SLP013 T02671061 $
ELP,2023-06-01 08:51,10.00,14000.00,KELP 010851Z 30014KT 10SM FEW140 FEW180 25/M06 A2982 RMK AO2 SLP016 T02501056 51007 $
ELP,2023-06-01 09:51,10.00,15000.00,KELP 010951Z 33006KT 10SM FEW150 24/M06 A2984 RMK AO2 SLP024 T02391056 $
ELP,2023-06-01 10:51,10.00,15000.00,KELP 011051Z 29012KT 10SM FEW150 23/M06 A2987 RMK AO2 SLP032 T02331056 $
ELP,2023-06-01 11:51,10.00,11000.00,KELP 011151Z 28013KT 10SM FEW110 FEW150 23/M05 A2989 RMK AO2 SLP041 T02281050 10283 20228 53020 $
ELP,2023-06-01 12:51,10.00,15000.00,KELP 011251Z 27012KT 10SM FEW150 FEW250 23/M03 A2991 RMK AO2 SLP051 T02281028 $
ELP,2023-06-01 13:51,10.00,M,KELP 011351Z 27014KT 10SM CLR 24/M01 A2993 RMK AO2 SLP058 T02391011 $
