station,valid,vsby,skyl1,metar
EWR,2023-05-31 00:51,10.00,25000.00,KEWR 310051Z 15006KT 10SM FEW250 16/07 A3019 RMK AO2 SLP222 FU FEW250 T01610072
EWR,2023-05-31 01:51,10.00,25000.00,KEWR 310151Z 15007KT 10SM FEW250 16/08 A3020 RMK AO2 SLP226 T01560083
EWR,2023-05-31 02:51,10.00,25000.00,KEWR 310251Z 13006KT 10SM FEW250 15/10 A3021 RMK AO2 SLP231 T01500100 53010
EWR,2023-05-31 03:51,10.00,25000.00,KEWR 310351Z 13005KT 10SM FEW250 14/10 A3022 RMK AO2 SLP231 T01440100
EWR,2023-05-31 04:51,10.00,25000.00,KEWR 310451Z VRB03KT 10SM FEW250 14/10 A3021 RMK AO2 SLP229 T01440100 402110139
EWR,2023-05-31 05:51,10.00,25000.00,KEWR 310551Z 00000KT 10SM FEW250 14/10 A3020 RMK AO2 SLP226 T01390100 10172 20133 58005
EWR,2023-05-31 06:51,10.00,25000.00,KEWR 310651Z 00000KT 10SM FEW250 13/10 A3019 RMK AO2 SLP223 T01330100
EWR,2023-05-31 07:51,10.00,25000.00,KEWR 310751Z 01005KT 10SM FEW250 12/08 A3019 RMK AO2 SLP221 T01170083
EWR,2023-05-31 08:51,10.00,25000.00,KEWR 310851Z 02005KT 10SM FEW250 11/08 A3018 RMK AO2 SLP220 T01060078 56005
EWR,2023-05-31 09:51,10.00,1000.00,KEWR 310951Z 36005KT 10SM FEW010 FEW250 11/08 A3020 RMK AO2 SLP227 T01110083
EWR,2023-05-31 10:51,10.00,800.00,KEWR 311051Z 02004KT 10SM FEW008 13/10 A3023 RMK AO2 SLP234 T01330100
EWR,2023-05-31 11:51,10.00,1500.00,KEWR 311151Z 32003KT 10SM FEW015 16/09 A3023 RMK AO2 SLP236 T01560094 10156 20106 51015
EWR,2023-05-31 12:51,10.00,1800.00,KEWR 311251Z 01004KT 10SM FEW018 17/08 A3023 RMK AO2 SLP235 T01720083
EWR,2023-05-31 13:51,10.00,25000.00,KEWR 311351Z 05007KT 10SM FEW250 19/07 A3023 RMK AO2 SLP234 T01890072
EWR,2023-05-31 14:51,10.00,25000.00,KEWR 311451Z VRB04KT 10SM FEW250 21/09 A3022 RMK AO2 SLP231 T02060089 58005
EWR,2023-05-31 15:51,10.00,25000.00,KEWR 311551Z 09005KT 10SM FEW250 22/08 A3021 RMK AO2 SLP228 T02170078
EWR,2023-05-31 16:51,10.00,25000.00,KEWR 311651Z VRB05KT 10SM FEW250 23/03 A3020 RMK AO2 SLP224 T02330033
EWR,2023-05-31 17:51,10.00,25000.00,KEWR 311751Z 06007KT 10SM FEW250 24/02 A3018 RMK AO2 SLP221 T02440022 10250 20156 58010
EWR,2023-05-31 18:51,10.00,25000.00,KEWR 311851Z 09009KT 10SM FEW250 24/09 A3018 RMK AO2 SLP218 T02390094
EWR,2023-05-31 19:51,10.00,25000.00,KEWR 311951Z 14006KT 10SM FEW250 23/11 A3016 RMK AO2 SLP211 T02330111
EWR,2023-05-31 20:51,10.00,25000.00,KEWR 312051Z VRB04KT 10SM FEW250 25/11 A3014 RMK AO2 SLP207 T02500111 58014
EWR,2023-05-31 21:51,10.00,25000.00,KEWR 312151Z 16008KT 10SM FEW250 22/12 A3014 RMK AO2 SLP207 T02220117
EWR,2023-05-31 22:51,10.00,25000.00,KEWR 312251Z 16008KT 10SM FEW250 21/13 A3014 RMK AO2 SLP207 T02060128
EWR,2023-05-31 23:51,10.00,25000.00,KEWR 312351Z 16006KT 10SM FEW250 19/13 A3015 RMK AO2 SLP209 T01940128 10256 20194 53002
EWR,2023-06-01 00:51,10.00,25000.00,KEWR 010051Z 13005KT 10SM FEW250 19/13 A3014 RMK AO2 SLP207 T01890133
EWR,2023-06-01 01:51,10.00,25000.00,KEWR 010151Z 19003KT 10SM FEW250 18/13 A3015 RMK AO2 SLP209 T01780128
EWR,2023-06-01 02:51,10.00,25000.00,KEWR 010251Z 00000KT 10SM FEW250 18/13 A3015 RMK AO2 SLP208 T01780128 56002
EWR,2023-06-01 03:51,10.00,25000.00,KEWR 010351Z 00000KT 10SM FEW250 17/13 A3015 RMK AO2 SLP209 T01720128
EWR,2023-06-01 04:51,10.00,25000.00,KEWR 010451Z 00000KT 10SM FEW250 17/13 A3015 RMK AO2 SLP207 T01720128 402560106
EWR,2023-06-01 05:51,10.00,25000.00,KEWR 010551Z 00000KT 10SM FEW250 17/12 A3014 RMK AO2 SLP206 T01720122 10200 20167 58002
EWR,2023-06-01 06:51,10.00,25000.00,KEWR 010651Z 00000KT 10SM FEW250 17/12 A3014 RMK AO2 SLP204 T01670122
EWR,2023-06-01 07:51,10.00,25000.00,KEWR 010751Z 00000KT 10SM FEW250 17/12 A3012 RMK AO2 SLP198 T01670122
EWR,2023-06-01 08:51,10.00,25000.00,KEWR 010851Z 36003KT 10SM FEW250 16/13 A3012 RMK AO2 SLP199 T01560128 55006
EWR,2023-06-01 09:51,10.00,25000.00,KEWR 010951Z 00000KT 10SM FEW250 16/12 A3012 RMK AO2 SLP198 T01560122
EWR,2023-06-01 10:51,8.00,25000.00,KEWR 011051Z 00000KT 8SM FEW250 18/13 A3012 RMK AO2 SLP200 T01780133
EWR,2023-06-01 11:51,8.00,25000.00,KEWR 011151Z 00000KT 8SM FEW250 19/13 A3013 RMK AO2 SLP202 T01940128 10200 20150 53002
EWR,2023-06-01 12:51,9.00,25000.00,KEWR 011251Z VRB03KT 9SM FEW250 22/13 A3012 RMK AO2 SLP200 T02170133
EWR,2023-06-01 13:51,10.00,25000.00,KEWR 011351Z 16004KT 10SM FEW250 24/13 A3011 RMK AO2 SLP196 T02390133
