station,valid,vsby,skyl1,metar
FLL,2023-05-31 00:53,4.00,2200.00,KFLL 310053Z 16003KT 4SM R10L/5000VP6000FT +TSRA BR SCT022CB BKN060 OVC085 26/25 A2989 RMK AO2 RAB19 SLP119 FRQ LTGICCG NW-NE TS NW-NE MOV E FRQ LTGICCG DSNT ALQDS CB DSNT ALQDS MOV E P0014 T02610250 $
FLL,2023-05-31 01:53,2.00,500.00,KFLL 310153Z 36006KT 2SM R10L/4000VP6000FT +TSRA BR FEW005 BKN013CB OVC024 22/22 A2990 RMK AO2 WSHFT 0120 SLP123 OCNL LTGICCG NW-OHD-SE TS NW-OHD-SE MOV NE P0093 T02170217 $
FLL,2023-05-31 02:53,10.00,2300.00,KFLL 310253Z 04008KT 10SM FEW023 SCT060 BKN170 BKN250 23/22 A2989 RMK AO2 RAE38 TSE06 SLP121 P0004 60111 T02280217 50001 $
FLL,2023-05-31 03:53,10.00,6000.00,KFLL 310353Z 10003KT 10SM SCT060 BKN170 BKN250 23/22 A2989 RMK AO2 SLP122 T02330217 $
FLL,2023-05-31 04:53,10.00,6000.00,KFLL 310453Z 10008KT 10SM FEW060 BKN150 BKN250 25/24 A2988 RMK AO2 SLP117 LTG DSNT NE CB DSNT NE T02500239 403060211 $
FLL,2023-05-31 05:53,10.00,1900.00,KFLL 310553Z COR 15004KT 10SM SCT019 SCT060 BKN150 BKN250 25/24 A2987 RMK AO2 SLP113 60111 T02500239 10278 20211 58007 $
FLL,2023-05-31 06:53,10.00,1500.00,KFLL 310653Z 15004KT 10SM SCT015 BKN060 BKN150 BKN250 25/24 A2986 RMK AO2 SLP111 T02500239 $
FLL,2023-05-31 07:53,10.00,1500.00,KFLL 310753Z 13007KT 10SM FEW015 BKN090 OVC250 25/24 A2983 RMK AO2 SLP102 T02500239 $
FLL,2023-05-31 08:53,10.00,9000.00,KFLL 310853Z 00000KT 10SM BKN090 OVC250 25/23 A2984 RMK AO2 SLP104 T02500228 55009 $
FLL,2023-05-31 09:53,10.00,1800.00,KFLL 310953Z 00000KT 10SM SCT018 BKN090 OVC250 26/23 A2985 RMK AO2 SLP108 T02560228 $
FLL,2023-05-31 10:53,10.00,1800.00,KFLL 311053Z 33003KT 10SM SCT018 BKN090 OVC250 24/23 A2986 RMK AO2 SLP112 TCU SE T02440233 $
FLL,2023-05-31 11:53,10.00,1700.00,KFLL 311153Z 09005KT 10SM FEW017 SCT025 BKN055 25/21 A2987 RMK AO2 SLP113 70118 T02500211 10256 20244 51009 $
FLL,2023-05-31 12:53,10.00,2500.00,KFLL 311253Z 10007KT 10SM FEW025 SCT042 BKN110 27/23 A2989 RMK AO2 SLP120 T02670233 $
FLL,2023-05-31 13:53,10.00,2400.00,KFLL 311353Z 12010KT 10SM SCT024 BKN035 BKN250 28/23 A2989 RMK AO2 SLP122 T02780233 $
FLL,2023-05-31 14:53,10.00,2300.00,KFLL 311453Z 16009KT 10SM SCT023 SCT030 BKN250 28/23 A2989 RMK AO2 SLP122 CB DSNT NE MOV N T02830233 50009 $
FLL,2023-05-31 15:53,10.00,2500.00,KFLL 311553Z 11007KT 090V150 10SM SCT025 BKN250 29/23 A2989 RMK AO2 SLP120 T02940233 $
FLL,2023-05-31 16:53,10.00,2500.00,KFLL 311653Z 15008KT 10SM SCT025 SCT036 BKN250 28/23 A2989 RMK AO2 SLP121 T02780233 $
FLL,2023-05-31 17:53,10.00,2600.00,KFLL 311753Z 16009KT 10SM SCT026 SCT065 BKN250 28/23 A2987 RMK AO2 SLP115 T02830228 10294 20250 58006 $
FLL,2023-05-31 18:53,10.00,2400.00,KFLL 311853Z 12012KT 10SM SCT024 SCT180 BKN250 29/23 A2986 RMK AO2 SLP111 T02940233 $
FLL,2023-05-31 19:53,10.00,2400.00,KFLL 311953Z 12010KT 10SM SCT024 SCT100 BKN180 OVC250 29/24 A2986 RMK AO2 SLP110 CB DSNT NW MOV S T02890239 $
FLL,2023-05-31 20:53,10.00,2200.00,KFLL 312053Z 14011KT 10SM SCT022 SCT100 BKN180 OVC250 28/23 A2985 RMK AO2 SLP106 CB DSNT W-NW MOV SE T02830233 57009 $
FLL,2023-05-31 21:53,7.00,2200.00,KFLL 312153Z 01009KT 7SM -RA SCT022 BKN030 OVC055 23/23 A2984 RMK AO2 RAB30 SLP105 CB N MOV NE CB DSNT SW-W MOV NE P0022 T02330228 $
FLL,2023-05-31 22:53,5.00,800.00,KFLL 312253Z 33011KT 5SM R10L/2800VP6000FT TSRA BR FEW008 BKN020CB BKN100 BKN180 BKN250 22/22 A2986 RMK AO2 WSHFT 2226 RAE2158B15 TSB32 SLP109 OCNL LTGCG NE-SE TS NE-SE MOV E CB DSNT NE AND NW MOV NE P0056 T02220222 $
FLL,2023-05-31 23:53,10.00,2500.00,KFLL 312353Z 05008KT 10SM FEW025 SCT050 BKN080 BKN180 BKN250 23/23 A2986 RMK AO2 RAE10 TSE03B21E53 SLP109 CB DSNT NE-E MOV NE P0000 60078 T02330228 10294 20222 53003 $
FLL,2023-06-01 00:53,10.00,2500.00,KFLL 010053Z 04006KT 10SM FEW025 SCT070 BKN110 BKN170 BKN250 23/22 A2986 RMK AO2 SLP109 CB DSNT E MOV E T02330222 $
FLL,2023-06-01 01:53,10.00,4000.00,KFLL 010153Z COR 00000KT 10SM SCT040 SCT060 BKN110 24/23 A2988 RMK AO2 SLP117 T02390228 $
FLL,2023-06-01 03:53,10.00,2400.00,KFLL 010353Z 00000KT 10SM FEW024 SCT055 BKN120 24/23 A2987 RMK AO2 SLP114 T02390233 $
FLL,2023-06-01 04:53,10.00,2500.00,KFLL 010453Z 10007KT 10SM FEW025 BKN080 OVC250 25/24 A2985 RMK AO2 SLP109 T02500244 402940222 $
FLL,2023-06-01 05:53,10.00,2500.00,KFLL 010553Z 11003KT 10SM FEW025 BKN065 BKN250 25/24 A2983 RMK AO2 SLP101 T02500239 10256 20233 58015 $
FLL,2023-06-01 06:53,10.00,2300.00,KFLL 010653Z 12003KT 10SM FEW023 SCT080 BKN250 25/23 A2982 RMK AO2 SLP097 T02500233 $
FLL,2023-06-01 07:53,10.00,2200.00,KFLL 010753Z 00000KT 10SM FEW022 SCT070 BKN250 24/24 A2982 RMK AO2 SLP097 T02440239 $
FLL,2023-06-01 08:53,10.00,200.00,KFLL 010853Z 00000KT 10SM FEW002 SCT065 BKN250 24/24 A2982 RMK AO2 SLP096 T02390239 56005 $
FLL,2023-06-01 09:53,10.00,2000.00,KFLL 010953Z 00000KT 10SM FEW020 SCT070 SCT250 24/24 A2981 RMK AO2 SLP094 T02390239 $
FLL,2023-06-01 10:53,10.00,1800.00,KFLL 011053Z 00000KT 10SM FEW018 SCT060 SCT250 24/24 A2983 RMK AO2 SLP100 T02390239 $
FLL,2023-06-01 11:53,10.00,1800.00,KFLL 011153Z 34003KT 10SM FEW018 FEW250 26/24 A2983 RMK AO2 SLP101 70078 T02610244 10261 20239 53005 $
FLL,2023-06-01 12:53,10.00,2000.00,KFLL 011253Z 00000KT 10SM FEW020 SCT250 27/24 A2985 RMK AO2 SLP106 T02720239 $
FLL,2023-06-01 13:53,10.00,2000.00,KFLL 011353Z 24005KT 10SM SCT020 SCT250 28/23 A2986 RMK AO2 SLP110 T02780233 $
FLL,2023-06-01 14:53,10.00,2700.00,KFLL 011453Z 25006KT 10SM SCT027 BKN250 29/23 A2986 RMK AO2 SLP111 T02890228 51010 $
FLL,2023-06-01 15:53,10.00,3400.00,KFLL 011553Z 29006KT 10SM SCT034 BKN250 30/23 A2986 RMK AO2 SLP112 T03000228 $
FLL,2023-06-01 16:53,10.00,4300.00,KFLL 011653Z 00000KT 10SM SCT043TCU SCT060 SCT250 29/22 A2985 RMK AO2 SLP108 TCU OHD T02940217 $
FLL,2023-06-01 17:53,10.00,3500.00,KFLL 011753Z 09008KT 10SM SCT035 SCT055 BKN250 29/24 A2983 RMK AO2 SLP102 CB DSNT SW AND NW T02890244 10311 20261 58009 $
FLL,2023-06-01 18:53,10.00,3900.00,KFLL 011853Z 12008KT 10SM -TSRA SCT039CB SCT065 BKN110 BKN250 28/24 A2982 RMK AO2 RAB48 TSB41 SLP097 FRQ LTGICCCCG 0HD-SE-SW TS 0HD-SE-SW MOV E P0000 T02780244 $
FLL,2023-06-01 19:53,10.00,3000.00,KFLL 011953Z 18005KT 10SM -RA FEW030 BKN100 BKN180 BKN250 27/24 A2982 RMK AO2 RAE28B48 TSE28 SLP097 P0001 T02670244 $
FLL,2023-06-01 20:53,10.00,3000.00,KFLL 012053Z 21010KT 10SM FEW030 FEW070 SCT150 BKN250 27/22 A2979 RMK AO2 RAE15 SLP088 CB DSNT N P0000 60001 T02670222 58014 $
FLL,2023-06-01 21:53,10.00,3000.00,KFLL 012153Z 21007KT 10SM FEW030 FEW150 SCT180 BKN250 28/21 A2978 RMK AO2 SLP085 CB DSNT N-NE MOV NE T02780211 $
FLL,2023-06-01 22:53,10.00,3200.00,KFLL 012253Z VRB05KT 10SM FEW032 FEW070 SCT150 BKN250 29/22 A2981 RMK AO2 SLP095 T02940217
FLL,2023-06-01 23:53,10.00,2500.00,KFLL 012353Z 04009KT 10SM FEW025 SCT030TCU SCT100 SCT180 BKN250 25/21 A2983 RMK AO2 WSHFT 2259 SLP101 TCU SW AND W-NW 60001 T02500206 10294 20250 53013
FLL,2023-06-02 00:53,10.00,2200.00,KFLL 020053Z 34003KT 10SM -RA FEW022 SCT095 SCT110 BKN200 24/21 A2984 RMK AO2 RAB28 SLP104 P0001 T02390211
FLL,2023-06-02 01:53,10.00,2500.00,KFLL 020153Z 30003KT 10SM FEW025 SCT110 BKN250 24/22 A2983 RMK AO2 RAE0057 SLP101 OCNL LTGIC DSNT W CB DSNT W P0000 T02440217
FLL,2023-06-02 02:53,10.00,2500.00,KFLL 020253Z COR 26005KT 10SM SCT025 BKN075 BKN250 24/22 A2984 RMK AO2 SLP105 60001 T02390222 53004
FLL,2023-06-02 03:53,10.00,2800.00,KFLL 020353Z 00000KT 10SM FEW028 SCT080 BKN250 23/22 A2982 RMK AO2 SLP097 T02330222
FLL,2023-06-02 04:53,10.00,2500.00,KFLL 020453Z 00000KT 10SM FEW025 SCT075 BKN250 24/22 A2981 RMK AO2 SLP093 T02390222 403110233
FLL,2023-06-02 05:53,10.00,7000.00,KFLL 020553Z 00000KT 10SM BKN070 BKN250 24/22 A2980 RMK AO2 SLP091 60001 T02440222 10256 20233 56015
FLL,2023-06-02 06:53,10.00,3200.00,KFLL 020653Z 31003KT 10SM SCT032 BKN070 BKN250 23/23 A2978 RMK AO2 SLP084 T02330228
FLL,2023-06-02 07:53,10.00,8000.00,KFLL 020753Z 00000KT 10SM BKN080 BKN250 24/22 A2977 RMK AO2 SLP079 T02390222
FLL,2023-06-02 08:53,10.00,6500.00,KFLL 020853Z 05003KT 10SM SCT065 BKN100 BKN250 23/23 A2976 RMK AO2 SLP077 T02330228 56013
FLL,2023-06-02 09:53,10.00,2200.00,KFLL 020953Z 31005KT 10SM SCT022 BKN060 OVC250 24/22 A2977 RMK AO2 SLP079 T02440222 $
FLL,2023-06-02 10:53,10.00,2000.00,KFLL 021053Z 34003KT 10SM FEW020 BKN080 BKN250 24/23 A2976 RMK AO2 SLP078 T02390228 $
FLL,2023-06-02 11:53,10.00,2000.00,KFLL 021153Z 35003KT 10SM FEW020 SCT080 BKN150 24/22 A2977 RMK AO2 SLP081 70002 T02440222 10244 20233 53004
FLL,2023-06-02 12:53,10.00,2000.00,KFLL 021253Z 35003KT 10SM FEW020 BKN150 26/23 A2978 RMK AO2 SLP083 T02560228
FLL,2023-06-02 13:53,10.00,2200.00,KFLL 021353Z 00000KT 10SM FEW022 BKN150 27/22 A2978 RMK AO2 SLP084 T02670222
FLL,2023-06-02 14:53,10.00,2200.00,KFLL 021453Z 00000KT 10SM FEW022 BKN150 29/23 A2978 RMK AO2 SLP084 T02890233 50002
FLL,2023-06-02 15:53,10.00,3200.00,KFLL 021553Z 14003KT 10SM SCT032 SCT150 SCT250 29/22 A2977 RMK AO2 SLP081 CB DSNT S T02940217
FLL,2023-06-02 16:53,10.00,3900.00,KFLL 021653Z 07007KT 10SM -RA BKN039 BKN090 BKN150 28/22 A2976 RMK AO2 RAB50 SLP077 CB DSNT E P0000 T02830222
FLL,2023-06-02 17:53,10.00,3900.00,KFLL 021753Z 10011KT 10SM BKN039 BKN090 BKN150 29/22 A2973 RMK AO2 RAE1654 SLP066 CB DSNT E P0000 60000 T02890217 10306 20244 58018
FLL,2023-06-02 18:53,10.00,2000.00,KFLL 021853Z 10008KT 10SM -TSRA SCT020CB BKN050 BKN085 27/24 A2972 RMK AO2 RAB31 TSB22 SLP065 FRQ LTGICCCCG OHD-W-NW TS OHD-W-NW MOV NE P0001 T02670239
FLL,2023-06-02 19:53,7.00,1800.00,KFLL 021953Z COR VRB04KT 7SM -TSRA FEW018 SCT027CB SCT050 BKN130 BKN250 22/22 A2972 RMK AO2 WSHFT 1906 SLP063 OCNL LTGICCG E-S TS E-S MOV E CB DSNT NW-N MOV NE P0034 T02220217 $
FLL,2023-06-02 20:53,10.00,2500.00,KFLL 022053Z 30003KT 10SM FEW025 BKN070 BKN120 BKN250 23/23 A2972 RMK AO2 RAE47 TSE38 SLP063 CB DSNT N AND SE MOV E P0003 60038 T02330228 56003 $
FLL,2023-06-02 21:53,10.00,2800.00,KFLL 022153Z 24004KT 10SM FEW028 SCT110 BKN160 BKN200 26/23 A2970 RMK AO2 SLP058 T02560233 $
FLL,2023-06-02 22:53,10.00,2700.00,KFLL 022253Z 00000KT 10SM FEW027 FEW070 SCT110 SCT180 BKN250 27/23 A2969 RMK AO2 SLP055 T02670233 $
FLL,2023-06-02 23:53,10.00,2700.00,KFLL 022353Z 01004KT 10SM FEW027 FEW070 SCT110 BKN180 BKN250 26/24 A2971 RMK AO2 SLP060 60038 T02560239 10289 20211 55003 $
FLL,2023-06-03 00:53,10.00,3000.00,KFLL 030053Z 00000KT 10SM FEW030 FEW070 SCT110 SCT180 BKN250 25/24 A2971 RMK AO2 SLP061 T02500239 $
FLL,2023-06-03 01:53,10.00,2500.00,KFLL 030153Z 35003KT 10SM FEW025 SCT120 BKN200 24/24 A2973 RMK AO2 SLP066 T02440239 $
FLL,2023-06-03 02:53,10.00,2500.00,KFLL 030253Z 33003KT 10SM FEW025 SCT080 SCT250 24/23 A2974 RMK AO2 SLP070 T02390233 53010 $
FLL,2023-06-03 03:53,10.00,2500.00,KFLL 030353Z 36003KT 10SM FEW025 SCT160 BKN250 24/23 A2973 RMK AO2 SLP065 T02390233 $
FLL,2023-06-03 04:53,10.00,3000.00,KFLL 030453Z 00000KT 10SM FEW030 SCT055 24/23 A2970 RMK AO2 SLP058 T02390233 403060211 $
FLL,2023-06-03 05:53,10.00,2800.00,KFLL 030553Z 00000KT 10SM FEW028 SCT090 SCT250 24/23 A2969 RMK AO2 SLP053 T02390233 10256 20233 58017 $
FLL,2023-06-03 06:53,10.00,3200.00,KFLL 030653Z 00000KT 10SM FEW032 FEW080 23/23 A2966 RMK AO2 SLP044 T02330233 $
