station,valid,vsby,skyl1,metar
GRR,2023-05-31 00:53,10.00,12000.00,KGRR 310053Z 14003KT 10SM FEW120 27/14 A2996 RMK AO2 SLP141 T02720139
GRR,2023-05-31 01:53,10.00,12000.00,KGRR 310153Z 09004KT 10SM FEW120 24/14 A2998 RMK AO2 SLP147 T02440144
GRR,2023-05-31 02:53,10.00,8500.00,KGRR 310253Z 14008KT 10SM BKN085 24/13 A3000 RMK AO2 SLP154 T02440133 53013
GRR,2023-05-31 03:53,10.00,8500.00,KGRR 310353Z 15006KT 10SM FEW085 23/14 A3001 RMK AO2 SLP157 LAST T02280139
GRR,2023-05-31 04:53,10.00,8500.00,KGRR 310453Z AUTO 14004KT 10SM SCT085 22/14 A3001 RMK AO2 SLP158 T02170144 403220128
GRR,2023-05-31 05:53,10.00,9000.00,KGRR 310553Z AUTO 15004KT 10SM BKN090 21/14 A3001 RMK AO2 SLP158 T02060144 10294 20206 50004
GRR,2023-05-31 06:53,10.00,M,KGRR 310653Z AUTO 15005KT 10SM CLR 20/14 A3001 RMK AO2 SLP157 T02000139
GRR,2023-05-31 07:53,10.00,M,KGRR 310753Z AUTO 15006KT 10SM CLR 20/14 A3000 RMK AO2 SLP155 T02000139
GRR,2023-05-31 08:53,10.00,M,KGRR 310853Z AUTO 15006KT 10SM CLR 19/14 A3001 RMK AO2 SLP157 T01890139 55001
GRR,2023-05-31 09:53,10.00,12000.00,KGRR 310953Z 16005KT 10SM FEW120 18/13 A3003 RMK AO2 SLP164 T01780133
GRR,2023-05-31 10:53,10.00,13000.00,KGRR 311053Z 00000KT 10SM SCT130 19/14 A3005 RMK AO2 SLP171 T01890144
GRR,2023-05-31 11:53,10.00,12000.00,KGRR 311153Z 15006KT 10SM SCT120 22/15 A3007 RMK AO2 SLP177 T02170150 10217 20178 51020
GRR,2023-05-31 12:53,10.00,12000.00,KGRR 311253Z 16005KT 10SM SCT120 24/16 A3008 RMK AO2 SLP179 T02440161
GRR,2023-05-31 13:53,10.00,12000.00,KGRR 311353Z 17007KT 10SM FEW120 27/17 A3008 RMK AO2 SLP181 T02670172
GRR,2023-05-31 14:53,10.00,M,KGRR 311453Z VRB03KT 10SM CLR 28/17 A3008 RMK AO2 SLP179 T02780167 50003
GRR,2023-05-31 15:53,10.00,5000.00,KGRR 311553Z 20007KT 10SM FEW050 29/16 A3007 RMK AO2 SLP177 T02940161
GRR,2023-05-31 16:53,10.00,6000.00,KGRR 311653Z 17008KT 10SM FEW060 31/16 A3007 RMK AO2 SLP175 T03110156
GRR,2023-05-31 17:53,10.00,6000.00,KGRR 311753Z 13011G20KT 10SM SCT060 31/15 A3006 RMK AO2 SLP172 T03110150 10311 20217 58007
GRR,2023-05-31 18:53,10.00,6500.00,KGRR 311853Z 15009G18KT 10SM SCT065 32/13 A3005 RMK AO2 SLP168 T03170128
GRR,2023-05-31 19:53,10.00,7500.00,KGRR 311953Z 16011G17KT 10SM SCT075 32/13 A3003 RMK AO2 SLP163 T03220133
GRR,2023-05-31 20:53,10.00,7500.00,KGRR 312053Z 16009KT 10SM SCT075 31/14 A3002 RMK AO2 SLP159 T03110139 58013
GRR,2023-05-31 21:53,10.00,8000.00,KGRR 312153Z 19011KT 10SM SCT080 31/12 A3002 RMK AO2 SLP159 T03110122
GRR,2023-05-31 22:53,10.00,8000.00,KGRR 312253Z 14006KT 10SM FEW080 FEW250 31/11 A3001 RMK AO2 SLP157 T03060111
GRR,2023-05-31 23:53,10.00,8000.00,KGRR 312353Z 12005KT 10SM FEW080 FEW250 30/12 A3001 RMK AO2 SLP156 T03000117 10322 20300 56003
GRR,2023-06-01 00:53,10.00,8000.00,KGRR 010053Z 14004KT 10SM FEW080 FEW250 27/13 A3002 RMK AO2 SLP158 T02720133
GRR,2023-06-01 01:53,10.00,8000.00,KGRR 010153Z 11006KT 10SM FEW080 FEW250 24/14 A3003 RMK AO2 SLP162 T02440144
GRR,2023-06-01 03:53,10.00,M,KGRR 010353Z 13008KT 10SM CLR 24/14 A3005 RMK AO2 SLP170 LAST T02390139
GRR,2023-06-01 04:53,10.00,M,KGRR 010453Z AUTO 13007KT 10SM CLR 22/13 A3006 RMK AO2 SLP173 T02220133 403220178
GRR,2023-06-01 05:53,10.00,M,KGRR 010553Z AUTO 12006KT 10SM CLR 21/12 A3005 RMK AO2 SLP171 T02110122 10300 20211 50004
GRR,2023-06-01 06:53,10.00,8000.00,KGRR 010653Z AUTO 15003KT 10SM SCT080 21/12 A3006 RMK AO2 SLP174 T02060117
GRR,2023-06-01 07:53,10.00,8500.00,KGRR 010753Z AUTO 09005KT 10SM FEW085 19/12 A3006 RMK AO2 SLP175 T01890122
GRR,2023-06-01 08:53,10.00,M,KGRR 010853Z AUTO 08004KT 10SM CLR 18/12 A3007 RMK AO2 SLP176 T01830122 51004
GRR,2023-06-01 09:53,10.00,8000.00,KGRR 010953Z 07003KT 10SM SCT080 SCT095 SCT150 17/12 A3008 RMK AO2 SLP180 T01720122
GRR,2023-06-01 10:53,10.00,8000.00,KGRR 011053Z 08004KT 10SM FEW080 SCT100 SCT150 18/12 A3010 RMK AO2 SLP186 T01780122
GRR,2023-06-01 11:53,10.00,8000.00,KGRR 011153Z 08004KT 10SM FEW080 SCT100 SCT150 19/13 A3011 RMK AO2 SLP192 T01890128 10217 20172 53015
GRR,2023-06-01 12:53,10.00,8000.00,KGRR 011253Z 00000KT 10SM FEW080 SCT100 SCT150 20/13 A3013 RMK AO2 SLP198 T02000133
