station,valid,metar
HOU,2023-05-31 00:53,KHOU 310053Z 18008KT 10SM FEW045 SCT080 BKN150 BKN250 28/18 A2988 RMK AO2 SLP123 OCNL LTGIC DSNT N CB DSNT N MOV W T02780183
HOU,2023-05-31 01:53,KHOU 310153Z 16008KT 10SM SCT045 SCT080 BKN150 BKN250 27/19 A2989 RMK AO2 SLP125 OCNL LTGIC DSNT NW CB DSNT NW MOV W T02720194
HOU,2023-05-31 02:53,KHOU 310253Z 17003KT 10SM SCT042 BKN070 BKN150 OVC250 26/20 A2988 RMK AO2 SLP123 T02610200 50009
HOU,2023-05-31 03:53,KHOU 310353Z 00000KT 10SM FEW042 FEW080 SCT150 SCT250 25/20 A2990 RMK AO2 SLP130 T02500200
HOU,2023-05-31 04:53,KHOU 310453Z 16006KT 10SM FEW150 SCT250 25/19 A2987 RMK AO2 SLP121 T02500194
HOU,2023-05-31 05:53,KHOU 310553Z 15006KT 10SM FEW130 24/19 A2986 RMK AO2 SLP118 T02440194 10289 20244 403220217 58006
HOU,2023-05-31 06:53,KHOU 310653Z 00000KT 10SM FEW012 FEW130 24/19 A2987 RMK AO2 SLP119 T02390194
HOU,2023-05-31 07:53,KHOU 310753Z 00000KT 10SM FEW010 FEW130 23/19 A2987 RMK AO2 SLP120 T02330194
HOU,2023-05-31 08:53,KHOU 310853Z 00000KT 10SM FEW010 FEW030 SCT130 23/19 A2988 RMK AO2 SLP122 T02330194 53005
HOU,2023-05-31 09:53,KHOU 310953Z 00000KT 10SM FEW010 FEW030 BKN130 24/20 A2989 RMK AO2 SLP126 T02390200
HOU,2023-05-31 10:53,KHOU 311053Z 00000KT 10SM FEW010 BKN130 24/21 A2990 RMK AO2 SLP129 T02390206
HOU,2023-05-31 11:53,KHOU 311153Z 00000KT 10SM FEW004 FEW030 BKN130 BKN300 24/21 A2991 RMK AO2 SLP132 T02390206 10244 20233 52010
HOU,2023-05-31 12:53,KHOU 311253Z 07003KT 10SM FEW010 SCT140 26/21 A2991 RMK AO2 SLP133 T02560206
HOU,2023-05-31 13:53,KHOU 311353Z 12004KT 10SM FEW020 27/21 A2992 RMK AO2 SLP135 T02670206
HOU,2023-05-31 14:53,KHOU 311453Z VRB04KT 10SM SCT025 28/21 A2992 RMK AO2 SLP138 T02780206 53005
HOU,2023-05-31 15:53,KHOU 311553Z 14007KT 10SM SCT030 29/19 A2992 RMK AO2 SLP138 T02890194
HOU,2023-05-31 16:53,KHOU 311653Z 11006G18KT 10SM SCT040 29/19 A2993 RMK AO2 SLP141 T02940189
HOU,2023-05-31 17:53,KHOU 311753Z 10007KT 10SM SCT040 30/19 A2993 RMK AO2 SLP138 MDT CU S T03000189 10311 20239 50000
HOU,2023-05-31 18:53,KHOU 311853Z 13011KT 10SM SCT040 SCT100 30/19 A2991 RMK AO2 SLP132 T03000194
HOU,2023-05-31 19:53,KHOU 311953Z 14010KT 10SM SCT045 BKN080 31/19 A2989 RMK AO2 SLP125 VCSH N CB DSNT E T03060189
HOU,2023-05-31 20:53,KHOU 312053Z 11003KT 9SM -TSRA SCT050CB BKN090 BKN250 29/21 A2989 RMK AO2 LTG DSNT NE RAB21 TSB35 SLP126 OCNL LTGICCC NE-E TS NE-E MOV E P0002 60002 T02890206 55013
HOU,2023-05-31 21:53,KHOU 312153Z 07006KT 10SM FEW050 BKN100 BKN250 28/22 A2988 RMK AO2 RAE52 TSE33 SLP123 VCSH SW P0001 T02830222
HOU,2023-05-31 22:53,KHOU 312253Z 14010KT 10SM FEW045 SCT120 BKN250 30/18 A2986 RMK AO2 SLP116 T03000178
