station,valid,metar
HRL,2023-05-31 00:52,KHRL 310052Z 07008KT 10SM CLR 27/22 A2983 RMK AO2 SLP101 T02670222
HRL,2023-05-31 01:52,KHRL 310152Z 09008KT 10SM CLR 24/23 A2984 RMK AO2 SLP103 T02440228
HRL,2023-05-31 02:52,KHRL 310252Z 09005KT 10SM CLR 23/22 A2985 RMK AO2 SLP106 T02330222 53006
HRL,2023-05-31 03:52,KHRL 310352Z 13003KT 10SM CLR 23/22 A2986 RMK AO2 SLP113 T02330222
HRL,2023-05-31 04:52,KHRL 310452Z AUTO 13003KT 10SM CLR 23/22 A2986 RMK AO2 SLP112 T02280217
HRL,2023-05-31 05:52,KHRL 310552Z AUTO 10SM CLR 22/21 A2986 RMK AO2 SLP109 T02170211 10289 20217 403170206 50003
HRL,2023-05-31 06:52,KHRL 310652Z AUTO 10SM CLR 23/22 A2985 RMK AO2 SLP106 T02280222
HRL,2023-05-31 07:52,KHRL 310752Z AUTO 10SM CLR 22/22 A2983 RMK AO2 SLP102 T02220217
HRL,2023-05-31 08:52,KHRL 310852Z AUTO 3SM BR CLR 21/21 A2982 RMK AO2 SLP099 T02110211 58011
HRL,2023-05-31 09:52,KHRL 310952Z AUTO 4SM BR CLR 19/19 A2982 RMK AO2 SLP099 T01940194
HRL,2023-05-31 10:52,KHRL 311052Z 08004KT 6SM BR CLR 20/20 A2983 RMK AO2 SLP100 T02000200
HRL,2023-05-31 11:52,KHRL 311152Z 09003KT 6SM BR CLR 20/20 A2984 RMK AO2 SLP104 T02000200 10228 20194 53005
HRL,2023-05-31 12:52,KHRL 311252Z 08004KT 10SM CLR 24/23 A2986 RMK AO2 SLP110 T02390228
HRL,2023-05-31 13:52,KHRL 311352Z 09004KT 10SM CLR 27/23 A2987 RMK AO2 SLP116 T02670233
HRL,2023-05-31 14:52,KHRL 311452Z 10005KT 10SM SCT022 BKN032 28/23 A2988 RMK AO2 SLP118 T02830228 51014
HRL,2023-05-31 15:52,KHRL 311552Z AUTO 13005KT A2988 RMK AO2 SLP120 PWINO PNO $
HRL,2023-05-31 17:52,KHRL 311752Z 09008KT 10SM BKN040 OVC055 31/22 A2987 RMK AO2 SLP115 6//// T03060217
HRL,2023-05-31 18:52,KHRL 311852Z 08009KT 10SM FEW042 SCT055 SCT075 32/22 A2985 RMK AO2 SLP107 T03220222
HRL,2023-05-31 19:52,KHRL 311952Z 10009KT 10SM SCT040 33/23 A2984 RMK AO2 SLP103 T03280228
HRL,2023-05-31 20:52,KHRL 312052Z 09010KT 10SM BKN040 BKN055 32/22 A2983 RMK AO2 SLP101 T03170222 56014
HRL,2023-05-31 21:52,KHRL 312152Z 07013G18KT 10SM FEW039 32/22 A2982 RMK AO2 SLP096 T03220222
HRL,2023-05-31 22:52,KHRL 312252Z 09013KT 10SM CLR 31/21 A2980 RMK AO2 SLP091 T03110211
HRL,2023-05-31 23:52,KHRL 312352Z 10010KT 10SM CLR 30/21 A2980 RMK AO2 SLP089 T03000206 10333 20300 56012
HRL,2023-06-01 00:52,KHRL 010052Z 11011KT 10SM CLR 28/21 A2980 RMK AO2 SLP090 T02780211
HRL,2023-06-01 01:52,KHRL 010152Z 10007KT 10SM CLR 24/22 A2981 RMK AO2 SLP094 T02390217
HRL,2023-06-01 03:52,KHRL 010352Z 11005KT 10SM CLR 23/22 A2985 RMK AO2 SLP107 T02280217
HRL,2023-06-01 04:52,KHRL 010452Z 14004KT 10SM CLR 23/22 A2985 RMK AO2 SLP109 T02280217
HRL,2023-06-01 05:52,KHRL 010552Z AUTO 16005KT 10SM CLR 22/22 A2984 RMK AO2 SLP105 T02220217 10300 20217 403330194 50007
HRL,2023-06-01 06:52,KHRL 010652Z AUTO 17005KT 10SM CLR 21/21 A2981 RMK AO2 SLP095 T02110206
HRL,2023-06-01 07:52,KHRL 010752Z AUTO 14006KT 10SM CLR 21/21 A2979 RMK AO2 SLP088 T02060206
HRL,2023-06-01 08:52,KHRL 010852Z AUTO 15005KT 10SM FEW023 22/21 A2978 RMK AO2 SLP085 T02170211 56019
HRL,2023-06-01 09:52,KHRL 010952Z AUTO 13003KT 10SM CLR 21/21 A2979 RMK AO2 SLP087 T02060206
HRL,2023-06-01 10:52,KHRL 011052Z 11006KT 9SM CLR 20/20 A2979 RMK AO2 SLP087 T02000200
HRL,2023-06-01 11:52,KHRL 011152Z 11006KT 10SM CLR 21/21 A2981 RMK AO2 SLP095 7//// T02060206 10222 20200 53010
HRL,2023-06-01 12:52,KHRL 011252Z 13006KT 10SM CLR 24/23 A2983 RMK AO2 SLP099 T02440233
HRL,2023-06-01 13:52,KHRL 011352Z 14009KT 10SM CLR 27/24 A2984 RMK AO2 SLP103 T02720239
HRL,2023-06-01 14:52,KHRL 011452Z 13012KT 10SM SCT026 29/23 A2984 RMK AO2 SLP103 T02940233 51008
HRL,2023-06-01 15:52,KHRL 011552Z 14012G20KT 10SM FEW035 31/23 A2984 RMK AO2 SLP105 T03110228
HRL,2023-06-01 16:52,KHRL 011652Z 14013KT 10SM FEW042 31/22 A2984 RMK AO2 SLP103 T03110217
HRL,2023-06-01 17:52,KHRL 011752Z 12011KT 10SM SCT049 SCT055 31/21 A2984 RMK AO2 SLP103 T03110211 10322 20206 50000
HRL,2023-06-01 18:52,KHRL 011852Z 13012KT 10SM FEW048 33/22 A2982 RMK AO2 SLP098 T03280222
HRL,2023-06-01 19:52,KHRL 011952Z 12013G21KT 10SM BKN046 BKN060 31/21 A2981 RMK AO2 SLP093 T03110211
HRL,2023-06-01 20:52,KHRL 012052Z 12014KT 10SM SCT043 BKN055 OVC070 31/22 A2980 RMK AO2 SLP091 T03110217 56013
HRL,2023-06-01 21:52,KHRL 012152Z 10015G27KT 10SM FEW041 32/22 A2979 RMK AO2 PK WND 14027/2145 SLP087 T03170222
HRL,2023-06-01 22:52,KHRL 012252Z 11013G19KT 10SM CLR 31/22 A2979 RMK AO2 SLP086 T03060217
HRL,2023-06-01 23:52,KHRL 012352Z 12011KT 10SM BKN075 29/22 A2979 RMK AO2 SLP089 T02940217 10328 20294 55002
HRL,2023-06-02 00:52,KHRL 020052Z 12010KT 10SM OVC075 28/22 A2982 RMK AO2 SLP098 T02780222
HRL,2023-06-02 01:52,KHRL 020152Z 11010KT 10SM OVC070 27/23 A2984 RMK AO2 SLP104 T02670228
HRL,2023-06-02 02:52,KHRL 020252Z 12008KT 10SM FEW025 OVC075 27/23 A2986 RMK AO2 SLP111 T02670228 51022
HRL,2023-06-02 03:52,KHRL 020352Z 10005KT 10SM BKN080 25/23 A2987 RMK AO2 SLP114 T02500228
HRL,2023-06-02 04:52,KHRL 020452Z 12007KT 10SM BKN080 25/23 A2987 RMK AO2 SLP114 T02500228
HRL,2023-06-02 05:52,KHRL 020552Z AUTO 13006KT 10SM OVC075 26/23 A2986 RMK AO2 SLP112 T02560228 10294 20244 403280200 50001
HRL,2023-06-02 06:52,KHRL 020652Z AUTO 14006KT 10SM OVC080 25/23 A2985 RMK AO2 SLP107 T02500233
HRL,2023-06-02 07:52,KHRL 020752Z AUTO 11004KT 10SM BKN080 24/23 A2983 RMK AO2 SLP102 T02440233
HRL,2023-06-02 08:52,KHRL 020852Z AUTO 09004KT 10SM OVC080 24/23 A2983 RMK AO2 SLP101 T02390233 56010
HRL,2023-06-02 09:52,KHRL 020952Z AUTO 10005KT 10SM OVC080 24/23 A2983 RMK AO2 SLP102 T02390233
HRL,2023-06-02 10:52,KHRL 021052Z 14005KT 10SM OVC080 24/23 A2983 RMK AO2 SLP102 T02390233
HRL,2023-06-02 11:52,KHRL 021152Z 14004KT 10SM OVC080 24/23 A2985 RMK AO2 SLP107 T02390233 10256 20239 53006
HRL,2023-06-02 12:52,KHRL 021252Z 12005KT 10SM OVC080 26/23 A2987 RMK AO2 SLP113 T02560233
HRL,2023-06-02 13:52,KHRL 021352Z 14009KT 10SM BKN055 OVC085 28/24 A2988 RMK AO2 SLP117 T02780239
HRL,2023-06-02 14:52,KHRL 021452Z 13010KT 10SM FEW024 BKN060 29/23 A2989 RMK AO2 SLP121 T02890233 51014
HRL,2023-06-02 15:52,KHRL 021552Z 12008KT 10SM FEW032 SCT043 BKN060 29/23 A2989 RMK AO2 SLP122 T02940228
HRL,2023-06-02 16:52,KHRL 021652Z 13010G17KT 10SM SCT034 BKN043 BKN060 30/23 A2988 RMK AO2 SLP118 T03000228
HRL,2023-06-02 17:52,KHRL 021752Z 13013G19KT 10SM SCT035 SCT044 BKN055 31/23 A2986 RMK AO2 SLP111 T03110233 10311 20239 58010
HRL,2023-06-02 18:52,KHRL 021852Z 12010G18KT 10SM SCT041 BKN055 32/23 A2984 RMK AO2 SLP103 T03170233
HRL,2023-06-02 19:52,KHRL 021952Z 13013G21KT 10SM SCT040 BKN060 32/23 A2982 RMK AO2 SLP098 T03170228
HRL,2023-06-02 20:52,KHRL 022052Z 12014KT 10SM BKN042 31/23 A2981 RMK AO2 SLP094 T03110228 56017
HRL,2023-06-02 21:52,KHRL 022152Z 12015KT 10SM FEW039 32/22 A2979 RMK AO2 SLP087 T03170222
HRL,2023-06-02 22:52,KHRL 022252Z 12014KT 10SM FEW038 31/22 A2978 RMK AO2 SLP085 T03060222
HRL,2023-06-02 23:52,KHRL 022352Z 11013KT 10SM CLR 29/21 A2977 RMK AO2 SLP080 T02890211 10322 20289 56015
HRL,2023-06-03 00:52,KHRL 030052Z 13015G20KT 10SM CLR 27/21 A2978 RMK AO2 SLP084 T02720211
HRL,2023-06-03 01:52,KHRL 030152Z 13009KT 10SM CLR 26/22 A2980 RMK AO2 SLP089 T02560217
HRL,2023-06-03 02:52,KHRL 030252Z 13008KT 10SM CLR 24/22 A2978 RMK AO2 SLP085 T02390217 50005
HRL,2023-06-03 03:52,KHRL 030352Z 11004KT 10SM CLR 23/22 A2981 RMK AO2 SLP092 T02330217
HRL,2023-06-03 04:52,KHRL 030452Z 09006KT 10SM CLR 22/21 A2979 RMK AO2 SLP087 T02170211
HRL,2023-06-03 05:52,KHRL 030552Z AUTO 16005KT 10SM CLR 22/21 A2979 RMK AO2 SLP088 T02220211 10289 20217 403220217 51003
HRL,2023-06-03 06:52,KHRL 030652Z AUTO 11003KT 10SM CLR 21/21 A2979 RMK AO2 SLP089 T02110211
