station,valid,vsby,skyl1,metar
IAD,2023-05-31 00:52,10.00,14000.00,KIAD 310052Z 11005KT 10SM SCT140 BKN200 19/12 A3013 RMK AO2 SLP200 T01940117
IAD,2023-05-31 01:52,10.00,25000.00,KIAD 310152Z 13005KT 10SM BKN250 18/11 A3014 RMK AO2 SLP204 T01830106
IAD,2023-05-31 02:52,10.00,25000.00,KIAD 310252Z 13004KT 10SM BKN250 17/10 A3016 RMK AO2 SLP212 T01720100 53014
IAD,2023-05-31 03:52,10.00,M,KIAD 310352Z 13005KT 10SM CLR 17/11 A3017 RMK AO2 SLP214 T01670111
IAD,2023-05-31 04:52,10.00,25000.00,KIAD 310452Z 09003KT 10SM FEW250 16/11 A3018 RMK AO2 SLP216 T01560111 402560150
IAD,2023-05-31 05:52,10.00,M,KIAD 310552Z 00000KT 10SM CLR 13/11 A3017 RMK AO2 SLP215 T01330111 10217 20133 50004
IAD,2023-05-31 06:52,10.00,M,KIAD 310652Z 00000KT 10SM CLR 12/10 A3017 RMK AO2 SLP215 T01170100
IAD,2023-05-31 07:52,10.00,M,KIAD 310752Z 00000KT 10SM CLR 11/09 A3016 RMK AO2 SLP211 T01060089
IAD,2023-05-31 08:52,10.00,M,KIAD 310852Z 00000KT 10SM CLR 09/08 A3017 RMK AO2 SLP214 T00940083 55001
IAD,2023-05-31 09:52,10.00,25000.00,KIAD 310952Z 00000KT 10SM FEW250 09/08 A3019 RMK AO2 SLP222 T00940078
IAD,2023-05-31 10:52,10.00,25000.00,KIAD 311052Z 00000KT 10SM FEW250 10/09 A3021 RMK AO2 SLP228 T01000094
IAD,2023-05-31 11:52,10.00,25000.00,KIAD 311152Z 04006KT 10SM FEW250 16/10 A3021 RMK AO2 SLP229 T01560100 10156 20089 51015
IAD,2023-05-31 12:52,10.00,25000.00,KIAD 311252Z 06008KT 10SM FEW250 17/08 A3021 RMK AO2 SLP227 T01720078
IAD,2023-05-31 13:52,10.00,25000.00,KIAD 311352Z 04005KT 10SM FEW250 19/07 A3020 RMK AO2 SLP225 T01890067
IAD,2023-05-31 14:52,10.00,M,KIAD 311452Z 05005KT 10SM CLR 21/06 A3020 RMK AO2 SLP224 T02110061 56005
IAD,2023-05-31 15:52,10.00,M,KIAD 311552Z VRB03KT 10SM CLR 23/06 A3020 RMK AO2 SLP224 T02280061
IAD,2023-05-31 16:52,10.00,M,KIAD 311652Z VRB05KT 10SM CLR 24/05 A3018 RMK AO2 SLP219 T02390050
IAD,2023-05-31 17:52,10.00,M,KIAD 311752Z 00000KT 10SM CLR 25/06 A3016 RMK AO2 SLP213 T02500061 10250 20156 58011
IAD,2023-05-31 18:52,10.00,M,KIAD 311852Z VRB04KT 10SM CLR 26/04 A3015 RMK AO2 SLP207 T02610039
IAD,2023-05-31 19:52,10.00,M,KIAD 311952Z 14003KT 10SM CLR 26/05 A3013 RMK AO2 SLP201 T02610050
IAD,2023-05-31 20:52,10.00,M,KIAD 312052Z 07006KT 10SM CLR 26/05 A3012 RMK AO2 SLP197 T02610050 56015
IAD,2023-05-31 21:52,10.00,M,KIAD 312152Z 11006KT 10SM CLR 26/04 A3011 RMK AO2 SLP195 T02560044
IAD,2023-05-31 22:52,10.00,M,KIAD 312252Z 10006KT 10SM CLR 25/04 A3011 RMK AO2 SLP194 T02500044
IAD,2023-05-31 23:52,10.00,M,KIAD 312352Z 10005KT 10SM CLR 23/03 A3011 RMK AO2 SLP194 T02280028 10267 20228 56003
IAD,2023-06-01 00:52,10.00,M,KIAD 010052Z 11004KT 10SM CLR 19/06 A3011 RMK AO2 SLP194 T01940056
IAD,2023-06-01 01:52,10.00,M,KIAD 010152Z 14004KT 10SM CLR 19/06 A3013 RMK AO2 SLP201 T01890061
IAD,2023-06-01 03:52,10.00,M,KIAD 010352Z 00000KT 10SM CLR 13/09 A3013 RMK AO2 SLP200 T01330094
IAD,2023-06-01 04:52,10.00,M,KIAD 010452Z 00000KT 10SM CLR 12/09 A3012 RMK AO2 SLP197 T01220094 402670089
IAD,2023-06-01 05:52,10.00,M,KIAD 010552Z 00000KT 10SM CLR 12/09 A3011 RMK AO2 SLP195 T01170089 10228 20117 58006
IAD,2023-06-01 06:52,10.00,M,KIAD 010652Z 00000KT 10SM CLR 12/09 A3010 RMK AO2 SLP192 T01220094
