station,valid,metar
IAH,2023-05-31 00:53,KIAH 310053Z 28004KT 8SM -TSRA FEW045CB SCT075 BKN110 BKN250 25/22 A2989 RMK AO2 LTG DSNT N RAB2354 SLP120 OCNL LTGIC SW-NW TS SW-NW MOV LTL P0003 T02500217
IAH,2023-05-31 01:53,KIAH 310153Z 00000KT 10SM -TSRA FEW045CB SCT070 BKN130 BKN250 23/22 A2989 RMK AO2 LTG DSNT ALQDS SLP121 OCNL LTGIC SW-W TS SW-W MOV SW CB DSNT N-NE P0001 T02280222
IAH,2023-05-31 02:53,KIAH 310253Z 36004KT 10SM FEW040 FEW080 BKN150 BKN250 24/21 A2990 RMK AO2 LTG DSNT N AND NW RAE0158 TSE06 SLP124 CB DSNT NW-N P0000 60004 T02390206 51014
IAH,2023-05-31 03:53,KIAH 310353Z 00000KT 10SM FEW040 SCT250 22/21 A2990 RMK AO2 LTG DSNT N SLP126 CB DSNT N MOV W T02170211
IAH,2023-05-31 04:53,KIAH 310453Z 12006KT 10SM FEW040 SCT150 SCT250 22/21 A2987 RMK AO2 SLP115 T02170206
IAH,2023-05-31 05:53,KIAH 310553Z 01005KT 10SM FEW150 FEW250 22/20 A2988 RMK AO2 SLP119 60004 T02220200 10272 20217 403220194 55005
IAH,2023-05-31 06:53,KIAH 310653Z 00000KT 10SM FEW150 21/20 A2987 RMK AO2 SLP115 T02060200
IAH,2023-05-31 07:53,KIAH 310753Z 00000KT 10SM FEW140 21/20 A2988 RMK AO2 SLP117 T02060200
IAH,2023-05-31 08:53,KIAH 310853Z 02004KT 7SM FEW100 21/20 A2989 RMK AO2 SLP122 T02110200 53003
IAH,2023-05-31 09:53,KIAH 310953Z 02003KT 7SM SCT026 BKN130 21/20 A2990 RMK AO2 SLP126 T02110200
IAH,2023-05-31 10:53,KIAH 311053Z 03003KT 7SM SCT022 BKN130 21/20 A2991 RMK AO2 SLP128 T02110200
IAH,2023-05-31 11:53,KIAH 311153Z 03004KT 10SM FEW024 BKN130 21/20 A2992 RMK AO2 SLP132 70004 T02110200 10222 20206 53010
IAH,2023-05-31 12:53,KIAH 311253Z VRB04KT 10SM FEW010 FEW025 SCT130 23/21 A2992 RMK AO2 SLP132 T02280206
IAH,2023-05-31 13:53,KIAH 311353Z 08005KT 10SM FEW015 24/21 A2993 RMK AO2 SLP133 T02440211
IAH,2023-05-31 14:53,KIAH 311453Z 09005KT 10SM SCT020 27/21 A2993 RMK AO2 SLP136 T02670211 53004
IAH,2023-05-31 15:53,KIAH 311553Z 11004KT 10SM SCT028 28/21 A2994 RMK AO2 SLP138 T02830206
