station,valid,vsby,skyl1,metar
IND,2023-05-31 00:54,10.00,5000.00,KIND 310054Z 15005KT 10SM FEW050 SCT140 BKN250 26/16 A2995 RMK AO2 SLP134 TCU DSNT N T02560161 $
IND,2023-05-31 01:54,10.00,5000.00,KIND 310154Z 17007KT 10SM FEW050 SCT140 24/16 A2997 RMK AO2 SLP141 T02440161 $
IND,2023-05-31 02:54,10.00,5000.00,KIND 310254Z 18005KT 10SM FEW050 SCT140 23/16 A2999 RMK AO2 SLP148 T02330156 53016 $
IND,2023-05-31 03:54,10.00,5500.00,KIND 310354Z 15005KT 10SM FEW055 SCT140 22/16 A3000 RMK AO2 SLP151 T02220161 $
IND,2023-05-31 04:54,10.00,14000.00,KIND 310454Z 15004KT 10SM FEW140 22/16 A3001 RMK AO2 SLP154 T02170161 402940178 $
IND,2023-05-31 05:54,10.00,14000.00,KIND 310554Z 10005KT 10SM FEW140 21/16 A3000 RMK AO2 SLP151 T02110161 10272 20211 50003 $
IND,2023-05-31 06:54,10.00,M,KIND 310654Z 11005KT 10SM CLR 21/16 A3000 RMK AO2 SLP151 T02060161 $
IND,2023-05-31 07:54,10.00,16000.00,KIND 310754Z 10006KT 10SM FEW160 20/16 A2999 RMK AO2 SLP148 T02000161 $
IND,2023-05-31 08:54,10.00,M,KIND 310854Z 11007KT 10SM CLR 19/16 A2999 RMK AO2 SLP150 T01940156 55001 $
IND,2023-05-31 09:54,10.00,M,KIND 310954Z 12006KT 10SM CLR 20/16 A3001 RMK AO2 SLP155 T02000156 $
IND,2023-05-31 10:54,10.00,17000.00,KIND 311054Z 10004KT 10SM FEW170 19/16 A3002 RMK AO2 SLP161 T01940156 $
IND,2023-05-31 11:54,10.00,15000.00,KIND 311154Z 13006KT 10SM FEW150 21/16 A3004 RMK AO2 SLP166 T02110161 10211 20189 53016 $
IND,2023-05-31 12:54,10.00,15000.00,KIND 311254Z 12004KT 10SM FEW150 22/17 A3006 RMK AO2 SLP172 T02220167 $
IND,2023-05-31 13:54,10.00,15000.00,KIND 311354Z 13007KT 10SM FEW150 25/17 A3006 RMK AO2 SLP173 T02500172 $
