station,valid,metar
JAX,2023-05-31 00:56,KJAX 310056Z 10005KT 10SM FEW040 BKN090 BKN200 23/18 A2990 RMK AO2 SLP127 T02330178
JAX,2023-05-31 01:56,KJAX 310156Z 22003KT 10SM FEW050 BKN100 BKN200 22/18 A2993 RMK AO2 SLP135 T02220178
JAX,2023-05-31 02:56,KJAX 310256Z 19008KT 10SM BKN070 OVC200 23/17 A2996 RMK AO2 SLP144 T02280167 53024
JAX,2023-05-31 03:56,KJAX 310356Z 18011KT 10SM OVC090 22/16 A2995 RMK AO2 SLP143 T02220161
JAX,2023-05-31 04:56,KJAX 310456Z 34007KT 10SM OVC090 22/17 A2994 RMK AO2 SLP138 T02220172 403000200
JAX,2023-05-31 05:56,KJAX 310556Z 02004KT 10SM OVC100 23/17 A2992 RMK AO2 SLP131 T02280167 10244 20217 58014
JAX,2023-05-31 06:56,KJAX 310656Z 07006KT 10SM OVC090 22/17 A2991 RMK AO2 SLP128 T02170172
JAX,2023-05-31 07:56,KJAX 310756Z 07004KT 10SM OVC090 22/18 A2992 RMK AO2 SLP131 T02170178
JAX,2023-05-31 08:56,KJAX 310856Z 05005KT 10SM SCT080 OVC110 22/18 A2992 RMK AO2 SLP134 T02170178 53003
JAX,2023-05-31 09:56,KJAX 310956Z 00000KT 10SM BKN095 OVC250 21/18 A2994 RMK AO2 SLP138 T02110178
JAX,2023-05-31 10:56,KJAX 311056Z 00000KT 10SM OVC095 21/19 A2996 RMK AO2 SLP144 T02110189
JAX,2023-05-31 11:56,KJAX 311156Z 00000KT 10SM BKN100 OVC250 22/19 A2997 RMK AO2 SLP149 T02220189 10228 20206 53015
JAX,2023-05-31 12:56,KJAX 311256Z 03004KT 10SM FEW020 FEW100 BKN150 BKN250 24/21 A2998 RMK AO2 SLP151 T02390206
JAX,2023-05-31 13:56,KJAX 311356Z 08008KT 10SM SCT020 BKN100 BKN250 27/21 A2998 RMK AO2 SLP151 T02720206
JAX,2023-05-31 14:56,KJAX 311456Z 07012KT 10SM SCT029 BKN100 BKN250 28/20 A2997 RMK AO2 SLP149 T02830200 50000
JAX,2023-05-31 15:56,KJAX 311556Z 08013KT 10SM SCT024 BKN100 BKN250 29/21 A2999 RMK AO2 SLP154 T02890206
JAX,2023-05-31 16:56,KJAX 311656Z 08011KT 10SM SCT026 BKN100 BKN250 28/21 A2998 RMK AO2 SLP152 T02830206
JAX,2023-05-31 17:56,KJAX 311756Z 08013KT 10SM SCT026 BKN100 BKN160 BKN250 29/21 A2997 RMK AO2 SLP150 T02890206 10289 20222 50001
JAX,2023-05-31 18:56,KJAX 311856Z 08015G21KT 10SM SCT024 BKN100 BKN160 BKN250 29/21 A2997 RMK AO2 SLP149 T02940211
JAX,2023-05-31 19:56,KJAX 311956Z 06016KT 10SM SCT024 BKN055 BKN180 BKN250 27/21 A2996 RMK AO2 PK WND 07026/1937 SLP144 T02720206
JAX,2023-05-31 20:56,KJAX 312056Z 08014KT 10SM SCT028 BKN049 BKN180 BKN250 27/21 A2995 RMK AO2 SLP143 T02670206 57007
JAX,2023-05-31 21:56,KJAX 312156Z 06015KT 10SM SCT028 SCT045 BKN180 BKN250 26/19 A2995 RMK AO2 SLP142 T02610194
JAX,2023-05-31 22:56,KJAX 312256Z 07018G24KT 4SM RA SCT019 BKN031 BKN050 OVC250 24/21 A2996 RMK AO2 RAB50 SLP146 P0000 T02440211
JAX,2023-05-31 23:56,KJAX 312356Z 09019G25KT 1SM +RA BR SCT010 BKN031 OVC065 22/21 A2997 RMK AO2 SLP149 P0048 60048 T02220211 10294 20222 53006 RVRNO
JAX,2023-06-01 00:56,KJAX 010056Z 06006KT 10SM FEW015 SCT035 BKN060 BKN130 OVC250 23/22 A2996 RMK AO2 WSHFT 2353 RAE32 SLP147 P0058 T02330217 $
JAX,2023-06-01 01:56,KJAX 010156Z 05006KT 10SM FEW015 SCT045 BKN150 OVC250 23/21 A2996 RMK AO2 SLP147 T02330211 $
JAX,2023-06-01 03:56,KJAX 010356Z 06006KT 10SM FEW035 BKN140 BKN250 23/21 A2997 RMK AO2 SLP148 T02280206 $
JAX,2023-06-01 04:56,KJAX 010456Z 05007KT 10SM FEW016 BKN060 BKN140 BKN220 23/21 A2995 RMK AO2 SLP144 T02280206 402940206 $
JAX,2023-06-01 05:56,KJAX 010556Z 03007KT 10SM FEW060 BKN160 BKN230 22/21 A2993 RMK AO2 SLP134 60058 T02220206 10233 20211 58016 $
JAX,2023-06-01 06:56,KJAX 010656Z 04007KT 10SM BKN024 BKN150 BKN230 23/21 A2992 RMK AO2 SLP132 T02280206 $
JAX,2023-06-01 07:56,KJAX 010756Z 03004KT 10SM FEW035 BKN045 BKN150 23/21 A2991 RMK AO2 SLP130 T02280206 $
JAX,2023-06-01 08:56,KJAX 010856Z 04007KT 10SM SCT045 BKN140 BKN230 22/21 A2991 RMK AO2 SLP128 T02220206 56006 $
JAX,2023-06-01 09:56,KJAX 010956Z 04008KT 10SM BKN120 BKN230 23/21 A2991 RMK AO2 SLP128 T02280206 $
JAX,2023-06-01 10:56,KJAX 011056Z 04007KT 10SM SCT013 BKN110 BKN160 OVC250 23/21 A2992 RMK AO2 SLP133 T02280206 $
JAX,2023-06-01 11:56,KJAX 011156Z 04009KT 10SM FEW013 BKN035 BKN140 BKN250 24/21 A2993 RMK AO2 SLP136 70106 T02390206 10239 20222 53008
JAX,2023-06-01 12:56,KJAX 011256Z 05010KT 10SM FEW018 SCT035 BKN110 BKN250 25/21 A2995 RMK AO2 SLP141 T02500206
JAX,2023-06-01 13:56,KJAX 011356Z 04013KT 10SM BKN018 BKN040 BKN250 26/21 A2995 RMK AO2 SLP142 T02560206
JAX,2023-06-01 14:56,KJAX 011456Z 05014KT 10SM BKN018 BKN040 BKN250 26/21 A2994 RMK AO2 SLP139 T02610206 50003
JAX,2023-06-01 15:56,KJAX 011556Z 04012KT 10SM FEW016 BKN026 BKN050 OVC140 26/21 A2996 RMK AO2 SLP146 T02560206 $
JAX,2023-06-01 16:56,KJAX 011656Z 05014KT 10SM BKN016 OVC026 24/21 A2996 RMK AO2 RAB26E39 SLP147 P0000 T02440211 $
JAX,2023-06-01 17:56,KJAX 011756Z 04015KT 10SM BKN016 OVC026 25/21 A2995 RMK AO2 SLP142 60000 T02500206 10261 20239 50003 $
JAX,2023-06-01 18:56,KJAX 011856Z 05015G21KT 10SM FEW016 BKN026 BKN140 26/21 A2994 RMK AO2 SLP138 T02560206 $
JAX,2023-06-01 19:56,KJAX 011956Z 05013KT 10SM FEW020 BKN026 OVC200 26/20 A2992 RMK AO2 SLP132 T02560200 $
JAX,2023-06-01 20:56,KJAX 012056Z 06015G21KT 10SM BKN026 BKN200 26/20 A2991 RMK AO2 SLP128 T02610200 58014 $
JAX,2023-06-01 21:56,KJAX 012156Z 05013G20KT 10SM SCT030 BKN130 BKN200 27/19 A2990 RMK AO2 SLP126 T02670194 $
JAX,2023-06-01 22:56,KJAX 012256Z 04011KT 10SM SCT025 BKN250 25/19 A2990 RMK AO2 SLP124 T02500189 $
JAX,2023-06-01 23:56,KJAX 012356Z 04007KT 10SM SCT025 SCT130 BKN250 23/19 A2992 RMK AO2 SLP131 T02330194 10267 20233 53003 $
JAX,2023-06-02 00:56,KJAX 020056Z 04006KT 10SM FEW025 SCT130 BKN250 22/19 A2991 RMK AO2 SLP129 T02220189 $
JAX,2023-06-02 01:56,KJAX 020156Z 04003KT 10SM BKN250 22/18 A2991 RMK AO2 SLP128 T02170183 $
JAX,2023-06-02 02:56,KJAX 020256Z 01004KT 10SM BKN250 20/18 A2991 RMK AO2 SLP129 T02000183 55002 $
JAX,2023-06-02 03:56,KJAX 020356Z 00000KT 10SM FEW250 20/18 A2990 RMK AO2 SLP127 T02000178 $
JAX,2023-06-02 04:56,KJAX 020456Z 00000KT 10SM FEW250 20/18 A2989 RMK AO2 SLP123 T02000178 402670194 $
JAX,2023-06-02 05:56,KJAX 020556Z 00000KT 10SM FEW250 19/18 A2987 RMK AO2 SLP116 T01890178 10233 20189 58013 $
JAX,2023-06-02 06:56,KJAX 020656Z 35003KT 10SM FEW250 19/18 A2986 RMK AO2 SLP112 T01890178 $
JAX,2023-06-02 07:56,KJAX 020756Z 00000KT 10SM FEW250 19/18 A2985 RMK AO2 SLP108 T01940183 $
JAX,2023-06-02 08:56,KJAX 020856Z 35005KT 8SM SCT250 19/18 A2984 RMK AO2 SLP106 T01890178 56009 $
JAX,2023-06-02 09:56,KJAX 020956Z 36006KT 8SM FEW020 BKN250 19/18 A2985 RMK AO2 SLP107 T01940183 $
JAX,2023-06-02 10:56,KJAX 021056Z 01004KT 8SM FEW010 SCT200 BKN250 19/18 A2986 RMK AO2 SLP113 T01940183 $
JAX,2023-06-02 11:56,KJAX 021156Z 02005KT 6SM BR SCT003 BKN015 21/19 A2987 RMK AO2 SLP116 T02060194 10206 20183 53009 $
JAX,2023-06-02 12:56,KJAX 021256Z 36008KT 10SM BKN004 BKN250 22/20 A2987 RMK AO2 SLP114 T02220200 $
JAX,2023-06-02 13:56,KJAX 021356Z 02012KT 10SM FEW008 BKN019 BKN250 26/20 A2987 RMK AO2 SLP114 T02560200 $
JAX,2023-06-02 14:56,KJAX 021456Z 05012KT 10SM BKN025 BKN250 27/19 A2986 RMK AO2 SLP112 T02720194 58004 $
JAX,2023-06-02 15:56,KJAX 021556Z 06012G18KT 10SM BKN030 BKN250 27/19 A2985 RMK AO2 SLP109 T02670189 $
JAX,2023-06-02 16:56,KJAX 021656Z 07012G21KT 10SM SCT035 BKN250 28/18 A2984 RMK AO2 SLP106 T02780183
JAX,2023-06-02 17:56,KJAX 021756Z 06015KT 10SM SCT040 BKN250 28/17 A2982 RMK AO2 SLP099 T02830172 10289 20206 58013
JAX,2023-06-02 18:56,KJAX 021856Z 06014KT 10SM SCT040 BKN250 28/18 A2981 RMK AO2 SLP094 T02830178
JAX,2023-06-02 19:56,KJAX 021956Z 05013KT 10SM FEW040 BKN250 28/17 A2979 RMK AO2 SLP088 T02830172
JAX,2023-06-02 20:56,KJAX 022056Z 04014G22KT 10SM FEW012 SCT040 BKN250 28/18 A2978 RMK AO2 SLP083 T02780178 58016
JAX,2023-06-02 21:56,KJAX 022156Z 08012KT 10SM FEW030 BKN250 26/19 A2978 RMK AO2 SLP083 T02610189
JAX,2023-06-02 22:56,KJAX 022256Z 06014KT 10SM FEW030 BKN250 26/19 A2978 RMK AO2 SLP085 T02560189
JAX,2023-06-02 23:56,KJAX 022356Z 06010KT 10SM FEW022 BKN250 24/19 A2980 RMK AO2 SLP090 T02390189 10289 20239 53007
JAX,2023-06-03 00:56,KJAX 030056Z 07008KT 10SM FEW020 BKN250 23/19 A2980 RMK AO2 SLP091 T02280189
JAX,2023-06-03 01:56,KJAX 030156Z 06003KT 10SM FEW020 BKN250 22/19 A2980 RMK AO2 SLP091 T02220189
JAX,2023-06-03 02:56,KJAX 030256Z 33005KT 10SM BKN250 21/19 A2980 RMK AO2 SLP091 T02110189 51001
JAX,2023-06-03 03:56,KJAX 030356Z 00000KT 10SM BKN250 21/19 A2979 RMK AO2 SLP089 T02060189
JAX,2023-06-03 04:56,KJAX 030456Z 00000KT 10SM BKN250 19/18 A2978 RMK AO2 SLP083 T01940183 402890183
JAX,2023-06-03 05:56,KJAX 030556Z 33004KT 10SM BKN250 20/18 A2976 RMK AO2 SLP079 T02000183 10239 20194 58012
JAX,2023-06-03 06:56,KJAX 030656Z 33004KT 10SM BKN250 20/18 A2975 RMK AO2 SLP073 T02000183
JAX,2023-06-03 07:56,KJAX 030756Z 33005KT 10SM BKN250 19/18 A2973 RMK AO2 SLP069 T01940183
JAX,2023-06-03 08:56,KJAX 030856Z 33005KT 10SM SCT004 BKN250 19/19 A2973 RMK AO2 SLP069 T01940189 56010
JAX,2023-06-03 09:56,KJAX 030956Z 34006KT 9SM BKN004 BKN250 19/19 A2974 RMK AO2 SLP071 T01940189
JAX,2023-06-03 10:56,KJAX 031056Z 35006KT 6SM BR OVC004 20/19 A2975 RMK AO2 SLP074 T02000189
JAX,2023-06-03 11:56,KJAX 031156Z 35006KT 9SM BKN003 BKN250 21/19 A2975 RMK AO2 SLP075 T02110194 10211 20194 51007
JAX,2023-06-03 12:56,KJAX 031256Z 02009KT 10SM BKN007 BKN019 BKN250 23/21 A2976 RMK AO2 SLP078 T02280206
JAX,2023-06-03 13:56,KJAX 031356Z 03008KT 10SM BKN014 BKN250 26/20 A2976 RMK AO2 SLP077 T02610200
JAX,2023-06-03 14:56,KJAX 031456Z 05009KT 10SM SCT020 SCT035 BKN250 27/20 A2976 RMK AO2 SLP077 T02670200 51001
JAX,2023-06-03 15:56,KJAX 031556Z 04007G18KT 10SM FEW027 SCT032 BKN039 BKN250 28/20 A2976 RMK AO2 SLP077 T02780200
JAX,2023-06-03 16:56,KJAX 031656Z 06011G18KT 10SM SCT029 BKN042 BKN070 BKN250 28/20 A2975 RMK AO2 SLP076 T02780200
