station,valid,vsby,skyl1,metar
JFK,2023-05-31 00:51,10.00,30000.00,KJFK 310051Z 11010KT 10SM FEW300 13/09 A3020 RMK AO2 SLP226 FU FEW300 T01330089
JFK,2023-05-31 01:51,10.00,30000.00,KJFK 310151Z 10008KT 10SM FEW300 13/09 A3021 RMK AO2 SLP231 FU FEW300 T01280094
JFK,2023-05-31 02:51,10.00,30000.00,KJFK 310251Z 11007KT 10SM FEW300 12/10 A3022 RMK AO2 SLP234 FU FEW300 T01220100 53009
JFK,2023-05-31 03:51,10.00,30000.00,KJFK 310351Z 05004KT 10SM FEW300 11/09 A3022 RMK AO2 SLP234 FU FEW300 T01110094
JFK,2023-05-31 04:51,10.00,30000.00,KJFK 310451Z 05004KT 10SM FEW300 11/09 A3022 RMK AO2 SLP231 FU FEW300 T01110089 401890100
JFK,2023-05-31 05:51,10.00,30000.00,KJFK 310551Z 06003KT 10SM FEW300 11/09 A3021 RMK AO2 SLP230 FU FEW300 T01060089 10150 20106 58004
JFK,2023-05-31 06:51,10.00,30000.00,KJFK 310651Z 04005KT 10SM FEW300 10/08 A3020 RMK AO2 SLP227 FU FEW300 T01000083
JFK,2023-05-31 07:51,10.00,900.00,KJFK 310751Z 06004KT 10SM FEW009 FEW300 10/09 A3020 RMK AO2 SLP226 FU FEW300 T01000089
JFK,2023-05-31 08:51,10.00,900.00,KJFK 310851Z 05004KT 10SM FEW009 FEW300 09/08 A3020 RMK AO2 SLP225 FU FEW300 T00890078 56005
JFK,2023-05-31 09:51,2.50,600.00,KJFK 310951Z 05005KT 2 1/2SM OVC006 10/09 A3022 RMK AO2 SFC VIS 7 SLP233 T01000094
JFK,2023-05-31 10:51,6.00,600.00,KJFK 311051Z 00000KT 6SM BR BKN006 10/09 A3024 RMK AO2 SLP240 T01000094
JFK,2023-05-31 11:51,8.00,600.00,KJFK 311151Z 06003KT 8SM FEW006 SCT250 12/09 A3024 RMK AO2 SLP240 T01170089 10117 20089 50015
JFK,2023-05-31 12:51,10.00,1200.00,KJFK 311251Z 01003KT 10SM FEW012 SCT250 14/08 A3024 RMK AO2 SLP241 T01440083
JFK,2023-05-31 13:51,10.00,1800.00,KJFK 311351Z 00000KT 10SM FEW018 FEW250 17/09 A3024 RMK AO2 SLP240 T01720089
JFK,2023-05-31 14:51,9.00,25000.00,KJFK 311451Z 00000KT 9SM FEW250 19/10 A3023 RMK AO2 SLP235 T01890100 58004
JFK,2023-05-31 15:51,10.00,25000.00,KJFK 311551Z 18009KT 10SM FEW250 19/13 A3022 RMK AO2 SLP234 T01940128
JFK,2023-05-31 16:51,10.00,25000.00,KJFK 311651Z 18008KT 10SM FEW250 SCT300 19/13 A3022 RMK AO2 SLP231 FU SCT300 T01940133
JFK,2023-05-31 17:51,10.00,25000.00,KJFK 311751Z 19007KT 10SM FEW250 FEW300 20/14 A3021 RMK AO2 SLP229 FU FEW300 T02000139 10206 20117 58005
JFK,2023-05-31 18:51,10.00,25000.00,KJFK 311851Z 18009KT 10SM FEW250 FEW300 21/14 A3020 RMK AO2 SLP226 FU FEW300 T02060139
JFK,2023-05-31 19:51,10.00,25000.00,KJFK 311951Z 17005KT 10SM FEW250 SCT300 20/14 A3018 RMK AO2 SLP219 FU SCT300 T02000139
JFK,2023-05-31 20:51,10.00,25000.00,KJFK 312051Z 15010KT 10SM FEW250 SCT300 19/14 A3017 RMK AO2 SLP216 FU SCT300 T01890139 56013
JFK,2023-05-31 21:51,10.00,25000.00,KJFK 312151Z 15009KT 10SM FEW250 SCT300 19/14 A3017 RMK AO2 SLP214 FU SCT300 T01940139
JFK,2023-05-31 22:51,10.00,25000.00,KJFK 312251Z 13008KT 10SM FEW250 SCT300 18/13 A3016 RMK AO2 SLP213 FU SCT300 T01830133
JFK,2023-05-31 23:51,10.00,25000.00,KJFK 312351Z 13005KT 10SM FEW250 FEW300 17/13 A3016 RMK AO2 SLP212 FU FEW300 T01670128 10211 20167 56004
JFK,2023-06-01 00:51,10.00,25000.00,KJFK 010051Z 13004KT 10SM FEW250 FEW300 16/13 A3016 RMK AO2 SLP213 FU FEW300 T01560128
JFK,2023-06-01 01:51,10.00,25000.00,KJFK 010151Z 07003KT 10SM FEW250 FEW300 16/13 A3016 RMK AO2 SLP212 FU FEW300 T01560128
JFK,2023-06-01 02:51,10.00,30000.00,KJFK 010251Z 00000KT 10SM FEW300 15/12 A3016 RMK AO2 SLP211 FU FEW300 T01500122 58001
JFK,2023-06-01 03:51,10.00,30000.00,KJFK 010351Z 00000KT 10SM FEW300 16/13 A3016 RMK AO2 SLP213 FU FEW300 T01560128
JFK,2023-06-01 04:51,10.00,30000.00,KJFK 010451Z 03003KT 10SM FEW300 16/13 A3015 RMK AO2 SLP210 FU FEW300 T01560128 402110089
JFK,2023-06-01 05:51,10.00,30000.00,KJFK 010551Z 00000KT 10SM FEW300 15/12 A3015 RMK AO2 SLP209 FU FEW300 T01500122 10167 20144 58002
JFK,2023-06-01 06:51,10.00,30000.00,KJFK 010651Z 01004KT 10SM FEW300 15/12 A3014 RMK AO2 SLP206 FU FEW300 T01500122
JFK,2023-06-01 07:51,10.00,30000.00,KJFK 010751Z 03003KT 10SM FEW300 14/12 A3012 RMK AO2 SLP199 FU FEW300 T01440122
JFK,2023-06-01 08:51,10.00,30000.00,KJFK 010851Z 01004KT 10SM FEW300 14/12 A3012 RMK AO2 SLP199 FU FEW300 T01440122 56010
JFK,2023-06-01 09:51,10.00,30000.00,KJFK 010951Z 00000KT 10SM FEW300 14/12 A3013 RMK AO2 SLP201 FU FEW300 T01440122
JFK,2023-06-01 10:51,10.00,30000.00,KJFK 011051Z 04003KT 10SM FEW300 17/13 A3013 RMK AO2 SLP202 FU FEW300 T01670133
JFK,2023-06-01 11:51,10.00,30000.00,KJFK 011151Z 00000KT 10SM FEW300 19/14 A3014 RMK AO2 SLP204 FU FEW300 T01890139 10189 20139 53006
JFK,2023-06-01 12:51,10.00,25000.00,KJFK 011251Z 00000KT 10SM FEW250 FEW300 21/14 A3014 RMK AO2 SLP205 FU FEW300 T02110144
JFK,2023-06-01 13:51,10.00,25000.00,KJFK 011351Z 21005KT 10SM FEW250 22/14 A3013 RMK AO2 SLP202 T02170144
JFK,2023-06-01 14:51,10.00,25000.00,KJFK 011451Z 21008KT 10SM FEW250 22/15 A3012 RMK AO2 SLP200 T02220150 58005
JFK,2023-06-01 15:51,10.00,30000.00,KJFK 011551Z 21008KT 10SM FEW300 23/14 A3012 RMK AO2 SLP197 FU FEW300 T02280144
JFK,2023-06-01 16:51,10.00,M,KJFK 011651Z 19007KT 10SM CLR 23/15 A3010 RMK AO2 SLP192 T02330150
JFK,2023-06-01 17:51,10.00,M,KJFK 011751Z 22008KT 10SM CLR 24/14 A3008 RMK AO2 SLP187 T02390144 10244 20189 58013
JFK,2023-06-01 18:51,10.00,M,KJFK 011851Z 19009KT 10SM CLR 23/15 A3007 RMK AO2 SLP183 T02330150
JFK,2023-06-01 19:51,10.00,M,KJFK 011951Z 18009KT 10SM CLR 23/15 A3006 RMK AO2 SLP178 T02330150
JFK,2023-06-01 20:51,10.00,M,KJFK 012051Z 18009KT 10SM CLR 22/16 A3004 RMK AO2 SLP174 T02220156 56014
JFK,2023-06-01 21:51,10.00,M,KJFK 012151Z 19005KT 10SM CLR 22/16 A3002 RMK AO2 SLP166 T02220156
JFK,2023-06-01 22:51,10.00,M,KJFK 012251Z 18006KT 10SM CLR 21/16 A3002 RMK AO2 SLP166 T02060161
JFK,2023-06-01 23:51,10.00,25000.00,KJFK 012351Z 16007KT 10SM FEW250 19/15 A3002 RMK AO2 SLP167 T01940150 10244 20194 55007
JFK,2023-06-02 00:51,10.00,25000.00,KJFK 020051Z 14003KT 10SM FEW250 18/16 A3003 RMK AO2 SLP170 T01780161
JFK,2023-06-02 01:51,10.00,25000.00,KJFK 020151Z 19004KT 10SM FEW250 17/16 A3004 RMK AO2 SLP172 T01670156
JFK,2023-06-02 02:51,10.00,25000.00,KJFK 020251Z 20005KT 10SM FEW250 17/16 A3004 RMK AO2 SLP172 T01670156 50005
JFK,2023-06-02 03:51,10.00,M,KJFK 020351Z 18003KT 10SM CLR 17/16 A3002 RMK AO2 SLP167 T01670156
JFK,2023-06-02 04:51,10.00,M,KJFK 020451Z 22003KT 10SM CLR 17/16 A3001 RMK AO2 SLP163 T01670156 402440139
JFK,2023-06-02 05:51,10.00,M,KJFK 020551Z 22004KT 10SM CLR 16/15 A2999 RMK AO2 SLP156 T01560150 10194 20156 58016
JFK,2023-06-02 06:51,10.00,M,KJFK 020651Z 21004KT 10SM CLR 16/15 A2998 RMK AO2 SLP150 T01610150
JFK,2023-06-02 07:51,10.00,M,KJFK 020751Z 23003KT 10SM CLR 16/16 A2996 RMK AO2 SLP144 T01610156
JFK,2023-06-02 08:51,10.00,M,KJFK 020851Z 18004KT 10SM CLR 16/16 A2995 RMK AO2 SLP141 T01560156 56015
JFK,2023-06-02 09:51,10.00,M,KJFK 020951Z 20006KT 10SM CLR 16/16 A2994 RMK AO2 SLP138 T01610156
JFK,2023-06-02 10:51,10.00,25000.00,KJFK 021051Z 22004KT 10SM FEW250 17/17 A2994 RMK AO2 SLP139 T01720167
JFK,2023-06-02 11:51,10.00,25000.00,KJFK 021151Z 19003KT 10SM FEW250 19/16 A2994 RMK AO2 SLP137 T01890161 10194 20156 56004
JFK,2023-06-02 12:51,10.00,M,KJFK 021251Z 17004KT 10SM CLR 21/16 A2994 RMK AO2 SLP138 T02110156
JFK,2023-06-02 13:51,10.00,M,KJFK 021351Z 17004KT 10SM CLR 23/16 A2993 RMK AO2 SLP136 T02330156
