station,valid,metar
LAX,2023-05-31 00:53,KLAX 310053Z 25015KT 10SM FEW020 BKN055 17/12 A2994 RMK AO2 SLP139 T01720117 $
LAX,2023-05-31 01:53,KLAX 310153Z COR 26013KT 10SM SCT046 BKN055 17/12 A2995 RMK AO2 SLP140 T01670117 $
LAX,2023-05-31 02:53,KLAX 310253Z 26012KT 10SM FEW019 FEW055 16/11 A2995 RMK AO2 SLP140 T01610111 55000 $
LAX,2023-05-31 03:53,KLAX 310353Z COR 25010KT 10SM FEW020 FEW043 BKN050 16/12 A2995 RMK AO2 SLP141 T01560117 $
LAX,2023-05-31 04:53,KLAX 310453Z 24009KT 10SM FEW019 BKN045 BKN050 16/12 A2996 RMK AO2 SLP144 T01560117 $
LAX,2023-05-31 05:53,KLAX 310553Z 27011KT 10SM FEW014 FEW022 BKN045 16/12 A2996 RMK AO2 SLP145 T01560117 10183 20156 51005 $
LAX,2023-05-31 06:53,KLAX 310653Z 26011KT 10SM FEW014 FEW022 BKN045 16/12 A2995 RMK AO2 SLP139 T01560117 $
LAX,2023-05-31 07:53,KLAX 310753Z 27009KT 10SM FEW014 FEW022 BKN032 16/12 A2993 RMK AO2 SLP135 T01560117 401890156 $
LAX,2023-05-31 08:53,KLAX 310853Z 28011KT 10SM FEW014 FEW022 BKN032 15/12 A2992 RMK AO2 SLP131 T01500122 56013 $
LAX,2023-05-31 09:53,KLAX 310953Z 26007KT 10SM FEW012 FEW018 OVC034 15/12 A2992 RMK AO2 SLP128 T01500117 $
LAX,2023-05-31 10:53,KLAX 311053Z 26009KT 10SM FEW012 FEW018 OVC035 16/12 A2991 RMK AO2 SLP125 T01560117 $
LAX,2023-05-31 11:53,KLAX 311153Z 28006KT 10SM FEW012 FEW018 OVC036 16/12 A2989 RMK AO2 SLP121 T01560122 10156 20150 58010 $
LAX,2023-05-31 12:54,KLAX 311254Z 27007KT 10SM FEW015 SCT028 OVC040 16/12 A2990 RMK AO2 SLP122 T01560117 VISNO RWY24 $
LAX,2023-05-31 13:53,KLAX 311353Z 27005KT 10SM FEW016 SCT029 OVC055 16/12 A2990 RMK AO2 SLP125 T01560117 $
LAX,2023-05-31 14:53,KLAX 311453Z 26005KT 10SM FEW015 SCT032 BKN060 16/12 A2991 RMK AO2 SLP126 T01560122 $
LAX,2023-05-31 15:53,KLAX 311553Z 25005KT 10SM FEW019 FEW035 BKN060 17/12 A2991 RMK AO2 SLP128 T01670117 $
LAX,2023-05-31 16:53,KLAX 311653Z 23007KT 10SM FEW020 FEW040 BKN060 18/12 A2991 RMK AO2 SLP128 T01780117 $
LAX,2023-05-31 17:53,KLAX 311753Z 25010KT 10SM FEW020 FEW045 BKN060 18/12 A2992 RMK AO2 SLP131 T01830117 10189 20150 53005 $
LAX,2023-05-31 18:53,KLAX 311853Z 25010KT 10SM SCT024 SCT047 BKN065 19/12 A2993 RMK AO2 SLP133 T01940122 $
LAX,2023-05-31 19:53,KLAX 311953Z 24011KT 10SM SCT025 SCT049 BKN060 20/12 A2992 RMK AO2 SLP133 T02000117 $
LAX,2023-05-31 20:53,KLAX 312053Z 24010KT 10SM SCT019 SCT033 BKN046 18/11 A2993 RMK AO2 SLP133 T01830106 51002 $
LAX,2023-05-31 21:53,KLAX 312153Z 24012KT 10SM FEW023 SCT029 SCT048 19/12 A2993 RMK AO2 SLP133 T01890122
LAX,2023-05-31 22:53,KLAX 312253Z 24011KT 10SM SCT021 OVC029 17/12 A2992 RMK AO2 SLP130 T01670117
LAX,2023-05-31 23:53,KLAX 312353Z 25010KT 10SM OVC025 17/12 A2991 RMK AO2 SLP126 T01670117 10200 20167 58006
LAX,2023-06-01 00:53,KLAX 010053Z 22008KT 10SM BKN020 OVC027 16/12 A2990 RMK AO2 SLP125 T01610122
LAX,2023-06-01 01:53,KLAX 010153Z 26006KT 10SM BKN022 OVC029 16/12 A2990 RMK AO2 SLP122 T01610122
LAX,2023-06-01 03:53,KLAX 010353Z 24005KT 10SM OVC035 16/12 A2991 RMK AO2 CIG 027 RWY24 SLP126 T01610122
LAX,2023-06-01 04:53,KLAX 010453Z 26004KT 10SM OVC032 16/12 A2991 RMK AO2 SLP127 T01610122
LAX,2023-06-01 05:53,KLAX 010553Z 00000KT 10SM FEW011 FEW018 OVC032 17/12 A2991 RMK AO2 SLP127 T01670122 10167 20161 51003
