station,valid,metar
LBB,2023-05-31 00:53,KLBB 310053Z 15013KT 10SM FEW050 BKN250 28/14 A2989 RMK AO2 SLP073 CB DSNT SW MOV NE T02830144
LBB,2023-05-31 01:53,KLBB 310153Z 14009KT 10SM FEW050 SCT250 26/15 A2990 RMK AO2 SLP076 T02610150
LBB,2023-05-31 02:53,KLBB 310253Z COR 13014KT 10SM FEW250 24/17 A2990 RMK AO2 SLP074 T02440167 53001
LBB,2023-05-31 03:53,KLBB 310353Z 13014KT 10SM FEW250 24/17 A2991 RMK AO2 SLP078 T02390167
LBB,2023-05-31 04:53,KLBB 310453Z 14015KT 10SM FEW090 FEW200 23/16 A2991 RMK AO2 SLP076 T02280161
LBB,2023-05-31 05:53,KLBB 310553Z 14008KT 10SM FEW120 22/17 A2991 RMK AO2 SLP077 T02170167 10294 20217 403000167 51004
LBB,2023-05-31 06:53,KLBB 310653Z 12010KT 10SM BKN150 21/17 A2992 RMK AO2 SLP079 T02060167
LBB,2023-05-31 07:53,KLBB 310753Z 08007KT 10SM BKN150 19/17 A2994 RMK AO2 SLP086 T01940167
LBB,2023-05-31 08:53,KLBB 310853Z 11011KT 10SM BKN150 BKN180 19/17 A2993 RMK AO2 SLP084 T01940167 50006
LBB,2023-05-31 09:53,KLBB 310953Z 14014KT 10SM SCT140 BKN170 20/16 A2992 RMK AO2 SLP078 T02000161
LBB,2023-05-31 10:53,KLBB 311053Z 07012G21KT 10SM FEW024 SCT140 BKN170 19/16 A2996 RMK AO2 SLP094 T01940161
LBB,2023-05-31 11:53,KLBB 311153Z 08014KT 10SM OVC024 19/16 A2997 RMK AO2 SLP099 T01940161 10217 20194 53013
LBB,2023-05-31 12:53,KLBB 311253Z 08011KT 10SM FEW015 SCT024 SCT140 BKN170 19/14 A2999 RMK AO2 SLP107 CB DSNT NE MOV NE T01940144
LBB,2023-05-31 13:53,KLBB 311353Z 06021G26KT 10SM SCT015 OVC022 18/15 A3002 RMK AO2 PK WND 06026/1353 SLP122 T01830150
