station,valid,vsby,skyl1,metar
MCI,2023-05-31 00:53,10.00,6000.00,KMCI 310053Z COR 23012G22KT 10SM VCTS SCT060CB BKN100 OVC200 22/16 A2991 RMK AO2 PK WND 23027/0038 LTG DSNT ALQDS TS VC SW MOV NE SLP118 T02220161
MCI,2023-05-31 01:53,10.00,11000.00,KMCI 310153Z 00000KT 10SM -RA BKN110 OVC130 20/16 A2990 RMK AO2 LTG DSNT NE AND E RAB40 SLP115 P0000 T02000161
MCI,2023-05-31 02:53,10.00,11000.00,KMCI 310253Z 13008KT 10SM -RA OVC110 20/18 A2990 RMK AO2 LTG DSNT NE SLP116 P0002 60002 T02000178 55002
MCI,2023-05-31 03:53,10.00,15000.00,KMCI 310353Z 20009KT 10SM -RA OVC150 18/18 A2989 RMK AO2 RAE18B45 SLP112 P0000 T01780178
MCI,2023-05-31 04:53,10.00,12000.00,KMCI 310453Z 26008KT 10SM SCT120 BKN250 18/17 A2991 RMK AO2 RAE07 SLP118 P0000 T01780172
MCI,2023-05-31 05:53,10.00,13000.00,KMCI 310553Z 10005KT 10SM BKN130 BKN250 18/17 A2989 RMK AO2 SLP112 60002 T01830172 10244 20172 402940167 58003
MCI,2023-05-31 06:53,10.00,600.00,KMCI 310653Z VRB05KT 10SM TS FEW006 BKN110CB BKN250 17/17 A2989 RMK AO2 LTG DSNT SW AND W TSB50 SLP113 FRQ LTGIC SW TS SW MOV SE T01720172
MCI,2023-05-31 07:53,10.00,600.00,KMCI 310753Z 23008KT 10SM TS FEW006 BKN070CB BKN250 17/17 A2990 RMK AO2 LTG DSNT SW-NW SLP116 CONS LTGICCCCG W TS W MOV SE T01670167
MCI,2023-05-31 08:53,10.00,600.00,KMCI 310853Z 23005KT 10SM TS FEW006 BKN060CB OVC240 17/17 A2991 RMK AO2 LTG DSNT SW-NW SLP119 CONS LTGICCCCG W TS W MOV E T01720167 53007
MCI,2023-05-31 09:53,9.00,6000.00,KMCI 310953Z 22010KT 9SM -TSRA SCT060CB OVC120 18/18 A2990 RMK AO2 LTG DSNT SW-NW RAB38 SLP115 OCNL LTGIC OHD TS OHD MOV E P0001 T01780178
MCI,2023-05-31 10:53,7.00,6000.00,KMCI 311053Z 23011KT 7SM -TSRA FEW060CB BKN110 BKN250 18/18 A2990 RMK AO2 LTG DSNT S AND NW SLP117 OCNL LTGIC OHD TS OHD MOV E P0009 T01830178
MCI,2023-05-31 11:53,10.00,6000.00,KMCI 311153Z 23006KT 10SM -RA FEW060 BKN110 OVC250 18/18 A2992 RMK AO2 TSE20 SLP123 P0004 60014 70016 T01780178 10183 20167 53002
MCI,2023-05-31 12:53,10.00,7000.00,KMCI 311253Z 26008KT 10SM -RA FEW070 OVC100 18/18 A2995 RMK AO2 SLP135 P0000 T01830178
MCI,2023-05-31 13:53,10.00,9000.00,KMCI 311353Z 19005KT 10SM OVC090 18/18 A2995 RMK AO2 RAE49 SLP135 P0001 T01830178
MCI,2023-05-31 14:53,10.00,1000.00,KMCI 311453Z 18005KT 10SM FEW010 BKN120 OVC160 20/18 A2994 RMK AO2 SLP131 60001 T02000178 50008
MCI,2023-05-31 15:53,10.00,1000.00,KMCI 311553Z 16012KT 10SM FEW010 SCT120 OVC170 20/18 A2995 RMK AO2 SLP134 T02000183
MCI,2023-05-31 16:53,10.00,1400.00,KMCI 311653Z 16006KT 10SM SCT014 BKN160 21/18 A2995 RMK AO2 SLP135 T02060183
MCI,2023-05-31 17:53,10.00,1500.00,KMCI 311753Z 18005KT 10SM FEW015 SCT120 BKN180 21/18 A2994 RMK AO2 SLP131 60001 T02110183 10211 20178 50000
MCI,2023-05-31 18:53,10.00,1500.00,KMCI 311853Z 13006KT 10SM FEW015 FEW070 SCT130 BKN200 22/18 A2993 RMK AO2 SLP125 T02220183
MCI,2023-05-31 19:53,10.00,2000.00,KMCI 311953Z 13008KT 10SM FEW020 BKN120 BKN200 24/19 A2992 RMK AO2 SLP125 T02390189
MCI,2023-05-31 20:53,10.00,6000.00,KMCI 312053Z 13007KT 10SM SCT060 SCT200 25/19 A2991 RMK AO2 SLP121 T02500194 56010
MCI,2023-05-31 21:53,10.00,7000.00,KMCI 312153Z 14007KT 10SM FEW070 SCT200 26/20 A2989 RMK AO2 LTG DSNT W SLP113 T02610200
MCI,2023-05-31 22:53,10.00,4500.00,KMCI 312253Z 12006KT 10SM BKN045 BKN200 26/20 A2988 RMK AO2 LTG DSNT W SLP110 T02560200
MCI,2023-05-31 23:53,10.00,3800.00,KMCI 312353Z 10006KT 10SM TS BKN038CB BKN150 25/20 A2987 RMK AO2 LTG DSNT SW AND W TSB42 SLP107 TS SW-W MOV NE T02500200 10261 20211 56012
MCI,2023-06-01 00:53,4.00,3000.00,KMCI 010053Z 17007KT 130V230 4SM R19R/6000VP6000FT -TSRA BR BKN030 BKN075CB OVC095 20/18 A2991 RMK AO2 PK WND 30033/0020 LTG DSNT SW RAB19 TSE2357B2358E13B14 SLP122 TS ALQDS MOV E P0103 T02000178 $
MCI,2023-06-01 01:53,9.00,3900.00,KMCI 010153Z 10007KT 9SM -TSRA BKN039CB BKN100 BKN110 21/18 A2989 RMK AO2 LTG DSNT E TSE33B45 SLP115 TS W-NW MOV E P0002 T02110178 $
MCI,2023-06-01 02:10,7.00,9000.00,KMCI 010210Z 15007KT 7SM -RA BKN090 OVC110 21/18 A2990 RMK AO2 TSE05 P0001 T02060183 $
MCI,2023-06-01 02:10,7.00,9000.00,KMCI 010210Z AUTO 15007KT 7SM -RA BKN090 OVC110 21/18 A2990 RMK P0001 T02100180 MADISHF
MCI,2023-06-01 03:53,10.00,20000.00,KMCI 010353Z 14008KT 10SM OVC200 20/19 A2992 RMK AO2 SLP122 T02000189 $
MCI,2023-06-01 04:53,10.00,11000.00,KMCI 010453Z 14010KT 10SM FEW110 BKN250 21/19 A2992 RMK AO2 SLP123 T02060189 $
MCI,2023-06-01 05:53,10.00,11000.00,KMCI 010553Z 14008KT 10SM FEW110 BKN250 21/19 A2992 RMK AO2 SLP125 60106 T02060189 10256 20194 402610167 51005 $
MCI,2023-06-01 06:53,10.00,12000.00,KMCI 010653Z 16008KT 10SM FEW120 BKN250 20/19 A2992 RMK AO2 SLP124 T02000189 $
