station,valid,vsby,skyl1,metar
MCO,2023-05-31 00:53,10.00,9500.00,KMCO 310053Z COR 11010KT 10SM FEW095 SCT150 BKN250 26/18 A2992 RMK AO2 SLP128 T02560183
MCO,2023-05-31 01:53,10.00,15000.00,KMCO 310153Z 09008KT 10SM FEW150 BKN250 25/19 A2992 RMK AO2 SLP130 T02500189
MCO,2023-05-31 02:53,10.00,15000.00,KMCO 310253Z 09007KT 10SM FEW150 SCT250 24/19 A2993 RMK AO2 SLP132 T02440194 51008
MCO,2023-05-31 03:53,10.00,25000.00,KMCO 310353Z 10007KT 10SM SCT250 24/20 A2994 RMK AO2 SLP136 T02390200
MCO,2023-05-31 04:53,10.00,25000.00,KMCO 310453Z 10007KT 10SM SCT250 23/19 A2993 RMK AO2 SLP134 T02330194 403170189
MCO,2023-05-31 05:53,10.00,25000.00,KMCO 310553Z 10003KT 10SM SCT250 23/19 A2992 RMK AO2 SLP130 T02330194 10272 20233 58002
MCO,2023-05-31 06:53,10.00,25000.00,KMCO 310653Z 07006KT 10SM SCT250 23/19 A2990 RMK AO2 SLP123 T02280194
MCO,2023-05-31 07:53,10.00,25000.00,KMCO 310753Z 09004KT 10SM FEW250 23/20 A2990 RMK AO2 SLP123 T02280200
MCO,2023-05-31 08:53,10.00,6000.00,KMCO 310853Z 08006KT 10SM FEW060 FEW250 22/20 A2991 RMK AO2 SLP125 T02220200 55005
MCO,2023-05-31 09:53,10.00,6000.00,KMCO 310953Z 07005KT 10SM FEW060 BKN250 22/20 A2991 RMK AO2 SLP127 T02220200
MCO,2023-05-31 10:53,10.00,12000.00,KMCO 311053Z 06005KT 10SM SCT120 BKN250 23/20 A2992 RMK AO2 SLP131 T02330200
MCO,2023-05-31 11:53,10.00,14000.00,KMCO 311153Z 07006KT 10SM SCT140 BKN250 23/20 A2993 RMK AO2 SLP134 T02330200 10239 20222 53009
MCO,2023-05-31 12:53,10.00,10000.00,KMCO 311253Z 09007KT 10SM FEW100 BKN140 BKN250 25/20 A2995 RMK AO2 SLP139 T02500200
MCO,2023-05-31 13:53,10.00,16000.00,KMCO 311353Z 09009KT 10SM SCT160 BKN250 27/21 A2994 RMK AO2 SLP137 T02670206
MCO,2023-05-31 14:53,10.00,3000.00,KMCO 311453Z 09010KT 10SM FEW030 FEW160 BKN250 28/19 A2994 RMK AO2 SLP136 T02830194 50001
MCO,2023-05-31 15:53,10.00,3900.00,KMCO 311553Z 08013G23KT 10SM BKN039 OVC250 29/19 A2994 RMK AO2 SLP137 T02890189
MCO,2023-05-31 16:53,10.00,4100.00,KMCO 311653Z 09013G26KT 10SM SCT041 SCT150 BKN250 29/19 A2994 RMK AO2 PK WND 08026/1644 SLP137 T02940194
MCO,2023-05-31 17:53,10.00,4000.00,KMCO 311753Z 09013KT 10SM SCT040 SCT140 BKN250 29/18 A2994 RMK AO2 SLP137 T02940183 10300 20233 51001
MCO,2023-05-31 18:53,10.00,3900.00,KMCO 311853Z 09016G22KT 10SM FEW039 FEW140 BKN250 30/19 A2992 RMK AO2 SLP130 T03000189
MCO,2023-05-31 19:53,10.00,4500.00,KMCO 311953Z 09015G22KT 10SM FEW045 FEW140 BKN250 29/19 A2990 RMK AO2 SLP124 T02940189
MCO,2023-05-31 20:53,10.00,4200.00,KMCO 312053Z 07015KT 10SM FEW042 FEW140 BKN250 29/18 A2989 RMK AO2 SLP121 T02890183 56016
MCO,2023-05-31 21:53,10.00,7000.00,KMCO 312153Z COR 08016KT 10SM FEW070 FEW140 BKN250 BKN300 27/19 A2991 RMK AO2 SLP125 T02720189
MCO,2023-05-31 22:53,10.00,7000.00,KMCO 312253Z 07009G18KT 10SM FEW070 FEW140 BKN210 OVC300 27/19 A2992 RMK AO2 PK WND 10027/2157 SLP130 T02670189
MCO,2023-05-31 23:53,10.00,6000.00,KMCO 312353Z 07009KT 10SM -RA FEW060 FEW100 BKN130 OVC210 25/19 A2992 RMK AO2 RAB41 SLP131 P0000 60000 T02500194 10306 20250 51010
MCO,2023-06-01 00:53,10.00,6000.00,KMCO 010053Z 07006KT 10SM -RA FEW060 BKN080 OVC130 25/19 A2993 RMK AO2 RAE02B49 SLP133 P0000 T02500194
MCO,2023-06-01 01:53,10.00,8000.00,KMCO 010153Z 08007KT 10SM FEW080 SCT110 BKN140 OVC250 25/19 A2994 RMK AO2 RAE04 SLP135 P0000 T02500194
MCO,2023-06-01 03:53,10.00,3000.00,KMCO 010353Z 07007KT 10SM -RA FEW030 FEW110 OVC130 23/20 A2991 RMK AO2 SLP127 P0000 T02330200
MCO,2023-06-01 04:53,10.00,3000.00,KMCO 010453Z 06010KT 10SM FEW030 BKN110 OVC150 23/21 A2988 RMK AO2 RAE49 SLP116 P0000 T02280206 403060222
MCO,2023-06-01 05:53,10.00,2000.00,KMCO 010553Z 06005KT 10SM FEW020 SCT110 OVC150 23/21 A2988 RMK AO2 SLP117 60001 T02330206 10256 20228 55020
MCO,2023-06-01 06:53,10.00,2500.00,KMCO 010653Z 08003KT 10SM SCT025 BKN045 OVC120 23/21 A2988 RMK AO2 RAB0554E41 SLP116 P0000 T02330206
MCO,2023-06-01 07:53,10.00,2000.00,KMCO 010753Z 03008KT 10SM SCT020 SCT065 BKN120 23/20 A2987 RMK AO2 SLP112 T02280200
MCO,2023-06-01 08:53,10.00,2500.00,KMCO 010853Z 03007KT 10SM FEW025 FEW060 SCT120 23/21 A2986 RMK AO2 SLP111 60000 T02280206 58006
