station,valid,metar
MEM,2023-05-31 00:54,KMEM 310054Z COR 11008KT 10SM BKN095 BKN250 27/14 A2991 RMK AO2 SLP125 T02720144 $
MEM,2023-05-31 01:54,KMEM 310154Z 14004KT 10SM BKN095 BKN250 27/16 A2992 RMK AO2 SLP127 T02670156 $
MEM,2023-05-31 02:54,KMEM 310254Z 10006KT 10SM BKN100 OVC250 26/16 A2993 RMK AO2 SLP131 T02610161 53008 $
MEM,2023-05-31 03:54,KMEM 310354Z VRB06KT 10SM BKN100 OVC250 26/16 A2995 RMK AO2 SLP139 T02610161 $
MEM,2023-05-31 04:54,KMEM 310454Z 11003KT 10SM BKN100 OVC250 26/16 A2996 RMK AO2 SLP139 T02560161 $
MEM,2023-05-31 05:54,KMEM 310554Z 13004KT 10SM BKN095 24/17 A2994 RMK AO2 SLP135 T02440167 10283 20244 403060172 50004 $
MEM,2023-05-31 06:54,KMEM 310654Z 14004KT 10SM BKN100 24/16 A2994 RMK AO2 SLP133 T02390161 $
MEM,2023-05-31 07:54,KMEM 310754Z 15004KT 10SM BKN100 23/16 A2993 RMK AO2 SLP131 T02330161 $
MEM,2023-05-31 08:54,KMEM 310854Z 14005KT 10SM BKN100 23/16 A2993 RMK AO2 SLP132 T02280161 55003 $
MEM,2023-05-31 09:54,KMEM 310954Z 14005KT 10SM BKN100 22/16 A2994 RMK AO2 SLP135 T02220161 $
MEM,2023-05-31 10:54,KMEM 311054Z 14003KT 10SM FEW100 BKN250 22/16 A2995 RMK AO2 SLP138 T02170161 $
MEM,2023-05-31 11:54,KMEM 311154Z 14005KT 10SM BKN100 BKN250 22/16 A2998 RMK AO2 SLP148 T02220161 10244 20217 53016
MEM,2023-05-31 12:54,KMEM 311254Z 13005KT 10SM FEW002 BKN100 BKN250 24/17 A3000 RMK AO2 SLP154 FU FEW002 T02440167
MEM,2023-05-31 13:54,KMEM 311354Z 15003KT 10SM SCT100 BKN250 27/17 A3001 RMK AO2 SLP157 T02670167
MEM,2023-05-31 14:54,KMEM 311454Z 14005KT 10SM FEW110 SCT250 28/16 A3000 RMK AO2 SLP155 T02780156 50007
MEM,2023-05-31 15:54,KMEM 311554Z 09005KT 10SM SCT048 SCT090 BKN250 29/16 A3000 RMK AO2 SLP154 T02890161
MEM,2023-05-31 16:54,KMEM 311654Z VRB05KT 10SM SCT048 BKN090 BKN250 28/16 A3000 RMK AO2 SLP154 T02830156
MEM,2023-05-31 17:54,KMEM 311754Z 12006KT 10SM SCT060 SCT100 BKN250 29/16 A2999 RMK AO2 SLP149 T02940156 10300 20222 58006
MEM,2023-05-31 18:54,KMEM 311854Z 11007KT 10SM SCT050 BKN100 BKN250 29/16 A2997 RMK AO2 SLP145 T02890156 $
MEM,2023-05-31 19:54,KMEM 311954Z VRB04KT 10SM SCT050 BKN100 BKN250 30/16 A2996 RMK AO2 SLP140 T03000156 $
MEM,2023-05-31 20:54,KMEM 312054Z 17008KT 10SM SCT060 SCT080 BKN110 BKN250 31/16 A2995 RMK AO2 SLP136 T03110156 56013 $
MEM,2023-05-31 21:54,KMEM 312154Z 13006KT 10SM FEW060 SCT120 BKN250 30/15 A2994 RMK AO2 SLP134 T03000150 $
MEM,2023-05-31 22:54,KMEM 312254Z 14007KT 10SM FEW060 SCT130 BKN250 30/15 A2992 RMK AO2 SLP128 T03000150 $
MEM,2023-05-31 23:54,KMEM 312354Z 14008KT 10SM FEW060 SCT100 BKN250 29/16 A2992 RMK AO2 SLP126 T02940156 10317 20289 58010 $
MEM,2023-06-01 00:54,KMEM 010054Z 13009KT 10SM FEW060 FEW100 BKN250 28/16 A2992 RMK AO2 SLP127 T02830161 $
MEM,2023-06-01 01:54,KMEM 010154Z 16007KT 10SM FEW065 SCT250 27/17 A2993 RMK AO2 SLP130 T02670167 $
MEM,2023-06-01 02:54,KMEM 010254Z 14004KT 10SM FEW100 FEW250 26/17 A2996 RMK AO2 SLP139 T02610167 53013 $
MEM,2023-06-01 03:54,KMEM 010354Z 11004KT 10SM FEW250 26/17 A2997 RMK AO2 SLP143 T02560172 $
MEM,2023-06-01 04:54,KMEM 010454Z 12003KT 10SM CLR 25/18 A2997 RMK AO2 SLP144 T02500178 $
MEM,2023-06-01 05:54,KMEM 010554Z VRB03KT 10SM CLR 24/18 A2997 RMK AO2 SLP143 T02390178 10294 20239 403170217 50004 $
