station,valid,vsby,skyl1,metar
MIA,2023-05-31 00:53,6.00,3400.00,KMIA 310053Z 10006KT 6SM TSRA BR BKN034CB BKN060 OVC070 23/22 A2992 RMK AO2 LTG DSNT ALQDS RAB03 SLP132 CONS LTGICCCCACG OHD TS OHD MOV NE P0072 T02280217
MIA,2023-05-31 01:53,10.00,3000.00,KMIA 310153Z VRB04KT 10SM FEW030 FEW060 SCT090 OVC250 24/22 A2991 RMK AO2 LTG DSNT N AND NE RAE18 TSE23 SLP127 FRQ LTGIC DSNT NE TS MOV NE CB DSNT NE MOV NE P0008 T02390217 $
MIA,2023-05-31 02:53,10.00,9000.00,KMIA 310253Z VRB03KT 10SM SCT090 BKN130 OVC250 24/22 A2990 RMK AO2 LTG DSNT SE SLP124 60080 T02440222 58001 $
MIA,2023-05-31 03:53,10.00,9000.00,KMIA 310353Z 09006KT 10SM FEW090 BKN150 OVC250 25/23 A2990 RMK AO2 SLP126 T02500228 $
MIA,2023-05-31 04:53,10.00,9000.00,KMIA 310453Z 08005KT 10SM BKN090 BKN150 OVC250 25/23 A2988 RMK AO2 SLP119 FRQ LTGICCC DSNT NE CB DSNT NE MOV NE T02500233 403280222 $
MIA,2023-05-31 05:53,10.00,1500.00,KMIA 310553Z 15004KT 10SM FEW015 BKN080 BKN150 OVC250 26/23 A2988 RMK AO2 SLP119 OCNL LTGICCC DSNT NE CB DSNT NE MOV NE 60080 T02560233 10256 20222 58005 $
MIA,2023-05-31 06:53,10.00,2000.00,KMIA 310653Z 10005KT 10SM FEW020 BKN090 OVC250 25/23 A2986 RMK AO2 SLP113 T02500228 $
MIA,2023-05-31 07:53,10.00,9000.00,KMIA 310753Z 09005KT 10SM BKN090 OVC250 26/22 A2985 RMK AO2 SLP108 T02560222 $
MIA,2023-05-31 08:53,10.00,11000.00,KMIA 310853Z 00000KT 10SM BKN110 OVC250 26/23 A2985 RMK AO2 SLP108 T02560228 56011 $
MIA,2023-05-31 09:53,10.00,2500.00,KMIA 310953Z 00000KT 10SM FEW025 FEW090 BKN150 OVC250 26/23 A2986 RMK AO2 SLP112 T02560228 $
