station,valid,vsby,skyl1,metar
MSN,2023-05-31 00:53,10.00,25000.00,KMSN 310053Z 15006KT 10SM SCT250 28/10 A2991 RMK AO2 SLP122 T02830100
MSN,2023-05-31 01:53,10.00,9500.00,KMSN 310153Z 14007KT 10SM SCT095 26/11 A2992 RMK AO2 SLP127 T02610106
MSN,2023-05-31 02:53,10.00,9500.00,KMSN 310253Z 13005KT 10SM BKN095 25/11 A2995 RMK AO2 SLP134 T02500111 53013
MSN,2023-05-31 03:53,10.00,9500.00,KMSN 310353Z 15005KT 10SM SCT095 24/11 A2995 RMK AO2 SLP137 LAST T02390111
MSN,2023-05-31 04:53,10.00,11000.00,KMSN 310453Z AUTO 00000KT 10SM FEW110 20/12 A2995 RMK AO2 SLP135 T02000117
MSN,2023-05-31 05:53,10.00,M,KMSN 310553Z AUTO 00000KT 10SM CLR 19/12 A2993 RMK AO2 SLP130 T01890117 10294 20189 403110106 58005
MSN,2023-05-31 06:53,10.00,M,KMSN 310653Z AUTO 00000KT 10SM CLR 17/12 A2993 RMK AO2 SLP130 T01720117
MSN,2023-05-31 07:53,10.00,M,KMSN 310753Z AUTO 00000KT 10SM CLR 17/12 A2994 RMK AO2 SLP133 T01720117
MSN,2023-05-31 08:53,10.00,M,KMSN 310853Z AUTO 00000KT 10SM CLR 16/12 A2996 RMK AO2 SLP139 T01560122 53008
MSN,2023-05-31 09:53,10.00,10000.00,KMSN 310953Z AUTO 00000KT 10SM FEW100 15/12 A2997 RMK AO2 SLP143 T01500117
MSN,2023-05-31 10:53,10.00,13000.00,KMSN 311053Z 00000KT 10SM SCT130 16/12 A2997 RMK AO2 SLP144 T01560117
MSN,2023-05-31 11:53,10.00,15000.00,KMSN 311153Z 00000KT 10SM FEW150 FEW250 18/13 A2998 RMK AO2 SLP146 T01830133 10189 20144 51007
MSN,2023-05-31 12:53,10.00,18000.00,KMSN 311253Z 18004KT 10SM FEW180 FEW250 22/12 A2998 RMK AO2 SLP145 T02220122
MSN,2023-05-31 13:53,10.00,11000.00,KMSN 311353Z 18004KT 10SM FEW110 FEW250 24/13 A2998 RMK AO2 SLP147 T02390128
MSN,2023-05-31 14:53,10.00,11000.00,KMSN 311453Z 18003KT 10SM BKN110 BKN250 26/13 A2999 RMK AO2 SLP150 T02610133 53004
MSN,2023-05-31 15:53,10.00,8000.00,KMSN 311553Z 00000KT 10SM FEW080 BKN100 BKN250 28/14 A3000 RMK AO2 SLP152 T02780139
MSN,2023-05-31 16:53,10.00,9000.00,KMSN 311653Z 16007KT 10SM FEW090 BKN140 BKN250 30/11 A3000 RMK AO2 SLP151 T03000111
