station,valid,metar
MSP,2023-05-31 00:53,KMSP 310053Z 12009KT 10SM FEW070 BKN100 BKN250 27/14 A2981 RMK AO2 SLP090 CB DSNT NE-SE MOV NE T02670144
MSP,2023-05-31 01:53,KMSP 310153Z 16007KT 10SM FEW070 FEW100 BKN250 26/15 A2983 RMK AO2 SLP095 ACC DSNT W T02560150
MSP,2023-05-31 02:53,KMSP 310253Z 14006KT 10SM FEW100 SCT250 25/16 A2984 RMK AO2 SLP100 T02500156 53012
MSP,2023-05-31 03:53,KMSP 310353Z 14006KT 10SM FEW100 SCT250 24/14 A2985 RMK AO2 SLP102 T02390144
MSP,2023-05-31 04:53,KMSP 310453Z 14004KT 10SM FEW250 23/15 A2984 RMK AO2 SLP098 T02280150
MSP,2023-05-31 05:53,KMSP 310553Z 15005KT 10SM FEW250 21/15 A2986 RMK AO2 SLP106 T02110150 10300 20211 403220172 53006
MSP,2023-05-31 06:53,KMSP 310653Z 14005KT 10SM CLR 21/15 A2987 RMK AO2 SLP109 T02060150
MSP,2023-05-31 07:53,KMSP 310753Z 13003KT 10SM CLR 20/15 A2986 RMK AO2 SLP107 T02000150
MSP,2023-05-31 08:53,KMSP 310853Z 13005KT 10SM CLR 19/15 A2987 RMK AO2 SLP108 T01940150 51002
MSP,2023-05-31 09:53,KMSP 310953Z 14004KT 10SM FEW250 19/14 A2987 RMK AO2 SLP108 T01890144
MSP,2023-05-31 10:53,KMSP 311053Z 14005KT 10SM FEW090 BKN250 19/14 A2988 RMK AO2 SLP112 T01890144
MSP,2023-05-31 11:53,KMSP 311153Z 16006KT 10SM SCT250 20/14 A2988 RMK AO2 SLP113 T02000144 10217 20189 53005
MSP,2023-05-31 12:53,KMSP 311253Z 18008KT 10SM FEW250 22/14 A2989 RMK AO2 SLP117 T02220139
MSP,2023-05-31 13:53,KMSP 311353Z 18011KT 10SM FEW220 FEW250 24/15 A2990 RMK AO2 SLP120 T02440150
MSP,2023-05-31 14:53,KMSP 311453Z 23011G17KT 10SM FEW220 FEW250 27/16 A2991 RMK AO2 SLP123 T02720156 53009
MSP,2023-05-31 15:53,KMSP 311553Z 18012KT 10SM FEW070 FEW220 FEW250 28/15 A2991 RMK AO2 SLP123 ACC DSNT W-NW T02780150
MSP,2023-05-31 16:53,KMSP 311653Z 17012G19KT 10SM FEW060 FEW220 SCT250 29/16 A2991 RMK AO2 SLP122 T02940156
MSP,2023-05-31 17:53,KMSP 311753Z 17013G22KT 10SM FEW060 BKN250 31/14 A2989 RMK AO2 SLP117 T03060144 10311 20200 58005
MSP,2023-05-31 18:53,KMSP 311853Z 14010G27KT 10SM BKN250 31/14 A2988 RMK AO2 PK WND 14029/1812 SLP114 T03110139
MSP,2023-05-31 19:53,KMSP 311953Z 16012KT 10SM FEW070 BKN250 31/14 A2987 RMK AO2 SLP110 CB DSNT SE T03110144
