station,valid,metar
MSY,2023-05-31 00:53,KMSY 310053Z 18006KT 10SM FEW040 BKN150 OVC250 25/21 A2989 RMK AO2 SLP124 T02500206
MSY,2023-05-31 01:53,KMSY 310153Z 20004KT 10SM FEW035 BKN080 OVC250 25/21 A2989 RMK AO2 SLP126 T02500206
MSY,2023-05-31 02:53,KMSY 310253Z 13005KT 10SM BKN080 OVC250 25/19 A2991 RMK AO2 SLP130 T02500194 53009
MSY,2023-05-31 03:53,KMSY 310353Z 13005KT 10SM BKN065 BKN100 BKN250 25/21 A2992 RMK AO2 SLP135 T02500211
MSY,2023-05-31 04:53,KMSY 310453Z 00000KT 9SM SCT060 BKN250 24/21 A2991 RMK AO2 SLP133 T02440211
MSY,2023-05-31 05:53,KMSY 310553Z 28004KT 9SM BKN075 23/21 A2990 RMK AO2 SLP129 T02330211 10261 20228 403000228 58001
MSY,2023-05-31 06:53,KMSY 310653Z 00000KT 10SM -RA FEW030 FEW075 SCT250 23/21 A2989 RMK AO2 RAB49 SLP125 P0000 T02280211
MSY,2023-05-31 07:53,KMSY 310753Z 00000KT 9SM FEW080 SCT250 22/21 A2989 RMK AO2 SLP125 T02220206
MSY,2023-05-31 08:53,KMSY 310853Z 00000KT 8SM FEW010 FEW060 SCT250 22/21 A2990 RMK AO2 SLP127 T02170206 55002
MSY,2023-05-31 09:53,KMSY 310953Z COR 00000KT 8SM FEW012 FEW060 SCT250 21/20 A2990 RMK AO2 SLP128 T02110200
MSY,2023-05-31 10:53,KMSY 311053Z 00000KT 10SM FEW012 FEW070 SCT250 22/19 A2991 RMK AO2 SLP130 T02220194
MSY,2023-05-31 11:53,KMSY 311153Z 00000KT 10SM FEW012 FEW070 SCT250 22/19 A2991 RMK AO2 SLP132 T02170194 10233 20211 53005
MSY,2023-05-31 12:53,KMSY 311253Z 27004KT 10SM FEW015 FEW080 SCT250 25/22 A2993 RMK AO2 SLP137 T02500217
MSY,2023-05-31 13:53,KMSY 311353Z 31004KT 10SM FEW018 BKN250 27/20 A2994 RMK AO2 SLP142 T02720200
MSY,2023-05-31 14:53,KMSY 311453Z 35005KT 10SM FEW020 BKN085 BKN250 27/19 A2994 RMK AO2 SLP143 T02720194 51010
MSY,2023-05-31 15:53,KMSY 311553Z 36007KT 10SM FEW025 FEW085 BKN250 28/19 A2995 RMK AO2 RAB15E27 SLP143 P0000 T02830189
MSY,2023-05-31 16:53,KMSY 311653Z 02008KT 10SM FEW030 FEW100 BKN250 29/19 A2994 RMK AO2 SLP143 T02940189
MSY,2023-05-31 17:53,KMSY 311753Z COR 10SM FEW035 FEW120 BKN250 30/18 A2993 RMK AO2 SLP138 60000 T03000178 10300 20217 58004
MSY,2023-05-31 18:53,KMSY 311853Z 35009KT 10SM FEW050 SCT250 31/14 A2991 RMK AO2 SLP132 CB DSNT SE AND S TCU DSNT W AND NW T03110144
MSY,2023-05-31 19:53,KMSY 311953Z 36007KT 10SM FEW060 FEW100 SCT250 32/14 A2990 RMK AO2 SLP129 CB DSNT S AND NW-N T03170144
MSY,2023-05-31 20:53,KMSY 312053Z VRB05KT 10SM FEW060 SCT110 BKN250 31/13 A2990 RMK AO2 SLP128 CB DSNT SW AND TCU DSNT N AND W AND NW T03110133 56011
MSY,2023-05-31 21:53,KMSY 312153Z VRB03KT 10SM FEW060 BKN110 BKN250 31/16 A2989 RMK AO2 SLP123 CB DSNT SW AND TCU DSNT W T03060161
MSY,2023-05-31 22:53,KMSY 312253Z 05004KT 10SM FEW055 SCT100 BKN250 31/16 A2988 RMK AO2 SLP121 T03060156
MSY,2023-05-31 23:53,KMSY 312353Z 07004KT 10SM FEW065 BKN095 BKN250 30/16 A2987 RMK AO2 SLP118 T03000161 10322 20300 56009
MSY,2023-06-01 00:53,KMSY 010053Z 15008KT 10SM FEW050 BKN090 BKN120 28/19 A2988 RMK AO2 SLP123 T02830194
MSY,2023-06-01 01:53,KMSY 010153Z 14005KT 10SM FEW070 FEW085 SCT100 27/19 A2989 RMK AO2 SLP124 T02720189
MSY,2023-06-01 03:53,KMSY 010353Z 20004KT 10SM FEW090 25/20 A2990 RMK AO2 SLP129 T02500200
MSY,2023-06-01 04:53,KMSY 010453Z 17004KT 10SM FEW100 24/21 A2991 RMK AO2 SLP130 T02390206
MSY,2023-06-01 05:53,KMSY 010553Z 00000KT 10SM FEW100 23/21 A2990 RMK AO2 SLP127 T02280206 10300 20222 403220211 58001
MSY,2023-06-01 06:53,KMSY 010653Z 25003KT 10SM CLR 22/20 A2989 RMK AO2 SLP124 T02170200
MSY,2023-06-01 07:53,KMSY 010753Z 00000KT 10SM CLR 23/20 A2989 RMK AO2 SLP124 T02330200
MSY,2023-06-01 08:53,KMSY 010853Z 00000KT 10SM FEW250 22/21 A2988 RMK AO2 SLP123 T02220206 56004
MSY,2023-06-01 09:53,KMSY 010953Z 00000KT 10SM FEW030 SCT250 23/21 A2989 RMK AO2 SLP124 T02280206
MSY,2023-06-01 10:53,KMSY 011053Z 00000KT 10SM FEW030TCU FEW120 BKN250 23/20 A2990 RMK AO2 SLP128 TCU E T02280200
MSY,2023-06-01 11:53,KMSY 011153Z 00000KT 10SM -RA SCT034CB BKN110 BKN250 24/21 A2991 RMK AO2 RAB35 SLP133 CB NW MOV W P0000 60000 T02390211 10239 20211 53010
MSY,2023-06-01 12:53,KMSY 011253Z 06007KT 10SM FEW035 FEW110 BKN250 26/21 A2993 RMK AO2 RAE1156B41E53 SLP137 CB DSNT W AND NW P0000 T02610211
MSY,2023-06-01 13:53,KMSY 011353Z 03007KT 10SM FEW019 FEW120 SCT250 27/21 A2994 RMK AO2 SLP140 T02670211
MSY,2023-06-01 14:53,KMSY 011453Z COR 04007KT 10SM FEW035 FEW250 28/19 A2994 RMK AO2 RAB24E28 SLP141 P0000 60000 T02780189 51008
MSY,2023-06-01 15:53,KMSY 011553Z 04007KT 10SM FEW035 29/19 A2994 RMK AO2 SLP143 T02890194
MSY,2023-06-01 16:53,KMSY 011653Z 01008KT 10SM FEW040 FEW250 29/17 A2995 RMK AO2 SLP144 CB DSNT SE T02890172
MSY,2023-06-01 17:53,KMSY 011753Z 04010KT 10SM FEW040 FEW250 29/18 A2994 RMK AO2 SLP140 CB DSNT NE AND SE 60000 T02940183 10294 20244 58001
MSY,2023-06-01 18:53,KMSY 011853Z 03009KT 10SM FEW040CB FEW130 SCT250 31/18 A2992 RMK AO2 SLP136 CB E MOV SW CB DSNT NE AND SE-S T03060183
MSY,2023-06-01 19:53,KMSY 011953Z 08012KT 10SM SCT038 BKN150 BKN250 30/19 A2991 RMK AO2 SLP131 CB DSNT NE T03000189
MSY,2023-06-01 20:53,KMSY 012053Z 04010KT 10SM FEW040 SCT150 BKN250 31/16 A2990 RMK AO2 SLP126 T03110161 58014
MSY,2023-06-01 21:53,KMSY 012153Z 04006KT 10SM FEW040 FEW075 BKN150 BKN250 31/17 A2989 RMK AO2 SLP123 T03060167
MSY,2023-06-01 22:53,KMSY 012253Z 05005KT 10SM FEW075 SCT160 SCT250 30/18 A2987 RMK AO2 SLP119 T03000178
MSY,2023-06-01 23:53,KMSY 012353Z 05007KT 10SM FEW090 SCT150 BKN250 29/17 A2988 RMK AO2 SLP121 T02940172 10311 20294 55005
MSY,2023-06-02 00:53,KMSY 020053Z 05006KT 10SM FEW070 SCT150 BKN250 28/18 A2989 RMK AO2 SLP124 T02830183
MSY,2023-06-02 01:53,KMSY 020153Z 07005KT 10SM FEW070 SCT150 BKN250 28/20 A2989 RMK AO2 SLP126 T02780200
MSY,2023-06-02 02:53,KMSY 020253Z 00000KT 10SM CLR 27/19 A2992 RMK AO2 SLP133 T02670189 53012
MSY,2023-06-02 03:53,KMSY 020353Z 00000KT 10SM FEW030 27/19 A2992 RMK AO2 SLP136 T02720194
MSY,2023-06-02 04:53,KMSY 020453Z 05003KT 10SM FEW020 27/19 A2993 RMK AO2 SLP137 T02720194
MSY,2023-06-02 05:53,KMSY 020553Z 01003KT 10SM FEW020 27/19 A2992 RMK AO2 SLP133 T02670194 10294 20250 403110211 50000
MSY,2023-06-02 06:53,KMSY 020653Z 05004KT 10SM CLR 26/18 A2989 RMK AO2 SLP126 T02610183
MSY,2023-06-02 07:53,KMSY 020753Z 05005KT 10SM CLR 26/19 A2989 RMK AO2 SLP125 T02610189
MSY,2023-06-02 08:53,KMSY 020853Z 03006KT 10SM CLR 26/19 A2989 RMK AO2 SLP125 T02610194 56008
MSY,2023-06-02 09:53,KMSY 020953Z 04008KT 10SM CLR 26/19 A2989 RMK AO2 SLP123 T02560194
MSY,2023-06-02 10:53,KMSY 021053Z 04008KT 10SM FEW250 26/19 A2991 RMK AO2 SLP131 T02560194
MSY,2023-06-02 11:53,KMSY 021153Z 05007KT 10SM FEW250 26/20 A2990 RMK AO2 SLP129 T02560200 10267 20256 53004
MSY,2023-06-02 12:53,KMSY 021253Z 04010KT 10SM FEW250 26/20 A2990 RMK AO2 SLP129 T02610200
MSY,2023-06-02 13:53,KMSY 021353Z 06011KT 10SM FEW020 27/19 A2992 RMK AO2 SLP133 T02720194
MSY,2023-06-02 14:53,KMSY 021453Z 06010KT 10SM FEW025 28/18 A2992 RMK AO2 SLP135 T02830183 53006
MSY,2023-06-02 15:53,KMSY 021553Z 05011KT 10SM FEW030 29/17 A2992 RMK AO2 SLP135 T02940172
MSY,2023-06-02 16:53,KMSY 021653Z 06009G18KT 10SM FEW035 30/18 A2992 RMK AO2 SLP133 T03000178
MSY,2023-06-02 17:53,KMSY 021753Z 04008KT 10SM FEW040 31/18 A2989 RMK AO2 SLP123 T03060178 10306 20256 58012
MSY,2023-06-02 18:53,KMSY 021853Z 02008KT 350V050 10SM FEW055 31/18 A2987 RMK AO2 SLP119 T03110178
MSY,2023-06-02 19:53,KMSY 021953Z 31007KT 10SM FEW055 31/18 A2985 RMK AO2 SLP111 T03110183
MSY,2023-06-02 20:53,KMSY 022053Z 36003KT 10SM FEW055 32/18 A2983 RMK AO2 SLP105 T03170178 58018
MSY,2023-06-02 21:53,KMSY 022153Z 31007KT 10SM FEW055 32/17 A2982 RMK AO2 SLP100 T03220172
MSY,2023-06-02 22:53,KMSY 022253Z 32004KT 10SM FEW060 32/17 A2981 RMK AO2 SLP096 T03170167
MSY,2023-06-02 23:53,KMSY 022353Z 28004KT 10SM FEW060 31/17 A2979 RMK AO2 SLP090 T03060167 10328 20306 57016
MSY,2023-06-03 00:53,KMSY 030053Z 17006KT 10SM FEW060 28/21 A2980 RMK AO2 SLP094 T02830206
MSY,2023-06-03 01:53,KMSY 030153Z 19005KT 10SM FEW060 27/21 A2981 RMK AO2 SLP096 T02720211
MSY,2023-06-03 02:53,KMSY 030253Z 19008KT 10SM FEW070 27/21 A2982 RMK AO2 SLP101 T02670206 53011
MSY,2023-06-03 03:53,KMSY 030353Z 22007KT 10SM FEW070 26/21 A2983 RMK AO2 SLP104 T02560206
MSY,2023-06-03 04:53,KMSY 030453Z 24006KT 10SM FEW070 25/21 A2983 RMK AO2 SLP104 T02500206
MSY,2023-06-03 05:53,KMSY 030553Z 23005KT 10SM FEW070 24/21 A2982 RMK AO2 SLP099 T02440211 10311 20244 403280244 58002
MSY,2023-06-03 06:53,KMSY 030653Z 25005KT 10SM CLR 24/21 A2980 RMK AO2 SLP095 T02390211
MSY,2023-06-03 07:53,KMSY 030753Z 25003KT 10SM CLR 24/21 A2979 RMK AO2 SLP090 T02390211
MSY,2023-06-03 08:53,KMSY 030853Z 28003KT 10SM CLR 23/22 A2979 RMK AO2 SLP091 T02330222 55009
MSY,2023-06-03 09:53,KMSY 030953Z 29004KT 10SM CLR 23/22 A2979 RMK AO2 SLP092 T02330217
MSY,2023-06-03 10:53,KMSY 031053Z 27004KT 10SM SCT095 23/22 A2980 RMK AO2 SLP095 T02330222
MSY,2023-06-03 11:53,KMSY 031153Z 34004KT 10SM SCT095 26/23 A2981 RMK AO2 SLP097 T02610228 10261 20228 53007
MSY,2023-06-03 12:53,KMSY 031253Z 03006KT 10SM CLR 28/21 A2981 RMK AO2 SLP097 T02780211
MSY,2023-06-03 13:53,KMSY 031353Z VRB03KT 10SM FEW075 FEW250 29/21 A2981 RMK AO2 SLP097 T02890206
MSY,2023-06-03 14:53,KMSY 031453Z 04007KT 10SM FEW250 30/21 A2981 RMK AO2 SLP098 T03000206 53000
