station,valid,metar
OAK,2023-05-31 00:53,KOAK 310053Z 26012KT 10SM FEW014 FEW160 16/09 A2996 RMK AO2 PK WND 29026/0020 SLP144 T01610094
OAK,2023-05-31 01:53,KOAK 310153Z 27016G26KT 10SM FEW014 FEW160 16/10 A2995 RMK AO2 PK WND 29026/0152 SLP143 T01610100
OAK,2023-05-31 02:53,KOAK 310253Z 27013G26KT 10SM FEW018 FEW180 14/09 A2996 RMK AO2 PK WND 30027/0156 SLP145 T01390094 55001
OAK,2023-05-31 03:53,KOAK 310353Z 28015G26KT 10SM BKN016 13/09 A2997 RMK AO2 PK WND 30026/0350 SLP147 T01330094
OAK,2023-05-31 04:53,KOAK 310453Z 26014KT 10SM OVC014 13/09 A2998 RMK AO2 PK WND 30026/0401 SLP150 T01330094
OAK,2023-05-31 05:53,KOAK 310553Z 26012KT 10SM BKN014 13/09 A2998 RMK AO2 SLP150 T01330094 10172 20133 51005
OAK,2023-05-31 06:53,KOAK 310653Z 26014KT 10SM BKN014 13/10 A2997 RMK AO2 SLP149 T01330100
OAK,2023-05-31 07:53,KOAK 310753Z 25011KT 10SM OVC012 13/10 A2997 RMK AO2 SLP147 T01280100 401830128
OAK,2023-05-31 08:53,KOAK 310853Z 26012KT 10SM BKN010 OVC014 12/10 A2996 RMK AO2 SLP143 T01220100 58007
OAK,2023-05-31 09:53,KOAK 310953Z 23010G18KT 10SM SCT010 OVC012 12/09 A2994 RMK AO2 SLP139 T01220089
OAK,2023-05-31 10:53,KOAK 311053Z 27009KT 10SM BKN012 OVC015 12/09 A2993 RMK AO2 SLP136 T01220089
OAK,2023-05-31 11:53,KOAK 311153Z 25009KT 10SM SCT014 OVC016 12/09 A2993 RMK AO2 SLP134 T01220089 10133 20122 56009
OAK,2023-05-31 12:53,KOAK 311253Z 25010KT 10SM OVC015 12/08 A2993 RMK AO2 SLP134 T01220083
OAK,2023-05-31 13:53,KOAK 311353Z COR 24008KT 7SM OVC010 12/09 A2993 RMK AO2 SLP135 T01170094
OAK,2023-05-31 14:53,KOAK 311453Z 25006KT 8SM OVC008 12/10 A2994 RMK AO2 SLP136 T01220100 53002
OAK,2023-05-31 15:53,KOAK 311553Z 23008KT 8SM OVC009 12/09 A2995 RMK AO2 RAB11E46 SLP140 P0000 T01220094
OAK,2023-05-31 16:53,KOAK 311653Z 23010KT 9SM OVC011 13/09 A2994 RMK AO2 SLP139 T01330094
OAK,2023-05-31 17:53,KOAK 311753Z 23008KT 9SM BKN016 14/09 A2994 RMK AO2 SLP138 60000 T01390089 10139 20117 50001
OAK,2023-05-31 18:53,KOAK 311853Z 26012KT 10SM SCT017 16/09 A2994 RMK AO2 SLP137 T01560094
