station,valid,metar
OKC,2023-05-31 00:52,KOKC 310052Z 16010KT 10SM FEW055 FEW250 27/18 A2986 RMK AO2 SLP100 T02670183
OKC,2023-05-31 01:52,KOKC 310152Z 15008KT 10SM FEW250 24/18 A2987 RMK AO2 SLP101 T02390183
OKC,2023-05-31 02:52,KOKC 310252Z 16007KT 10SM FEW250 22/18 A2989 RMK AO2 SLP108 T02220183 53007
OKC,2023-05-31 03:52,KOKC 310352Z 15007KT 10SM FEW250 22/19 A2992 RMK AO2 SLP118 T02170189
OKC,2023-05-31 04:52,KOKC 310452Z 17005KT 10SM FEW250 21/19 A2992 RMK AO2 SLP116 T02060189
OKC,2023-05-31 05:52,KOKC 310552Z 16007KT 9SM FEW250 20/19 A2992 RMK AO2 SLP116 T02000189 10283 20200 403000161 51010
OKC,2023-05-31 06:52,KOKC 310652Z 17005KT 8SM FEW250 19/18 A2992 RMK AO2 SLP117 T01890183
OKC,2023-05-31 07:52,KOKC 310752Z 00000KT 8SM SCT250 19/18 A2992 RMK AO2 SLP116 T01890183
OKC,2023-05-31 08:52,KOKC 310852Z 30005KT 10SM FEW250 20/18 A2995 RMK AO2 SLP127 T02000178 53011
OKC,2023-05-31 09:52,KOKC 310952Z 16006KT 6SM BR FEW055 FEW250 18/17 A2994 RMK AO2 SLP124 T01780172
OKC,2023-05-31 10:52,KOKC 311052Z 31004G18KT 6SM BR BKN055 BKN250 19/18 A2993 RMK AO2 SLP119 T01890183
OKC,2023-05-31 11:52,KOKC 311152Z 14007KT 4SM BR FEW060 BKN250 18/18 A2991 RMK AO2 SLP115 T01830178 10206 20178 58013
OKC,2023-05-31 12:52,KOKC 311252Z 19008KT 7SM FEW100 SCT250 21/19 A2993 RMK AO2 SLP121 T02060194
OKC,2023-05-31 13:52,KOKC 311352Z 17008KT 9SM FEW100 BKN250 22/19 A2994 RMK AO2 SLP125 T02220189
OKC,2023-05-31 14:52,KOKC 311452Z 18010KT 10SM FEW130 BKN250 25/18 A2996 RMK AO2 SLP130 T02500183 51015
OKC,2023-05-31 15:52,KOKC 311552Z 19011KT 10SM FEW035 SCT150 BKN250 27/19 A2995 RMK AO2 SLP127 T02720194
OKC,2023-05-31 16:52,KOKC 311652Z 20010KT 10SM SCT035 SCT150 BKN250 28/20 A2995 RMK AO2 SLP128 T02830200
OKC,2023-05-31 17:52,KOKC 311752Z 18012KT 10SM FEW034 SCT085 BKN140 BKN250 27/19 A2993 RMK AO2 SLP120 TCU NE-E AND S MOV E T02720194 10289 20189 58009
OKC,2023-05-31 18:52,KOKC 311852Z 19012KT 130V210 10SM SCT042 SCT065 BKN130 BKN250 29/19 A2991 RMK AO2 TSE03 SLP114 TCU NE-SE MOV E T02940194
OKC,2023-05-31 19:52,KOKC 311952Z 18013G20KT 10SM FEW045 SCT150 SCT250 30/18 A2988 RMK AO2 SLP104 T03000183
OKC,2023-05-31 20:52,KOKC 312052Z 16012G22KT 10SM SCT047 SCT180 BKN250 30/19 A2988 RMK AO2 SLP101 T03000189 56017
OKC,2023-05-31 21:52,KOKC 312152Z 17009KT 10SM SCT049 SCT180 BKN250 28/18 A2988 RMK AO2 SLP104 CB DSNT N AND W T02830183
OKC,2023-05-31 22:52,KOKC 312252Z 17012G22KT 10SM FEW055 SCT160 BKN250 29/18 A2984 RMK AO2 LTG DSNT W SLP091 CB DSNT N-NE AND W MOV NE T02940178
OKC,2023-05-31 23:52,KOKC 312352Z 18008KT 10SM TS FEW055CB SCT130 BKN250 27/18 A2985 RMK AO2 TSB47 SLP097 OCNL LTGICCG E TS E MOV N CB DSNT W AND NW T02670178 10306 20267 55007
OKC,2023-06-01 00:52,KOKC 010052Z 16006KT 10SM FEW055 BKN150 BKN250 26/18 A2986 RMK AO2 LTG DSNT N TSE29 SLP099 CB DSNT N-NE MOV N T02560183
OKC,2023-06-01 01:52,KOKC 010152Z 14005KT 10SM BKN160 OVC250 24/18 A2988 RMK AO2 SLP103 T02440178
OKC,2023-06-01 03:52,KOKC 010352Z 15007KT 10SM SCT130 BKN250 24/18 A2990 RMK AO2 SLP108 T02390178
OKC,2023-06-01 04:52,KOKC 010452Z 17005KT 10SM FEW130 SCT250 22/18 A2991 RMK AO2 SLP111 T02220178
OKC,2023-06-01 05:52,KOKC 010552Z 15007KT 10SM SCT250 22/18 A2989 RMK AO2 SLP108 T02170178 10272 20211 403060178 50004
