station,valid,metar
OMA,2023-05-31 00:52,KOMA 310052Z 17010KT 10SM FEW060 FEW160 BKN250 28/13 A2982 RMK AO2 SLP089 T02780128
OMA,2023-05-31 01:52,KOMA 310152Z 15014KT 10SM FEW060 FEW160 BKN250 26/12 A2983 RMK AO2 SLP093 T02610122
OMA,2023-05-31 02:52,KOMA 310252Z 17009KT 10SM BKN250 24/13 A2985 RMK AO2 SLP099 T02440128 53014
OMA,2023-05-31 03:52,KOMA 310352Z 16010KT 10SM BKN250 23/15 A2986 RMK AO2 SLP104 T02280150
OMA,2023-05-31 04:52,KOMA 310452Z 16010KT 10SM BKN250 22/14 A2985 RMK AO2 SLP100 T02220144
OMA,2023-05-31 05:52,KOMA 310552Z 15006KT 10SM BKN250 20/15 A2987 RMK AO2 SLP105 T02000150 10283 20200 403280189 51006
OMA,2023-05-31 06:52,KOMA 310652Z 18006KT 10SM BKN250 20/15 A2987 RMK AO2 SLP107 T02000150
OMA,2023-05-31 07:52,KOMA 310752Z 15006KT 10SM BKN250 19/14 A2987 RMK AO2 SLP107 T01890144
OMA,2023-05-31 08:52,KOMA 310852Z 16007KT 10SM BKN250 19/14 A2985 RMK AO2 SLP099 T01940144 58005
OMA,2023-05-31 09:52,KOMA 310952Z 20006KT 10SM SCT120 OVC250 20/14 A2986 RMK AO2 SLP103 T02000144
OMA,2023-05-31 10:52,KOMA 311052Z 14007KT 10SM FEW080 FEW120 BKN250 19/15 A2987 RMK AO2 SLP106 T01890150
OMA,2023-05-31 11:52,KOMA 311152Z 16007KT 10SM FEW120 BKN250 19/16 A2987 RMK AO2 SLP108 T01890156 10206 20183 51007
OMA,2023-05-31 12:52,KOMA 311252Z 16012KT 10SM FEW120 BKN250 20/16 A2987 RMK AO2 SLP108 T02000156
OMA,2023-05-31 13:52,KOMA 311352Z 17014KT 10SM FEW120 BKN250 22/16 A2987 RMK AO2 SLP108 T02170161
OMA,2023-05-31 14:52,KOMA 311452Z 17012KT 10SM FEW120 BKN250 24/17 A2987 RMK AO2 SLP107 T02390167 51001
OMA,2023-05-31 15:52,KOMA 311552Z 17014KT 10SM FEW140 SCT250 26/17 A2986 RMK AO2 SLP104 T02610167
OMA,2023-05-31 16:52,KOMA 311652Z 17014G22KT 10SM FEW130 SCT250 29/17 A2987 RMK AO2 SLP104 T02890172
OMA,2023-05-31 17:52,KOMA 311752Z 18011KT 10SM FEW050 FEW120 SCT250 30/17 A2988 RMK AO2 SLP109 T03000167 10300 20194 53001
OMA,2023-05-31 18:52,KOMA 311852Z 15014KT 10SM SCT060 SCT120 BKN250 30/17 A2987 RMK AO2 SLP105 TCU DSNT W T03000167
OMA,2023-05-31 19:52,KOMA 311952Z 20014KT 10SM SCT055 SCT120 BKN250 31/16 A2985 RMK AO2 SLP100 CB DSNT N MOV N T03110156
OMA,2023-05-31 20:52,KOMA 312052Z 19014KT 10SM SCT055 SCT120 BKN250 29/14 A2984 RMK AO2 SLP096 CB DSNT NW-N MOV N T02940144 57012
OMA,2023-05-31 21:52,KOMA 312152Z 15012KT 10SM FEW055 BKN250 30/16 A2984 RMK AO2 SLP094 CB DSNT N T03000161
OMA,2023-05-31 22:52,KOMA 312252Z 18013G19KT 10SM FEW055 SCT180 BKN250 30/17 A2983 RMK AO2 SLP092 T03000167
OMA,2023-05-31 23:52,KOMA 312352Z 16014KT 10SM FEW055 SCT180 BKN250 29/17 A2984 RMK AO2 SLP096 T02890172 10311 20289 55001
OMA,2023-06-01 00:52,KOMA 010052Z 15012KT 10SM FEW055 SCT180 BKN250 28/16 A2984 RMK AO2 SLP096 T02780156
OMA,2023-06-01 01:52,KOMA 010152Z 15012KT 10SM FEW180 BKN250 26/16 A2985 RMK AO2 SLP099 T02610156
OMA,2023-06-01 03:52,KOMA 010352Z 14007KT 10SM BKN250 23/15 A2987 RMK AO2 SLP107 T02330150
OMA,2023-06-01 04:52,KOMA 010452Z 15005KT 10SM SCT250 22/16 A2987 RMK AO2 SLP107 T02170161
