station,valid,metar
ONT,2023-05-31 00:53,KONT 310053Z 25012G20KT 10SM SCT028 OVC048 18/11 A2991 RMK AO2 SLP123 T01780106
ONT,2023-05-31 01:53,KONT 310153Z 25011G19KT 10SM FEW027 BKN048 BKN180 17/09 A2993 RMK AO2 SLP129 T01670094
ONT,2023-05-31 02:53,KONT 310253Z 25011G17KT 10SM FEW028 BKN049 BKN180 16/10 A2993 RMK AO2 SLP128 T01610100 53002
ONT,2023-05-31 03:53,KONT 310353Z 25011KT 10SM FEW025 SCT049 SCT180 15/11 A2993 RMK AO2 SLP130 T01500106
ONT,2023-05-31 04:53,KONT 310453Z 25008KT 10SM BKN021 15/11 A2994 RMK AO2 SLP132 T01500106
ONT,2023-05-31 05:53,KONT 310553Z 23007KT 10SM BKN021 14/11 A2995 RMK AO2 SLP135 T01440106 10194 20144 53007
ONT,2023-05-31 06:53,KONT 310653Z 25006KT 10SM FEW018 BKN027 14/11 A2994 RMK AO2 SLP131 T01440106
ONT,2023-05-31 07:53,KONT 310753Z 25006KT 10SM FEW018 BKN030 BKN050 14/11 A2992 RMK AO2 SLP126 T01390111 402060139
ONT,2023-05-31 08:53,KONT 310853Z 25007KT 9SM FEW018 SCT030 BKN050 13/11 A2991 RMK AO2 SLP122 T01330111 57012
ONT,2023-05-31 09:53,KONT 310953Z 25007KT 9SM FEW018 FEW030 BKN050 14/11 A2991 RMK AO2 SLP121 T01390111
ONT,2023-05-31 10:53,KONT 311053Z 23006KT 9SM FEW008 FEW039 OVC049 13/11 A2990 RMK AO2 SLP117 T01330111
ONT,2023-05-31 11:53,KONT 311153Z 26007KT 9SM FEW008 FEW028 OVC044 13/11 A2989 RMK AO2 SLP115 T01330111 10144 20133 58008
ONT,2023-05-31 12:53,KONT 311253Z 23005KT 10SM FEW018 BKN026 OVC045 13/11 A2989 RMK AO2 SLP118 T01330111
ONT,2023-05-31 13:53,KONT 311353Z 23004KT 9SM FEW016 OVC024 13/11 A2990 RMK AO2 SLP120 T01330106
ONT,2023-05-31 14:53,KONT 311453Z 22005KT 10SM SCT019 BKN026 OVC047 14/10 A2991 RMK AO2 SLP122 T01390100 53006
ONT,2023-05-31 15:53,KONT 311553Z 23006KT 10SM SCT018 OVC046 15/11 A2991 RMK AO2 SLP124 CIG LWR W T01500111
ONT,2023-05-31 16:53,KONT 311653Z 24007KT 10SM BKN020 OVC044 15/11 A2991 RMK AO2 SLP125 T01500106
ONT,2023-05-31 17:53,KONT 311753Z 25005KT 10SM BKN021 OVC042 16/11 A2992 RMK AO2 SLP127 T01610106 10167 20133 53005
ONT,2023-05-31 18:53,KONT 311853Z 27009G15KT 10SM BKN024 OVC041 17/11 A2992 RMK AO2 SLP127 T01720106
ONT,2023-05-31 19:53,KONT 311953Z 24009KT 210V270 10SM BKN023 OVC029 16/11 A2992 RMK AO2 SLP128 T01610106
ONT,2023-05-31 20:53,KONT 312053Z 22008KT 10SM OVC024 16/11 A2992 RMK AO2 SLP128 T01610106 51001
ONT,2023-05-31 21:53,KONT 312153Z 24008KT 10SM OVC023 16/11 A2992 RMK AO2 SLP127 T01610106
ONT,2023-05-31 22:53,KONT 312253Z 26010KT 10SM OVC022 16/11 A2991 RMK AO2 SLP125 T01560111
