station,valid,vsby,skyl1,metar
ORD,2023-05-31 00:51,10.00,9500.00,KORD 310051Z 06006KT 10SM FEW095 SCT140 SCT250 26/09 A2993 RMK AO2 SLP130 T02610089
ORD,2023-05-31 01:51,10.00,9500.00,KORD 310151Z 09007KT 10SM FEW095 SCT140 SCT250 24/09 A2994 RMK AO2 SLP133 T02440089
ORD,2023-05-31 02:51,10.00,9500.00,KORD 310251Z 07006KT 10SM FEW095 BKN140 BKN250 24/09 A2996 RMK AO2 SLP140 T02390089 53013
ORD,2023-05-31 03:51,10.00,10000.00,KORD 310351Z 08005KT 10SM FEW100 BKN150 BKN250 23/09 A2997 RMK AO2 SLP142 T02330089
ORD,2023-05-31 04:51,10.00,11000.00,KORD 310451Z 09004KT 10SM FEW110 BKN150 BKN250 23/09 A2996 RMK AO2 SLP141 T02280089
ORD,2023-05-31 05:51,10.00,11000.00,KORD 310551Z COR 10004KT 10SM FEW110 BKN150 BKN250 22/09 A2995 RMK AO2 SLP136 T02220094 10283 20222 403280150 58004
ORD,2023-05-31 06:51,10.00,15000.00,KORD 310651Z 09004KT 10SM FEW150 SCT250 22/10 A2994 RMK AO2 SLP133 T02220100
ORD,2023-05-31 07:51,10.00,25000.00,KORD 310751Z 14003KT 10SM FEW250 21/11 A2994 RMK AO2 SLP132 T02110106
ORD,2023-05-31 08:51,10.00,25000.00,KORD 310851Z 13006KT 10SM FEW250 21/12 A2995 RMK AO2 SLP136 T02110122 53000
ORD,2023-05-31 09:51,10.00,15000.00,KORD 310951Z 16006KT 10SM FEW150 FEW250 22/14 A2997 RMK AO2 SLP143 T02170139
ORD,2023-05-31 10:51,10.00,15000.00,KORD 311051Z 17006KT 10SM SCT150 SCT250 22/15 A2998 RMK AO2 SLP148 T02220150
ORD,2023-05-31 11:51,10.00,15000.00,KORD 311151Z 17006KT 10SM SCT150 BKN250 24/16 A3000 RMK AO2 SLP153 T02390161 10239 20206 51016
ORD,2023-05-31 12:51,10.00,14000.00,KORD 311251Z 17005KT 10SM BKN140 BKN250 24/17 A3000 RMK AO2 SLP154 T02440167
ORD,2023-05-31 13:51,10.00,14000.00,KORD 311351Z 17009KT 10SM FEW140 SCT250 27/17 A3000 RMK AO2 SLP153 T02720172
ORD,2023-05-31 14:51,10.00,14000.00,KORD 311451Z 20008KT 10SM FEW140 28/17 A3001 RMK AO2 SLP155 T02830172 53002
ORD,2023-05-31 15:51,10.00,5000.00,KORD 311551Z 17010G17KT 10SM FEW050 SCT140 31/17 A3001 RMK AO2 SLP156 T03060167
ORD,2023-05-31 16:51,10.00,5500.00,KORD 311651Z 19009G16KT 10SM FEW055 BKN150 BKN180 31/17 A3001 RMK AO2 SLP155 T03060167
ORD,2023-05-31 17:51,10.00,6000.00,KORD 311751Z 17006KT 10SM SCT060TCU SCT110 BKN150 BKN250 31/17 A2999 RMK AO2 SLP150 CB DSNT S-SW TCU OHD T03110167 10317 20239 58005
ORD,2023-05-31 18:51,10.00,6000.00,KORD 311851Z VRB05KT 10SM TS SCT060CB SCT120 BKN150 BKN250 32/17 A2997 RMK AO2 LTG DSNT S RAB03E17 TSB01E31E45B47 SLP144 OCNL LTGICCG E TS E MOV N CB DSNT S-SW P0000 T03220172
ORD,2023-05-31 19:51,8.00,3400.00,KORD 311951Z 25013G21KT 8SM R10L/1400VP6000FT TS SCT034 BKN050CB BKN080 OVC140 23/18 A2999 RMK AO2 LTG DSNT SW RAB32E51 PRESRR SLP152 VIS W 2 FRQ LTGICCG SW-NW TS SW-NW MOV N CB DSNT S-NW P0028 T02330178
ORD,2023-05-31 20:51,10.00,3900.00,KORD 312051Z 26003KT 10SM FEW039 SCT060CB BKN120 BKN200 BKN300 25/22 A2997 RMK AO2 PK WND 23029/1953 LTG DSNT S AND W RAB1957E02 TSE24 SLP145 CBMAM OHD MOV N CB DSNT S-NW P0001 60029 T02500217 56005 $
ORD,2023-05-31 21:51,10.00,6000.00,KORD 312151Z 11005KT 10SM FEW060TCU SCT085 SCT140 BKN210 BKN300 28/17 A2998 RMK AO2 SLP146 CB DSNT SE-S TCU SE T02780172 $
ORD,2023-05-31 22:51,10.00,6000.00,KORD 312251Z 10003KT 10SM -RA FEW060 SCT085 BKN130 BKN210 BKN300 29/18 A2997 RMK AO2 RAB44 SLP142 CB DSNT E-SE MOV N P0000 T02890178 $
ORD,2023-05-31 23:51,10.00,7500.00,KORD 312351Z 00000KT 10SM FEW075 SCT140 BKN200 BKN300 29/16 A2996 RMK AO2 RAE2259 SLP139 CB DSNT E-SE P0000 60029 T02890161 10328 20228 58005 $
ORD,2023-06-01 00:51,10.00,8000.00,KORD 010051Z 17003KT 10SM FEW080 SCT150 SCT200 SCT300 27/17 A2997 RMK AO2 SLP142 CB DSNT SE T02720167 $
ORD,2023-06-01 01:51,10.00,8000.00,KORD 010151Z 00000KT 10SM FEW080 SCT170 SCT250 26/16 A2997 RMK AO2 SLP144 T02560161 $
ORD,2023-06-01 02:51,10.00,13000.00,KORD 010251Z 12004KT 10SM FEW130 SCT160 SCT250 24/17 A2999 RMK AO2 SLP150 T02440167 53011 $
ORD,2023-06-01 03:51,10.00,15000.00,KORD 010351Z 12004KT 10SM FEW150 SCT250 24/17 A2999 RMK AO2 SLP150 T02440167 $
ORD,2023-06-01 04:51,10.00,25000.00,KORD 010451Z 00000KT 10SM FEW250 23/17 A3000 RMK AO2 SLP152 T02330172 $
ORD,2023-06-01 05:51,10.00,25000.00,KORD 010551Z 00000KT 10SM FEW250 22/17 A3000 RMK AO2 SLP154 T02220172 10289 20222 403280206 53003 $
ORD,2023-06-01 06:51,10.00,10000.00,KORD 010651Z 00000KT 10SM FEW100 FEW250 22/17 A3000 RMK AO2 SLP154 T02170172 $
ORD,2023-06-01 07:51,10.00,10000.00,KORD 010751Z 13003KT 10SM FEW100 FEW250 22/16 A3000 RMK AO2 SLP155 T02170161 $
ORD,2023-06-01 08:51,10.00,10000.00,KORD 010851Z 00000KT 10SM FEW100 FEW250 21/16 A3001 RMK AO2 SLP158 T02110161 53003 $
ORD,2023-06-01 09:51,10.00,10000.00,KORD 010951Z 11004KT 10SM FEW100 FEW250 21/16 A3002 RMK AO2 SLP162 T02060161 $
ORD,2023-06-01 10:51,10.00,13000.00,KORD 011051Z 00000KT 10SM SCT130 SCT250 21/16 A3004 RMK AO2 SLP168 T02060161 $
ORD,2023-06-01 11:51,10.00,6000.00,KORD 011151Z 14004KT 10SM FEW060 SCT150 SCT250 21/17 A3006 RMK AO2 SLP173 70029 T02110167 10228 20200 53016 $
ORD,2023-06-01 12:51,10.00,15000.00,KORD 011251Z 15006KT 10SM BKN150 24/17 A3007 RMK AO2 SLP176 T02390167
ORD,2023-06-01 13:51,10.00,15000.00,KORD 011351Z 19004KT 10SM FEW150 SCT250 25/17 A3007 RMK AO2 SLP178 T02500172
ORD,2023-06-01 14:51,10.00,10000.00,KORD 011451Z 16004KT 10SM FEW100 FEW150 FEW250 28/18 A3007 RMK AO2 SLP176 T02780178 50003
ORD,2023-06-01 15:51,10.00,12000.00,KORD 011551Z VRB03KT 10SM SCT120 SCT150 BKN250 29/17 A3007 RMK AO2 SLP178 T02940167
ORD,2023-06-01 16:51,10.00,6000.00,KORD 011651Z 13003KT 10SM FEW060 FEW120 SCT250 31/16 A3006 RMK AO2 SLP175 T03110156
ORD,2023-06-01 17:51,10.00,6000.00,KORD 011751Z 15008KT 10SM SCT060 SCT250 32/17 A3005 RMK AO2 SLP170 TCU DSNT NW T03220167 10322 20217 58006
ORD,2023-06-01 18:51,10.00,6000.00,KORD 011851Z 14007KT 10SM SCT060TCU SCT110 BKN250 31/17 A3003 RMK AO2 SLP163 CB DSNT SW TCU W-NW T03110167
ORD,2023-06-01 19:51,10.00,6000.00,KORD 011951Z 22003KT 10SM SCT060TCU SCT120 BKN250 31/16 A3001 RMK AO2 LTG DSNT S RAB30E40 SLP158 CB DSNT SE-SW TCU OHD P0000 T03110161
ORD,2023-06-01 20:51,10.00,2800.00,KORD 012051Z 02006KT 10SM -TSRA SCT028 BKN055CB BKN130 BKN250 27/18 A3001 RMK AO2 PK WND 32045/2027 WSHFT 2012 LTG DSNT S-W RAB11 TSB1959 SLP156 OCNL LTGICCG S-SW TS W-SW MOV NW CB DSNT SE-W TCU SE-SW-NW P0088 60088 T026701
ORD,2023-06-01 21:51,10.00,4300.00,KORD 012151Z 22006KT 10SM FEW043 SCT065CB BKN110 BKN200 BKN300 25/18 A3004 RMK AO2 LTG DSNT SE AND W AND NW RAE2056B30E34 TSE30B31E38 SLP167 CB SW-NW MOV NW CB DSNT SE-S TCU N P0000 T02500178 $
ORD,2023-06-01 22:51,10.00,7000.00,KORD 012251Z 16003KT 10SM FEW070 SCT100 SCT140 BKN200 BKN300 27/18 A3003 RMK AO2 SLP164 CB DSNT S AND NW MOV NW T02720183 $
ORD,2023-06-01 23:51,10.00,7000.00,KORD 012351Z 31005KT 10SM FEW070 FEW100 SCT150 BKN250 26/18 A3002 RMK AO2 SLP160 60088 T02610183 10328 20211 50003 $
ORD,2023-06-02 00:51,10.00,8000.00,KORD 020051Z 27003KT 10SM FEW080 SCT150 BKN250 25/19 A3003 RMK AO2 SLP163 T02500189 $
ORD,2023-06-02 01:51,10.00,9000.00,KORD 020151Z 26004KT 10SM FEW090 FEW150 SCT250 24/18 A3004 RMK AO2 SLP169 T02390183 $
ORD,2023-06-02 02:51,10.00,15000.00,KORD 020251Z 02008KT 10SM FEW150 SCT250 24/17 A3006 RMK AO2 SLP173 T02390172 53014 $
ORD,2023-06-02 03:51,10.00,25000.00,KORD 020351Z 02005KT 10SM FEW250 23/16 A3007 RMK AO2 SLP177 T02280161 $
ORD,2023-06-02 04:51,10.00,25000.00,KORD 020451Z 01004KT 10SM FEW250 21/16 A3007 RMK AO2 SLP176 T02110161 $
ORD,2023-06-02 05:51,10.00,25000.00,KORD 020551Z 03004KT 10SM FEW250 21/16 A3006 RMK AO2 SLP175 T02110161 10261 20206 403280200 50002 $
ORD,2023-06-02 06:51,10.00,25000.00,KORD 020651Z 06004KT 10SM FEW250 21/16 A3006 RMK AO2 SLP175 T02110156 $
ORD,2023-06-02 07:51,10.00,25000.00,KORD 020751Z 00000KT 10SM FEW250 21/16 A3006 RMK AO2 SLP174 T02060161 $
ORD,2023-06-02 08:51,10.00,25000.00,KORD 020851Z 35004KT 10SM FEW250 19/16 A3006 RMK AO2 SLP174 T01940156 58003 $
ORD,2023-06-02 09:51,10.00,25000.00,KORD 020951Z 02006KT 10SM SCT250 19/16 A3006 RMK AO2 SLP175 T01940156 $
ORD,2023-06-02 10:51,10.00,9000.00,KORD 021051Z 03004KT 10SM FEW090 SCT250 19/16 A3007 RMK AO2 SLP179 T01940156 $
