station,valid,vsby,skyl1,metar
PHX,2023-05-31 00:51,10.00,30000.00,KPHX 310051Z 27018G24KT 10SM FEW300 37/M03 A2967 RMK AO2 SLP027 T03671033
PHX,2023-05-31 01:51,10.00,M,KPHX 310151Z 27020G27KT 10SM CLR 34/01 A2969 RMK AO2 PK WND 28027/0139 SLP034 T03390006
PHX,2023-05-31 02:51,10.00,M,KPHX 310251Z 29018KT 10SM CLR 32/M02 A2971 RMK AO2 PK WND 27027/0220 SLP040 T03221017 53007
PHX,2023-05-31 03:51,10.00,M,KPHX 310351Z 29017KT 10SM CLR 31/M03 A2973 RMK AO2 PK WND 32027/0255 SLP048 T03061028
PHX,2023-05-31 04:51,10.00,M,KPHX 310451Z 28012KT 10SM CLR 29/M06 A2975 RMK AO2 SLP055 T02941056
PHX,2023-05-31 05:51,10.00,M,KPHX 310551Z 26006KT 10SM CLR 28/M06 A2975 RMK AO2 SLP054 T02831056 10372 20283 51016
PHX,2023-05-31 06:51,10.00,M,KPHX 310651Z 24006KT 10SM CLR 27/M04 A2975 RMK AO2 SLP054 T02671044 403780233
PHX,2023-05-31 07:51,10.00,M,KPHX 310751Z 00000KT 10SM CLR 25/M02 A2975 RMK AO2 SLP054 T02501017
PHX,2023-05-31 08:51,10.00,M,KPHX 310851Z 21003KT 10SM CLR 24/M02 A2975 RMK AO2 SLP054 T02391022 58001
PHX,2023-05-31 09:51,10.00,M,KPHX 310951Z 17005KT 10SM CLR 23/M03 A2975 RMK AO2 SLP054 T02331028
PHX,2023-05-31 10:51,10.00,M,KPHX 311051Z 12003KT 10SM CLR 23/M04 A2974 RMK AO2 SLP050 T02281039
PHX,2023-05-31 11:51,10.00,M,KPHX 311151Z 14009KT 10SM CLR 22/M04 A2974 RMK AO2 SLP052 T02171044 10283 20217 55003
PHX,2023-05-31 12:51,10.00,12000.00,KPHX 311251Z 11004KT 10SM FEW120 22/M04 A2974 RMK AO2 SLP053 T02171039
PHX,2023-05-31 13:51,10.00,12000.00,KPHX 311351Z 09006KT 10SM FEW120 23/M02 A2975 RMK AO2 SLP057 T02281022
