station,valid,metar
PIT,2023-05-31 00:51,KPIT 310051Z 13004KT 10SM CLR 24/07 A3007 RMK AO2 SLP182 T02390067
PIT,2023-05-31 01:51,KPIT 310151Z 12006KT 10SM CLR 22/06 A3009 RMK AO2 SLP189 T02220061
PIT,2023-05-31 02:51,KPIT 310251Z 15005KT 10SM CLR 22/07 A3011 RMK AO2 SLP195 T02170072 53015
PIT,2023-05-31 03:51,KPIT 310351Z 16006KT 10SM CLR 20/08 A3012 RMK AO2 SLP199 T02000083
PIT,2023-05-31 04:51,KPIT 310451Z 15006KT 10SM CLR 19/09 A3012 RMK AO2 SLP199 T01890089 402830156
PIT,2023-05-31 05:51,KPIT 310551Z 17004KT 10SM CLR 18/09 A3012 RMK AO2 SLP198 T01780089 10261 20178 50003
PIT,2023-05-31 06:51,KPIT 310651Z 18006KT 10SM CLR 18/09 A3012 RMK AO2 SLP199 T01780089
PIT,2023-05-31 07:51,KPIT 310751Z 00000KT 10SM CLR 16/09 A3012 RMK AO2 SLP199 T01560089
PIT,2023-05-31 08:51,KPIT 310851Z 10003KT 10SM CLR 16/09 A3014 RMK AO2 SLP205 T01560089 53007
PIT,2023-05-31 09:51,KPIT 310951Z 00000KT 10SM CLR 14/09 A3015 RMK AO2 SLP209 T01440089
PIT,2023-05-31 10:51,KPIT 311051Z 07003KT 10SM CLR 14/09 A3016 RMK AO2 SLP215 T01390089
PIT,2023-05-31 11:51,KPIT 311151Z 00000KT 10SM CLR 16/10 A3017 RMK AO2 SLP218 T01560100 10183 20111 51011
PIT,2023-05-31 12:51,KPIT 311251Z 10007KT 10SM CLR 19/10 A3017 RMK AO2 SLP218 T01890100
PIT,2023-05-31 13:51,KPIT 311351Z VRB03KT 10SM CLR 20/10 A3019 RMK AO2 SLP223 T02000100
PIT,2023-05-31 14:51,KPIT 311451Z VRB05KT 10SM CLR 22/06 A3018 RMK AO2 SLP221 T02220061 50003
PIT,2023-05-31 15:51,KPIT 311551Z 11010KT 10SM FEW250 24/02 A3017 RMK AO2 SLP217 T02390022
PIT,2023-05-31 16:51,KPIT 311651Z 09007G16KT 10SM FEW250 25/02 A3016 RMK AO2 SLP214 T02500022
PIT,2023-05-31 17:51,KPIT 311751Z 12009G16KT 10SM FEW250 26/02 A3014 RMK AO2 SLP205 T02610017 10261 20156 58015
PIT,2023-05-31 18:51,KPIT 311851Z 09008KT 10SM CLR 27/02 A3012 RMK AO2 SLP200 T02720017
PIT,2023-05-31 19:51,KPIT 311951Z 09007KT 10SM CLR 27/03 A3010 RMK AO2 SLP193 T02720028
PIT,2023-05-31 20:51,KPIT 312051Z 09009KT 10SM CLR 28/03 A3010 RMK AO2 SLP191 T02830028 56014
PIT,2023-05-31 21:51,KPIT 312151Z 11007KT 10SM CLR 28/02 A3009 RMK AO2 SLP190 T02830022
PIT,2023-05-31 22:51,KPIT 312251Z 11007KT 10SM CLR 28/01 A3008 RMK AO2 SLP186 T02780006
PIT,2023-05-31 23:51,KPIT 312351Z 09004KT 10SM FEW250 26/03 A3009 RMK AO2 SLP189 T02610028 10283 20256 55003
PIT,2023-06-01 00:51,KPIT 010051Z 11004KT 10SM FEW250 23/04 A3008 RMK AO2 SLP187 T02330039
PIT,2023-06-01 01:51,KPIT 010151Z 00000KT 10SM FEW250 22/06 A3010 RMK AO2 SLP194 T02170061
PIT,2023-06-01 02:51,KPIT 010251Z 00000KT 10SM FEW250 20/06 A3012 RMK AO2 SLP200 T02000056 53010
PIT,2023-06-01 03:51,KPIT 010351Z 19003KT 10SM CLR 17/06 A3012 RMK AO2 SLP201 T01720061
PIT,2023-06-01 04:51,KPIT 010451Z 00000KT 10SM CLR 16/06 A3012 RMK AO2 SLP199 T01560061 402830111
PIT,2023-06-01 05:51,KPIT 010551Z 00000KT 10SM CLR 16/07 A3011 RMK AO2 SLP197 T01560067 10261 20156 58003
PIT,2023-06-01 06:51,KPIT 010651Z 00000KT 10SM CLR 13/06 A3011 RMK AO2 SLP195 T01330061
PIT,2023-06-01 07:51,KPIT 010751Z 00000KT 10SM CLR 12/06 A3011 RMK AO2 SLP197 T01170061
PIT,2023-06-01 08:51,KPIT 010851Z 00000KT 10SM CLR 13/07 A3011 RMK AO2 SLP197 T01280072 53001
PIT,2023-06-01 09:51,KPIT 010951Z 00000KT 10SM CLR 11/07 A3012 RMK AO2 SLP202 T01110067
PIT,2023-06-01 10:51,KPIT 011051Z 00000KT 10SM CLR 11/07 A3014 RMK AO2 SLP209 T01110067
PIT,2023-06-01 11:51,KPIT 011151Z 00000KT 10SM CLR 14/08 A3016 RMK AO2 SLP213 T01390083 10156 20106 53014
