station,valid,vsby,skyl1,metar
PNS,2023-05-31 00:53,10.00,200.00,KPNS 310053Z 24005KT 10SM FEW002 BKN060 OVC095 26/16 A2989 RMK AO2 SLP123 T02560156
PNS,2023-05-31 01:53,10.00,9500.00,KPNS 310153Z 24003KT 10SM OVC095 26/16 A2990 RMK AO2 SLP125 T02560156
PNS,2023-05-31 02:53,10.00,M,KPNS 310253Z 00000KT 10SM CLR 24/17 A2991 RMK AO2 SLP130 T02390167 53012
PNS,2023-05-31 03:53,10.00,M,KPNS 310353Z AUTO 00000KT 10SM CLR 24/17 A2992 RMK AO2 SLP132 T02390167
PNS,2023-05-31 04:53,10.00,M,KPNS 310453Z AUTO 00000KT 10SM CLR 23/17 A2991 RMK AO2 SLP130 T02280167
PNS,2023-05-31 05:53,10.00,M,KPNS 310553Z AUTO 00000KT 10SM CLR 22/17 A2990 RMK AO2 SLP125 T02220167 10267 20217 403060183 58005
PNS,2023-05-31 06:53,10.00,M,KPNS 310653Z AUTO 02005KT 10SM CLR 22/17 A2989 RMK AO2 SLP121 T02170172
PNS,2023-05-31 07:53,10.00,M,KPNS 310753Z AUTO 02003KT 10SM CLR 21/18 A2989 RMK AO2 SLP123 T02110178
PNS,2023-05-31 08:53,10.00,M,KPNS 310853Z AUTO 03004KT 10SM CLR 21/18 A2990 RMK AO2 SLP124 T02110183 55001
PNS,2023-05-31 09:53,10.00,M,KPNS 310953Z AUTO 02004KT 10SM CLR 21/18 A2990 RMK AO2 SLP127 T02060178
PNS,2023-05-31 10:53,10.00,8000.00,KPNS 311053Z 05005KT 10SM FEW080 21/18 A2992 RMK AO2 SLP131 T02060178
PNS,2023-05-31 11:53,10.00,M,KPNS 311153Z 05005KT 10SM CLR 22/17 A2992 RMK AO2 SLP133 T02170172 10228 20206 52009
PNS,2023-05-31 12:53,10.00,M,KPNS 311253Z 06005KT 10SM CLR 22/17 A2993 RMK AO2 SLP137 T02220172
PNS,2023-05-31 13:53,10.00,M,KPNS 311353Z 06005KT 10SM CLR 24/18 A2994 RMK AO2 SLP139 T02440178
PNS,2023-05-31 14:53,10.00,M,KPNS 311453Z 07005KT 10SM CLR 26/17 A2994 RMK AO2 SLP139 T02560172 51006
PNS,2023-05-31 15:53,10.00,M,KPNS 311553Z 08006KT 10SM CLR 28/17 A2994 RMK AO2 SLP141 T02780172
PNS,2023-05-31 16:53,10.00,M,KPNS 311653Z 09006KT 10SM CLR 29/18 A2994 RMK AO2 SLP138 T02940178
PNS,2023-05-31 17:53,10.00,M,KPNS 311753Z VRB05KT 10SM CLR 29/16 A2992 RMK AO2 SLP134 T02940161 10300 20217 58006
PNS,2023-05-31 18:53,10.00,M,KPNS 311853Z 15011KT 10SM CLR 29/18 A2991 RMK AO2 SLP129 T02940178
PNS,2023-05-31 19:53,10.00,6000.00,KPNS 311953Z 15012KT 10SM FEW060 29/17 A2991 RMK AO2 SLP129 T02890172
PNS,2023-05-31 20:53,10.00,M,KPNS 312053Z 16013KT 10SM CLR 29/17 A2991 RMK AO2 SLP130 T02890172 55003
PNS,2023-05-31 21:53,10.00,M,KPNS 312153Z 16013KT 10SM CLR 27/21 A2991 RMK AO2 SLP131 T02720206
PNS,2023-05-31 22:53,10.00,7000.00,KPNS 312253Z AUTO 15008KT 10SM FEW070 27/18 A2992 RMK AO2 LTG DSNT NE SLP131 T02670183
PNS,2023-05-31 23:53,10.00,M,KPNS 312353Z AUTO 15007KT 10SM CLR 26/18 A2990 RMK AO2 SLP127 T02560183 10306 20256 58003
PNS,2023-06-01 00:53,10.00,M,KPNS 010053Z AUTO 09006KT 10SM CLR 25/18 A2991 RMK AO2 SLP130 T02500183
PNS,2023-06-01 01:53,10.00,8500.00,KPNS 010153Z AUTO 08006KT 10SM BKN085 OVC120 25/19 A2992 RMK AO2 SLP133 T02500189
PNS,2023-06-01 03:53,10.00,M,KPNS 010353Z AUTO 05005KT 10SM CLR 24/18 A2994 RMK AO2 SLP140 T02390183
PNS,2023-06-01 04:53,10.00,M,KPNS 010453Z AUTO 06004KT 10SM CLR 23/18 A2994 RMK AO2 SLP138 T02330183
PNS,2023-06-01 05:53,10.00,M,KPNS 010553Z AUTO 06005KT 10SM CLR 23/18 A2991 RMK AO2 SLP130 T02330183 10256 20233 403060206 58006
PNS,2023-06-01 06:53,10.00,M,KPNS 010653Z AUTO 07005KT 10SM CLR 23/18 A2990 RMK AO2 SLP126 T02280183
PNS,2023-06-01 07:53,9.00,2300.00,KPNS 010753Z AUTO 07006KT 9SM SCT023 OVC085 23/18 A2989 RMK AO2 SLP123 T02280183
PNS,2023-06-01 08:53,10.00,1700.00,KPNS 010853Z AUTO 06005KT 10SM OVC017 23/18 A2990 RMK AO2 SLP126 T02280183 55004
PNS,2023-06-01 09:53,10.00,1800.00,KPNS 010953Z AUTO 07006KT 10SM FEW018 22/18 A2990 RMK AO2 SLP125 T02220183
PNS,2023-06-01 10:53,10.00,1300.00,KPNS 011053Z 06006KT 10SM FEW013 22/19 A2991 RMK AO2 SLP129 T02220189
PNS,2023-06-01 11:53,10.00,1100.00,KPNS 011153Z 06007KT 10SM SCT011 22/19 A2992 RMK AO2 SLP133 T02220189 10233 20217 53007
PNS,2023-06-01 12:53,10.00,1200.00,KPNS 011253Z 07006KT 10SM FEW012 24/19 A2992 RMK AO2 SLP134 T02390194
PNS,2023-06-01 13:53,10.00,M,KPNS 011353Z 07008KT 030V090 10SM CLR 25/19 A2993 RMK AO2 SLP137 T02500194
