station,valid,vsby,skyl1,metar
PVU,2023-05-31 00:56,10.00,M,KPVU 310056Z 30004KT 10SM CLR 27/M06 A2984 RMK AO2 SLP059 T02721061
PVU,2023-05-31 01:56,10.00,M,KPVU 310156Z 34004KT 10SM CLR 26/00 A2984 RMK AO2 SLP055 T02560000
PVU,2023-05-31 02:56,10.00,M,KPVU 310256Z 20003KT 10SM CLR 24/03 A2985 RMK AO2 SLP055 T02390028 55001
PVU,2023-05-31 03:56,10.00,M,KPVU 310356Z AUTO 31006KT 10SM CLR 21/06 A2987 RMK AO2 SLP063 T02110056
PVU,2023-05-31 04:56,10.00,M,KPVU 310456Z AUTO 33013KT 10SM CLR 21/09 A2988 RMK AO2 SLP064 T02060089
PVU,2023-05-31 05:56,10.00,M,KPVU 310556Z AUTO 31006KT 10SM CLR 18/04 A2988 RMK AO2 SLP065 T01830039 10272 20172 51009
PVU,2023-05-31 06:56,10.00,M,KPVU 310656Z AUTO 10003KT 10SM CLR 17/06 A2988 RMK AO2 SLP066 T01670056 402780100
PVU,2023-05-31 07:56,10.00,M,KPVU 310756Z AUTO 09004KT 10SM CLR 16/04 A2987 RMK AO2 SLP065 T01560044
PVU,2023-05-31 08:56,10.00,M,KPVU 310856Z AUTO 09003KT 10SM CLR 14/04 A2988 RMK AO2 SLP068 T01390039 55000
PVU,2023-05-31 09:56,10.00,M,KPVU 310956Z AUTO 15007KT 10SM CLR 15/03 A2987 RMK AO2 SLP065 T01500028
PVU,2023-05-31 10:56,10.00,M,KPVU 311056Z AUTO 00000KT 10SM CLR 12/04 A2987 RMK AO2 SLP067 T01170039
PVU,2023-05-31 11:56,10.00,M,KPVU 311156Z AUTO 24005KT 10SM CLR 14/06 A2986 RMK AO2 SLP061 T01440061 10200 20111 56004
PVU,2023-05-31 12:56,10.00,M,KPVU 311256Z 00000KT 10SM CLR 12/05 A2987 RMK AO2 SLP067 T01220050
PVU,2023-05-31 13:56,10.00,M,KPVU 311356Z 00000KT 10SM CLR 17/04 A2988 RMK AO2 SLP067 T01670044
PVU,2023-05-31 14:56,10.00,M,KPVU 311456Z 23003KT 10SM CLR 18/03 A2988 RMK AO2 SLP067 T01780028 50005
PVU,2023-05-31 15:56,10.00,M,KPVU 311556Z 03005KT 10SM CLR 19/04 A2987 RMK AO2 SLP064 T01940039
PVU,2023-05-31 16:56,10.00,M,KPVU 311656Z VRB04KT 10SM CLR 22/05 A2984 RMK AO2 SLP055 T02170050
