station,valid,metar
RDU,2023-05-31 00:51,KRDU 310051Z 03004KT 7SM -DZ SCT006 OVC021 18/17 A3008 RMK AO2 RAE2354DZB05 SLP183 P0000 T01830172
RDU,2023-05-31 01:51,KRDU 310151Z 06005KT 5SM BR BKN006 OVC020 18/17 A3010 RMK AO2 DZE24 SLP188 BKN V SCT P0000 T01830167
RDU,2023-05-31 02:51,KRDU 310251Z 03005KT 5SM -DZ BR BKN007 OVC014 18/17 A3011 RMK AO2 DZB07 SLP191 P0000 60000 T01830167 51014
RDU,2023-05-31 03:51,KRDU 310351Z 03005KT 5SM -DZ BR FEW004 BKN006 OVC014 18/17 A3010 RMK AO2 SLP189 P0000 T01830167
RDU,2023-05-31 04:51,KRDU 310451Z 05006KT 3SM -DZ BR FEW004 BKN006 OVC014 18/17 A3010 RMK AO2 SLP189 P0000 T01830167 402390172
RDU,2023-05-31 05:51,KRDU 310551Z 06008KT 7SM -DZ FEW004 BKN007 OVC014 18/17 A3009 RMK AO2 SLP185 P0001 60001 T01780167 10189 20178 58006
RDU,2023-05-31 06:51,KRDU 310651Z 02003KT 10SM SCT007 BKN015 OVC022 18/16 A3009 RMK AO2 DZE08 SLP184 P0000 T01780161
RDU,2023-05-31 07:51,KRDU 310751Z 03004KT 5SM -DZ BR BKN006 BKN012 OVC020 18/16 A3009 RMK AO2 DZB48 SLP184 P0000 T01780161
RDU,2023-05-31 08:51,KRDU 310851Z 04006KT 5SM -DZ BR BKN006 BKN012 OVC020 18/17 A3010 RMK AO2 SLP189 P0000 60000 T01780167 53004
RDU,2023-05-31 09:51,KRDU 310951Z 04005KT 1 1/2SM -DZ BR BKN005 BKN012 OVC020 18/17 A3011 RMK AO2 SFC VIS 2 1/2 SLP194 P0000 T01780167
RDU,2023-05-31 10:51,KRDU 311051Z 03005KT 1 1/2SM BR BKN007 BKN011 OVC020 18/16 A3013 RMK AO2 SFC VIS 3 DZE33 SLP199 P0001 T01780161
RDU,2023-05-31 11:51,KRDU 311151Z 03006KT 1 1/2SM BR BKN004 OVC011 17/16 A3014 RMK AO2 SFC VIS 4 SLP202 60001 70003 T01720161 10178 20172 51012
RDU,2023-05-31 12:51,KRDU 311251Z 04010KT 3SM BR BKN007 BKN012 18/16 A3014 RMK AO2 SFC VIS 5 SLP205 T01780156
