station,valid,vsby,skyl1,metar
RNO,2023-05-31 00:55,10.00,7000.00,KRNO 310055Z 27011KT 10SM SCT070 BKN130 BKN250 19/06 A2994 RMK AO2 SLP101 VIRGA T01940056 $
RNO,2023-05-31 01:55,10.00,7000.00,KRNO 310155Z 31005KT 10SM SCT070 BKN130 BKN250 19/06 A2992 RMK AO2 WSHFT 0056 SLP095 VIRGA W THRU NW T01890061 $
RNO,2023-05-31 02:55,10.00,7000.00,KRNO 310255Z 27010KT 10SM FEW070 BKN130 BKN250 18/06 A2992 RMK AO2 SLP096 T01830061 51008 $
RNO,2023-05-31 03:55,10.00,7000.00,KRNO 310355Z 30008KT 10SM FEW070 SCT120 BKN250 18/05 A2993 RMK AO2 SLP096 T01780050 $
RNO,2023-05-31 04:55,10.00,11000.00,KRNO 310455Z 01005KT 10SM SCT110 BKN180 16/08 A2996 RMK AO2 SLP106 T01610078 $
RNO,2023-05-31 05:55,10.00,12000.00,KRNO 310555Z 32007KT 10SM BKN120 17/07 A2996 RMK AO2 SLP104 T01670072 10194 20156 51012 $
RNO,2023-05-31 06:55,10.00,15000.00,KRNO 310655Z 34005KT 10SM SCT150 15/08 A2996 RMK AO2 SLP102 T01500078 $
RNO,2023-05-31 07:55,10.00,18000.00,KRNO 310755Z 25006KT 10SM SCT180 14/07 A2995 RMK AO2 SLP098 T01440067 402610100 $
RNO,2023-05-31 08:55,10.00,18000.00,KRNO 310855Z 00000KT 10SM SCT180 12/07 A2995 RMK AO2 SLP098 T01220072 58004 $
RNO,2023-05-31 09:55,10.00,18000.00,KRNO 310955Z 26003KT 10SM SCT180 12/07 A2995 RMK AO2 SLP096 T01220067 $
RNO,2023-05-31 10:55,10.00,18000.00,KRNO 311055Z 25003KT 10SM SCT180 12/06 A2994 RMK AO2 SLP100 T01170061 $
RNO,2023-05-31 11:55,10.00,10000.00,KRNO 311155Z 27003KT 10SM SCT100 BKN150 11/06 A2994 RMK AO2 SLP101 T01110061 10167 20111 58003 $
RNO,2023-05-31 12:55,10.00,11000.00,KRNO 311255Z 21004KT 10SM SCT110 11/07 A2994 RMK AO2 SLP104 T01060067 $
RNO,2023-05-31 13:55,10.00,12000.00,KRNO 311355Z 18004KT 10SM SCT120 BKN180 12/07 A2995 RMK AO2 SLP105 T01170067 $
RNO,2023-05-31 14:55,10.00,5000.00,KRNO 311455Z 00000KT 10SM FEW050 SCT180 14/07 A2994 RMK AO2 SLP102 T01390072 50002 $
RNO,2023-05-31 15:55,10.00,5000.00,KRNO 311555Z 00000KT 10SM FEW050 FEW180 16/07 A2994 RMK AO2 SLP100 T01560072 $
RNO,2023-05-31 16:55,10.00,5500.00,KRNO 311655Z VRB03KT 10SM FEW055 FEW180 18/08 A2993 RMK AO2 SLP096 T01780083 $
RNO,2023-05-31 17:55,10.00,5500.00,KRNO 311755Z 00000KT 10SM FEW055 FEW180 20/09 A2992 RMK AO2 SLP089 T02000089 10200 20106 58006 $
RNO,2023-05-31 18:55,10.00,7000.00,KRNO 311855Z VRB04KT 10SM SCT070 SCT180 21/07 A2990 RMK AO2 SLP082 T02110072 $
RNO,2023-05-31 19:55,10.00,9500.00,KRNO 311955Z VRB05KT 10SM SCT095CB SCT230 24/06 A2988 RMK AO2 SLP071 CB W STNRY TCU SE THRU SW T02390061 $
RNO,2023-05-31 20:55,10.00,10000.00,KRNO 312055Z 17006KT 10SM TS SCT100CB SCT230 23/06 A2985 RMK AO2 TSE51B52 SLP066 OCNL LTGIC W TS W STNRY T02330056 56016 $
RNO,2023-05-31 21:55,10.00,10000.00,KRNO 312155Z 31006KT 10SM -RA SCT100 BKN230 21/08 A2984 RMK AO2 LTG DSNT N AND SW RAB32 TSE45 SLP066 TS DSIPTD CB DSNT N AND S P0000 T02110078 $
RNO,2023-05-31 22:55,10.00,8000.00,KRNO 312255Z 16005KT 10SM SCT080 BKN200 24/05 A2982 RMK AO2 LTG DSNT E AND SW RAE23 SLP054 CB DSNT E THRU S P0000 T02440050 $
RNO,2023-05-31 23:55,10.00,8000.00,KRNO 312355Z 20008KT 10SM -TSRA BKN080CB BKN110 BKN200 19/10 A2984 RMK AO2 PK WND 21027/2339 LTG DSNT E RAB28 TSB30 SLP069 OCNL LTGIC N TS N MOV NE P0009 60009 T01890100 10250 20189 55003 $
RNO,2023-06-01 00:55,10.00,8000.00,KRNO 010055Z COR 17007G15KT 10SM BKN080 BKN200 22/09 A2982 RMK AO2 LTG DSNT N RAE12 TSE38 SLP057 CB DSNT N THRU E P0000 T02220094 $
RNO,2023-06-01 01:55,10.00,8000.00,KRNO 010155Z 26012KT 10SM BKN080 22/05 A2982 RMK AO2 LTG DSNT N AND NE SLP055 CB DSNT N THRU NE T02220050 $
RNO,2023-06-01 03:55,10.00,8000.00,KRNO 010355Z 29013KT 10SM SCT080 19/04 A2987 RMK AO2 SLP072 T01940039 $
RNO,2023-06-01 04:55,10.00,8000.00,KRNO 010455Z 02010G18KT 10SM SCT080 18/07 A2991 RMK AO2 LTG DSNT NE SLP084 T01780072 $
RNO,2023-06-01 05:55,10.00,8000.00,KRNO 010555Z 36005KT 10SM SCT080 17/08 A2992 RMK AO2 SLP088 60000 T01670078 10233 20161 51023 $
RNO,2023-06-01 06:55,10.00,8000.00,KRNO 010655Z 27004KT 10SM BKN080 17/07 A2992 RMK AO2 SLP087 T01670067 $
RNO,2023-06-01 07:55,10.00,8000.00,KRNO 010755Z 00000KT 10SM BKN080 15/07 A2991 RMK AO2 SLP083 T01500067 402500106 $
RNO,2023-06-01 08:55,10.00,8000.00,KRNO 010855Z 17003KT 10SM BKN080 14/07 A2991 RMK AO2 SLP082 T01390072 58004 $
RNO,2023-06-01 09:55,10.00,8000.00,KRNO 010955Z 26006KT 10SM FEW080 13/06 A2990 RMK AO2 SLP084 T01330056 $
RNO,2023-06-01 10:55,10.00,M,KRNO 011055Z 26005KT 10SM CLR 12/05 A2990 RMK AO2 SLP081 T01220050 $
RNO,2023-06-01 11:55,10.00,6000.00,KRNO 011155Z 29003KT 10SM FEW060 12/05 A2990 RMK AO2 SLP087 70009 T01170050 10172 20117 56003 /
RNO,2023-06-01 12:55,10.00,M,KRNO 011255Z 00000KT 10SM CLR 11/05 A2990 RMK AO2 SLP086 T01110050 /
RNO,2023-06-01 13:55,10.00,M,KRNO 011355Z 00000KT 10SM CLR 13/06 A2992 RMK AO2 SLP089 T01280056 $
RNO,2023-06-01 14:55,10.00,M,KRNO 011455Z 18003KT 10SM CLR 14/06 A2993 RMK AO2 SLP094 T01390061 53010
RNO,2023-06-01 15:55,10.00,5000.00,KRNO 011555Z 00000KT 10SM FEW050 16/06 A2993 RMK AO2 SLP093 T01610061
RNO,2023-06-01 16:55,10.00,5000.00,KRNO 011655Z 00000KT 10SM FEW050 18/07 A2993 RMK AO2 SLP090 T01830072
RNO,2023-06-01 17:55,10.00,8000.00,KRNO 011755Z 00000KT 10SM FEW080 21/06 A2991 RMK AO2 SLP082 T02060061 10211 20111 58007
RNO,2023-06-01 18:55,10.00,9000.00,KRNO 011855Z VRB04KT 10SM SCT090 22/06 A2990 RMK AO2 SLP079 T02220056
RNO,2023-06-01 19:55,10.00,10000.00,KRNO 011955Z 22005KT 10SM SCT100 24/05 A2989 RMK AO2 SLP073 TCU DSNT E T02390050
RNO,2023-06-01 20:55,10.00,10000.00,KRNO 012055Z 25009G18KT 210V290 10SM SCT100 26/03 A2987 RMK AO2 SLP066 CB DSNT E T02610028 58012
RNO,2023-06-01 21:55,10.00,10000.00,KRNO 012155Z 30016KT 10SM SCT100 25/00 A2986 RMK AO2 SLP065 CB DSNT S T02500000
RNO,2023-06-01 22:55,10.00,10000.00,KRNO 012255Z 27015G22KT 10SM SCT100 26/03 A2986 RMK AO2 SLP066 CB DSNT S T02560028
RNO,2023-06-01 23:55,10.00,9000.00,KRNO 012355Z 28020G27KT 10SM FEW090 FEW200 24/02 A2986 RMK AO2 PK WND 28027/2348 SLP067 CB DSNT S T02440022 10267 20206 56003
RNO,2023-06-02 00:55,10.00,9000.00,KRNO 020055Z 28018G25KT 10SM FEW090 23/02 A2986 RMK AO2 PK WND 27027/0018 SLP070 T02330022
RNO,2023-06-02 01:55,10.00,8500.00,KRNO 020155Z 30013KT 10SM FEW085 22/02 A2990 RMK AO2 PK WND 26026/0123 SLP085 T02170022
RNO,2023-06-02 02:55,10.00,8000.00,KRNO 020255Z 31013KT 10SM FEW080 20/01 A2993 RMK AO2 SLP093 CB DSNT E T02000006 53021 $
