station,valid,vsby,skyl1,metar
SAN,2023-05-31 00:51,10.00,2300.00,KSAN 310051Z 30006KT 10SM BKN023 BKN046 17/11 A2997 RMK AO2 SLP148 T01720106
SAN,2023-05-31 01:51,10.00,2300.00,KSAN 310151Z 30006KT 10SM FEW023 BKN044 17/11 A2998 RMK AO2 SLP150 T01670106
SAN,2023-05-31 02:51,10.00,2400.00,KSAN 310251Z 30006KT 10SM SCT024 BKN049 17/11 A2998 RMK AO2 SLP151 T01670111 55001
SAN,2023-05-31 03:51,10.00,2300.00,KSAN 310351Z 29005KT 10SM BKN023 OVC039 17/11 A2998 RMK AO2 SLP153 T01670111
SAN,2023-05-31 04:51,10.00,2600.00,KSAN 310451Z 30004KT 10SM BKN026 OVC040 16/12 A2999 RMK AO2 RAB29E43 SLP154 P0000 T01610117
SAN,2023-05-31 05:51,10.00,2900.00,KSAN 310551Z 31006KT 10SM SCT029 OVC043 16/11 A2998 RMK AO2 SLP153 60000 T01610106 10178 20156 50001
SAN,2023-05-31 06:51,10.00,2900.00,KSAN 310651Z 30004KT 10SM SCT029 BKN050 16/11 A2997 RMK AO2 SLP149 T01610106
SAN,2023-05-31 07:51,10.00,2800.00,KSAN 310751Z 30006KT 10SM SCT028 BKN050 16/11 A2996 RMK AO2 SLP145 T01610111 401890156
SAN,2023-05-31 08:51,10.00,3700.00,KSAN 310851Z 30006KT 10SM BKN037 OVC046 16/11 A2995 RMK AO2 SLP142 T01610106 57011
SAN,2023-05-31 09:51,10.00,3700.00,KSAN 310951Z 30005KT 10SM SCT037 BKN047 16/10 A2994 RMK AO2 SLP139 T01560100
SAN,2023-05-31 10:51,10.00,3700.00,KSAN 311051Z 31004KT 10SM FEW037 BKN049 15/10 A2993 RMK AO2 SLP136 T01500100
SAN,2023-05-31 11:51,10.00,2400.00,KSAN 311151Z 31004KT 10SM SCT024 BKN049 14/10 A2993 RMK AO2 SLP133 T01440100 10172 20144 58009
SAN,2023-05-31 12:51,10.00,2400.00,KSAN 311251Z 31003KT 10SM FEW024 SCT046 14/10 A2992 RMK AO2 SLP131 T01390100
SAN,2023-05-31 13:51,10.00,2400.00,KSAN 311351Z 00000KT 10SM FEW024 SCT045 16/11 A2993 RMK AO2 SLP134 T01610106
SAN,2023-05-31 14:51,10.00,2300.00,KSAN 311451Z VRB04KT 10SM SCT023 SCT045 17/11 A2994 RMK AO2 SLP138 T01720111 53005
SAN,2023-05-31 15:51,10.00,2400.00,KSAN 311551Z VRB05KT 10SM BKN024 BKN043 18/11 A2995 RMK AO2 SLP141 T01780106
SAN,2023-05-31 16:51,10.00,2400.00,KSAN 311651Z 21003KT 10SM SCT024 BKN045 18/10 A2995 RMK AO2 SLP142 T01780100
SAN,2023-05-31 17:51,10.00,2400.00,KSAN 311751Z 23009KT 10SM SCT024 SCT031 BKN048 18/10 A2996 RMK AO2 SLP146 T01830100 10183 20139 53008
SAN,2023-05-31 18:51,10.00,2500.00,KSAN 311851Z 21006KT 10SM FEW025 BKN035 BKN042 18/11 A2996 RMK AO2 SLP146 T01780111
SAN,2023-05-31 19:51,10.00,2300.00,KSAN 311951Z 23007KT 10SM FEW023 SCT031 BKN046 18/10 A2996 RMK AO2 SLP146 T01830100
SAN,2023-05-31 20:51,10.00,2800.00,KSAN 312051Z 29008KT 10SM FEW028 SCT035 BKN050 18/11 A2996 RMK AO2 SLP143 T01830106 58003
SAN,2023-05-31 21:51,10.00,2400.00,KSAN 312151Z 26007KT 10SM SCT024 BKN032 OVC050 18/12 A2996 RMK AO2 SLP143 T01830117
SAN,2023-05-31 22:51,10.00,2200.00,KSAN 312251Z VRB06KT 10SM SCT022 BKN035 OVC050 18/12 A2994 RMK AO2 SLP138 T01830117
