station,valid,metar
SEA,2023-05-31 00:53,KSEA 310053Z 31006KT 10SM FEW049 SCT250 17/06 A3001 RMK AO2 SLP168 T01670061
SEA,2023-05-31 01:53,KSEA 310153Z 33008KT 10SM FEW055 FEW100 SCT250 16/06 A3000 RMK AO2 SLP165 T01610061
SEA,2023-05-31 02:53,KSEA 310253Z 35009KT 10SM SCT055 SCT100 BKN250 16/06 A2999 RMK AO2 SLP163 T01560061 56009
SEA,2023-05-31 03:53,KSEA 310353Z 35006KT 10SM SCT055 BKN250 14/06 A3000 RMK AO2 SLP164 T01390061
SEA,2023-05-31 04:53,KSEA 310453Z 36008KT 10SM BKN055 13/06 A3002 RMK AO2 SLP172 T01280061
SEA,2023-05-31 05:53,KSEA 310553Z 02008KT 10SM SCT046 12/05 A3003 RMK AO2 SLP176 T01170050 10172 20117 53013
SEA,2023-05-31 06:53,KSEA 310653Z 03009KT 10SM BKN041 11/05 A3004 RMK AO2 SLP178 T01110050
SEA,2023-05-31 07:53,KSEA 310753Z 03005KT 10SM FEW041 BKN060 10/05 A3004 RMK AO2 SLP177 T01000050 401720089
SEA,2023-05-31 08:53,KSEA 310853Z 34003KT 10SM OVC038 10/05 A3004 RMK AO2 SLP179 T01000050 53003
SEA,2023-05-31 09:53,KSEA 310953Z 05005KT 10SM OVC037 11/04 A3005 RMK AO2 SLP183 T01060039
SEA,2023-05-31 10:53,KSEA 311053Z 06008KT 10SM BKN038 OVC047 11/03 A3005 RMK AO2 SLP183 T01060033
SEA,2023-05-31 11:53,KSEA 311153Z 05008KT 10SM OVC060 10/03 A3006 RMK AO2 SLP184 T01000033 10117 20100 51004
SEA,2023-05-31 12:53,KSEA 311253Z 06007KT 10SM BKN039 OVC055 10/03 A3007 RMK AO2 SLP189 T01000033
SEA,2023-05-31 13:53,KSEA 311353Z 05006KT 10SM BKN043 BKN060 10/04 A3008 RMK AO2 SLP191 T01000039
SEA,2023-05-31 14:53,KSEA 311453Z VRB05KT 10SM SCT025 BKN043 OVC060 11/04 A3009 RMK AO2 SLP194 T01060044 51010
SEA,2023-05-31 15:53,KSEA 311553Z 20003KT 10SM BKN022 OVC045 11/05 A3009 RMK AO2 SLP196 T01060050
SEA,2023-05-31 16:53,KSEA 311653Z 23005KT 10SM BKN020 OVC040 11/05 A3010 RMK AO2 SLP199 T01060050
SEA,2023-05-31 17:53,KSEA 311753Z 19004KT 10SM BKN024 BKN033 12/05 A3010 RMK AO2 SLP200 T01220050 10122 20100 51005
SEA,2023-05-31 18:53,KSEA 311853Z 00000KT 10SM BKN027 BKN045 13/05 A3010 RMK AO2 SLP200 T01280050
SEA,2023-05-31 19:53,KSEA 311953Z VRB06KT 10SM SCT025 BKN043 BKN200 14/05 A3010 RMK AO2 SLP199 T01390050
SEA,2023-05-31 20:53,KSEA 312053Z 29005KT 10SM FEW032 SCT070 SCT200 16/04 A3009 RMK AO2 SLP194 T01610044 58005
SEA,2023-05-31 21:53,KSEA 312153Z VRB06KT 10SM FEW036 SCT080 BKN250 17/04 A3008 RMK AO2 SLP191 T01670044
SEA,2023-05-31 22:53,KSEA 312253Z 28007KT 10SM FEW038 SCT080 SCT250 17/04 A3007 RMK AO2 SLP189 T01720044
SEA,2023-05-31 23:53,KSEA 312353Z 29008KT 10SM FEW038 BKN070 17/02 A3007 RMK AO2 SLP188 T01670022 10178 20122 56006
SEA,2023-06-01 00:53,KSEA 010053Z 30007KT 10SM FEW036 BKN070 16/04 A3006 RMK AO2 SLP185 T01560044
SEA,2023-06-01 01:53,KSEA 010153Z 02008KT 10SM FEW036 OVC060 16/04 A3006 RMK AO2 SLP184 T01560044
SEA,2023-06-01 03:53,KSEA 010353Z 32003KT 10SM BKN065 BKN080 14/05 A3006 RMK AO2 RAE24 SLP185 P0000 T01440050
SEA,2023-06-01 04:53,KSEA 010453Z 04008KT 10SM BKN075 14/04 A3007 RMK AO2 SLP189 T01440039
SEA,2023-06-01 05:53,KSEA 010553Z 05011KT 10SM SCT048 BKN070 13/04 A3007 RMK AO2 SLP190 60000 T01280039 10167 20128 51006
SEA,2023-06-01 06:53,KSEA 010653Z 04011KT 10SM BKN060 12/05 A3007 RMK AO2 SLP190 T01220050
SEA,2023-06-01 07:53,KSEA 010753Z 06008KT 10SM SCT060 11/05 A3007 RMK AO2 SLP190 T01110050 401780100
SEA,2023-06-01 08:53,KSEA 010853Z 04004KT 10SM SCT046 10/05 A3008 RMK AO2 SLP192 T01000050 53002
SEA,2023-06-01 09:53,KSEA 010953Z 06005KT 10SM SCT048 10/05 A3008 RMK AO2 SLP193 T01000050
SEA,2023-06-01 10:53,KSEA 011053Z 04006KT 10SM SCT044 10/05 A3009 RMK AO2 SLP194 T01000050
SEA,2023-06-01 11:53,KSEA 011153Z 03007KT 10SM SCT046 10/05 A3009 RMK AO2 SLP194 T01000050 10128 20100 51002
SEA,2023-06-01 12:53,KSEA 011253Z 02008KT 10SM SCT046 10/06 A3009 RMK AO2 SLP195 T01000056
SEA,2023-06-01 13:53,KSEA 011353Z 04008KT 10SM SCT030 SCT050 11/05 A3010 RMK AO2 SLP199 T01060050
SEA,2023-06-01 14:53,KSEA 011453Z 06009KT 10SM FEW030 FEW050 SCT200 12/06 A3010 RMK AO2 SLP201 T01170056 53006
SEA,2023-06-01 15:53,KSEA 011553Z 05006KT 10SM SCT018 SCT050 13/06 A3012 RMK AO2 SLP205 T01280061
SEA,2023-06-01 16:53,KSEA 011653Z VRB03KT 10SM BKN020 13/06 A3011 RMK AO2 SLP204 T01330061
SEA,2023-06-01 17:53,KSEA 011753Z 32004KT 10SM SCT024 14/06 A3010 RMK AO2 SLP200 T01390061 10150 20100 58001
SEA,2023-06-01 18:53,KSEA 011853Z 27004KT 10SM SCT027 16/07 A3009 RMK AO2 SLP196 T01560067
SEA,2023-06-01 19:53,KSEA 011953Z 28007KT 10SM SCT030 16/06 A3008 RMK AO2 SLP192 T01610056
SEA,2023-06-01 20:53,KSEA 012053Z 31008KT 10SM CLR 18/06 A3007 RMK AO2 SLP188 T01780061 56012
SEA,2023-06-01 21:53,KSEA 012153Z 28007KT 250V320 10SM SCT047 19/06 A3006 RMK AO2 SLP183 T01940061
SEA,2023-06-01 22:53,KSEA 012253Z 29007KT 10SM SCT046 19/05 A3004 RMK AO2 SLP179 T01940050
SEA,2023-06-01 23:53,KSEA 012353Z 02011G16KT 10SM FEW045 20/03 A3004 RMK AO2 SLP177 T02000033 10206 20133 56010
SEA,2023-06-02 00:53,KSEA 020053Z 01008KT 10SM FEW045 21/02 A3003 RMK AO2 SLP175 T02060022
SEA,2023-06-02 01:53,KSEA 020153Z 34005KT 10SM FEW045 20/04 A3003 RMK AO2 SLP174 T02000039
SEA,2023-06-02 02:53,KSEA 020253Z 30005KT 10SM FEW045 18/05 A3003 RMK AO2 SLP175 T01830050 55001
SEA,2023-06-02 03:53,KSEA 020353Z 31004KT 10SM FEW045 16/06 A3004 RMK AO2 SLP178 T01610056
SEA,2023-06-02 04:53,KSEA 020453Z 35004KT 10SM FEW045 15/04 A3005 RMK AO2 SLP181 T01500039
SEA,2023-06-02 05:53,KSEA 020553Z 01008KT 10SM FEW050 14/07 A3006 RMK AO2 SLP184 T01390067 10206 20133 51008
SEA,2023-06-02 06:53,KSEA 020653Z 02007KT 10SM FEW060 13/06 A3007 RMK AO2 SLP186 T01280061
SEA,2023-06-02 07:53,KSEA 020753Z 02008KT 10SM CLR 13/06 A3006 RMK AO2 SLP186 T01280061 402060100
SEA,2023-06-02 08:53,KSEA 020853Z 01003KT 10SM FEW055 12/06 A3007 RMK AO2 SLP189 T01170061 53005
SEA,2023-06-02 09:53,KSEA 020953Z 00000KT 10SM BKN050 11/06 A3008 RMK AO2 SLP191 T01060061
SEA,2023-06-02 10:53,KSEA 021053Z 00000KT 10SM SCT050 11/06 A3009 RMK AO2 SLP193 T01060061
SEA,2023-06-02 11:53,KSEA 021153Z 26003KT 10SM BKN055 10/07 A3010 RMK AO2 SLP198 T01000067 10139 20100 53009
SEA,2023-06-02 12:53,KSEA 021253Z 23004KT 10SM BKN055 10/07 A3011 RMK AO2 SLP202 T01000067
SEA,2023-06-02 13:53,KSEA 021353Z 21005KT 10SM SCT050 SCT250 11/07 A3012 RMK AO2 SLP206 T01060067
SEA,2023-06-02 14:53,KSEA 021453Z VRB05KT 10SM SCT055 SCT250 11/07 A3013 RMK AO2 SLP208 T01110067 51009
SEA,2023-06-02 15:53,KSEA 021553Z VRB04KT 10SM FEW015 FEW060 SCT250 13/07 A3013 RMK AO2 SLP208 T01280067
SEA,2023-06-02 16:53,KSEA 021653Z 20006KT 10SM FEW015 SCT250 14/06 A3013 RMK AO2 SLP208 T01390061
SEA,2023-06-02 17:53,KSEA 021753Z VRB04KT 10SM FEW030 SCT250 16/06 A3013 RMK AO2 SLP208 T01610061 10161 20100 52001
SEA,2023-06-02 18:53,KSEA 021853Z VRB06KT 10SM FEW030 SCT250 17/06 A3013 RMK AO2 SLP207 T01670056
SEA,2023-06-02 19:53,KSEA 021953Z VRB04KT 10SM FEW030 SCT250 18/06 A3012 RMK AO2 SLP204 T01780061
SEA,2023-06-02 20:53,KSEA 022053Z VRB03KT 10SM FEW030 FEW250 19/07 A3011 RMK AO2 SLP201 T01940072 58007
SEA,2023-06-02 21:53,KSEA 022153Z 26007KT 200V300 10SM FEW040 FEW250 21/06 A3010 RMK AO2 SLP198 T02110061
SEA,2023-06-02 22:53,KSEA 022253Z 23007KT 10SM FEW040 FEW250 22/06 A3009 RMK AO2 SLP195 T02170056
SEA,2023-06-02 23:53,KSEA 022353Z VRB03KT 10SM FEW040 FEW250 22/06 A3009 RMK AO2 SLP193 T02170061 10222 20156 56007
SEA,2023-06-03 00:53,KSEA 030053Z 21008KT 10SM FEW040 22/06 A3008 RMK AO2 SLP193 T02220056
SEA,2023-06-03 01:53,KSEA 030153Z 20006KT 10SM FEW040 21/05 A3008 RMK AO2 SLP192 T02110050
SEA,2023-06-03 02:53,KSEA 030253Z 21006KT 10SM FEW040 21/04 A3009 RMK AO2 SLP193 T02110039 55000
SEA,2023-06-03 03:53,KSEA 030353Z 29004KT 10SM FEW040 FEW250 17/07 A3010 RMK AO2 SLP197 T01720067
SEA,2023-06-03 04:53,KSEA 030453Z 30004KT 10SM FEW250 14/08 A3012 RMK AO2 SLP205 T01390083
SEA,2023-06-03 05:53,KSEA 030553Z 01004KT 10SM CLR 14/08 A3013 RMK AO2 SLP207 T01440078 10222 20128 51014
SEA,2023-06-03 06:53,KSEA 030653Z VRB04KT 10SM CLR 14/07 A3014 RMK AO2 SLP211 T01390067
SEA,2023-06-03 07:53,KSEA 030753Z 21003KT 10SM CLR 12/08 A3014 RMK AO2 SLP213 T01170083 402220100
SEA,2023-06-03 08:53,KSEA 030853Z 00000KT 10SM CLR 11/08 A3015 RMK AO2 SLP214 T01110083 51006
SEA,2023-06-03 09:53,KSEA 030953Z 25003KT 10SM CLR 10/07 A3015 RMK AO2 SLP215 T01000067
SEA,2023-06-03 10:53,KSEA 031053Z 23004KT 10SM CLR 10/06 A3016 RMK AO2 SLP219 T01000056
SEA,2023-06-03 11:53,KSEA 031153Z 00000KT 10SM CLR 10/06 A3016 RMK AO2 SLP220 T01000061 10144 20094 53006
SEA,2023-06-03 12:53,KSEA 031253Z 00000KT 10SM CLR 10/07 A3017 RMK AO2 SLP221 T01000067
SEA,2023-06-03 13:53,KSEA 031353Z 00000KT 10SM CLR 11/07 A3018 RMK AO2 SLP224 T01060072
SEA,2023-06-03 14:53,KSEA 031453Z 18004KT 10SM CLR 12/07 A3018 RMK AO2 SLP224 T01220072 51004
SEA,2023-06-03 15:53,KSEA 031553Z 29005KT 10SM CLR 14/07 A3017 RMK AO2 SLP222 T01390072
SEA,2023-06-03 16:53,KSEA 031653Z VRB03KT 10SM CLR 16/07 A3017 RMK AO2 SLP220 T01560072
SEA,2023-06-03 17:53,KSEA 031753Z 21004KT 10SM CLR 17/05 A3015 RMK AO2 SLP216 T01720050 10172 20094 58008
SEA,2023-06-03 18:53,KSEA 031853Z VRB06KT 10SM CLR 18/06 A3014 RMK AO2 SLP212 T01830056
SEA,2023-06-03 19:53,KSEA 031953Z VRB04KT 10SM CLR 19/03 A3013 RMK AO2 SLP207 T01890033
SEA,2023-06-03 20:53,KSEA 032053Z 31006KT 10SM FEW040 21/07 A3012 RMK AO2 SLP205 T02110067 56012
SEA,2023-06-03 21:53,KSEA 032153Z 26005KT 10SM FEW040 22/05 A3010 RMK AO2 SLP199 T02170050
SEA,2023-06-03 22:53,KSEA 032253Z 00000KT 10SM FEW040 FEW200 23/01 A3010 RMK AO2 SLP197 T02280011
SEA,2023-06-03 23:53,KSEA 032353Z 28004KT 10SM FEW040 FEW200 23/04 A3009 RMK AO2 SLP195 T02280039 10233 20167 56009
SEA,2023-06-04 00:53,KSEA 040053Z 25004KT 10SM FEW040 FEW200 23/06 A3008 RMK AO2 SLP192 T02280056
SEA,2023-06-04 01:53,KSEA 040153Z 29006KT 10SM FEW040 FEW200 22/08 A3008 RMK AO2 SLP192 T02220078
SEA,2023-06-04 02:53,KSEA 040253Z 32007KT 10SM FEW040 FEW200 21/09 A3009 RMK AO2 SLP196 T02060089 53000
SEA,2023-06-04 03:53,KSEA 040353Z 35008KT 10SM FEW040 FEW200 18/08 A3011 RMK AO2 SLP202 T01780083
SEA,2023-06-04 04:53,KSEA 040453Z 02009KT 10SM FEW035 FEW200 17/08 A3014 RMK AO2 SLP211 T01670078
SEA,2023-06-04 05:53,KSEA 040553Z 02006KT 10SM FEW030 FEW060 SCT200 15/07 A3015 RMK AO2 SLP217 T01500072 10233 20150 52020
SEA,2023-06-04 06:53,KSEA 040653Z 04011KT 10SM FEW060 FEW200 13/06 A3017 RMK AO2 SLP223 T01330061
SEA,2023-06-04 07:53,KSEA 040753Z 02012G17KT 10SM FEW180 12/06 A3019 RMK AO2 SLP229 T01220061 402330094
SEA,2023-06-04 08:53,KSEA 040853Z 04013KT 10SM BKN039 12/06 A3021 RMK AO2 SLP234 T01220056 51017
SEA,2023-06-04 09:53,KSEA 040953Z 04012KT 10SM BKN040 12/05 A3021 RMK AO2 SLP234 T01170050
SEA,2023-06-04 10:53,KSEA 041053Z 05015G20KT 10SM OVC038 12/05 A3020 RMK AO2 SLP234 T01170050
SEA,2023-06-04 11:53,KSEA 041153Z 05010G19KT 10SM BKN044 11/05 A3022 RMK AO2 SLP239 T01110050 10150 20111 53004
SEA,2023-06-04 12:53,KSEA 041253Z 04012KT 10SM BKN050 11/05 A3025 RMK AO2 SLP249 T01110050
SEA,2023-06-04 13:53,KSEA 041353Z 04011KT 10SM SCT060 12/04 A3026 RMK AO2 SLP252 T01170044
SEA,2023-06-04 14:53,KSEA 041453Z 04012KT 10SM FEW060 13/04 A3026 RMK AO2 SLP253 T01280044 51014
SEA,2023-06-04 15:53,KSEA 041553Z 03012KT 10SM FEW030 14/04 A3027 RMK AO2 SLP255 T01390039
SEA,2023-06-04 16:53,KSEA 041653Z 35009G18KT 10SM FEW020 16/03 A3026 RMK AO2 SLP253 T01560033
SEA,2023-06-04 17:53,KSEA 041753Z 35007KT 10SM FEW020 17/03 A3025 RMK AO2 SLP249 T01670033 10167 20111 58004
SEA,2023-06-04 18:53,KSEA 041853Z 01008G18KT 10SM CLR 18/04 A3024 RMK AO2 SLP246 T01780039
SEA,2023-06-04 19:53,KSEA 041953Z 33016G20KT 10SM FEW020 19/02 A3023 RMK AO2 SLP243 T01890017
SEA,2023-06-04 20:53,KSEA 042053Z 35013KT 10SM CLR 20/01 A3022 RMK AO2 SLP240 T02000006 58009
SEA,2023-06-04 21:53,KSEA 042153Z 34013KT 10SM CLR 21/02 A3021 RMK AO2 SLP234 T02060022
SEA,2023-06-04 22:53,KSEA 042253Z 34014KT 10SM CLR 21/M02 A3019 RMK AO2 SLP230 T02061017
SEA,2023-06-04 23:53,KSEA 042353Z 34013KT 10SM CLR 21/M03 A3018 RMK AO2 SLP226 T02061033 10211 20161 56014
SEA,2023-06-05 00:53,KSEA 050053Z 34013KT 10SM CLR 20/M01 A3017 RMK AO2 SLP221 T02001011
SEA,2023-06-05 01:53,KSEA 050153Z 36010KT 10SM CLR 18/00 A3016 RMK AO2 SLP218 T01830000
SEA,2023-06-05 02:53,KSEA 050253Z 35010KT 10SM CLR 17/00 A3016 RMK AO2 SLP217 T01720000 56008
SEA,2023-06-05 03:53,KSEA 050353Z 33005KT 10SM CLR 14/01 A3016 RMK AO2 SLP218 T01440011
SEA,2023-06-05 04:53,KSEA 050453Z 01009KT 10SM CLR 15/01 A3017 RMK AO2 SLP221 T01500011
SEA,2023-06-05 05:53,KSEA 050553Z 05006KT 10SM CLR 14/02 A3016 RMK AO2 SLP220 T01390017 10211 20139 50003
SEA,2023-06-05 06:53,KSEA 050653Z 04005KT 10SM CLR 13/02 A3017 RMK AO2 SLP222 T01330022
SEA,2023-06-05 07:53,KSEA 050753Z 06008KT 10SM CLR 12/04 A3017 RMK AO2 SLP222 T01220044 402110111
SEA,2023-06-05 08:53,KSEA 050853Z 04010KT 10SM CLR 12/04 A3017 RMK AO2 SLP223 T01170039 51003
SEA,2023-06-05 09:53,KSEA 050953Z 04007KT 10SM CLR 11/04 A3018 RMK AO2 SLP225 T01110039
