station,valid,metar
SFB,2023-05-31 00:53,KSFB 310053Z 13007KT 10SM CLR 25/19 A2992 RMK AO2 SLP130 T02500189
SFB,2023-05-31 01:53,KSFB 310153Z 13006KT 10SM CLR 24/19 A2992 RMK AO2 SLP132 T02390194
SFB,2023-05-31 02:53,KSFB 310253Z 12005KT 10SM CLR 23/19 A2993 RMK AO2 SLP133 T02330194 51010
SFB,2023-05-31 03:53,KSFB 310353Z 13006KT 10SM CLR 23/20 A2994 RMK AO2 SLP137 T02280200
SFB,2023-05-31 04:53,KSFB 310453Z AUTO 12006KT 10SM CLR 23/20 A2994 RMK AO2 SLP136 T02280200 403110194
SFB,2023-05-31 05:53,KSFB 310553Z AUTO 12003KT 10SM CLR 23/20 A2992 RMK AO2 SLP130 T02280200 10267 20222 58004
SFB,2023-05-31 06:53,KSFB 310653Z AUTO 12005KT 10SM CLR 23/21 A2991 RMK AO2 SLP125 T02280206
SFB,2023-05-31 07:53,KSFB 310753Z AUTO 12005KT 10SM CLR 22/20 A2990 RMK AO2 SLP123 T02220200
SFB,2023-05-31 08:53,KSFB 310853Z AUTO 08003KT 10SM CLR 22/20 A2991 RMK AO2 SLP128 T02220200 55002
SFB,2023-05-31 09:53,KSFB 310953Z AUTO 00000KT 10SM CLR 22/21 A2992 RMK AO2 SLP129 T02170206
SFB,2023-05-31 10:53,KSFB 311053Z 02003KT 10SM FEW120 22/20 A2993 RMK AO2 SLP135 T02170200
SFB,2023-05-31 11:53,KSFB 311153Z 07003KT 10SM SCT110 22/21 A2994 RMK AO2 SLP136 T02220206 10228 20217 53008
SFB,2023-05-31 12:53,KSFB 311253Z 08006KT 10SM FEW120 23/21 A2995 RMK AO2 SLP141 T02330206
SFB,2023-05-31 13:53,KSFB 311353Z 09009KT 10SM CLR 27/21 A2995 RMK AO2 SLP141 T02670211
SFB,2023-05-31 14:53,KSFB 311453Z 09010KT 10SM FEW029 FEW036 28/21 A2995 RMK AO2 SLP139 T02830206 50003
SFB,2023-05-31 15:53,KSFB 311553Z 07015KT 10SM FEW035 FEW047 28/19 A2996 RMK AO2 SLP143 T02780194
SFB,2023-05-31 16:53,KSFB 311653Z 09014KT 10SM SCT037 SCT060 28/19 A2996 RMK AO2 SLP143 T02830194
SFB,2023-05-31 17:53,KSFB 311753Z 10014G21KT 10SM SCT033 BKN045 29/21 A2995 RMK AO2 SLP140 T02940206 10294 20222 50001
SFB,2023-05-31 18:53,KSFB 311853Z 11011G20KT 10SM SCT038 29/19 A2994 RMK AO2 SLP136 T02940194
SFB,2023-05-31 19:53,KSFB 311953Z 09014G21KT 10SM SCT036 BKN065 28/19 A2992 RMK AO2 SLP130 T02830194
SFB,2023-05-31 20:53,KSFB 312053Z 10015KT 10SM FEW039 29/19 A2991 RMK AO2 SLP127 T02890194 56013
SFB,2023-05-31 21:53,KSFB 312153Z 11015KT 10SM SCT037 27/19 A2991 RMK AO2 SLP128 T02670194
SFB,2023-05-31 22:53,KSFB 312253Z 10009KT 10SM BKN030 26/19 A2992 RMK AO2 SLP132 T02610194
SFB,2023-05-31 23:53,KSFB 312353Z 09009KT 10SM CLR 25/19 A2993 RMK AO2 SLP133 T02500194 10300 20250 53006
SFB,2023-06-01 00:53,KSFB 010053Z 08005KT 10SM FEW012 24/20 A2993 RMK AO2 SLP134 T02440200
SFB,2023-06-01 01:53,KSFB 010153Z 10005KT 10SM CLR 24/20 A2994 RMK AO2 SLP136 T02390200
SFB,2023-06-01 03:53,KSFB 010353Z AUTO 10005KT 10SM BKN110 23/20 A2992 RMK AO2 SLP131 T02330200
SFB,2023-06-01 04:53,KSFB 010453Z AUTO 07006KT 10SM CLR 23/20 A2989 RMK AO2 RAB22E27 SLP122 P0000 T02330200 403000217
SFB,2023-06-01 05:53,KSFB 010553Z AUTO 05006KT 10SM -RA FEW110 23/21 A2988 RMK AO2 RAB44 SLP117 P0000 60000 T02330206 10250 20233 56020
SFB,2023-06-01 06:53,KSFB 010653Z AUTO 06005KT 10SM CLR 23/21 A2988 RMK AO2 RAE42 SLP117 P0000 T02280206
SFB,2023-06-01 07:53,KSFB 010753Z AUTO 07006KT 10SM BKN060 BKN120 23/20 A2987 RMK AO2 SLP114 T02280200
SFB,2023-06-01 08:53,KSFB 010853Z AUTO 06006KT 10SM SCT120 22/21 A2987 RMK AO2 RAB0757E47 SLP113 P0000 60000 T02220206 58004
SFB,2023-06-01 09:53,KSFB 010953Z AUTO 04005KT 10SM BKN060 22/21 A2987 RMK AO2 SLP114 T02170206
SFB,2023-06-01 10:53,KSFB 011053Z 03006KT 10SM BKN075 22/21 A2988 RMK AO2 SLP118 T02220211
SFB,2023-06-01 11:53,KSFB 011153Z 05006KT 10SM OVC080 24/21 A2989 RMK AO2 SLP121 60000 T02390211 10239 20217 53008
SFB,2023-06-01 12:53,KSFB 011253Z 07010KT 10SM BKN055 26/21 A2990 RMK AO2 SLP124 T02610211
SFB,2023-06-01 13:53,KSFB 011353Z 07012KT 10SM SCT027 28/21 A2991 RMK AO2 SLP126 T02780206
SFB,2023-06-01 14:53,KSFB 011453Z 07010KT 10SM SCT035 BKN090 28/21 A2991 RMK AO2 SLP126 T02830206 50004
