station,valid,vsby,skyl1,metar
SFO,2023-05-31 00:56,10.00,1800.00,KSFO 310056Z 25012G20KT 10SM FEW018 SCT020 16/10 A2995 RMK AO2 SLP141 T01610100
SFO,2023-05-31 01:56,10.00,2100.00,KSFO 310156Z 28017G20KT 10SM FEW021 16/10 A2995 RMK AO2 SLP140 T01610100
SFO,2023-05-31 02:56,10.00,1500.00,KSFO 310256Z 27013KT 10SM FEW015 BKN017 14/10 A2995 RMK AO2 SLP141 T01440100 55002
SFO,2023-05-31 03:56,10.00,1500.00,KSFO 310356Z 26015G20KT 10SM FEW015 BKN017 14/09 A2997 RMK AO2 SLP147 T01390094
SFO,2023-05-31 04:56,10.00,1300.00,KSFO 310456Z 26012KT 10SM FEW013 BKN015 14/09 A2997 RMK AO2 SLP150 T01390094
SFO,2023-05-31 05:56,10.00,1500.00,KSFO 310556Z 24008KT 10SM OVC015 14/09 A2997 RMK AO2 SLP148 T01390094 10172 20139 50007
SFO,2023-05-31 06:56,10.00,1500.00,KSFO 310656Z 23008KT 10SM OVC015 14/09 A2997 RMK AO2 SLP147 T01390094
SFO,2023-05-31 07:56,10.00,1300.00,KSFO 310756Z 24009KT 10SM OVC013 14/10 A2996 RMK AO2 SLP145 T01390100 401940133
SFO,2023-05-31 08:56,10.00,900.00,KSFO 310856Z 26011KT 10SM OVC009 13/09 A2995 RMK AO2 SLP141 T01280094 58007
SFO,2023-05-31 09:56,10.00,1200.00,KSFO 310956Z 25010KT 10SM OVC012 13/09 A2994 RMK AO2 SLP138 T01280089
SFO,2023-05-31 10:56,10.00,1400.00,KSFO 311056Z 24010KT 10SM OVC014 13/09 A2993 RMK AO2 SLP135 T01280089
SFO,2023-05-31 11:56,10.00,1400.00,KSFO 311156Z 22009KT 10SM OVC014 12/09 A2992 RMK AO2 SLP132 T01220089 10139 20122 56008
SFO,2023-05-31 12:56,9.00,1400.00,KSFO 311256Z 25011KT 9SM OVC014 12/09 A2992 RMK AO2 SLP133 T01220089
SFO,2023-05-31 13:56,10.00,500.00,KSFO 311356Z 24006KT 10SM FEW005 BKN010 12/10 A2992 RMK AO2 SLP133 T01220100
SFO,2023-05-31 14:56,10.00,500.00,KSFO 311456Z 27009KT 10SM FEW005 BKN010 13/09 A2993 RMK AO2 SLP136 T01280094 53003
SFO,2023-05-31 15:56,10.00,600.00,KSFO 311556Z 25008KT 10SM FEW006 BKN014 13/09 A2994 RMK AO2 SLP138 T01330094
SFO,2023-05-31 16:56,10.00,1400.00,KSFO 311656Z 24010KT 10SM BKN014 14/09 A2994 RMK AO2 SLP137 T01390094
SFO,2023-05-31 17:56,10.00,1600.00,KSFO 311756Z 26012G18KT 10SM BKN016 16/09 A2993 RMK AO2 SLP136 T01560094 10156 20122 50001
SFO,2023-05-31 18:56,10.00,1900.00,KSFO 311856Z 28014KT 10SM BKN019 16/09 A2993 RMK AO2 SLP135 T01610089
SFO,2023-05-31 19:56,10.00,1900.00,KSFO 311956Z 28015G21KT 10SM SCT019 18/08 A2992 RMK AO2 SLP130 T01780083
SFO,2023-05-31 20:56,10.00,2000.00,KSFO 312056Z 28015KT 10SM FEW020 18/08 A2990 RMK AO2 PK WND 28029/2003 SLP125 T01780083 58012
SFO,2023-05-31 21:56,10.00,1500.00,KSFO 312156Z 28017G22KT 10SM FEW015 18/09 A2989 RMK AO2 SLP121 T01780089
SFO,2023-05-31 22:56,10.00,1500.00,KSFO 312256Z 29014G23KT 10SM FEW015 17/08 A2988 RMK AO2 SLP118 T01720083
SFO,2023-05-31 23:56,10.00,1500.00,KSFO 312356Z 25016G23KT 10SM FEW015 17/09 A2987 RMK AO2 SLP116 T01670089 10183 20150 56009
SFO,2023-06-01 00:56,10.00,1500.00,KSFO 010056Z 24019G28KT 10SM SCT015 15/09 A2987 RMK AO2 PK WND 24028/0047 SLP114 T01500089
SFO,2023-06-01 01:56,10.00,1000.00,KSFO 010156Z 26014KT 10SM FEW010 BKN016 15/09 A2987 RMK AO2 SLP114 T01500094
SFO,2023-06-01 02:36,10.00,1000.00,KSFO 010236Z 25015G21KT 10SM FEW010 SCT016 14/09 A2987 RMK AO2 T01390089
SFO,2023-06-01 03:56,10.00,1100.00,KSFO 010356Z 25011G20KT 10SM FEW011 SCT016 13/09 A2987 RMK AO2 SLP115 T01330089
SFO,2023-06-01 04:56,10.00,1100.00,KSFO 010456Z 23009G18KT 10SM FEW011 BKN016 13/09 A2988 RMK AO2 SLP118 T01330089
SFO,2023-06-01 05:56,10.00,1100.00,KSFO 010556Z 21007KT 10SM FEW011 SCT016 BKN018 13/09 A2989 RMK AO2 SLP120 T01330089 10161 20133 53005
SFO,2023-06-01 06:56,10.00,1000.00,KSFO 010656Z 23006KT 10SM FEW010 SCT017 BKN019 13/09 A2989 RMK AO2 SLP120 T01330089
