station,valid,metar
SJC,2023-05-31 00:53,KSJC 310053Z 34016G23KT 10SM FEW008 FEW037 FEW070 19/11 A2993 RMK AO2 SLP133 T01890111
SJC,2023-05-31 01:53,KSJC 310153Z 35012KT 10SM FEW006 FEW031 FEW070 18/11 A2993 RMK AO2 SLP135 T01780106
SJC,2023-05-31 02:53,KSJC 310253Z 34011KT 10SM FEW005 FEW026 SCT160 17/11 A2994 RMK AO2 SLP136 T01670106 53004
SJC,2023-05-31 03:53,KSJC 310353Z 35007G17KT 10SM FEW004 FEW140 15/11 A2995 RMK AO2 SLP141 T01500106
SJC,2023-05-31 04:53,KSJC 310453Z 34008KT 10SM FEW004 14/11 A2996 RMK AO2 SLP145 T01440106
SJC,2023-05-31 05:53,KSJC 310553Z 36010KT 10SM FEW004 14/10 A2996 RMK AO2 SLP146 T01390100 10200 20139 51010
SJC,2023-05-31 06:53,KSJC 310653Z 01006KT 10SM FEW004 13/10 A2996 RMK AO2 SLP144 T01330100
SJC,2023-05-31 07:53,KSJC 310753Z AUTO 35004KT 10SM BKN025 13/10 A2995 RMK AO2 SLP143 T01330100 402170117
SJC,2023-05-31 08:53,KSJC 310853Z AUTO 01004KT 10SM BKN023 13/09 A2994 RMK AO2 SLP139 T01330094 56005
SJC,2023-05-31 09:53,KSJC 310953Z AUTO 21003KT 10SM OVC022 13/09 A2993 RMK AO2 SLP136 T01330094
SJC,2023-05-31 10:53,KSJC 311053Z AUTO 22005KT 10SM OVC021 13/09 A2993 RMK AO2 SLP133 T01330089
SJC,2023-05-31 11:53,KSJC 311153Z AUTO 24003KT 10SM BKN023 13/08 A2992 RMK AO2 SLP132 T01280083 10139 20128 56007
SJC,2023-05-31 12:53,KSJC 311253Z 22003KT 10SM OVC025 13/09 A2992 RMK AO2 SLP132 T01280089
SJC,2023-05-31 13:53,KSJC 311353Z 00000KT 10SM FEW012 SCT020 BKN025 13/09 A2992 RMK AO2 SLP132 T01330094
SJC,2023-05-31 14:53,KSJC 311453Z 00000KT 10SM FEW012 SCT020 BKN025 14/09 A2993 RMK AO2 SLP135 T01390094 53003
SJC,2023-05-31 15:53,KSJC 311553Z 18003KT 10SM FEW012 SCT020 BKN025 15/09 A2994 RMK AO2 SLP136 T01500094
SJC,2023-05-31 16:53,KSJC 311653Z 00000KT 10SM FEW014 SCT028 17/09 A2993 RMK AO2 SLP133 T01670094
SJC,2023-05-31 17:53,KSJC 311753Z VRB03KT 10SM FEW014 19/11 A2991 RMK AO2 SLP129 T01940106 10194 20128 58006
SJC,2023-05-31 18:53,KSJC 311853Z VRB04KT 10SM FEW014 21/10 A2990 RMK AO2 SLP125 T02060100
SJC,2023-05-31 19:53,KSJC 311953Z 31009G14KT 10SM CLR 21/12 A2989 RMK AO2 SLP122 T02060122
SJC,2023-05-31 20:53,KSJC 312053Z 32011G19KT 10SM CLR 21/12 A2988 RMK AO2 SLP118 T02060122 58010
SJC,2023-05-31 21:53,KSJC 312153Z 31012KT 10SM FEW045 21/12 A2987 RMK AO2 SLP114 T02060117
SJC,2023-05-31 22:53,KSJC 312253Z 32011KT 10SM FEW045 21/11 A2986 RMK AO2 SLP111 T02110111
SJC,2023-05-31 23:53,KSJC 312353Z 34011KT 10SM FEW040 20/11 A2985 RMK AO2 SLP108 T02000106 10217 20189 56010
SJC,2023-06-01 00:53,KSJC 010053Z 35011KT 10SM CLR 19/09 A2985 RMK AO2 SLP107 T01890094
SJC,2023-06-01 01:53,KSJC 010153Z 35009KT 10SM FEW017 17/10 A2986 RMK AO2 SLP110 T01720100
SJC,2023-06-01 02:28,KSJC 010228Z 34011KT 10SM FEW002 FEW017 16/10 A2986 RMK AO2 FU FEW002 T01610100
SJC,2023-06-01 03:53,KSJC 010353Z 34007KT 10SM FEW007 14/10 A2988 RMK AO2 SLP117 T01440100
SJC,2023-06-01 04:53,KSJC 010453Z 33006KT 9SM FEW007 14/09 A2989 RMK AO2 SLP120 T01390094
SJC,2023-06-01 05:53,KSJC 010553Z 05004KT 9SM FEW015 14/09 A2989 RMK AO2 SLP121 FU FEW015 T01390089 10200 20133 51007
SJC,2023-06-01 06:53,KSJC 010653Z 15004KT 9SM FEW013 13/09 A2989 RMK AO2 SLP121 FU FEW013 T01330089
SJC,2023-06-01 07:53,KSJC 010753Z AUTO 16008KT 10SM CLR 12/09 A2989 RMK AO2 SLP120 T01220089 402170122
SJC,2023-06-01 08:53,KSJC 010853Z AUTO 16007KT 10SM CLR 12/09 A2988 RMK AO2 SLP117 T01220089 58004
SJC,2023-06-01 09:53,KSJC 010953Z AUTO 16007KT 10SM SCT021 12/09 A2988 RMK AO2 SLP116 T01220089
SJC,2023-06-01 10:53,KSJC 011053Z AUTO 19005KT 10SM SCT015 12/09 A2987 RMK AO2 SLP115 T01170089
SJC,2023-06-01 11:53,KSJC 011153Z AUTO 18006KT 10SM SCT020 12/08 A2988 RMK AO2 SLP118 T01170083 10139 20117 53000
SJC,2023-06-01 12:53,KSJC 011253Z 18007KT 10SM BKN019 12/08 A2988 RMK AO2 SLP119 T01170083
SJC,2023-06-01 13:53,KSJC 011353Z 16010KT 10SM FEW014 BKN020 12/08 A2989 RMK AO2 SLP122 T01220078
SJC,2023-06-01 14:53,KSJC 011453Z 14013KT 10SM FEW014 SCT022 13/08 A2991 RMK AO2 SLP128 T01330078 53010
SJC,2023-06-01 15:53,KSJC 011553Z 14011KT 10SM FEW016 FEW026 15/08 A2991 RMK AO2 SLP129 T01500083
SJC,2023-06-01 16:53,KSJC 011653Z 15007G16KT 10SM FEW027 16/08 A2992 RMK AO2 SLP130 T01610083
SJC,2023-06-01 17:53,KSJC 011753Z 12007KT 10SM FEW027 17/09 A2991 RMK AO2 SLP127 T01720089 10178 20117 58001
SJC,2023-06-01 18:53,KSJC 011853Z VRB06KT 10SM FEW037 19/09 A2991 RMK AO2 SLP126 T01940094
SJC,2023-06-01 19:53,KSJC 011953Z 10004KT 10SM FEW037 21/10 A2990 RMK AO2 SLP123 T02110100
SJC,2023-06-01 20:53,KSJC 012053Z 00000KT 10SM FEW019 23/10 A2989 RMK AO2 SLP120 T02280100 58007
SJC,2023-06-01 21:53,KSJC 012153Z 31010KT 10SM FEW017 23/12 A2989 RMK AO2 SLP120 T02280122
SJC,2023-06-01 22:53,KSJC 012253Z 32011KT 10SM FEW017 22/13 A2988 RMK AO2 SLP118 T02220128
SJC,2023-06-01 23:53,KSJC 012353Z 34012KT 10SM FEW017 21/12 A2989 RMK AO2 SLP120 T02110122 10233 20172 55000
SJC,2023-06-02 00:53,KSJC 020053Z 33012KT 10SM FEW017 20/11 A2989 RMK AO2 SLP122 T02000111
SJC,2023-06-02 01:53,KSJC 020153Z 34012KT 10SM FEW017 18/10 A2991 RMK AO2 SLP129 T01780100
SJC,2023-06-02 02:53,KSJC 020253Z 36012KT 10SM FEW017 17/09 A2993 RMK AO2 SLP134 T01670089 53014
SJC,2023-06-02 03:53,KSJC 020353Z 01006KT 10SM FEW017 15/09 A2994 RMK AO2 SLP137 T01500089
SJC,2023-06-02 04:53,KSJC 020453Z VRB03KT 10SM CLR 14/08 A2995 RMK AO2 SLP142 T01440083
SJC,2023-06-02 05:53,KSJC 020553Z 17007KT 9SM CLR 14/09 A2996 RMK AO2 SLP145 T01440094 10211 20139 51011
SJC,2023-06-02 06:53,KSJC 020653Z 16009KT 9SM CLR 13/09 A2996 RMK AO2 SLP145 T01330094
SJC,2023-06-02 07:53,KSJC 020753Z AUTO 15008KT 10SM CLR 13/09 A2996 RMK AO2 SLP146 T01280094 402330117
SJC,2023-06-02 08:53,KSJC 020853Z AUTO 16010KT 10SM CLR 12/09 A2996 RMK AO2 SLP144 T01220094 58001
SJC,2023-06-02 09:53,KSJC 020953Z AUTO 15009KT 10SM CLR 12/09 A2996 RMK AO2 SLP146 T01220094
SJC,2023-06-02 10:53,KSJC 021053Z AUTO 14010KT 10SM SCT014 12/09 A2996 RMK AO2 SLP145 T01170089
SJC,2023-06-02 11:53,KSJC 021153Z AUTO 15008KT 10SM SCT014 12/09 A2997 RMK AO2 SLP147 T01170089 10144 20117 53003
SJC,2023-06-02 12:53,KSJC 021253Z 19006KT 10SM BKN014 11/08 A2998 RMK AO2 SLP151 T01110083
SJC,2023-06-02 13:53,KSJC 021353Z 18005KT 10SM FEW014 FEW020 12/09 A2999 RMK AO2 SLP155 T01220089
SJC,2023-06-02 14:53,KSJC 021453Z 15011KT 10SM FEW020 14/09 A3000 RMK AO2 SLP158 T01390089 51010
SJC,2023-06-02 15:53,KSJC 021553Z 15007KT 10SM FEW020 15/09 A3001 RMK AO2 SLP161 T01500094
SJC,2023-06-02 16:53,KSJC 021653Z 17007KT 10SM FEW015 16/09 A3001 RMK AO2 SLP161 T01610089
SJC,2023-06-02 17:53,KSJC 021753Z 00000KT 10SM FEW015 18/09 A3000 RMK AO2 SLP158 T01780089 10183 20111 50000
SJC,2023-06-02 18:53,KSJC 021853Z VRB03KT 10SM CLR 21/09 A2999 RMK AO2 SLP156 T02060094
SJC,2023-06-02 19:53,KSJC 021953Z 00000KT 10SM CLR 22/09 A2998 RMK AO2 SLP151 T02170089
SJC,2023-06-02 20:53,KSJC 022053Z 32010KT 10SM CLR 23/11 A2997 RMK AO2 SLP148 T02280106 58010
SJC,2023-06-02 21:53,KSJC 022153Z 32009G17KT 10SM CLR 23/11 A2997 RMK AO2 SLP147 T02330111
SJC,2023-06-02 22:53,KSJC 022253Z 31010KT 10SM CLR 23/12 A2996 RMK AO2 SLP143 T02280117
SJC,2023-06-02 23:53,KSJC 022353Z 33011KT 10SM CLR 23/12 A2995 RMK AO2 SLP140 T02280122 10233 20178 58007
SJC,2023-06-03 00:53,KSJC 030053Z 32013KT 10SM CLR 21/11 A2995 RMK AO2 SLP141 T02110111
SJC,2023-06-03 01:53,KSJC 030153Z 32013KT 10SM CLR 19/11 A2996 RMK AO2 SLP145 T01890111
SJC,2023-06-03 02:53,KSJC 030253Z 32010KT 10SM CLR 17/10 A2997 RMK AO2 SLP148 T01670100 53007
SJC,2023-06-03 03:53,KSJC 030353Z 33010KT 10SM CLR 15/11 A2998 RMK AO2 SLP152 T01500106
SJC,2023-06-03 04:53,KSJC 030453Z 32005KT 10SM CLR 14/10 A2999 RMK AO2 SLP154 T01390100
SJC,2023-06-03 05:53,KSJC 030553Z 35004KT 10SM CLR 13/10 A2999 RMK AO2 SLP154 T01330100 10228 20133 50006
SJC,2023-06-03 06:53,KSJC 030653Z 00000KT 10SM CLR 13/10 A2998 RMK AO2 SLP151 T01280100
SJC,2023-06-03 07:53,KSJC 030753Z AUTO 32004KT 10SM CLR 12/09 A2997 RMK AO2 SLP147 T01170094 402330111
SJC,2023-06-03 08:53,KSJC 030853Z AUTO 33004KT 10SM CLR 12/10 A2996 RMK AO2 SLP145 T01220100 56009
SJC,2023-06-03 09:53,KSJC 030953Z AUTO 00000KT 10SM CLR 12/09 A2996 RMK AO2 SLP144 T01220094
SJC,2023-06-03 10:53,KSJC 031053Z AUTO 16003KT 10SM CLR 12/09 A2995 RMK AO2 SLP141 T01220094
SJC,2023-06-03 11:53,KSJC 031153Z AUTO 00000KT 10SM CLR 12/09 A2995 RMK AO2 SLP140 T01220094 10133 20117 58004
SJC,2023-06-03 12:53,KSJC 031253Z 16005KT 7SM FEW007 11/09 A2995 RMK AO2 SLP141 T01110089
SJC,2023-06-03 13:53,KSJC 031353Z 14007KT 6SM BR FEW003 12/09 A2995 RMK AO2 SLP142 T01170094
SJC,2023-06-03 14:53,KSJC 031453Z 16007KT 6SM BR FEW005 FEW008 12/11 A2996 RMK AO2 SLP144 FU FEW005 T01220106 53003
SJC,2023-06-03 15:53,KSJC 031553Z 14005KT 9SM FEW014 15/11 A2996 RMK AO2 SLP143 T01500106
SJC,2023-06-03 16:53,KSJC 031653Z VRB05KT 10SM FEW060 17/11 A2996 RMK AO2 SLP143 T01720111
SJC,2023-06-03 17:53,KSJC 031753Z 00000KT 10SM FEW060 FEW100 20/11 A2994 RMK AO2 SLP139 T02000111 10200 20106 58005
SJC,2023-06-03 18:53,KSJC 031853Z VRB03KT 10SM FEW060 FEW100 23/12 A2992 RMK AO2 SLP132 T02330117
SJC,2023-06-03 19:53,KSJC 031953Z VRB03KT 10SM FEW060 FEW100 25/12 A2991 RMK AO2 SLP127 T02500122
SJC,2023-06-03 20:53,KSJC 032053Z VRB04KT 10SM FEW060 FEW100 26/11 A2989 RMK AO2 SLP121 T02610111 56018
SJC,2023-06-03 21:53,KSJC 032153Z 33010KT 10SM FEW005 FEW120 SCT250 26/12 A2988 RMK AO2 SLP119 FU FEW005 T02610117
SJC,2023-06-03 22:53,KSJC 032253Z 33009KT 10SM FEW005 FEW130 SCT250 26/12 A2987 RMK AO2 SLP114 FU FEW005 T02610122
SJC,2023-06-03 23:53,KSJC 032353Z 32011KT 10SM FEW130 SCT160 BKN250 26/13 A2986 RMK AO2 SLP112 T02560133 10267 20206 56009
SJC,2023-06-04 00:53,KSJC 040053Z 31011KT 10SM FEW120 SCT160 BKN250 24/13 A2986 RMK AO2 SLP111 T02440128
SJC,2023-06-04 01:53,KSJC 040153Z 31008KT 10SM FEW110 SCT150 SCT250 23/12 A2986 RMK AO2 SLP111 T02330117
SJC,2023-06-04 02:53,KSJC 040253Z 30008KT 10SM FEW100 FEW130 FEW200 21/12 A2987 RMK AO2 SLP114 T02110117 53002
