station,valid,metar
SLC,2023-05-31 00:54,KSLC 310054Z 01010KT 10SM FEW120 FEW140 BKN250 28/02 A2982 RMK AO2 SLP045 T02830017
SLC,2023-05-31 01:54,KSLC 310154Z 33013KT 10SM FEW130 FEW160 SCT250 27/02 A2983 RMK AO2 SLP048 T02670022
SLC,2023-05-31 02:54,KSLC 310254Z 34011KT 10SM FEW120 SCT250 24/07 A2984 RMK AO2 SLP053 T02440067 53007
SLC,2023-05-31 03:54,KSLC 310354Z 35007KT 10SM FEW120 SCT250 21/07 A2985 RMK AO2 SLP058 T02110072
SLC,2023-05-31 04:54,KSLC 310454Z 00000KT 10SM FEW120 FEW250 20/08 A2986 RMK AO2 SLP059 T02000078
SLC,2023-05-31 05:54,KSLC 310554Z COR 16003KT 10SM FEW250 20/05 A2985 RMK AO2 SLP052 T02000050 10289 20189 50001
SLC,2023-05-31 06:54,KSLC 310654Z 20003KT 10SM FEW250 19/06 A2984 RMK AO2 SLP050 T01940061 403000144
SLC,2023-05-31 07:54,KSLC 310754Z 35007KT 10SM FEW250 17/08 A2984 RMK AO2 SLP051 T01720078
SLC,2023-05-31 08:54,KSLC 310854Z 34003KT 10SM FEW150 SCT250 18/09 A2984 RMK AO2 SLP052 T01780094 55001
SLC,2023-05-31 09:54,KSLC 310954Z 22006KT 10SM FEW150 BKN250 17/08 A2984 RMK AO2 SLP052 T01670078
SLC,2023-05-31 10:54,KSLC 311054Z 00000KT 10SM BKN250 16/09 A2984 RMK AO2 SLP052 T01560094
SLC,2023-05-31 11:54,KSLC 311154Z 26004KT 10SM FEW150 BKN200 14/09 A2984 RMK AO2 SLP057 T01440094 10200 20144 53000
SLC,2023-05-31 12:54,KSLC 311254Z 00000KT 10SM FEW150 BKN200 BKN250 16/11 A2984 RMK AO2 SLP054 T01610106
SLC,2023-05-31 13:54,KSLC 311354Z 24005KT 10SM FEW120 BKN220 18/10 A2984 RMK AO2 SLP054 T01830100
SLC,2023-05-31 14:54,KSLC 311454Z 26005KT 10SM FEW130 BKN220 21/09 A2985 RMK AO2 SLP055 T02060089 53001
SLC,2023-05-31 15:54,KSLC 311554Z VRB03KT 10SM FEW130 SCT220 BKN250 22/08 A2984 RMK AO2 SLP056 VIRGA T02170078
SLC,2023-05-31 16:54,KSLC 311654Z VRB06KT 10SM FEW080 FEW130 SCT220 BKN250 24/07 A2983 RMK AO2 SLP048 VIRGA T02390072
SLC,2023-05-31 17:54,KSLC 311754Z 32009KT 10SM FEW085 FEW130 SCT200 BKN250 25/04 A2980 RMK AO2 SLP040 VIRGA TCU DSNT NE ACC DSNT SE T02500044 10261 20139 58013
SLC,2023-05-31 18:54,KSLC 311854Z 33010KT 10SM FEW085CB FEW120 SCT200 BKN250 27/04 A2978 RMK AO2 SLP031 VIRGA CB NE-E MOV N AND DSNT SE AND NW TCU DSNT N T02720039
SLC,2023-05-31 19:54,KSLC 311954Z 32010G17KT 10SM FEW085 SCT170 SCT250 29/07 A2976 RMK AO2 LTG DSNT SE SLP021 VIRGA CB DSNT ALQDS T02890072
SLC,2023-05-31 20:54,KSLC 312054Z 31008G16KT 10SM FEW080CB SCT150 BKN250 29/06 A2973 RMK AO2 SLP012 VIRGA CB N-E MOV N AND DSNT ALQDS SH DSNT SE T02940061 57022
SLC,2023-05-31 21:54,KSLC 312154Z 04018KT 10SM -TSRA FEW080CB BKN100 BKN170 BKN250 26/03 A2974 RMK AO2 PK WND 06034/2132 WSHFT 2122 LTG DSNT N RAB51 TSB26 SLP023 TS OHD MOV NW CB DSNT SW MOV NW P0000 T02560028
SLC,2023-05-31 22:54,KSLC 312254Z 07005G16KT 10SM FEW070 SCT100 BKN130 BKN150 BKN260 26/02 A2975 RMK AO2 RAE2158 TSE2159 SLP027 VIRGA P0000 T02560017
SLC,2023-05-31 23:54,KSLC 312354Z 34005KT 10SM FEW080 FEW120 SCT140 BKN180 BKN210 27/01 A2973 RMK AO2 SLP021 VIRGA 60000 T02670006 10294 20250 50000
SLC,2023-06-01 00:54,KSLC 010054Z 32009KT 10SM FEW110 SCT130 BKN190 BKN220 26/03 A2972 RMK AO2 SLP014 VIRGA T02560028
SLC,2023-06-01 01:54,KSLC 010154Z 00000KT 10SM FEW075 FEW110 SCT130 BKN160 BKN180 24/03 A2974 RMK AO2 SLP019 VIRGA T02440028
SLC,2023-06-01 03:54,KSLC 010354Z 01007KT 10SM FEW120 SCT160 BKN180 BKN220 21/06 A2976 RMK AO2 SLP028 T02110056
SLC,2023-06-01 04:54,KSLC 010454Z 31011KT 10SM BKN110 BKN160 BKN180 BKN220 22/06 A2978 RMK AO2 SLP029 T02220061
SLC,2023-06-01 05:54,KSLC 010554Z 35006KT 10SM SCT160 BKN180 BKN220 19/09 A2979 RMK AO2 SLP035 T01940094 10272 20194 51013
SLC,2023-06-01 06:54,KSLC 010654Z 36003KT 10SM FEW110 SCT150 BKN200 20/08 A2979 RMK AO2 SLP031 T02000083 402940139
SLC,2023-06-01 07:54,KSLC 010754Z 23003KT 10SM FEW110 SCT200 18/08 A2979 RMK AO2 SLP034 T01780078
