station,valid,metar
SMF,2023-05-31 00:53,KSMF 310053Z 17011KT 10SM CLR 24/12 A2984 RMK AO2 SLP103 T02390122
SMF,2023-05-31 01:53,KSMF 310153Z 17013KT 10SM CLR 22/12 A2983 RMK AO2 SLP102 T02220117
SMF,2023-05-31 02:53,KSMF 310253Z 16009KT 10SM CLR 20/11 A2984 RMK AO2 SLP104 T02000111 55000
SMF,2023-05-31 03:53,KSMF 310353Z 16011KT 10SM CLR 18/11 A2985 RMK AO2 SLP106 T01780106
SMF,2023-05-31 04:53,KSMF 310453Z 14014KT 10SM CLR 16/10 A2986 RMK AO2 SLP111 T01610100
SMF,2023-05-31 05:53,KSMF 310553Z 15013G18KT 10SM CLR 15/09 A2987 RMK AO2 SLP114 T01500094 10250 20150 53009
SMF,2023-05-31 06:53,KSMF 310653Z 15010KT 10SM FEW200 14/09 A2987 RMK AO2 SLP113 T01390094
SMF,2023-05-31 07:53,KSMF 310753Z 15010KT 10SM CLR 13/09 A2986 RMK AO2 SLP111 T01330094 402560122
SMF,2023-05-31 08:53,KSMF 310853Z 15012KT 10SM CLR 13/09 A2986 RMK AO2 SLP110 T01280094 56003
SMF,2023-05-31 09:53,KSMF 310953Z 14012KT 10SM CLR 12/09 A2986 RMK AO2 SLP111 T01220094
SMF,2023-05-31 10:53,KSMF 311053Z 15010KT 10SM CLR 12/09 A2986 RMK AO2 SLP110 T01220094
SMF,2023-05-31 11:53,KSMF 311153Z 15009KT 10SM CLR 12/09 A2986 RMK AO2 SLP110 T01220094 10150 20122 58001
SMF,2023-05-31 12:53,KSMF 311253Z 14009KT 10SM CLR 12/09 A2986 RMK AO2 SLP110 T01220094
SMF,2023-05-31 13:53,KSMF 311353Z 14009KT 10SM CLR 13/09 A2987 RMK AO2 SLP114 T01280094
SMF,2023-05-31 14:53,KSMF 311453Z 15008KT 10SM BKN011 BKN200 14/10 A2988 RMK AO2 SLP117 T01390100 53007
SMF,2023-05-31 15:53,KSMF 311553Z 17005KT 10SM BKN014 BKN200 16/11 A2989 RMK AO2 SLP119 T01560106
SMF,2023-05-31 16:53,KSMF 311653Z 19005KT 10SM BKN018 BKN250 18/11 A2988 RMK AO2 SLP119 T01780111
SMF,2023-05-31 17:53,KSMF 311753Z VRB03KT 10SM BKN250 19/12 A2988 RMK AO2 SLP116 T01940117 10194 20122 58001
SMF,2023-05-31 18:53,KSMF 311853Z 20006KT 10SM CLR 21/12 A2987 RMK AO2 SLP113 T02060122
SMF,2023-05-31 19:53,KSMF 311953Z 18006KT 10SM CLR 22/13 A2985 RMK AO2 SLP106 T02220128
SMF,2023-05-31 20:53,KSMF 312053Z 20005KT 10SM CLR 24/13 A2983 RMK AO2 SLP099 T02390128 58017
SMF,2023-05-31 21:53,KSMF 312153Z 22008KT 10SM CLR 25/13 A2980 RMK AO2 SLP091 T02500128
SMF,2023-05-31 22:53,KSMF 312253Z 19009KT 10SM CLR 26/13 A2979 RMK AO2 SLP086 T02560128
SMF,2023-05-31 23:53,KSMF 312353Z VRB05KT 10SM CLR 26/12 A2977 RMK AO2 SLP081 T02610122 10261 20189 56018
SMF,2023-06-01 00:53,KSMF 010053Z 18012KT 10SM CLR 26/13 A2975 RMK AO2 SLP075 T02560128
SMF,2023-06-01 01:53,KSMF 010153Z 17013KT 10SM CLR 24/13 A2975 RMK AO2 SLP074 T02440133
SMF,2023-06-01 03:53,KSMF 010353Z 16011KT 10SM CLR 18/11 A2976 RMK AO2 SLP078 T01780111
SMF,2023-06-01 04:53,KSMF 010453Z 17013KT 10SM CLR 17/11 A2978 RMK AO2 SLP083 T01670106
SMF,2023-06-01 05:53,KSMF 010553Z 17011KT 10SM CLR 15/10 A2979 RMK AO2 SLP086 T01500100 10261 20150 52010
SMF,2023-06-01 06:53,KSMF 010653Z 15010KT 10SM CLR 14/10 A2979 RMK AO2 SLP088 T01440100
SMF,2023-06-01 07:53,KSMF 010753Z 16010KT 10SM CLR 14/09 A2979 RMK AO2 SLP088 T01390094 402610122
SMF,2023-06-01 08:53,KSMF 010853Z 16011KT 10SM CLR 13/09 A2978 RMK AO2 SLP085 T01280089 58001
SMF,2023-06-01 09:53,KSMF 010953Z 14010KT 10SM CLR 13/09 A2980 RMK AO2 SLP090 T01280094
SMF,2023-06-01 10:53,KSMF 011053Z 14010KT 10SM CLR 12/09 A2979 RMK AO2 SLP088 T01220094
SMF,2023-06-01 11:53,KSMF 011153Z 16008KT 10SM CLR 13/09 A2980 RMK AO2 SLP091 T01280094 10150 20122 51006
SMF,2023-06-01 12:53,KSMF 011253Z 17008KT 10SM CLR 12/09 A2981 RMK AO2 SLP094 T01220094
SMF,2023-06-01 13:53,KSMF 011353Z 17008KT 10SM CLR 13/10 A2983 RMK AO2 SLP100 T01280100
SMF,2023-06-01 14:53,KSMF 011453Z 20010KT 10SM CLR 14/11 A2984 RMK AO2 SLP105 T01440106 53014
SMF,2023-06-01 15:53,KSMF 011553Z 20007KT 10SM CLR 17/11 A2985 RMK AO2 SLP108 T01670111
SMF,2023-06-01 16:53,KSMF 011653Z 18007KT 10SM CLR 18/12 A2986 RMK AO2 SLP110 T01830117
SMF,2023-06-01 17:53,KSMF 011753Z 22007KT 10SM CLR 21/12 A2985 RMK AO2 SLP108 T02060122 10206 20122 50003
SMF,2023-06-01 18:53,KSMF 011853Z 21007KT 160V260 10SM CLR 23/13 A2985 RMK AO2 SLP107 T02280128
SMF,2023-06-01 19:53,KSMF 011953Z 21006KT 10SM CLR 24/13 A2984 RMK AO2 SLP104 T02440128
SMF,2023-06-01 20:53,KSMF 012053Z 21008KT 10SM CLR 26/12 A2983 RMK AO2 SLP102 T02560117 58007
SMF,2023-06-01 21:53,KSMF 012153Z 19007KT 10SM CLR 27/12 A2982 RMK AO2 SLP099 T02670117
SMF,2023-06-01 22:53,KSMF 012253Z 20009KT 10SM CLR 28/11 A2981 RMK AO2 SLP093 T02780111
SMF,2023-06-01 23:53,KSMF 012353Z 17009KT 10SM CLR 28/09 A2980 RMK AO2 SLP090 T02780089 10278 20211 57011
SMF,2023-06-02 00:53,KSMF 020053Z 17011KT 10SM CLR 27/11 A2980 RMK AO2 SLP091 T02670111
SMF,2023-06-02 01:53,KSMF 020153Z 17010KT 10SM CLR 26/12 A2980 RMK AO2 SLP091 T02560117
SMF,2023-06-02 02:53,KSMF 020253Z 18011KT 10SM CLR 22/12 A2981 RMK AO2 SLP095 T02220117 53004
SMF,2023-06-02 03:53,KSMF 020353Z 17011KT 10SM CLR 20/11 A2983 RMK AO2 SLP100 T02000106
SMF,2023-06-02 04:53,KSMF 020453Z 17011KT 10SM CLR 18/10 A2984 RMK AO2 SLP105 T01780100
SMF,2023-06-02 05:53,KSMF 020553Z 17010KT 10SM CLR 17/10 A2986 RMK AO2 SLP109 T01670100 10278 20167 51015
SMF,2023-06-02 06:53,KSMF 020653Z 16009KT 10SM CLR 16/09 A2986 RMK AO2 SLP111 T01610094
SMF,2023-06-02 07:53,KSMF 020753Z 17010KT 10SM CLR 15/09 A2987 RMK AO2 SLP114 T01500094 402780122
SMF,2023-06-02 08:53,KSMF 020853Z 16008KT 10SM CLR 14/09 A2987 RMK AO2 SLP115 T01440094 51006
SMF,2023-06-02 09:53,KSMF 020953Z 16007KT 10SM CLR 14/09 A2988 RMK AO2 SLP118 T01390094
SMF,2023-06-02 10:53,KSMF 021053Z 13006KT 10SM CLR 13/09 A2988 RMK AO2 SLP119 T01330094
SMF,2023-06-02 11:53,KSMF 021153Z 13007KT 10SM CLR 13/09 A2990 RMK AO2 SLP124 T01330094 10167 20133 53008
SMF,2023-06-02 12:53,KSMF 021253Z 13005KT 10SM CLR 13/09 A2991 RMK AO2 SLP128 T01280094
SMF,2023-06-02 13:53,KSMF 021353Z 14007KT 10SM CLR 13/09 A2993 RMK AO2 SLP135 T01330094
SMF,2023-06-02 14:53,KSMF 021453Z VRB03KT 10SM CLR 15/10 A2994 RMK AO2 SLP139 T01500100 51015
SMF,2023-06-02 15:53,KSMF 021553Z 00000KT 10SM CLR 17/11 A2996 RMK AO2 SLP144 T01670106
SMF,2023-06-02 16:53,KSMF 021653Z 21003KT 10SM CLR 19/11 A2996 RMK AO2 SLP144 T01890111
SMF,2023-06-02 17:53,KSMF 021753Z 00000KT 10SM CLR 22/11 A2996 RMK AO2 SLP143 T02170106 10217 20128 50005
SMF,2023-06-02 18:53,KSMF 021853Z 25009KT 210V290 10SM CLR 25/12 A2995 RMK AO2 SLP141 T02500117
SMF,2023-06-02 19:53,KSMF 021953Z VRB03KT 10SM CLR 26/11 A2994 RMK AO2 SLP137 T02610106
SMF,2023-06-02 20:53,KSMF 022053Z 00000KT 10SM CLR 27/12 A2992 RMK AO2 SLP130 T02720122 58013
SMF,2023-06-02 21:53,KSMF 022153Z 00000KT 10SM CLR 29/11 A2990 RMK AO2 SLP126 T02940111
SMF,2023-06-02 22:53,KSMF 022253Z VRB04KT 10SM CLR 30/12 A2989 RMK AO2 SLP120 T03000122
SMF,2023-06-02 23:53,KSMF 022353Z 21005KT 10SM CLR 31/12 A2987 RMK AO2 SLP115 T03060117 10311 20217 56015
SMF,2023-06-03 00:53,KSMF 030053Z VRB05KT 10SM CLR 31/11 A2986 RMK AO2 SLP112 T03060106
SMF,2023-06-03 01:53,KSMF 030153Z 18006KT 10SM CLR 30/11 A2986 RMK AO2 SLP110 T03000111
SMF,2023-06-03 02:53,KSMF 030253Z 19009KT 10SM CLR 27/13 A2986 RMK AO2 SLP112 T02720133 55004
SMF,2023-06-03 03:53,KSMF 030353Z 18008KT 10SM CLR 24/13 A2987 RMK AO2 SLP115 T02440133
SMF,2023-06-03 04:53,KSMF 030453Z 19008KT 10SM CLR 22/12 A2988 RMK AO2 SLP118 T02170122
SMF,2023-06-03 05:53,KSMF 030553Z 20009KT 10SM CLR 19/12 A2988 RMK AO2 SLP117 T01890117 10311 20189 50006
SMF,2023-06-03 06:53,KSMF 030653Z 21007KT 10SM CLR 18/12 A2987 RMK AO2 SLP115 T01780117
SMF,2023-06-03 07:53,KSMF 030753Z 14008KT 10SM CLR 18/11 A2988 RMK AO2 SLP117 T01780106 403110128
SMF,2023-06-03 08:53,KSMF 030853Z 15008KT 10SM CLR 17/10 A2987 RMK AO2 SLP115 T01720100 56003
SMF,2023-06-03 09:53,KSMF 030953Z 16007KT 10SM CLR 16/09 A2986 RMK AO2 SLP111 T01610094
SMF,2023-06-03 10:53,KSMF 031053Z 17009KT 10SM CLR 16/09 A2987 RMK AO2 SLP113 T01560094
SMF,2023-06-03 11:53,KSMF 031153Z 16004KT 10SM CLR 15/09 A2987 RMK AO2 SLP113 T01500094 10189 20150 55002
SMF,2023-06-03 12:53,KSMF 031253Z 17007KT 10SM CLR 14/10 A2988 RMK AO2 SLP117 T01390100
SMF,2023-06-03 13:53,KSMF 031353Z 16006KT 10SM CLR 14/10 A2990 RMK AO2 SLP125 T01440100
SMF,2023-06-03 14:53,KSMF 031453Z 16005KT 10SM FEW250 17/11 A2990 RMK AO2 SLP125 T01670106 50012
SMF,2023-06-03 15:53,KSMF 031553Z 14004KT 10SM FEW250 19/11 A2990 RMK AO2 SLP126 T01890106
SMF,2023-06-03 16:53,KSMF 031653Z VRB04KT 10SM FEW250 22/11 A2990 RMK AO2 SLP124 T02170111
SMF,2023-06-03 17:53,KSMF 031753Z 22005KT 10SM FEW250 24/12 A2990 RMK AO2 SLP124 T02390122 10239 20139 58000
SMF,2023-06-03 18:53,KSMF 031853Z VRB03KT 10SM CLR 26/14 A2988 RMK AO2 SLP118 T02610139
SMF,2023-06-03 19:53,KSMF 031953Z VRB03KT 10SM FEW250 29/12 A2987 RMK AO2 SLP113 T02890122
SMF,2023-06-03 20:53,KSMF 032053Z 00000KT 10SM FEW250 31/12 A2985 RMK AO2 SLP107 T03110117 58017
SMF,2023-06-03 21:53,KSMF 032153Z 19004KT 10SM FEW250 32/13 A2983 RMK AO2 SLP101 T03220128
SMF,2023-06-03 22:53,KSMF 032253Z 23005KT 10SM FEW250 33/11 A2981 RMK AO2 SLP095 T03280106
SMF,2023-06-03 23:53,KSMF 032353Z 20007KT 10SM FEW250 33/09 A2980 RMK AO2 SLP091 T03330094 10339 20239 56016
SMF,2023-06-04 00:53,KSMF 040053Z 20006KT 10SM SCT250 33/12 A2979 RMK AO2 SLP087 T03280122
SMF,2023-06-04 01:53,KSMF 040153Z 19009KT 10SM SCT250 32/11 A2978 RMK AO2 SLP085 T03220111
SMF,2023-06-04 02:53,KSMF 040253Z 19009KT 10SM FEW250 29/12 A2978 RMK AO2 SLP085 T02940122 56006
SMF,2023-06-04 03:53,KSMF 040353Z 20007KT 10SM FEW250 27/14 A2979 RMK AO2 SLP087 T02670139
SMF,2023-06-04 04:53,KSMF 040453Z 18007KT 10SM CLR 24/13 A2980 RMK AO2 SLP091 T02440128
SMF,2023-06-04 05:53,KSMF 040553Z 19007KT 10SM CLR 22/12 A2980 RMK AO2 SLP090 T02170122 10339 20217 50005
SMF,2023-06-04 06:53,KSMF 040653Z 14006KT 10SM CLR 21/12 A2980 RMK AO2 SLP089 T02060122
SMF,2023-06-04 07:53,KSMF 040753Z 13005KT 10SM CLR 21/11 A2980 RMK AO2 SLP090 T02110111 403390139
SMF,2023-06-04 08:53,KSMF 040853Z 16006KT 10SM CLR 21/11 A2980 RMK AO2 SLP091 T02060111 53001
SMF,2023-06-04 09:53,KSMF 040953Z 18006KT 10SM FEW250 19/11 A2980 RMK AO2 SLP090 T01890106
SMF,2023-06-04 10:53,KSMF 041053Z 17007KT 10SM FEW250 18/11 A2979 RMK AO2 SLP087 T01780106
SMF,2023-06-04 11:53,KSMF 041153Z 00000KT 10SM FEW250 18/11 A2980 RMK AO2 SLP091 T01780106 10222 20178 55000
SMF,2023-06-04 12:53,KSMF 041253Z 17004KT 10SM FEW250 18/11 A2980 RMK AO2 SLP090 T01780106
SMF,2023-06-04 13:53,KSMF 041353Z 17005KT 10SM FEW250 18/11 A2981 RMK AO2 SLP092 T01780111
SMF,2023-06-04 14:53,KSMF 041453Z VRB03KT 10SM FEW250 19/12 A2981 RMK AO2 SLP093 T01890117 53003
SMF,2023-06-04 15:53,KSMF 041553Z 00000KT 10SM FEW250 21/12 A2981 RMK AO2 SLP094 T02110117
SMF,2023-06-04 16:53,KSMF 041653Z 00000KT 10SM SCT250 25/13 A2980 RMK AO2 SLP092 T02500128
SMF,2023-06-04 17:53,KSMF 041753Z 00000KT 10SM FEW250 28/11 A2979 RMK AO2 SLP088 T02830111 10283 20150 58005
SMF,2023-06-04 18:53,KSMF 041853Z VRB04KT 10SM FEW250 31/12 A2978 RMK AO2 SLP085 T03060117
SMF,2023-06-04 19:53,KSMF 041953Z VRB03KT 10SM CLR 32/13 A2977 RMK AO2 SLP080 T03170128
SMF,2023-06-04 20:53,KSMF 042053Z 31003KT 10SM CLR 33/13 A2975 RMK AO2 SLP074 T03330128 58014
SMF,2023-06-04 21:53,KSMF 042153Z VRB03KT 10SM CLR 34/11 A2974 RMK AO2 SLP069 T03390111
SMF,2023-06-04 22:53,KSMF 042253Z 00000KT 10SM CLR 34/10 A2972 RMK AO2 SLP065 T03440100
SMF,2023-06-04 23:53,KSMF 042353Z 20008KT 10SM FEW250 34/13 A2971 RMK AO2 SLP060 T03440128 10350 20289 57014
SMF,2023-06-05 00:53,KSMF 050053Z 21010KT 10SM FEW250 34/12 A2970 RMK AO2 SLP056 T03440117
SMF,2023-06-05 01:53,KSMF 050153Z 21010KT 10SM FEW250 33/10 A2969 RMK AO2 SLP054 T03280100
SMF,2023-06-05 02:53,KSMF 050253Z 18009KT 10SM SCT250 31/12 A2969 RMK AO2 SLP054 T03060117 55006
SMF,2023-06-05 03:53,KSMF 050353Z 18010KT 10SM BKN250 27/15 A2970 RMK AO2 SLP056 T02670150
SMF,2023-06-05 04:53,KSMF 050453Z 18008KT 10SM BKN250 24/14 A2970 RMK AO2 SLP058 T02390139
SMF,2023-06-05 05:53,KSMF 050553Z 17008KT 10SM BKN250 22/13 A2971 RMK AO2 SLP058 T02170133 10350 20217 51004
SMF,2023-06-05 06:53,KSMF 050653Z 15008KT 10SM BKN250 21/12 A2970 RMK AO2 SLP058 T02060122
SMF,2023-06-05 07:53,KSMF 050753Z 17005KT 10SM BKN200 21/12 A2970 RMK AO2 SLP058 T02060117 403500150
SMF,2023-06-05 08:53,KSMF 050853Z 15004KT 10SM BKN250 20/12 A2970 RMK AO2 SLP057 T02000117 58002
SMF,2023-06-05 09:53,KSMF 050953Z 18006KT 10SM OVC250 18/11 A2970 RMK AO2 SLP055 T01830111
SMF,2023-06-05 10:53,KSMF 051053Z 19008KT 10SM BKN170 17/11 A2969 RMK AO2 SLP052 T01670111
SMF,2023-06-05 11:53,KSMF 051153Z 14007KT 10SM OVC150 17/11 A2971 RMK AO2 SLP060 T01670111 10217 20161 53003
SMF,2023-06-05 12:53,KSMF 051253Z 21006KT 10SM BKN150 16/11 A2970 RMK AO2 SLP058 T01610111
SMF,2023-06-05 13:53,KSMF 051353Z 20006KT 10SM BKN240 16/11 A2971 RMK AO2 SLP061 T01560111
SMF,2023-06-05 14:53,KSMF 051453Z 18004KT 10SM BKN220 17/12 A2972 RMK AO2 SLP062 T01670117 53002
SMF,2023-06-05 15:53,KSMF 051553Z 13003KT 10SM BKN220 20/12 A2971 RMK AO2 SLP061 T02000117
SMF,2023-06-05 16:53,KSMF 051653Z COR 19005KT 10SM SCT210 23/13 A2971 RMK AO2 SLP059 T02330128
SMF,2023-06-05 17:53,KSMF 051753Z 20007KT 10SM SCT200 27/14 A2970 RMK AO2 SLP057 T02670144 10267 20156 58005
SMF,2023-06-05 18:53,KSMF 051853Z 00000KT 10SM SCT220 29/14 A2969 RMK AO2 SLP053 T02890144
SMF,2023-06-05 19:53,KSMF 051953Z 18006KT 10SM SCT250 30/16 A2967 RMK AO2 SLP048 T03000156
SMF,2023-06-05 20:53,KSMF 052053Z 16011KT 10SM SCT250 30/16 A2966 RMK AO2 SLP045 T03000156 56012
SMF,2023-06-05 21:53,KSMF 052153Z 17012KT 10SM BKN250 29/15 A2966 RMK AO2 SLP043 T02890150
SMF,2023-06-05 22:53,KSMF 052253Z 15015G20KT 10SM BKN250 29/14 A2968 RMK AO2 SLP050 T02890144
SMF,2023-06-05 23:53,KSMF 052353Z 19014KT 10SM BKN250 26/14 A2967 RMK AO2 SLP047 T02610139 10311 20256 50002
SMF,2023-06-06 00:53,KSMF 060053Z 18014KT 10SM BKN210 26/14 A2967 RMK AO2 SLP048 T02560139
SMF,2023-06-06 01:53,KSMF 060153Z 17014KT 10SM BKN210 23/13 A2970 RMK AO2 SLP056 T02280128
SMF,2023-06-06 02:53,KSMF 060253Z 18014KT 10SM BKN210 19/12 A2970 RMK AO2 SLP058 T01940117 53010
SMF,2023-06-06 03:53,KSMF 060353Z 17009KT 10SM BKN150 BKN210 18/11 A2970 RMK AO2 SLP056 T01830111
SMF,2023-06-06 04:53,KSMF 060453Z 14011KT 10SM BKN150 BKN210 18/11 A2973 RMK AO2 SLP066 T01830111
SMF,2023-06-06 05:53,KSMF 060553Z 15012KT 10SM BKN200 17/11 A2976 RMK AO2 SLP077 T01720111 10261 20172 53019
SMF,2023-06-06 06:53,KSMF 060653Z 18010KT 10SM BKN170 17/11 A2974 RMK AO2 SLP071 T01670106
SMF,2023-06-06 07:53,KSMF 060753Z 11005KT 10SM BKN200 17/11 A2973 RMK AO2 SLP067 T01670106 403110156
SMF,2023-06-06 08:53,KSMF 060853Z COR 13008KT 10SM BKN250 17/10 A2972 RMK AO2 SLP064 T01720100 56013
SMF,2023-06-06 09:53,KSMF 060953Z 18006KT 10SM OVC230 16/11 A2970 RMK AO2 SLP058 T01560106
SMF,2023-06-06 10:53,KSMF 061053Z 13005KT 10SM BKN200 16/11 A2971 RMK AO2 SLP059 T01560106
SMF,2023-06-06 11:53,KSMF 061153Z 11006KT 10SM BKN250 16/11 A2970 RMK AO2 SLP058 T01610106 10172 20150 56007
SMF,2023-06-06 12:53,KSMF 061253Z 14009KT 10SM BKN150 BKN250 17/10 A2972 RMK AO2 SLP062 T01670100
SMF,2023-06-06 13:53,KSMF 061353Z 15011KT 10SM OVC140 16/11 A2974 RMK AO2 SLP070 T01610106
SMF,2023-06-06 14:53,KSMF 061453Z 17015G23KT 10SM OVC170 17/11 A2976 RMK AO2 SLP079 T01670106 53021
SMF,2023-06-06 15:53,KSMF 061553Z 18017KT 10SM OVC130 17/11 A2979 RMK AO2 SLP087 T01670106
SMF,2023-06-06 16:53,KSMF 061653Z 16010KT 10SM -RA FEW042 BKN090 OVC110 17/11 A2979 RMK AO2 RAB18 SLP087 P0000 T01670111
SMF,2023-06-06 17:53,KSMF 061753Z 17008KT 10SM OVC170 18/12 A2979 RMK AO2 WSHFT 1656 RAE12 SLP087 P0000 60000 T01830117 10183 20161 51008
SMF,2023-06-06 18:53,KSMF 061853Z 16011KT 10SM BKN210 21/12 A2980 RMK AO2 SLP090 T02060122
SMF,2023-06-06 19:53,KSMF 061953Z 20010KT 10SM SCT150 22/12 A2980 RMK AO2 SLP091 T02170122
SMF,2023-06-06 20:53,KSMF 062053Z COR 17008KT 130V190 10SM BKN200 24/12 A2979 RMK AO2 SLP089 T02390122 50002
SMF,2023-06-06 21:53,KSMF 062153Z 15015G21KT 10SM BKN200 24/12 A2981 RMK AO2 SLP093 T02390122
SMF,2023-06-06 22:53,KSMF 062253Z 19016KT 10SM BKN200 24/12 A2980 RMK AO2 SLP090 T02390117
SMF,2023-06-06 23:53,KSMF 062353Z 22015KT 10SM -RA FEW029 SCT060 BKN110 BKN250 22/12 A2977 RMK AO2 RAB49 SLP079 P0000 60000 T02220117 10244 20183 58009
