station,valid,metar
SNA,2023-05-31 00:53,KSNA 310053Z 23006KT 10SM SCT029 OVC041 18/11 A2994 RMK AO2 SLP138 T01830106
SNA,2023-05-31 01:53,KSNA 310153Z 23007KT 10SM SCT027 SCT043 OVC050 18/11 A2995 RMK AO2 SLP140 T01780111
SNA,2023-05-31 02:53,KSNA 310253Z 24006KT 10SM SCT039 BKN055 17/11 A2995 RMK AO2 SLP141 T01720111 55001
SNA,2023-05-31 03:53,KSNA 310353Z 24005KT 10SM SCT039 BKN055 17/11 A2995 RMK AO2 SLP143 T01720106
SNA,2023-05-31 04:53,KSNA 310453Z 27005KT 10SM FEW028 BKN036 17/11 A2996 RMK AO2 SLP144 T01670111
SNA,2023-05-31 05:53,KSNA 310553Z 28005KT 10SM FEW032 BKN046 17/11 A2996 RMK AO2 SLP145 LAST T01670106 10189 20167 51004
SNA,2023-05-31 06:53,KSNA 310653Z AUTO 26004KT 10SM OVC050 17/11 A2995 RMK AO2 SLP142 T01670106
SNA,2023-05-31 07:53,KSNA 310753Z AUTO 00000KT 10SM SCT034 BKN055 16/11 A2994 RMK AO2 SLP138 T01610111 401890161
SNA,2023-05-31 08:53,KSNA 310853Z AUTO 00000KT 10SM BKN055 16/11 A2993 RMK AO2 SLP134 T01610111 57011
SNA,2023-05-31 09:53,KSNA 310953Z AUTO 00000KT 10SM BKN028 BKN036 OVC060 16/11 A2992 RMK AO2 SLP130 T01610111
SNA,2023-05-31 10:53,KSNA 311053Z AUTO 18003KT 10SM OVC036 16/12 A2991 RMK AO2 SLP128 T01610117
SNA,2023-05-31 11:53,KSNA 311153Z AUTO 00000KT 10SM OVC036 16/11 A2990 RMK AO2 SLP123 70002 T01610111 10167 20156 58011
SNA,2023-05-31 12:53,KSNA 311253Z 00000KT 10SM BKN030 OVC038 16/11 A2989 RMK AO2 SLP123 T01610111
SNA,2023-05-31 13:53,KSNA 311353Z 23003KT 10SM SCT020 OVC036 17/11 A2990 RMK AO2 SLP126 T01670111
SNA,2023-05-31 14:53,KSNA 311453Z 00000KT 10SM SCT043 OVC055 17/12 A2992 RMK AO2 SLP130 T01670117 53006
SNA,2023-05-31 15:53,KSNA 311553Z 21003KT 10SM FEW018 SCT043 OVC055 17/11 A2991 RMK AO2 SLP129 T01720111
SNA,2023-05-31 16:53,KSNA 311653Z 19008KT 10SM SCT024 BKN035 OVC055 18/11 A2992 RMK AO2 SLP131 T01830106
SNA,2023-05-31 17:53,KSNA 311753Z 22008KT 10SM SCT025 BKN034 BKN055 18/11 A2993 RMK AO2 SLP133 T01830106 10183 20161 53003
SNA,2023-05-31 18:53,KSNA 311853Z 19009KT 10SM SCT027 BKN042 BKN055 18/11 A2993 RMK AO2 SLP136 T01830111
SNA,2023-05-31 19:53,KSNA 311953Z 19009KT 10SM FEW025 BKN041 OVC055 18/11 A2994 RMK AO2 SLP137 T01780106
SNA,2023-05-31 20:53,KSNA 312053Z 20008KT 10SM FEW022 SCT040 OVC060 18/10 A2993 RMK AO2 SLP135 T01830100 50002
SNA,2023-05-31 21:53,KSNA 312153Z 18007KT 10SM FEW026 OVC044 18/09 A2993 RMK AO2 SLP134 T01830094
SNA,2023-05-31 22:53,KSNA 312253Z 20007KT 10SM SCT029 OVC043 18/11 A2992 RMK AO2 SLP131 T01830106
SNA,2023-05-31 23:53,KSNA 312353Z VRB03KT 10SM BKN033 OVC043 19/11 A2990 RMK AO2 SLP126 T01890111 10189 20178 58009
