station,valid,vsby,skyl1,metar
SRQ,2023-05-31 00:53,10.00,7500.00,KSRQ 310053Z 36005KT 10SM FEW075 BKN100 27/19 A2986 RMK AO2 SLP111 T02720189
SRQ,2023-05-31 01:53,10.00,M,KSRQ 310153Z 04005KT 10SM CLR 27/19 A2986 RMK AO2 SLP109 T02670194
SRQ,2023-05-31 02:53,10.00,M,KSRQ 310253Z 11004KT 10SM CLR 26/19 A2988 RMK AO2 SLP116 T02610189 53010
SRQ,2023-05-31 03:53,10.00,M,KSRQ 310353Z 10010KT 10SM CLR 26/18 A2987 RMK AO2 SLP115 T02610183
SRQ,2023-05-31 04:53,10.00,M,KSRQ 310453Z 11009KT 10SM CLR 26/19 A2987 RMK AO2 SLP116 T02560194 403280217
SRQ,2023-05-31 05:53,10.00,M,KSRQ 310553Z AUTO 12004KT 10SM CLR 24/19 A2986 RMK AO2 SLP112 T02440194 10278 20244 58004
SRQ,2023-05-31 06:53,10.00,M,KSRQ 310653Z AUTO 11005KT 10SM CLR 24/19 A2987 RMK AO2 SLP113 T02390194
SRQ,2023-05-31 07:53,10.00,7000.00,KSRQ 310753Z AUTO 08006KT 10SM FEW070 23/19 A2985 RMK AO2 SLP106 T02330194
SRQ,2023-05-31 08:53,10.00,7000.00,KSRQ 310853Z AUTO 08006KT 10SM OVC070 23/19 A2985 RMK AO2 SLP107 T02330194 55005
SRQ,2023-05-31 09:53,10.00,M,KSRQ 310953Z AUTO 08006KT 10SM CLR 23/19 A2985 RMK AO2 SLP109 T02330194
SRQ,2023-05-31 10:53,10.00,6000.00,KSRQ 311053Z 09008KT 10SM FEW060 23/19 A2987 RMK AO2 SLP112 T02330194
SRQ,2023-05-31 11:53,10.00,M,KSRQ 311153Z 10009KT 10SM CLR 25/20 A2988 RMK AO2 SLP116 T02500200 10250 20228 53009
SRQ,2023-05-31 12:53,10.00,M,KSRQ 311253Z 09007KT 10SM CLR 26/20 A2988 RMK AO2 SLP118 T02560200
SRQ,2023-05-31 13:53,10.00,M,KSRQ 311353Z 09007KT 10SM CLR 27/21 A2988 RMK AO2 SLP119 T02720211
SRQ,2023-05-31 14:53,10.00,2500.00,KSRQ 311453Z 11010G15KT 10SM SCT025 29/21 A2988 RMK AO2 SLP117 T02890211 50001
SRQ,2023-05-31 15:53,10.00,3200.00,KSRQ 311553Z 10SM SCT032 SCT070 31/22 A2987 RMK AO2 SLP115 T03060217
SRQ,2023-05-31 16:53,10.00,3800.00,KSRQ 311653Z 12013G22KT 10SM BKN038 31/21 A2986 RMK AO2 SLP112 T03110206
SRQ,2023-05-31 17:53,10.00,4300.00,KSRQ 311753Z 10SM SCT043 SCT070 SCT080 31/21 A2984 RMK AO2 LTG DSNT NW SLP105 T03110206 10328 20250 58012
SRQ,2023-05-31 18:53,10.00,3700.00,KSRQ 311853Z 08012G19KT 10SM -TSRA FEW037 BKN090 OVC110 26/22 A2986 RMK AO2 LTG DSNT NW-E RAB04 TSB34 SLP111 P0006 T02560217
SRQ,2023-05-31 19:53,7.00,2100.00,KSRQ 311953Z 07009KT 7SM VCTS FEW021 BKN037 OVC047 23/20 A2985 RMK AO2 PK WND 17045/1921 WSHFT 1906 LTG DSNT ALQDS RAE47 TSE44 SLP109 P0149 T02330200
SRQ,2023-05-31 20:53,10.00,3400.00,KSRQ 312053Z 02007KT 10SM FEW034 BKN050 BKN075 23/21 A2989 RMK AO2 LTG DSNT N-SE RAB12E40 SLP119 P0004 60159 T02280206 53015
SRQ,2023-05-31 21:53,10.00,7000.00,KSRQ 312153Z 08006KT 10SM SCT070 22/20 A2988 RMK AO2 LTG DSNT N AND E SLP118 T02220200
SRQ,2023-05-31 22:53,10.00,8500.00,KSRQ 312253Z 07006KT 10SM FEW085 SCT110 22/20 A2985 RMK AO2 SLP108 T02220200
SRQ,2023-05-31 23:53,10.00,11000.00,KSRQ 312353Z 06006KT 10SM FEW110 22/20 A2988 RMK AO2 RAB01E36 SLP116 P0002 60161 T02220200 10317 20217 55003
SRQ,2023-06-01 00:53,10.00,11000.00,KSRQ 010053Z 09009KT 10SM FEW110 22/21 A2987 RMK AO2 SLP113 T02220206
