station,valid,metar
STL,2023-05-31 00:51,KSTL 310051Z 20005KT 10SM BKN085 BKN250 30/12 A2990 RMK AO2 SLP114 ACC S T03000117
STL,2023-05-31 01:51,KSTL 310151Z 21005KT 10SM FEW085 BKN250 28/12 A2992 RMK AO2 SLP119 T02830117
STL,2023-05-31 02:51,KSTL 310251Z 00000KT 10SM BKN100 BKN250 27/13 A2995 RMK AO2 SLP130 T02720128 53017
STL,2023-05-31 03:51,KSTL 310351Z 21004KT 10SM BKN100 OVC250 27/13 A2996 RMK AO2 SLP131 T02720128
STL,2023-05-31 04:51,KSTL 310451Z 21004KT 10SM BKN110 OVC250 27/13 A2995 RMK AO2 SLP129 T02670128
STL,2023-05-31 05:51,KSTL 310551Z 21004KT 10SM FEW100 26/13 A2994 RMK AO2 SLP123 T02610128 10306 20261 403220167 58006
STL,2023-05-31 06:51,KSTL 310651Z 21004KT 10SM FEW100 24/13 A2992 RMK AO2 SLP119 T02440133
STL,2023-05-31 07:51,KSTL 310751Z 20005KT 10SM FEW250 24/13 A2992 RMK AO2 SLP118 T02390133
STL,2023-05-31 08:51,KSTL 310851Z 00000KT 10SM BKN250 23/13 A2993 RMK AO2 SLP121 T02280133 55003
STL,2023-05-31 09:51,KSTL 310951Z 00000KT 10SM SCT090 SCT250 22/14 A2995 RMK AO2 SLP129 T02220139
STL,2023-05-31 10:51,KSTL 311051Z 00000KT 10SM SCT095 SCT250 21/14 A2997 RMK AO2 SLP137 T02110139
STL,2023-05-31 11:51,KSTL 311151Z 08003KT 10SM SCT075 BKN090 BKN250 22/15 A2999 RMK AO2 SLP142 ACC OHD T02220150 10261 20206 51019
STL,2023-05-31 12:51,KSTL 311251Z 08003KT 10SM BKN080 BKN120 BKN250 23/16 A3000 RMK AO2 SLP146 T02280156
STL,2023-05-31 13:51,KSTL 311351Z 17003KT 10SM FEW080 SCT095 BKN250 26/14 A3000 RMK AO2 SLP147 T02560144
STL,2023-05-31 14:51,KSTL 311451Z 20004KT 10SM SCT075 BKN250 28/14 A3001 RMK AO2 SLP150 T02830144 51009
STL,2023-05-31 15:51,KSTL 311551Z 18006KT 10SM BKN075 BKN250 28/14 A3001 RMK AO2 SLP150 T02830144
STL,2023-05-31 16:51,KSTL 311651Z 19007KT 10SM FEW060 SCT080 BKN250 30/14 A3001 RMK AO2 SLP147 T03000144
STL,2023-05-31 17:51,KSTL 311751Z 21005KT 10SM FEW060 FEW080 BKN250 31/13 A3000 RMK AO2 SLP145 T03060133 10311 20222 58003
STL,2023-05-31 18:51,KSTL 311851Z 15009KT 10SM FEW060 FEW080 BKN250 32/14 A2997 RMK AO2 SLP137 T03170144
STL,2023-05-31 19:51,KSTL 311951Z 17011G16KT 10SM FEW065 FEW090 BKN250 32/14 A2996 RMK AO2 SLP133 T03170139
STL,2023-05-31 20:51,KSTL 312051Z COR 15007KT 130V200 10SM SCT075 BKN250 31/14 A2995 RMK AO2 SLP129 T03110139 56016
STL,2023-05-31 21:51,KSTL 312151Z 18008KT 10SM SCT070 BKN250 32/15 A2994 RMK AO2 SLP127 T03220150
STL,2023-05-31 22:51,KSTL 312251Z 21006KT 10SM SCT065 BKN250 31/14 A2993 RMK AO2 SLP122 TCU DSNT NE-E T03110139
STL,2023-05-31 23:51,KSTL 312351Z 16008KT 10SM SCT090 BKN250 31/14 A2992 RMK AO2 SLP119 T03060139 10328 20306 57011
STL,2023-06-01 00:51,KSTL 010051Z 16007KT 10SM FEW085 BKN110 BKN250 30/14 A2993 RMK AO2 SLP124 T03000144
STL,2023-06-01 01:51,KSTL 010151Z 16005KT 10SM SCT120 BKN250 29/16 A2995 RMK AO2 SLP129 T02890156
STL,2023-06-01 02:51,KSTL 010251Z 16006KT 10SM FEW110 BKN250 28/16 A2997 RMK AO2 SLP134 T02830156 53016
STL,2023-06-01 03:51,KSTL 010351Z 16006KT 10SM FEW110 BKN250 28/16 A2997 RMK AO2 SLP136 T02780156
STL,2023-06-01 04:51,KSTL 010451Z 16006KT 10SM SCT120 SCT250 27/16 A2998 RMK AO2 SLP138 T02670156
STL,2023-06-01 05:51,KSTL 010551Z 16003KT 10SM FEW120 FEW250 26/16 A2999 RMK AO2 SLP141 T02560156 10306 20256 403280206 53007
STL,2023-06-01 06:51,KSTL 010651Z 16005KT 10SM CLR 25/16 A2998 RMK AO2 SLP137 T02500156
STL,2023-06-01 07:51,KSTL 010751Z 16004KT 10SM CLR 25/16 A2998 RMK AO2 SLP137 T02500156
STL,2023-06-01 08:51,KSTL 010851Z 00000KT 10SM CLR 23/16 A2999 RMK AO2 SLP141 T02330156 55001
STL,2023-06-01 09:51,KSTL 010951Z 00000KT 10SM FEW250 23/16 A2999 RMK AO2 SLP143 T02280156
STL,2023-06-01 10:51,KSTL 011051Z 00000KT 10SM FEW120 FEW250 22/16 A3001 RMK AO2 SLP149 T02220156
STL,2023-06-01 11:51,KSTL 011151Z 11005KT 10SM FEW250 23/17 A3002 RMK AO2 SLP154 T02280167 10256 20217 53012
STL,2023-06-01 12:51,KSTL 011251Z VRB03KT 10SM SCT250 26/17 A3003 RMK AO2 SLP157 T02560172
STL,2023-06-01 13:51,KSTL 011351Z 00000KT 10SM FEW250 28/17 A3005 RMK AO2 SLP161 T02780172
STL,2023-06-01 14:51,KSTL 011451Z 00000KT 10SM FEW250 29/17 A3004 RMK AO2 SLP159 T02940167 50007
STL,2023-06-01 15:51,KSTL 011551Z 14009KT 10SM FEW065 FEW250 31/17 A3005 RMK AO2 SLP159 T03110167
STL,2023-06-01 16:51,KSTL 011651Z 10005KT 10SM SCT060 SCT250 31/16 A3004 RMK AO2 SLP159 T03110156
STL,2023-06-01 17:51,KSTL 011751Z 11006G15KT 10SM SCT060 SCT090 31/16 A3003 RMK AO2 SLP156 T03110156 10322 20228 58003
STL,2023-06-01 18:51,KSTL 011851Z 14009G14KT 10SM SCT060 BKN110 BKN250 32/16 A3001 RMK AO2 SLP149 T03170156
STL,2023-06-01 19:51,KSTL 011951Z 13006G16KT 10SM FEW060 SCT080 BKN110 33/16 A2999 RMK AO2 SLP141 T03280161
STL,2023-06-01 20:51,KSTL 012051Z VRB06G15KT 10SM FEW070 SCT110 SCT250 33/16 A2997 RMK AO2 SLP134 T03280156 58022
STL,2023-06-01 21:51,KSTL 012151Z 16009KT 10SM SCT075 BKN095 BKN250 32/14 A2997 RMK AO2 SLP135 T03170144
STL,2023-06-01 22:51,KSTL 012251Z 15007KT 120V180 7SM -RA BKN065TCU BKN095 OVC250 30/17 A2996 RMK AO2 RAB36 SLP135 CB DSNT NE MOV NW TCU NE AND S-W P0000 T03000167
STL,2023-06-01 23:51,KSTL 012351Z 31005KT 10SM FEW065TCU BKN110 BKN250 26/19 A2998 RMK AO2 RAE20 TSB04E20 SLP140 CB DSNT NW MOV NW TCU N-E AND W P0008 60008 T02610194 10333 20261 53003
STL,2023-06-02 00:51,KSTL 020051Z 00000KT 10SM FEW060 SCT120 BKN250 26/19 A2998 RMK AO2 SLP141 CB DSNT W MOV NW T02560189
STL,2023-06-02 01:51,KSTL 020151Z 00000KT 10SM FEW060 SCT120 BKN250 26/19 A3000 RMK AO2 SLP146 T02560189
STL,2023-06-02 02:51,KSTL 020251Z 00000KT 10SM FEW120 SCT250 25/18 A3002 RMK AO2 SLP151 T02500183 53013
STL,2023-06-02 03:51,KSTL 020351Z 00000KT 10SM FEW120 FEW250 23/18 A3002 RMK AO2 SLP153 T02280183
STL,2023-06-02 04:51,KSTL 020451Z 00000KT 10SM CLR 24/18 A3001 RMK AO2 SLP150 T02390178
STL,2023-06-02 05:51,KSTL 020551Z 04006KT 10SM CLR 24/17 A3002 RMK AO2 SLP151 T02390172 10267 20228 403330217 51001
STL,2023-06-02 06:51,KSTL 020651Z 00000KT 10SM FEW130 23/17 A3002 RMK AO2 SLP152 T02330172
STL,2023-06-02 07:51,KSTL 020751Z 00000KT 10SM FEW130 23/17 A3002 RMK AO2 SLP150 T02280172
STL,2023-06-02 08:51,KSTL 020851Z 00000KT 10SM FEW130 22/17 A3002 RMK AO2 SLP152 T02170172 53001
STL,2023-06-02 09:51,KSTL 020951Z 11003KT 10SM SCT130 22/17 A3002 RMK AO2 SLP153 ACC NE T02170172
STL,2023-06-02 10:51,KSTL 021051Z 08003KT 10SM FEW130 FEW250 22/17 A3003 RMK AO2 SLP155 T02170167
STL,2023-06-02 11:51,KSTL 021151Z 00000KT 10SM FEW130 FEW250 23/17 A3003 RMK AO2 SLP157 70008 T02330172 10239 20217 53003
STL,2023-06-02 12:51,KSTL 021251Z 08003KT 10SM FEW130 FEW250 25/17 A3004 RMK AO2 SLP161 T02500172
STL,2023-06-02 13:51,KSTL 021351Z 08003KT 10SM FEW130 FEW250 27/17 A3004 RMK AO2 SLP159 T02720172
STL,2023-06-02 14:51,KSTL 021451Z 11004KT 10SM FEW130 FEW250 29/18 A3003 RMK AO2 SLP156 T02890178 50001
STL,2023-06-02 15:51,KSTL 021551Z 06007KT 10SM FEW060 FEW250 31/17 A3002 RMK AO2 SLP154 T03060167
STL,2023-06-02 16:51,KSTL 021651Z VRB06G15KT 10SM FEW060 FEW250 32/15 A3001 RMK AO2 SLP149 T03220150
STL,2023-06-02 17:51,KSTL 021751Z 11007KT 10SM SCT070 SCT250 32/15 A3000 RMK AO2 SLP144 T03220150 10322 20233 58011
STL,2023-06-02 18:51,KSTL 021851Z 12008KT 10SM SCT070 33/14 A2999 RMK AO2 SLP140 T03330144
STL,2023-06-02 19:51,KSTL 021951Z 05011KT 10SM FEW075 33/13 A2996 RMK AO2 SLP131 T03330128
STL,2023-06-02 20:51,KSTL 022051Z 07012G18KT 10SM FEW085 FEW250 33/11 A2993 RMK AO2 SLP124 T03330111 58020
