station,valid,metar
TPA,2023-05-31 00:53,KTPA 310053Z 35007KT 10SM FEW070 SCT140 BKN250 27/18 A2989 RMK AO2 SLP121 T02670183
TPA,2023-05-31 01:53,KTPA 310153Z 01008KT 10SM BKN070 BKN250 27/18 A2989 RMK AO2 SLP121 T02670183
TPA,2023-05-31 02:53,KTPA 310253Z 07005KT 10SM FEW055 BKN070 BKN250 27/17 A2992 RMK AO2 SLP132 T02670172 53012
TPA,2023-05-31 03:53,KTPA 310353Z 04004KT 10SM BKN070 27/18 A2992 RMK AO2 SLP130 T02670178
TPA,2023-05-31 04:53,KTPA 310453Z 04004KT 10SM OVC065 27/18 A2992 RMK AO2 SLP130 T02670178 403060206
TPA,2023-05-31 05:53,KTPA 310553Z 08005KT 10SM SCT070 26/19 A2990 RMK AO2 SLP123 T02610189 10283 20261 58008
TPA,2023-05-31 06:53,KTPA 310653Z VRB04KT 10SM CLR 26/19 A2989 RMK AO2 SLP122 T02560194
TPA,2023-05-31 07:53,KTPA 310753Z 11006G15KT 10SM CLR 25/20 A2989 RMK AO2 SLP121 T02500200
TPA,2023-05-31 08:53,KTPA 310853Z COR 08004KT 10SM SCT150 24/20 A2989 RMK AO2 SLP120 T02440200 57004
TPA,2023-05-31 09:53,KTPA 310953Z 06004KT 10SM BKN150 24/20 A2989 RMK AO2 SLP123 T02440200
TPA,2023-05-31 10:53,KTPA 311053Z VRB03KT 10SM BKN150 24/20 A2991 RMK AO2 SLP128 T02390200
TPA,2023-05-31 11:53,KTPA 311153Z VRB03KT 10SM SCT075 BKN150 24/20 A2992 RMK AO2 SLP131 T02440200 10261 20239 51011
TPA,2023-05-31 12:53,KTPA 311253Z 00000KT 10SM SCT075 SCT150 25/20 A2992 RMK AO2 SLP132 T02500200
TPA,2023-05-31 13:53,KTPA 311353Z VRB06KT 10SM FEW025 SCT120 SCT250 27/21 A2992 RMK AO2 SLP132 T02670206
TPA,2023-05-31 14:53,KTPA 311453Z VRB06G15KT 10SM FEW030 SCT250 29/21 A2992 RMK AO2 SLP130 T02890206 58001
TPA,2023-05-31 15:53,KTPA 311553Z 10008G17KT 10SM SCT035 BKN250 29/20 A2990 RMK AO2 SLP125 T02940200
TPA,2023-05-31 16:53,KTPA 311653Z 09008KT 040V110 10SM SCT045 SCT095 BKN250 31/19 A2990 RMK AO2 SLP125 T03110194
TPA,2023-05-31 17:53,KTPA 311753Z VRB06G17KT 10SM BKN055 BKN110 BKN250 31/18 A2989 RMK AO2 LTG DSNT SE AND SW SLP120 T03060183 10311 20244 57010
TPA,2023-05-31 18:53,KTPA 311853Z 10010G21KT 10SM BKN060 BKN075 BKN090 BKN250 31/15 A2987 RMK AO2 LTG DSNT SE-W SLP113 CB DSNT S-W T03060150
TPA,2023-05-31 19:53,KTPA 311953Z COR 00000KT 10SM TS FEW030 SCT045CB BKN100 BKN250 29/18 A2988 RMK AO2 LTG DSNT ALQDS TSB37 SLP119 OCNL LTGICCG SE-NW TS SE-NW MOV NW T02890183
TPA,2023-05-31 20:53,KTPA 312053Z 19005KT 3SM -TSRA BR FEW045CB OVC070 24/22 A2991 RMK AO2 LTG DSNT ALQDS RAB1954 SLP128 OCNL LTGIC SW-N TS SW-N MOV NW P0009 60009 T02390217 53008
TPA,2023-05-31 21:53,KTPA 312153Z 21005KT 3SM -RA BR SCT040 BKN090 OVC120 23/21 A2992 RMK AO2 LTG DSNT SE TSE17 SLP130 P0010 T02280211
TPA,2023-05-31 22:53,KTPA 312253Z VRB03KT 10SM FEW027 FEW035 SCT060 OVC180 23/22 A2990 RMK AO2 LTG DSNT E RAE45 SLP125 CB DSNT E-SE P0003 T02280217
TPA,2023-05-31 23:53,KTPA 312353Z VRB05KT 10SM FEW025 FEW038 SCT090 OVC150 23/22 A2990 RMK AO2 SLP124 60022 T02330217 10311 20228 58004
TPA,2023-06-01 00:53,KTPA 010053Z 06004KT 10SM FEW035 SCT070 BKN120 BKN190 23/21 A2990 RMK AO2 SLP124 T02330206
TPA,2023-06-01 01:53,KTPA 010153Z VRB06KT 10SM SCT075 SCT100 BKN250 23/19 A2990 RMK AO2 SLP123 T02330194
TPA,2023-06-01 03:53,KTPA 010353Z VRB04KT 10SM FEW075 SCT100 BKN250 23/21 A2990 RMK AO2 SLP125 T02330206
TPA,2023-06-01 04:53,KTPA 010453Z 08005KT 10SM FEW014 SCT100 BKN250 23/21 A2989 RMK AO2 SLP119 T02330211 403110228
TPA,2023-06-01 05:53,KTPA 010553Z VRB04KT 10SM SCT014 SCT100 BKN250 23/21 A2987 RMK AO2 SLP114 T02280206 10233 20228 58011
TPA,2023-06-01 06:53,KTPA 010653Z 00000KT 10SM SCT110 BKN250 22/21 A2987 RMK AO2 SLP114 T02220206
TPA,2023-06-01 07:53,KTPA 010753Z 04004KT 10SM SCT110 BKN250 23/21 A2985 RMK AO2 SLP109 T02280206
TPA,2023-06-01 08:53,KTPA 010853Z 07003KT 10SM BKN040 23/21 A2985 RMK AO2 SLP109 T02280211 56006
TPA,2023-06-01 09:53,KTPA 010953Z 06005KT 10SM SCT040 23/21 A2986 RMK AO2 SLP110 T02280206
TPA,2023-06-01 10:53,KTPA 011053Z 07003KT 10SM FEW013 BKN042 23/21 A2987 RMK AO2 SLP115 T02330206
TPA,2023-06-01 11:53,KTPA 011153Z VRB04KT 10SM FEW015 BKN040 23/21 A2988 RMK AO2 SLP118 70022 T02330206 10233 20222 53010
TPA,2023-06-01 12:53,KTPA 011253Z VRB03KT 10SM FEW041 OVC055 24/21 A2989 RMK AO2 SLP122 T02390211
TPA,2023-06-01 13:53,KTPA 011353Z 08011KT 10SM BKN060 26/21 A2990 RMK AO2 SLP125 T02560211
TPA,2023-06-01 14:53,KTPA 011453Z VRB06G17KT 10SM FEW022 SCT034 BKN065 28/22 A2990 RMK AO2 SLP124 T02780222 50006
TPA,2023-06-01 15:53,KTPA 011553Z 12009G16KT 10SM FEW026 SCT036 BKN046 28/22 A2990 RMK AO2 SLP123 T02830217
TPA,2023-06-01 16:53,KTPA 011653Z VRB04KT 10SM SCT037 SCT060 30/21 A2988 RMK AO2 SLP118 T03000211
TPA,2023-06-01 17:53,KTPA 011753Z 11005KT 10SM SCT041 BKN055 BKN080 30/21 A2986 RMK AO2 LTG DSNT N SLP111 T03000211 10311 20233 58014
TPA,2023-06-01 18:53,KTPA 011853Z COR 09007KT 10SM SCT047 BKN080 32/21 A2984 RMK AO2 LTG DSNT S-NW SLP102 T03170206
TPA,2023-06-01 19:53,KTPA 011953Z 15007KT 100V190 10SM SCT049TCU BKN260 31/22 A2981 RMK AO2 LTG DSNT SE AND NW SLP094 TCU ALQDS T03110222
TPA,2023-06-01 20:53,KTPA 012053Z 25012G19KT 10SM TS FEW020 BKN035CB BKN260 28/22 A2982 RMK AO2 LTG DSNT ALQDS TSB24 SLP096 FRQ LTGICCG W-N TS W-N MOV NE CB DSNT SE VCSH W-N T02780222 55015
TPA,2023-06-01 21:53,KTPA 012153Z 04012G22KT 10SM -TSRA FEW014 BKN035CB BKN260 22/21 A2985 RMK AO2 PK WND 33028/2105 WSHFT 2131 LTG DSNT NW-E RAB34 SLP109 OCNL LTGIC OHD TS OHD MOV SE P0001 T02170206 $
