station,valid,vsby,skyl1,metar
TUL,2023-05-31 00:53,10.00,5500.00,KTUL 310053Z 15009KT 10SM FEW055 FEW250 28/18 A2986 RMK AO2 SLP101 T02830183
TUL,2023-05-31 01:53,10.00,25000.00,KTUL 310153Z 12005KT 10SM FEW250 25/18 A2986 RMK AO2 SLP105 T02500183
TUL,2023-05-31 02:53,10.00,M,KTUL 310253Z 13005KT 10SM CLR 25/18 A2988 RMK AO2 SLP109 T02500183 53006
TUL,2023-05-31 03:53,10.00,M,KTUL 310353Z 14005KT 10SM CLR 24/19 A2990 RMK AO2 SLP118 T02390189
TUL,2023-05-31 04:53,10.00,25000.00,KTUL 310453Z 18008KT 10SM FEW250 24/19 A2990 RMK AO2 SLP117 T02440189
TUL,2023-05-31 05:53,10.00,25000.00,KTUL 310553Z 16004KT 10SM FEW250 24/19 A2990 RMK AO2 SLP116 T02390189 10294 20233 403060178 50006
TUL,2023-05-31 06:53,10.00,7500.00,KTUL 310653Z 00000KT 10SM FEW075 FEW250 22/19 A2991 RMK AO2 SLP121 T02170189
TUL,2023-05-31 07:53,10.00,8000.00,KTUL 310753Z 19004KT 10SM SCT080 SCT200 22/19 A2991 RMK AO2 SLP118 T02220189
TUL,2023-05-31 08:53,10.00,8000.00,KTUL 310853Z 19004KT 10SM SCT080 SCT200 22/19 A2991 RMK AO2 SLP120 T02220189 51004
TUL,2023-05-31 09:53,10.00,8000.00,KTUL 310953Z 18005KT 10SM FEW080 SCT200 22/19 A2992 RMK AO2 SLP124 T02170189
TUL,2023-05-31 10:53,10.00,9000.00,KTUL 311053Z 18006KT 10SM SCT090 SCT200 22/19 A2992 RMK AO2 SLP122 TCU DSNT N-NE ACC S-OHD-N T02170189
TUL,2023-05-31 11:53,10.00,8000.00,KTUL 311153Z 16004KT 10SM SCT080 SCT120 SCT200 22/19 A2992 RMK AO2 SLP122 ACC S-OHD-N T02220189 10239 20211 50002
TUL,2023-05-31 12:53,10.00,9500.00,KTUL 311253Z 17006KT 10SM SCT095 SCT120 SCT250 23/19 A2993 RMK AO2 SLP125 T02330189
TUL,2023-05-31 13:53,10.00,8500.00,KTUL 311353Z 16005KT 10SM SCT085 SCT250 25/18 A2995 RMK AO2 SLP134 T02500183
TUL,2023-05-31 14:53,10.00,6000.00,KTUL 311453Z 17008KT 10SM FEW060 SCT250 27/18 A2995 RMK AO2 SLP135 T02670178 51013
TUL,2023-05-31 15:53,10.00,3000.00,KTUL 311553Z 18010KT 10SM FEW030 SCT110 SCT250 28/17 A2995 RMK AO2 SLP133 T02830172
TUL,2023-05-31 16:53,10.00,4000.00,KTUL 311653Z 16013KT 10SM FEW040 SCT110 SCT250 29/18 A2995 RMK AO2 SLP134 T02890178
TUL,2023-05-31 17:53,10.00,5000.00,KTUL 311753Z 17007KT 130V190 10SM SCT050 SCT120 30/18 A2993 RMK AO2 SLP126 T03000183 10300 20222 58007
TUL,2023-05-31 18:53,10.00,5000.00,KTUL 311853Z 14011KT 10SM SCT050 SCT120 SCT250 31/18 A2991 RMK AO2 SLP118 T03060183
TUL,2023-05-31 19:53,10.00,5000.00,KTUL 311953Z 16014G19KT 10SM FEW050 SCT090 BKN120 31/18 A2989 RMK AO2 SLP112 T03110183
TUL,2023-05-31 20:53,10.00,6000.00,KTUL 312053Z 15011G18KT 10SM FEW060 SCT250 31/18 A2987 RMK AO2 SLP106 T03110178 56021
TUL,2023-05-31 21:53,10.00,6000.00,KTUL 312153Z 17009G18KT 130V190 10SM SCT060 BKN250 31/18 A2986 RMK AO2 SLP104 T03110178
TUL,2023-05-31 22:53,10.00,6000.00,KTUL 312253Z 14011G18KT 10SM FEW060 BKN250 31/18 A2985 RMK AO2 SLP099 T03060178
TUL,2023-05-31 23:53,10.00,6000.00,KTUL 312353Z 17009KT 10SM FEW060 FEW250 30/16 A2984 RMK AO2 SLP097 T03000161 10317 20294 56009
TUL,2023-06-01 00:53,10.00,25000.00,KTUL 010053Z 17011KT 10SM BKN250 29/16 A2985 RMK AO2 SLP100 T02890161
TUL,2023-06-01 01:53,10.00,25000.00,KTUL 010153Z 16004KT 10SM BKN250 28/17 A2986 RMK AO2 SLP105 T02780172
TUL,2023-06-01 03:53,10.00,10000.00,KTUL 010353Z 13005KT 10SM FEW100 FEW250 25/18 A2990 RMK AO2 SLP118 T02500183
TUL,2023-06-01 04:53,10.00,16000.00,KTUL 010453Z 14005KT 10SM SCT160 SCT200 24/18 A2990 RMK AO2 SLP116 T02390178
TUL,2023-06-01 05:53,10.00,16000.00,KTUL 010553Z 14003KT 10SM FEW160 SCT200 22/18 A2990 RMK AO2 SLP117 T02170183 10300 20217 403170211 51005
TUL,2023-06-01 06:53,10.00,16000.00,KTUL 010653Z 12005KT 10SM FEW160 SCT200 21/18 A2989 RMK AO2 SLP113 T02110183
TUL,2023-06-01 07:53,10.00,16000.00,KTUL 010753Z 13004KT 10SM FEW160 SCT200 22/18 A2989 RMK AO2 SLP113 T02220178
TUL,2023-06-01 08:53,10.00,10000.00,KTUL 010853Z 00000KT 10SM FEW100 SCT160 SCT200 22/18 A2989 RMK AO2 SLP113 T02170178 55004
TUL,2023-06-01 09:53,10.00,10000.00,KTUL 010953Z 10004KT 10SM FEW100 SCT200 20/18 A2989 RMK AO2 SLP115 T02000178
TUL,2023-06-01 10:53,10.00,14000.00,KTUL 011053Z 13005KT 10SM FEW140 SCT200 19/17 A2992 RMK AO2 SLP122 T01890172
TUL,2023-06-01 11:53,10.00,14000.00,KTUL 011153Z 15004KT 10SM FEW140 SCT200 21/17 A2995 RMK AO2 SLP132 T02110172 10233 20183 53018
TUL,2023-06-01 12:53,10.00,M,KTUL 011253Z 15007KT 10SM CLR 23/18 A2996 RMK AO2 SLP136 T02280178
TUL,2023-06-01 13:53,10.00,M,KTUL 011353Z 17008KT 10SM CLR 26/17 A2997 RMK AO2 SLP141 T02560172
TUL,2023-06-01 14:53,10.00,25000.00,KTUL 011453Z 16009KT 10SM FEW250 27/17 A2997 RMK AO2 SLP141 T02720172 50008
TUL,2023-06-01 15:53,10.00,4000.00,KTUL 011553Z 18011G17KT 10SM FEW040 FEW120 28/17 A2997 RMK AO2 SLP141 T02830167
TUL,2023-06-01 16:53,10.00,5000.00,KTUL 011653Z 18010KT 10SM FEW050 SCT120 29/17 A2997 RMK AO2 SLP140 T02940167
TUL,2023-06-01 17:53,10.00,6000.00,KTUL 011753Z 14010G15KT 10SM SCT060 SCT120 30/16 A2996 RMK AO2 SLP136 T03000161 10306 20206 58005
TUL,2023-06-01 18:53,10.00,6000.00,KTUL 011853Z 18010KT 10SM BKN060 30/17 A2994 RMK AO2 SLP129 T03000167
TUL,2023-06-01 19:53,10.00,6500.00,KTUL 011953Z 12010KT 10SM SCT065 SCT085 SCT120 31/16 A2992 RMK AO2 SLP123 T03060161
TUL,2023-06-01 20:53,10.00,6000.00,KTUL 012053Z 14010G15KT 10SM SCT060 SCT250 31/18 A2991 RMK AO2 SLP119 CB DSNT W MOV N T03110178 56016
TUL,2023-06-01 21:53,10.00,6500.00,KTUL 012153Z 14010KT 10SM FEW065 FEW250 29/17 A2990 RMK AO2 SLP117 T02940167
TUL,2023-06-01 22:53,10.00,6000.00,KTUL 012253Z 14006KT 10SM SCT060 SCT080 30/17 A2990 RMK AO2 SLP116 T03000172
TUL,2023-06-01 23:53,10.00,6000.00,KTUL 012353Z 13006KT 10SM FEW060 FEW180 FEW250 29/17 A2990 RMK AO2 SLP115 T02940172 10311 20289 56004
TUL,2023-06-02 00:53,10.00,18000.00,KTUL 020053Z 11006KT 10SM FEW180 FEW250 27/18 A2990 RMK AO2 SLP117 T02670178
TUL,2023-06-02 01:53,10.00,18000.00,KTUL 020153Z 13004KT 10SM FEW180 FEW250 26/18 A2992 RMK AO2 SLP123 T02560178
TUL,2023-06-02 02:53,10.00,18000.00,KTUL 020253Z 12003KT 10SM FEW180 26/18 A2995 RMK AO2 SLP135 T02610178 53019
TUL,2023-06-02 03:53,10.00,17000.00,KTUL 020353Z 12004KT 10SM SCT170 BKN250 25/18 A2996 RMK AO2 SLP139 T02500178
TUL,2023-06-02 04:53,10.00,11000.00,KTUL 020453Z 12004KT 10SM SCT110 SCT200 24/18 A2996 RMK AO2 SLP136 T02440178
TUL,2023-06-02 05:53,10.00,10000.00,KTUL 020553Z 09004KT 10SM FEW100 SCT160 SCT200 23/18 A2995 RMK AO2 SLP133 T02280183 10294 20228 403110183 58002
TUL,2023-06-02 06:53,10.00,10000.00,KTUL 020653Z 00000KT 10SM SCT100 SCT160 BKN200 23/19 A2995 RMK AO2 SLP133 T02280189
TUL,2023-06-02 07:53,10.00,10000.00,KTUL 020753Z 11004KT 10SM SCT100 SCT160 BKN200 22/19 A2993 RMK AO2 SLP128 T02220189
TUL,2023-06-02 08:53,10.00,16000.00,KTUL 020853Z 00000KT 10SM SCT160 SCT200 22/19 A2994 RMK AO2 SLP131 T02220189 55002
TUL,2023-06-02 09:53,10.00,9000.00,KTUL 020953Z 00000KT 10SM FEW090 SCT160 SCT200 21/18 A2995 RMK AO2 SLP134 T02110183
TUL,2023-06-02 10:53,10.00,6500.00,KTUL 021053Z 09003KT 10SM SCT065 SCT090 BKN160 21/19 A2996 RMK AO2 SLP137 TCU DSNT NW ACC OHD T02110189
TUL,2023-06-02 11:53,10.00,6500.00,KTUL 021153Z 11004KT 10SM FEW065 SCT090 BKN170 22/19 A2998 RMK AO2 SLP142 ACC VC S N-NE T02170189 10233 20206 53011
TUL,2023-06-02 12:53,10.00,10000.00,KTUL 021253Z 12004KT 10SM SCT100 BKN160 23/19 A2998 RMK AO2 SLP144 T02330189
TUL,2023-06-02 13:53,10.00,10000.00,KTUL 021353Z 14007KT 10SM FEW100 SCT160 26/19 A2998 RMK AO2 SLP144 T02560194
