station,valid,vsby,skyl1,metar
TYS,2023-05-31 00:53,10.00,8000.00,KTYS 310053Z 08006KT 10SM BKN080 BKN100 25/14 A2997 RMK AO2 SLP139 T02500144
TYS,2023-05-31 01:53,10.00,6000.00,KTYS 310153Z 08004KT 10SM FEW060 OVC100 23/14 A2998 RMK AO2 SLP143 T02330144
TYS,2023-05-31 02:53,10.00,8500.00,KTYS 310253Z 00000KT 10SM SCT085 BKN110 23/15 A3000 RMK AO2 SLP147 T02280150 53013
TYS,2023-05-31 03:53,10.00,8500.00,KTYS 310353Z 00000KT 10SM FEW085 SCT110 22/15 A3000 RMK AO2 SLP150 T02170150
TYS,2023-05-31 04:53,10.00,11000.00,KTYS 310453Z 03006KT 10SM BKN110 20/15 A3000 RMK AO2 SLP151 T02000150 402830122
TYS,2023-05-31 05:53,10.00,11000.00,KTYS 310553Z 02006KT 10SM BKN110 19/14 A3001 RMK AO2 SLP153 T01890144 10267 20189 52005
TYS,2023-05-31 06:53,10.00,8000.00,KTYS 310653Z 02005KT 10SM SCT080 19/14 A3002 RMK AO2 SLP156 T01890144
TYS,2023-05-31 07:53,10.00,6000.00,KTYS 310753Z 03003KT 10SM OVC060 19/14 A3003 RMK AO2 SLP160 T01890144
TYS,2023-05-31 08:53,10.00,5500.00,KTYS 310853Z 36004KT 10SM BKN055 18/14 A3004 RMK AO2 SLP162 T01830139 51009
TYS,2023-05-31 09:53,10.00,5500.00,KTYS 310953Z 07003KT 10SM FEW055 BKN100 17/14 A3005 RMK AO2 SLP165 T01720139
TYS,2023-05-31 10:53,10.00,6500.00,KTYS 311053Z 00000KT 10SM BKN065 BKN090 18/14 A3007 RMK AO2 SLP171 T01780144
TYS,2023-05-31 11:53,10.00,7000.00,KTYS 311153Z 02004KT 10SM SCT070 BKN090 BKN250 19/14 A3008 RMK AO2 SLP175 T01890144 10200 20167 53012
TYS,2023-05-31 12:53,10.00,3200.00,KTYS 311253Z 36004KT 10SM FEW032 SCT065 SCT180 19/14 A3009 RMK AO2 SLP179 T01940144
TYS,2023-05-31 13:53,10.00,3500.00,KTYS 311353Z 03005KT 10SM FEW035 BKN065 BKN250 22/16 A3010 RMK AO2 SLP184 T02220156
TYS,2023-05-31 14:53,10.00,3700.00,KTYS 311453Z VRB04KT 10SM FEW037 FEW065 SCT180 24/15 A3010 RMK AO2 SLP181 T02390150 50006
TYS,2023-05-31 15:53,10.00,4000.00,KTYS 311553Z 00000KT 10SM FEW040 FEW070 26/16 A3009 RMK AO2 SLP177 T02560156
TYS,2023-05-31 16:53,10.00,4500.00,KTYS 311653Z VRB05KT 10SM FEW045 FEW170 27/14 A3007 RMK AO2 SLP172 T02670144
TYS,2023-05-31 17:53,10.00,5000.00,KTYS 311753Z VRB04KT 10SM SCT050 BKN085 BKN180 27/14 A3005 RMK AO2 SLP166 T02720144 10278 20189 58014
TYS,2023-05-31 18:53,10.00,5500.00,KTYS 311853Z 05007KT 10SM SCT055 SCT080 SCT180 29/15 A3003 RMK AO2 SLP158 T02940150
TYS,2023-05-31 19:53,10.00,7500.00,KTYS 311953Z VRB03KT 10SM SCT075 28/14 A3002 RMK AO2 SLP154 T02780139
TYS,2023-05-31 20:53,10.00,6000.00,KTYS 312053Z VRB03KT 10SM FEW060 SCT090 SCT120 28/13 A3001 RMK AO2 SLP150 T02780133 56016
TYS,2023-05-31 21:53,10.00,6500.00,KTYS 312153Z 14007KT 10SM SCT065 SCT120 28/16 A3000 RMK AO2 SLP149 T02780156
TYS,2023-05-31 22:53,10.00,6000.00,KTYS 312253Z 16005KT 10SM FEW060 SCT120 27/16 A3000 RMK AO2 SLP150 T02720156
TYS,2023-05-31 23:53,10.00,6000.00,KTYS 312353Z 15006KT 10SM SCT060 SCT120 SCT250 26/16 A3000 RMK AO2 SLP149 T02610156 10294 20261 56002
TYS,2023-06-01 00:53,10.00,6500.00,KTYS 010053Z 17006KT 10SM BKN065 BKN120 BKN250 25/16 A3002 RMK AO2 SLP155 T02500156
TYS,2023-06-01 01:53,10.00,7500.00,KTYS 010153Z 22007KT 10SM BKN075 BKN120 23/15 A3004 RMK AO2 SLP162 T02330150
