station,valid,vsby,skyl1,metar
VPS,2023-05-31 00:55,10.00,6500.00,KVPS 310055Z AUTO 28004KT 10SM FEW065 OVC080 25/18 A2989 RMK AO2 SLP128 T02510175 $
VPS,2023-05-31 01:55,10.00,5000.00,KVPS 310155Z AUTO 00000KT 10SM FEW050 SCT090 25/18 A2990 RMK AO2 SLP131 T02480177 $
VPS,2023-05-31 02:58,10.00,5000.00,KVPS 310258Z AUTO 00000KT 10SM FEW050 SCT090 25/18 A2990 RMK AO2A SLP131
VPS,2023-05-31 03:55,10.00,5000.00,KVPS 310355Z AUTO 30003KT 10SM FEW050 25/18 A2990 RMK AO2A SLP131
VPS,2023-05-31 04:58,10.00,5000.00,KVPS 310458Z AUTO 30003KT 10SM FEW050 25/18 A2993 RMK AO2A SLP131
VPS,2023-05-31 05:56,10.00,8500.00,KVPS 310556Z 00000KT 10SM FEW085 23/18 A2993 RMK AO2A SLP131 10255 20240 402760165
VPS,2023-05-31 06:55,10.00,23000.00,KVPS 310655Z AUTO 00000KT 10SM OVC230 20/17 A2989 RMK AO2 SLP128 T01960174 $
VPS,2023-05-31 07:55,10.00,24000.00,KVPS 310755Z AUTO 00000KT 10SM SCT240 19/17 A2989 RMK AO2 SLP128 T01890169 $
VPS,2023-05-31 08:55,10.00,M,KVPS 310855Z AUTO 36003KT 10SM CLR 18/17 A2990 RMK AO2 SLP131 T01830166 $
VPS,2023-05-31 09:55,10.00,M,KVPS 310955Z AUTO 01005KT 10SM CLR 18/16 A2990 RMK AO2 SLP131 T01800161 $
VPS,2023-05-31 10:55,10.00,22000.00,KVPS 311055Z AUTO 03005KT 10SM SCT220 18/16 A2992 RMK AO2 SLP138 T01800158 $
VPS,2023-05-31 11:55,10.00,8000.00,KVPS 311155Z AUTO 02005KT 10SM FEW080 FEW240 19/16 A2993 RMK AO2 SLP142 7//// T01910161 10205 20179 52010 $
VPS,2023-05-31 12:55,10.00,M,KVPS 311255Z AUTO 07008KT 10SM CLR 23/16 A2994 RMK AO2 SLP145 T02320160 $
VPS,2023-05-31 13:55,10.00,M,KVPS 311355Z AUTO 08007KT 10SM CLR 26/16 A2994 RMK AO2 SLP145 T02590164 $
VPS,2023-05-31 14:55,10.00,19000.00,KVPS 311455Z AUTO 08006KT 10SM FEW190 27/16 A2993 RMK AO2 SLPNO T02690159 58002 $
VPS,2023-05-31 15:55,10.00,16000.00,KVPS 311555Z AUTO 11008KT 10SM FEW160 29/16 A2994 RMK AO2 SLPNO T02900158 TSNO $
VPS,2023-05-31 16:55,10.00,M,KVPS 311655Z 12010KT 10SM CLR 30/16 A2994 RMK AO2A DZB10E19 SLPNO P0000 T02990159 TSNO $
