ident,ident_icao,ident_iata,actual_runway_off,actual_runway_on,fa_flight_id,operator,operator_icao,operator_iata,flight_number,registration,atc_ident,inbound_fa_flight_id,blocked,diverted,cancelled,position_only,origin_code,origin_code_icao,origin_code_iata,origin_code_lid,origin_timezone,origin_name,origin_city,origin_airport_info_url,destination_code,destination_code_icao,destination_code_iata,destination_code_lid,destination_timezone,destination_name,destination_city,destination_airport_info_url,departure_delay,arrival_delay,filed_ete,progress_percent,status,aircraft_type,route_distance,filed_airspeed,filed_altitude,route,baggage_claim,seats_cabin_business,seats_cabin_coach,seats_cabin_first,gate_origin,gate_destination,terminal_origin,terminal_destination,type,scheduled_out,estimated_out,actual_out,scheduled_off,estimated_off,actual_off,scheduled_on,estimated_on,actual_on,scheduled_in,estimated_in,actual_in
SWA3464,SWA3464,WN3464,13L,,SWA3464-1720800601-airline-1385p,SWA,SWA,WN,3464,N957WN,,SWA3464-1720800601-airline-1386p,False,False,False,False,KDAL,KDAL,DAL,DAL,America/Chicago,Dallas Love Fld,Dallas,/airports/KDAL,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,-300,-1020,3000,36,En Route / On Time,B737,323,458,380,KKITY5 HUDAD CEVEX,,,,,8,6,1,,Airline,2024-07-14T21:50:00Z,2024-07-14T21:50:00Z,2024-07-14T21:45:00Z,2024-07-14T22:00:00Z,2024-07-14T21:52:49Z,2024-07-14T21:52:49Z,2024-07-14T22:50:00Z,2024-07-14T22:48:00Z,,2024-07-14T23:05:00Z,2024-07-14T22:48:00Z,
ENY3789,ENY3789,MQ3789,18L,,ENY3789-1720821000-airline-1721p,ENY,ENY,MQ,3789,N215NN,,ENY3469-1720813543-schedule-152p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,780,180,3480,14,En Route / On Time,E75L,312,453,240,HUDAD2 HUDAD PNH,,,,,B38,2,B,,Airline,2024-07-14T21:42:00Z,2024-07-14T21:54:00Z,2024-07-14T21:55:00Z,2024-07-14T21:52:00Z,2024-07-14T22:05:43Z,2024-07-14T22:05:43Z,2024-07-14T22:50:00Z,2024-07-14T22:53:00Z,,2024-07-14T22:57:00Z,2024-07-14T23:00:00Z,
ENY3454,ENY3454,MQ3454,,,ENY3454-1720828163-schedule-273p,ENY,ENY,MQ,3454,N209NN,,ENY3956-1720816950-airline-382p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,240,2700,0,Scheduled,E170,312,434,280,HUDAD2 HUDAD PNH,,12,64,0,B40,2,B,,Airline,2024-07-14T23:33:00Z,2024-07-14T23:33:00Z,,2024-07-14T23:43:00Z,2024-07-14T23:55:00Z,,2024-07-15T00:28:00Z,2024-07-15T00:40:00Z,,2024-07-15T00:46:00Z,2024-07-15T00:50:00Z,
SKW4719,SKW4719,OO4719,,,SKW4719-1720833595-airline-1469p,SKW,SKW,OO,4719,N939SW,,SKW5658-1720821895-airline-1639p,False,False,False,False,KDEN,KDEN,DEN,DEN,America/Denver,Denver Intl,Denver,/airports/KDEN,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,4140,0,Scheduled,CRJ2,360,439,330,SLEEK2 SLEEK DHT PNH,,,,,B92,5,,,Airline,2024-07-15T01:15:00Z,2024-07-15T01:15:00Z,,2024-07-15T01:25:00Z,2024-07-15T01:25:00Z,,2024-07-15T02:34:00Z,2024-07-15T02:34:00Z,,2024-07-15T02:44:00Z,2024-07-15T02:44:00Z,
ENY3331,ENY3331,MQ3331,,,ENY3331-1720835952-schedule-310p,ENY,ENY,MQ,3331,N298FR,,ENY3941-1720815853-airline-190p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,3240,0,Scheduled,E170,312,434,280,HUDAD2 HUDAD PNH,,12,64,0,B29,,B,,Airline,2024-07-15T01:57:00Z,2024-07-15T01:57:00Z,,2024-07-15T02:07:00Z,2024-07-15T02:07:00Z,,2024-07-15T03:01:00Z,2024-07-15T03:01:00Z,,2024-07-15T03:11:00Z,2024-07-15T03:11:00Z,
UCA4251,UCA4251,C54251,,,UCA4251-1720833845-airline-930p,UCA,UCA,C5,4251,N12142,,UCA4231-1720821895-airline-1415p,False,False,False,False,KIAH,KIAH,IAH,IAH,America/Chicago,Houston Bush Int'ctl,Houston,/airports/KIAH,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,5640,0,Scheduled,E135,518,457,320,STYCK8 DOLEY FUZ SCABI CDS PNH,,,,,B23,4,B,,Airline,2024-07-15T01:21:00Z,2024-07-15T01:21:00Z,,2024-07-15T01:31:00Z,2024-07-15T01:31:00Z,,2024-07-15T03:05:00Z,2024-07-15T03:05:00Z,,2024-07-15T03:15:00Z,2024-07-15T03:15:00Z,
SWA4448,SWA4448,WN4448,,,SWA4448-1720829638-airline-1793p,SWA,SWA,WN,4448,N7813P,,SWA4448-1720829638-airline-1794p,False,False,False,False,KDAL,KDAL,DAL,DAL,America/Chicago,Dallas Love Fld,Dallas,/airports/KDAL,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,3300,0,Scheduled,B737,323,458,400,KKITY5 HUDAD CEVEX,,,,,15,6,1,,Airline,2024-07-15T03:30:00Z,2024-07-15T03:30:00Z,,2024-07-15T03:40:00Z,2024-07-15T03:40:00Z,,2024-07-15T04:35:00Z,2024-07-15T04:35:00Z,,2024-07-15T04:45:00Z,2024-07-15T04:45:00Z,
ENY3466,ENY3466,MQ3466,,,ENY3466-1720842798-schedule-48p,ENY,ENY,MQ,3466,N300LK,,ENY3548-1720826761-airline-710p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,3120,0,Scheduled,E170,312,434,280,HUDAD2 HUDAD PNH,,12,64,0,B30,,B,,Airline,2024-07-15T03:41:00Z,2024-07-15T03:41:00Z,,2024-07-15T03:51:00Z,2024-07-15T03:51:00Z,,2024-07-15T04:43:00Z,2024-07-15T04:43:00Z,,2024-07-15T04:53:00Z,2024-07-15T04:53:00Z,
UAL3892,UAL3892,UA3892,,,UAL3892-1720977791-fa-3102p,UAL,UAL,UA,3892,N69824,,UAL2179-1720755056-fa-1535p,False,False,False,False,KIAH,KIAH,IAH,IAH,America/Chicago,Houston Bush Int'ctl,Houston,/airports/KIAH,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,5100,0,Scheduled,B739,518,461,340,,,,,20,C40,,,,Airline,2024-07-15T10:30:00Z,2024-07-15T10:30:00Z,,2024-07-15T10:40:00Z,2024-07-15T10:40:00Z,,2024-07-15T12:05:00Z,2024-07-15T12:05:00Z,,2024-07-15T12:15:00Z,2024-07-15T12:15:00Z,
SWA372,SWA372,WN372,,,SWA372-1720877732-schedule-509p,SWA,SWA,WN,372,N7822A,,SWA372-1720867955-schedule-144p,False,False,False,False,KDAL,KDAL,DAL,DAL,America/Chicago,Dallas Love Fld,Dallas,/airports/KDAL,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,0,3300,0,Scheduled,B737,368,458,400,KKITY5 HUDAD CEVEX,,0,143,0,,,1,,Airline,2024-07-15T13:30:00Z,2024-07-15T13:30:00Z,,2024-07-15T13:40:00Z,2024-07-15T13:40:00Z,,2024-07-15T14:35:00Z,2024-07-15T14:35:00Z,,2024-07-15T14:45:00Z,2024-07-15T14:45:00Z,
ENY3969,ENY3969,MQ3969,,,ENY3969-1720877732-schedule-483p,ENY,ENY,MQ,3969,N287NN,,ENY3885-1720868891-schedule-1281p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,240,2700,0,Scheduled,E170,312,431,280,HUDAD2 HUDAD PNH,,12,64,0,B44,,B,,Airline,2024-07-15T13:28:00Z,2024-07-15T13:28:00Z,,2024-07-15T13:38:00Z,2024-07-15T13:58:00Z,,2024-07-15T14:23:00Z,2024-07-15T14:43:00Z,,2024-07-15T14:49:00Z,2024-07-15T14:53:00Z,
SKW5418,SKW5418,OO5418,,,SKW5418-1720881144-airline-203p,SKW,SKW,OO,5418,N963SW,,SKW5915-1720874070-airline-482p,False,False,False,False,KIAH,KIAH,IAH,IAH,America/Chicago,Houston Bush Int'ctl,Houston,/airports/KIAH,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,300,5160,0,Scheduled,CRJ2,518,446,320,STYCK8 DOLEY FUZ SCABI CDS PNH,,,,,B3,,B,,Airline,2024-07-15T14:30:00Z,2024-07-15T14:30:00Z,,2024-07-15T14:40:00Z,2024-07-15T14:50:00Z,,2024-07-15T16:06:00Z,2024-07-15T16:16:00Z,,2024-07-15T16:21:00Z,2024-07-15T16:26:00Z,
ENY3388,ENY3388,MQ3388,,,ENY3388-1720885486-schedule-2487p,ENY,ENY,MQ,3388,N308LD,,ENY3358-1720873841-schedule-30p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAMA,KAMA,AMA,AMA,America/Chicago,Amarillo Intl,Amarillo,/airports/KAMA,0,240,3000,0,Scheduled,E170,312,431,280,HUDAD2 HUDAD PNH,,12,64,0,B38,2,B,,Airline,2024-07-15T15:31:00Z,2024-07-15T15:31:00Z,,2024-07-15T15:41:00Z,2024-07-15T16:00:00Z,,2024-07-15T16:31:00Z,2024-07-15T16:50:00Z,,2024-07-15T16:56:00Z,2024-07-15T17:00:00Z,
